country_code,location,capital,January,February,March,April,May,June,July,August,September,October,November,December,Avg City,Avg Country
AFG,Afghanistan,Kabul,-2.3,-0.7,6.3,12.8,17.3,22.8,25,24.1,19.7,13.1,5.9,0.6,12.1,12.6
ALB,Albania,Tirana,6.7,7.8,10,13.4,18,21.6,24,23.8,20.7,16,11.7,8.1,15.2,11.4
DZA,Algeria,Algiers,11.2,11.9,12.8,14.7,17.7,21.3,24.6,25.2,23.2,19.4,15.2,12.1,17.4,22.5
AND,Andorra,Andorra la Vella,2.2,3.5,5.8,7.5,11.5,15.4,18.8,18.5,14.9,10.3,5.7,3,9.8,14.8
AGO,Angola,Luanda,26.7,28.5,28.6,28.2,27,23.9,22.1,22.1,23.5,25.2,26.7,26.9,25.8,21.6
ATG,Antigua and Barbuda,St. John's,25.4,25.2,25.6,26.3,27.2,27.9,28.2,28.3,28.1,27.5,26.8,25.9,26.9,26.0
ARG,Argentina,Buenos Aires,24.9,23.6,21.9,17.9,14.5,11.7,11,12.8,14.6,17.9,20.7,23.3,17.9,14.8
ARM,Armenia,Yerevan,-3.6,0.1,6.3,12.9,17.4,22.6,26.4,26.1,21.1,13.8,6.2,-0.2,12.4,7.2
AUS,Australia,Canberra,20.6,20.1,17.6,13.4,9.4,6.7,5.7,7,9.8,12.8,15.8,18.8,13.1,21.7
AUT,Austria,Vienna,0.3,1.5,5.7,10.7,15.7,18.7,20.8,20.2,15.4,10.2,5.1,1.1,10.4,6.4
AZE,Azerbaijan,Baku,4.4,4.2,7,12.9,18.5,23.5,26.4,26.3,22.5,16.6,11.2,7.3,15.1,12.0
BHS,Bahamas,Nassau,21.1,21.1,22.2,23.4,25.3,26.9,27.9,27.9,27.3,25.9,23.8,21.9,24.6,24.9
BHR,Bahrain,Manama,17.2,18,21.2,25.3,30,32.6,34.1,34.2,32.5,29.3,24.5,19.3,26.5,27.2
BGD,Bangladesh,Dhaka,18.6,22,26.3,28.4,28.8,29,28.7,28.9,28.5,27.4,24,20,25.9,25.0
BRB,Barbados,Bridgetown,25.8,25.7,26.2,26.8,27.6,27.7,27.6,27.8,27.7,27.5,27,26.4,27,26.0
BLR,Belarus,Minsk,-4.5,-4.4,0,7.2,13.3,16.4,18.5,17.5,12.1,6.6,0.6,-3.4,6.7,6.2
BEL,Belgium,Brussels,3.3,3.7,6.8,9.8,13.6,16.2,18.4,18,14.9,11.1,6.8,3.9,10.5,9.6
BLZ,Belize,Belize City,24,24.9,25.9,27.3,28.3,28.5,28.1,28.2,28,27,25.6,24.5,26.7,25.3
BEN,Benin,Cotonou,27.3,28.5,28.9,28.6,27.8,26.5,25.8,25.6,26,26.7,27.6,27.3,27.2,27.6
BOL,Bolivia,La Paz,9.3,9,8.9,8.8,8.2,7.3,6.8,8.2,8.7,10,10.5,9.7,8.8,21.6
BIH,Bosnia and Herzegovina,Sarajevo,-0.5,1.4,5.7,10,14.8,17.7,19.7,19.7,15.3,11,5.4,0.9,10.1,9.6
BWA,Botswana,Gaborone,26,25,24,21,17,13,13,17,21,23,25,25,21,21.5
BRA,Brazil,Brasília,21.2,21.3,21.5,20.9,19.6,18.5,18.3,20.3,21.7,21.6,21.1,21,20.6,25.0
BGR,Bulgaria,Sofia,-0.5,1.1,5.4,10.6,15.4,18.9,21.2,21,16.5,11.3,5.1,0.7,10.6,10.6
BFA,Burkina Faso,Ouagadougou,24.8,27.7,30.9,32.6,31.6,29.2,27.3,26.4,27,28.9,27.7,25.1,28.3,28.3
BDI,Burundi,Bujumbura,23.8,23.8,23.7,23.9,23.9,23.3,22.9,24,24.7,24.6,23.4,23.6,23.8,19.8
KHM,Cambodia,Phnom Penh,26.6,28,29.4,30.2,30,29.2,28.7,28.5,28.2,27.2,27.1,26.3,28.3,26.8
CMR,Cameroon,Yaoundé,23.7,25.3,25,24.6,24.1,23.4,22.6,23,23.1,23.3,23.7,23.7,23.8,24.6
CAN,Canada,Ottawa,-10.2,-7.9,-2.2,6.5,13.5,18.7,21.2,19.9,15.3,8.4,2,-5.6,6.6,-5.4
CPV,Cape Verde,Praia,22.4,22.2,22.9,23.4,24,24.9,25.4,26.2,26.8,26.4,25.4,23.4,24.4,23.3
CAF,Central African Republic,Bangui,26,27.1,27.4,27.1,26.5,25.3,25.1,25.1,25.4,25.5,25.7,25.7,26,24.9
TCD,Chad,N'Djamena,23.3,26.9,30.4,33.8,33.5,31,28.2,26.5,27.8,29.2,27.3,24,28.3,26.6
CHL,Chile,Hanga Roa,23.3,23.7,23.1,21.9,20.1,18.9,18,17.9,18.3,19,20.4,21.8,20.5,8.5
CHN,China,Beijing,-3.1,0.3,6.7,14.8,20.8,24.9,26.7,25.5,20.8,13.7,5,-0.9,12.9,7.0
COL,Colombia,Bogotá,14.3,14.5,14.9,14.9,15,14.5,14.6,14.1,14.3,14.3,14.4,14.6,14.4,24.5
COG,Congo,Brazzaville,26,26,27,26,26,23,22,23,25,26,26,26,25,24.6
CRI,Costa Rica,San José,22.6,23,23.5,23.7,22.9,22.5,22.6,22.4,22,21.8,21.9,22.3,22.6,24.8
CIV,Cote d'Ivoire,Bouaké,27,28,28,27,26,25,24,24,24,25,26,26,26,26.4
HRV,Croatia,Zagreb,0.3,2.3,6.4,10.7,15.8,18.8,20.6,20.1,15.9,10.5,5,1.4,10.7,10.9
CUB,Cuba,Havana,22.2,22.4,23.7,24.8,26.1,27,27.6,27.9,27.4,26.1,24.5,23,25.2,25.2
CYP,Cyprus,Nicosia,10.6,10.6,13.1,17.1,22.3,26.9,29.7,29.4,26.2,22.3,16.3,12,19.7,18.5
CZE,Czechia,Prague,-1.4,-0.4,3.6,8.4,13.4,16.1,18.2,17.8,13.5,8.5,3.1,-0.3,8.4,25.0
COD,Democratic Republic of Congo,Kinshasa,26,26.2,26.7,26.8,26,23.7,22.2,23.5,25.3,26,25.9,25.6,25.3,24.0
DNK,Denmark,Copenhagen,1.4,1.4,3.5,7.7,12.5,15.6,18.1,17.7,13.9,9.8,5.5,2.5,9.1,7.5
DJI,Djibouti,Djibouti,25.1,25.7,27,28.7,31,34.2,36.4,36,33.1,29.3,26.9,25.4,29.9,28.0
DMA,Dominica,Roseau,24.9,24.8,25.1,25.8,26.6,27.3,27.4,27.4,27.1,26.1,26.2,25.4,26.2,22.4
DOM,Dominican Republic,Santo Domingo,24.4,24.4,24.9,25.6,26.3,26.9,27,27.1,27,26.7,26,24.9,25.9,24.6
ECU,Ecuador,Quito,14.2,14,14.3,14.3,14.5,14.5,14.6,15,14.8,14.3,14.3,14.4,14.4,21.9
EGY,Egypt,Cairo,13.6,14.9,16.9,21.2,24.5,27.3,27.6,27.4,26,23.3,18.9,15,21.4,22.1
SLV,El Salvador,San Salvador,22.2,22.8,23.8,24.5,24.2,23.3,23.3,23.2,22.8,22.8,22.4,22,23.1,24.5
GNQ,Equatorial Guinea,Malabo,26.9,27.7,27.6,27.2,26.7,25.9,25.3,25,25.1,25.5,26.1,26.6,26.3,24.6
ERI,Eritrea,Asmara,13.8,14.9,16.3,17,17.6,17.6,16.3,16.1,15.7,14.9,14,13.2,15.6,25.5
EST,Estonia,Tallinn,-2.9,-3.6,-0.6,4.8,10.2,14.5,17.6,16.5,12,6.5,2,-0.9,6.4,5.1
FJI,Fiji,Suva,27.4,27.6,26.4,26.6,25.4,24.6,23.8,23.7,24.1,25.1,26.1,26.9,25.6,24.4
FIN,Finland,Helsinki,-3.9,-4.7,-1.3,3.9,10.2,14.6,17.8,16.3,11.5,6.6,1.6,-2,5.9,1.7
FRA,France,Paris,4.9,5.6,8.8,11.4,15.1,18.2,20.4,20.2,16.9,12.9,8.1,5.4,12.3,10.7
GAB,Gabon,Libreville,26.8,27,27.1,26.6,26.7,25.4,24.3,24.3,25.4,25.7,25.9,26.2,25.9,25.1
GMB,Gambia,Banjul,23,25,25,25,26,27,27,27,27,27,26,24,26,27.5
GEO,Georgia,Tbilisi,1.2,2.7,6.6,12.2,17.4,21.3,24.5,24.1,19.6,13.7,7.8,3.2,12.9,5.8
DEU,Germany,Berlin,0.6,2.3,5.1,10.2,14.8,17.9,20.3,19.7,15.3,10.5,6,1.3,10.3,8.5
GHA,Ghana,Accra,27.3,27.7,27.7,27.7,27.2,25.6,24.4,24.3,25.2,26,27,27.2,26.4,27.2
GRC,Greece,Piraeus,11.1,11.2,13.3,16.9,21.4,26.3,29,28.8,25.2,20.6,15.8,12.6,19.4,15.4
GRD,Grenada,Calivigny,25.1,25,25.3,25.9,26.4,26.3,26.1,26.5,26.9,26.7,26.2,25.7,26.0,26.7
GTM,Guatemala,Guatemala City,17.1,18.1,19.1,20,19.6,18.7,18.8,18.9,18.4,17.9,17.3,17.2,18.4,23.5
GIN,Guinea,Conakry,26.1,26.5,27,27.4,27.5,26.5,25.5,25.2,25.6,26.3,27,26.6,26.4,25.7
GNB,Guinea-Bissau,Bissau,26,27,28,28,28,28,27,26,27,28,27,26,27,26.8
GUY,Guyana,Georgetown,26.1,26.4,26.7,27,26.8,26.5,26.6,27,27.5,27.6,27.2,26.4,26.8,26.0
HTI,Haiti,Port-au-Price,21.6,22.1,22.4,22.9,23.5,24.5,24.9,24.8,24.2,23.6,22.5,21.9,23.2,24.9
HND,Honduras,Tegucigalpa,19.5,20.4,22.1,23.4,23.6,22.6,22.1,22.4,22.2,21.5,20.4,19.7,21.7,23.5
HKG,Hong Kong,Hong Kong,16.3,16.8,19.1,22.6,25.9,27.9,28.8,28.6,27.7,25.5,21.8,17.9,23.3,23.0
HUN,Hungary,Budapest,-0.5,1,5.7,11.7,16.4,20.2,22.1,21.7,16.7,11.3,6,0.6,11.1,9.7
ISL,Iceland,Reykjavík,-0.5,0.4,0.5,2.9,6.3,9,10.6,10.3,7.4,4.4,1.1,-0.2,4.3,1.8
IND,India,New Delhi,13.8,16.5,22.1,28.7,32.8,34,30.9,29.7,29,26.1,20.5,15.3,25,23.7
IDN,Indonesia,Jakarta,26.1,26.1,26.4,27,27.2,26.7,26.4,26.7,27,27.2,27,26.4,26.7,25.9
IRN,Iran,Tehran,1,5,10,17,21,27,31,29,26,18,11,5,17,17.3
IRQ,Iraq,Baghdad,9.7,12,16.6,22.6,28.3,32.3,34.8,34,30.5,24.7,16.5,11.2,22.77,21.4
IRL,Ireland,Dublin,5.3,5.3,6.8,8.3,10.9,13.6,15.6,15.3,13.4,10.5,7.4,5.6,9.8,9.3
ISR,Israel,Tel Aviv,12,13,15,18,21,23,26,26,25,22,18,13,20,19.2
ITA,Italy,Rome,7.5,8.2,10.2,12.6,17.2,21.1,24.1,24.5,20.8,16.4,11.4,8.4,15.2,13.5
JAM,Jamaica,Kingston,25.8,25.9,26.4,26.9,27.8,28.5,28.9,28.7,28.4,27.7,27.2,26.7,27.4,25.0
JPN,Japan,Tokyo,5.2,5.7,8.7,13.9,18.2,21.4,25,26.4,22.8,17.5,12.1,7.6,15.4,11.2
JOR,Jordan,Amman,8.4,9.4,12.4,17.1,21.4,24.6,26.5,26.6,24.6,21,15,10.2,18.1,18.3
KAZ,Kazakhstan,Nur-Sultan,-14.2,-14.1,-7.1,5.2,13.9,19.5,20.8,18.8,12.3,4.6,-5.4,-12.1,3.5,6.4
KEN,Kenya,Nairobi,18,18.8,19.4,19.2,17.8,16.3,15.6,15.9,17.3,18.5,18.4,18.1,17.8,24.8
KWT,Kuwait,Kuwait City,12.5,14.8,19.3,24.9,31.5,36,37.7,36.8,33.3,27.3,19.9,14.1,25.7,25.4
KGZ,Kyrgyzstan,Bishkek,-2.6,-0.8,5.3,12.3,17.4,22.4,24.9,23.8,18.5,11,4.7,-0.9,11.3,1.6
LAO,Laos,Vientiane,21.7,24,26.7,28.5,27.7,27.7,27.5,27.2,27,26.4,24.3,21.7,25.9,22.8
LVA,Latvia,Riga,-4.7,-4.2,0.5,5.1,11.4,15.5,16.9,16.2,12,7.4,2.1,-2.3,6.2,5.6
LBN,Lebanon,Beirut,14,14,16,18.7,21.7,24.9,27.1,27.8,26.8,24.1,19.5,15.8,20.9,16.4
LSO,Lesotho,Butha-Buthe,18,17.5,16,12.7,9.1,5.8,5.7,8.7,12.9,15.1,16.3,17.6,13.0,11.9
LIE,Liechtenstein,Vaduz,0.8,2.1,6.3,9.9,14.4,17.1,19,18.4,14.9,10.9,5.2,1.9,10.1,5.7
