PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
YAL002W_57-227,291-359_1NR0:A:2-312	4	27	1	0	0	38	22	20	0	311
YAL002W_1181-1270_1IYM:A:	0	2	0	1	0	11	6	4	0	54
YAL003W_118-206_1F60:B:	0	4	0	2	0	6	2	7	0	90
YAL003W_9-58_1FHE:A:81-214	2	0	0	7	0	10	11	9	0	134
YAL005C_1-185_1BUP:A:4-188	0	12	1	6	0	18	7	13	0	185
YAL005C_188-379_1HJO:A:189-382	1	6	2	6	0	13	8	10	0	194
YAL005C_384-540_1CKR:A:	1	10	0	2	0	15	14	9	0	159
YAL005C_535-614_1UD0:A:	0	0	1	3	0	3	3	4	0	112
YAL007C_44-116_1O6U:A:275-398	0	8	1	1	0	14	7	4	0	124
YAL012W_8-391_1N8P:A:	5	12	2	13	0	43	33	20	0	393
YAL014C_155-225_1GL2:D:	0	0	0	1	0	2	0	0	0	64
YAL015C_138-318_1ORN:A:	0	0	4	12	0	19	14	11	0	225
YAL016W_33-626_1B3U:A:	0	0	8	44	0	40	26	36	0	588
YAL019W_803-894,941-1104_1Z3I:X:390-735	0	10	6	11	0	41	29	23	0	346
YAL019W_530-801_1Z63:A:432-661	0	7	2	11	0	24	16	18	0	230
YAL021C_503-826_1VYB:A:	1	14	3	4	0	23	11	11	0	236
YAL021C_332-462_1O6V:A:33-416	1	19	16	2	0	68	27	29	0	381
YAL022C_75-280,324-509_1PV7:A:	0	0	2	22	0	18	12	14	0	417
YAL023C_346-525_1T9F:A:	4	12	2	0	0	29	9	14	0	186
YAL024C_8-177,1176-1434_1NVU:S:	2	4	4	21	0	35	21	23	0	481
YAL029C_60-822_1OE9:A:63-795	5	19	8	26	0	54	32	34	0	733
YAL029C_1-64_1OE9:A:5-62	1	4	0	0	0	7	3	3	0	58
YAL030W_25-89_3B5N:A:28-86	0	0	0	1	0	1	0	0	0	60
YAL033W_7-131_2CZV:C:3-120	0	6	2	3	0	8	3	6	0	118
YAL034C_311-406_2CUJ:A:8-108	0	0	0	4	0	7	6	5	0	101
YAL035W_404-696_1G7S:A:1-227	3	9	5	6	0	24	13	14	0	227
YAL035W_731-857_1G7S:A:329-459	3	4	0	5	0	10	10	6	0	131
YAL035W_863-1001_1G7S:A:460-587	2	8	0	2	0	12	6	9	0	128
YAL036C_68-307_1LNZ:A:158-342	3	7	0	6	0	20	18	9	0	185
YAL036C_288-368_1WXQ:A:320-395	1	4	0	2	0	9	4	5	0	76
YAL038W_16-92,177-361_1A3W:A:2-87,A:189-366	3	8	3	12	0	27	20	10	1	264
YAL038W_369-500_1A3W:A:367-500	0	5	1	5	0	17	10	9	0	134
YAL038W_88-188_1A3W:A:88-188	5	6	0	1	0	17	8	5	0	101
YAL040C_69-206_1W98:B:88-227	1	0	2	6	0	12	5	6	0	140
YAL041W_268-475_1FOE:A:1034-1239	0	0	4	12	0	8	7	11	0	206
YAL041W_751-853_1Q1O:A:	0	5	0	2	0	13	6	2	0	97
YAL041W_473-521,603-668_2COD:A:8-109	0	7	0	1	0	9	7	3	0	102
YAL044C_42-166_1ONL:A:	3	9	1	4	0	17	7	8	0	127
YAL044W-A_4-108_1V9J:A:	0	3	1	4	0	13	10	2	0	112
YAL046C_18-108_1V9J:A:	0	3	1	4	0	13	10	2	0	112
YAL048C_445-613_2FV8:A:4-184	0	6	2	6	0	16	5	13	0	181
YAL048C_3-217_2ERY:A:10-180	2	6	0	6	0	16	9	11	0	169
YAL048C_185-294,336-397_1JFJ:A:	0	4	0	8	0	12	8	4	0	134
YAL049C_27-240_1DIN:A:	2	9	3	6	0	26	12	19	0	233
YAL054C_75-708_1RY2:A:	13	28	0	20	0	87	54	43	0	640
YAL058W_241-381_1JHN:A:270-411	6	4	1	0	0	29	13	11	0	142
YAL058W_30-232_1JHN:A:61-262,A:412-458	4	15	1	2	0	35	16	9	1	249
YAL061W_1-198_1E3J:A:4-142,A:313-351	5	12	4	3	0	23	8	10	1	178
YAL061W_165-337_1E3J:A:143-312	0	6	0	8	0	21	14	9	0	170
YAL062W_3-187_1BGV:A:1-194	3	5	2	8	0	16	8	12	0	194
YAL062W_185-454_1BGV:A:195-449	2	7	2	10	0	29	11	16	0	255
YAL067C_126-557_1PW4:A:	2	0	1	18	0	21	18	22	0	450
YAR003W_31-344_1ERJ:A:	2	30	1	1	0	43	24	22	0	388
YAR007C_445-618_1L1O:C:	3	9	0	5	0	16	7	7	0	178
YAR007C_299-422_1FGU:A:299-426	1	7	1	2	0	17	6	5	0	128
YAR007C_183-296_1FGU:A:181-298	0	8	2	1	0	18	6	5	0	118
YAR007C_3-112_1EWI:A:	2	5	1	2	0	14	11	4	0	114
YAR008W_182-265_1A79:A:83-179	0	6	1	2	0	10	6	8	0	97
YAR009C_103-253_1ASU:A:	0	5	1	5	0	18	12	6	0	162
YAR009C_773-921,967-1103_1HAR:A:	6	8	3	4	0	21	6	10	0	216
YAR015W_12-304_2CNQ:A:2-305	4	15	2	7	0	29	17	19	0	304
YAR018C_9-186,224-350_2JAV:A:3-271	1	8	3	9	0	24	12	13	0	269
YAR035W_3-434_1NM8:A:9-385	5	11	2	11	0	30	22	18	0	372
YAR035W_435-648_1NDB:A:406-625	0	7	0	8	0	22	13	12	0	220
YAR042W_794-1188_1ZHX:A:2-434	5	19	10	9	0	46	21	29	0	433
YAR042W_280-380_1V89:A:	0	7	0	1	0	15	12	2	0	117
YAR042W_22-242_1UOH:A:	0	0	1	14	0	27	7	20	0	223
YHR213W_2-39,66-170_1ACC:A:	15	41	7	10	0	90	43	37	0	734
YAR071W_33-459_1QFX:A:	8	8	10	12	0	46	32	24	0	447
YAR073W_32-128,208-372_1JR1:A:17-112,A:233-514	9	15	3	12	0	48	29	18	1	378
YAR073W_123-232_1JCN:A:112-231	1	4	0	1	0	11	7	5	0	120
YAR075W_11-154_1JR1:A:17-112,A:233-514	9	15	3	12	0	48	29	18	1	378
YBL001C_6-98_1LXJ:A:	0	4	0	3	0	8	5	4	0	104
YBL002W_13-128_1ID3:D:	0	2	0	4	0	8	4	1	0	93
YBL003C_7-127_1ID3:C:	0	3	2	4	0	13	8	7	0	110
YBL004W_1344-1431,1478-1559,1591-1680,1778-2261_1IAL:A:	0	0	4	28	0	36	22	21	0	453
YBL004W_83-312,340-406,452-617,658-757_1IAL:A:	0	0	4	28	0	36	22	21	0	453
YBL004W_1052-1117,1145-1535_1GW5:B:	0	0	4	32	0	42	43	37	0	579
YBL004W_2197-2413_1UG3:A:1438-1564	0	2	0	8	0	10	4	6	0	127
YBL005W_5-47_1CLD:A:	0	0	0	2	0	4	2	1	0	33
