PDB_ID	Total_Structures	Average_Length
gi|70605854|ref|YP_254724.1|_22-265_1FNN:A:1-276	84	3.29
gi|70605854|ref|YP_254724.1|_283-378_1FNN:A:277-388	24	4.67
gi|70605859|ref|YP_254729.1|_5-69_2P4W:A:1-194	42	4.69
gi|70605861|ref|YP_254731.1|_3-262_1J31:A:	88	2.98
gi|70605862|ref|YP_254732.1|_5-259_1XNG:A:3-257	66	3.86
gi|70605864|ref|YP_254734.1|_6-161_2I3B:A:1-189	58	3.26
gi|70605865|ref|YP_254735.1|_2-220_1T0T:V:	62	3.92
gi|70605866|ref|YP_254736.1|_3-164_1V8Y:A:	43	3.67
gi|70605868|ref|YP_254738.1|_4-271_1QTW:A:	92	3.10
gi|70605869|ref|YP_254739.1|_6-217_1NF2:A:	89	3.00
gi|70605870|ref|YP_254740.1|_7-136_1WY7:A:4-204	53	3.79
gi|70605871|ref|YP_254741.1|_1-214_1X42:A:1-230	69	3.33
gi|70605872|ref|YP_254742.1|_3-101_2GMG:A:1-105	31	3.10
gi|70605874|ref|YP_254743.1|_42-327_1D0V:A:	96	3.60
gi|70605876|ref|YP_254746.1|_7-308_1WZU:A:1-298	91	3.27
gi|70605877|ref|YP_254747.1|_5-372_1ELU:A:	114	3.34
gi|70605878|ref|YP_254748.1|_2-565_1PG4:A:	222	2.90
gi|70605880|ref|YP_254750.1|_27-239_1U0T:A:	86	3.51
gi|70605882|ref|YP_254752.1|_2-308_1TRB:A:119-244	43	2.93
gi|70605883|ref|YP_254753.1|_66-255_2FRN:A:19-278	73	3.56
gi|70605885|ref|YP_254755.1|_9-84_1RQ8:A:	25	3.84
gi|70605887|ref|YP_254757.1|_1-215_3BBD:A:2-205	62	3.29
gi|70605890|ref|YP_254760.1|_92-336_1JDW:A:	133	2.71
gi|70605891|ref|YP_254761.1|_3-286_1ZBM:A:2-261	82	3.17
gi|70605892|ref|YP_254762.1|_1-167_1ZWY:A:9-181	45	3.84
gi|70605894|ref|YP_254764.1|_5-111_1FB6:A:	29	3.59
gi|70605895|ref|YP_254765.1|_3-235_2GFQ:A:1-274	90	3.18
gi|70605896|ref|YP_254766.1|_1-196_1EBB:A:	67	3.01
gi|70605897|ref|YP_254767.1|_9-126_2EF7:A:1-127	47	2.70
gi|70605899|ref|YP_254769.1|_311-563_1II8:A:,B:	96	3.85
gi|70605899|ref|YP_254769.1|_239-337_1L8D:B:	13	8.54
gi|70605899|ref|YP_254769.1|_3-183,477-558_1SGW:A:	60	3.55
gi|70605900|ref|YP_254770.1|_3-307_2MAS:A:	105	2.98
gi|70605901|ref|YP_254771.1|_4-129_1MZB:A:	32	4.19
gi|70605904|ref|YP_254774.1|_1-153,191-238,327-405_1F2T:A:,B:	88	3.33
gi|70605904|ref|YP_254774.1|_712-872_1F2T:A:,B:	88	3.33
gi|70605904|ref|YP_254774.1|_391-486_1L8D:B:	13	8.54
gi|70605904|ref|YP_254774.1|_509-701,779-879_1F2T:A:,B:	88	3.33
gi|70605905|ref|YP_254775.1|_1-310_1II7:A:	108	3.08
gi|70605906|ref|YP_254776.1|_118-238,273-466_1VPL:A:	65	3.66
gi|70605907|ref|YP_254777.1|_15-135_1DVB:A:1-147	20	7.35
gi|70605908|ref|YP_254778.1|_1-106_1J30:A:	24	5.88
gi|70605909|ref|YP_254779.1|_213-487_2AX3:A:212-489	85	3.27
gi|70605909|ref|YP_254779.1|_2-234_2AX3:A:1-211	66	3.20
gi|70605910|ref|YP_254780.1|_1-149_1E2Y:A:	59	2.83
gi|70605911|ref|YP_254781.1|_132-468_1JQN:A:	185	4.76
gi|70605913|ref|YP_254783.1|_3-270_2P67:A:1-327	74	4.41
gi|70605914|ref|YP_254784.1|_3-127_7REQ:A:561-728	47	3.57
gi|70605915|ref|YP_254785.1|_11-60_1AZP:A:	15	4.40
gi|70605917|ref|YP_254787.1|_151-491_1E1O:A:161-502	96	3.56
