zone_simple,quarter,Spike_D614G,NSP12_P323L,NSP4_T492I,Spike_T478K,Spike_G142D,N_R203K,N_G204R,Spike_P681H,NSP6_G107del,NSP6_S106del,Spike_N501Y,Spike_H655Y,Spike_N679K,Spike_N969K,Spike_Q954H,Spike_L452R,Spike_D796Y,NSP5_P132H,N_P13L,E_T9I,M_A63T,NSP14_I42V,Spike_G339D,M_Q19E,N_R32del,N_E31del,N_S33del,Spike_P681R,Spike_S477N,Spike_N764K,M_I82T,NS3_S26L,NSP13_P77L,N_R203M,Spike_S373P,N_D377Y,Spike_S375F,Spike_E484A,Spike_T19R,NSP12_G671S,N_D63G,Spike_Y505H,Spike_Q498R,Spike_D950N,NS7a_T120I,NS7a_V82A,Spike_T95I,Spike_F157del,Spike_R158del,Spike_Q493R,Spike_E156G,NSP6_T77A,NSP14_A394V,NSP4_V167L,NSP3_A488S,N_G215C,NS7b_T40I,NSP3_P1228L,NSP3_P1469S,Spike_V70del,Spike_H69del,Spike_K417N,Spike_N440K,NSP6_F108del,Spike_Y144del,NSP6_I189V,Spike_T547K,NSP3_A1892T,Spike_L981F,Spike_N856K,Spike_A67V,NSP3_K38R,NSP3_L1266I,NS3_T223I,NSP6_L105del,Spike_V143del,NSP13_R392C,Spike_Y145del,Spike_V213G,NSP3_G489S,NSP3_S1265del,Spike_T19I,NSP3_T24I,NSP1_S135R,NSP4_L264F,M_D3G,NSP4_T327I,Spike_D405N,N_S413R,Spike_A27S,Spike_T376A,Spike_S371F,Spike_P26del,Spike_P25del,Spike_L24del,NSP15_T112I,Spike_R408S,Spike_S371L,Spike_G496S,Spike_N211del,Spike_L212I,NSP4_L438F,Spike_ins214EPE,Spike_G446S,Spike_R346K,NSP3_T183I,NS8_Q27stop,Spike_T716I,Spike_A570D,Spike_D1118H,NS8_R52I,NS8_Y73C,NSP3_A890D,N_S235F,Spike_S982A,N_D3L,NSP3_I1412T,NSP3_A1711V,Spike_A222V,NS3_Q57H,NSP2_T85I,NSP4_A446V,NSP3_P822L,NS8_K68stop,NSP6_V149A,NSP6_T181I,NSP13_I334V,NSP3_A1736V,NSP12_L838I,N_Q9L,NSP3_V1069I,Spike_F486V,Spike_A701V,NS3_E239Q,NSP12_F694Y,NS3_L106F,NSP13_K460R,Spike_E484K,NSP12_F192V,Spike_S704L,Spike_L18F,NS3_H78Y,N_D343G,Spike_L452Q,NSP6_L37F,NSP1_M85del,NSP2_K81N,Spike_L5F,M_D3N,NSP13_H164Y,N_P199L,N_T205I,NSP12_P227L,N_P67S,NSP6_I162V,NSP5_K90R,N_A220V,N_M234I,NSP1_V86del,NS8_S24L,NSP5_L89F,NSP1_V84del,NS3_G172V,NS7a_P45L,NSP13_E341D,NSP14_N129D,Spike_V1176F,NSP16_K160R,NSP1_H83del,NS3_L140F,NSP4_A146V,Spike_Y145H,NSP1_K141del,NSP1_S142del,NSP1_F143del,Spike_K417T,Spike_P26S,NSP16_R216C,NSP6_C197F,NSP1_G82del,Spike_T1027I,NSP3_S370L,Spike_D138Y,NSP3_H1307Y,NS8_E92K,NSP2_P129L,NSP3_D410G,NS3_S253P,NSP3_K977Q,N_P80R,NS8_L60F,Spike_T20N,Spike_V1264L,Spike_R190S,N_S194L,NSP13_A296S
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,35331,35202,14,4,6,8732,8705,26,21,20,12,21,4,2,2,4,3,2,164,8,6,3,4,3,2,2,2,1,61,2,2,13,20,29,1,95,1,4,1,6,2,1,1,1,8,1,62,1,1,1,1,2,7,3,2,2,28,50,6,44,44,1,1,16,84,13,2,1,1,4,9,4,3,13,4,13,179,2,1,2,5,9,1,1,12,506,6,1,1,28,1,1,2,2,2,4,1,0,0,0,0,6,0,0,0,23,26,24,13,14,18,15,13,15,13,17,13,24,44,15647,12329,18,5,6,1,7,0,9,0,0,0,0,5,0,0,12,32,11,0,3,47,9,0,0,5382,193,0,255,0,18,47,88,24,17,0,96,23,103,161,1102,206,134,15,3,22,12,11,93,134,6,1,29,263,264,263,0,7,13,0,126,11,11,0,12,3,27,0,0,0,0,1,1,7,1,399,13
2,1,2081,2084,1,0,0,630,629,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,708,628,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,292,5,0,21,0,0,0,18,1,0,0,222,0,0,0,2,3,0,0,1,0,0,0,3,0,0,0,3,9,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,19,0
0,1,3578,3544,3,4,5,1307,1305,0,11,11,6,2,0,0,0,9,0,0,673,2,0,1,0,0,0,0,0,9,1,0,6,9,8,8,0,8,0,0,5,7,4,0,0,4,0,6,3,1,1,0,2,7,2,1,1,2,3,3,1,6,6,7,0,11,4,2,0,0,0,0,4,2,3,1,0,0,3,0,0,0,3,0,0,0,0,59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,1164,801,6,4,0,3,2,0,1,0,0,0,0,5,0,0,4,1,8,0,5,10,2,0,0,1147,22,0,23,0,0,0,28,4,1,0,9,6,2,23,43,6,19,0,2,8,0,184,14,11,1,0,1,26,26,26,0,6,4,0,12,0,2,10,2,19,6,0,23,0,2,0,1,0,0,51,1
-1,1,525,531,0,0,0,130,128,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,0,0,0,0,1,0,1,19,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
-1,2,2198,2157,3,0,0,1090,1088,0,4,4,3,7,0,1,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,1,1,1,0,1,0,1,0,5,1,0,0,6,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,554,441,3,1,0,0,2,0,0,0,0,0,0,3,0,0,1,0,4,0,0,4,1,0,0,99,9,1,9,0,3,0,2,13,0,0,11,1,0,10,3,2,7,0,1,1,0,5,56,7,18,0,0,7,7,7,1,1,1,0,7,0,2,1,8,7,1,0,3,0,0,0,1,1,0,85,0
1,2,95577,95264,139,67,51,34397,34376,121,76,76,57,96,27,7,6,63,44,7,189,97,11,18,14,7,4,4,4,55,115,8,59,95,99,99,8,311,7,7,68,93,59,7,5,70,112,53,161,54,54,7,56,69,57,59,55,97,143,733,68,59,58,13,11,71,300,58,10,7,4,4,49,19,8,67,5,110,155,23,4,5,8,38,8,3,88,538,16,3,3,56,3,6,3,3,3,39,3,4,2,5,4,145,4,8,9,90,122,95,43,41,73,43,41,239,43,57,45,121,475,40862,33178,79,211,21,16,43,33,61,2,5,14,0,108,7,11,81,49,18,3,14,351,75,3,2,4492,409,9,1342,1,22,731,444,139,698,8,604,136,338,272,6465,2288,240,691,19,65,673,111,295,226,30,38,11,518,518,516,4,63,602,3,220,37,40,71,59,57,205,2,8,4,8,5,4,36,5,3254,83
0,2,15049,14903,44,46,8,7344,7320,125,114,116,54,30,5,3,3,56,23,3,1668,12,5,3,3,3,4,4,4,45,521,4,52,48,40,22,3,76,4,2,6,52,18,2,2,27,16,5,47,5,5,2,5,10,12,9,8,13,26,20,14,132,134,9,15,111,192,4,3,3,4,3,13,3,9,76,5,26,19,7,0,0,9,2,10,0,10,98,2,0,1,14,0,0,2,2,2,10,0,3,4,0,0,3,0,4,4,26,14,22,6,91,15,9,7,73,15,10,9,85,13,3549,1355,27,26,2,7,20,16,5,1,4,271,1,11,0,0,8,7,123,0,4,43,36,0,0,2060,38,1,165,0,32,8,681,28,7,0,122,89,42,30,98,11,34,22,16,17,3,845,83,26,12,4,2,139,139,139,1,82,13,0,27,118,10,112,9,302,28,0,111,2,5,0,2,18,3,1432,19
2,2,2566,2422,1,0,0,1107,1109,0,0,0,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,6,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,19,0,2,2,0,0,0,6,1,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,2,1057,989,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,0,115,6,0,48,0,0,1,51,1,1,0,96,0,5,4,0,0,1,0,0,0,0,0,13,1,1,1,0,25,25,25,0,1,0,0,1,0,1,2,3,6,10,0,0,0,0,0,0,7,0,33,0
0,3,27059,26474,120,61,23,21466,21426,129,52,51,66,44,20,10,9,99,18,25,376,20,9,9,9,8,9,9,9,63,10511,9,46,76,74,54,7,108,8,9,42,47,41,9,7,41,50,21,71,26,26,5,25,36,28,23,24,27,96,56,38,35,35,30,68,43,54,14,11,10,10,9,25,11,13,226,11,30,24,14,0,1,16,4,4,0,44,34,5,0,1,20,0,3,1,1,1,12,1,7,9,5,4,8,1,11,12,286,104,25,16,16,31,15,15,48,14,20,9,25,91,2659,921,46,70,1,8,21,1,21,0,1,34,0,51,0,0,49,11,72,0,6,99,104,0,4,1053,54,4,275,1,47,30,440,71,29,0,306,55,161,35,83,41,40,33,4,22,12,791,154,35,53,5,0,189,189,191,5,12,22,3,37,9,25,136,13,131,71,3,111,6,7,2,10,26,12,1788,44
