PDB_ID	Total_Structures	Average_Length
gi|154248706|ref|YP_001409531.1|_106-314_1L8Q:A:77-289	53	4.02
gi|154248706|ref|YP_001409531.1|_333-436_1L8Q:A:290-399	20	5.50
gi|154248707|ref|YP_001409532.1|_2-59_1VJW:A:	27	2.19
gi|154248709|ref|YP_001409534.1|_34-253_1RPJ:A:	75	3.84
gi|154248710|ref|YP_001409535.1|_15-233_3DHW:C:1-240	71	3.38
gi|154248710|ref|YP_001409535.1|_253-498_1JI0:A:	71	3.38
gi|154248713|ref|YP_001409538.1|_4-130_1XBF:A:	43	3.23
gi|154248715|ref|YP_001409540.1|_1-90_1B8Z:A:	15	6.00
gi|154248716|ref|YP_001409541.1|_233-410_1XX7:A:	42	4.36
gi|154248716|ref|YP_001409541.1|_70-224_1MC0:A:402-555	43	3.58
gi|154248719|ref|YP_001409544.1|_174-282_2HEK:A:1-369	102	3.62
gi|154248720|ref|YP_001409545.1|_95-278_1WC3:A:	44	4.95
gi|154248722|ref|YP_001409547.1|_1-136_1VMJ:A:	39	3.56
gi|154248723|ref|YP_001409548.1|_251-498_1NY5:A:138-384	80	3.09
gi|154248723|ref|YP_001409548.1|_119-218_1EW0:A:	41	3.17
gi|154248723|ref|YP_001409548.1|_2-100_2VEA:A:4-130	38	3.34
gi|154248723|ref|YP_001409548.1|_507-562_1NTC:A:	17	5.29
gi|154248727|ref|YP_001409552.1|_240-429_1FNH:A:183-271	29	3.07
gi|154248727|ref|YP_001409552.1|_542-709_1K85:A:	25	3.48
gi|154248727|ref|YP_001409552.1|_146-227_1X5G:A:8-110	37	2.78
gi|154248728|ref|YP_001409553.1|_14-201_1MV8:A:1-202	70	2.89
gi|154248728|ref|YP_001409553.1|_210-301_1MV8:A:203-300	22	4.45
gi|154248728|ref|YP_001409553.1|_313-423_1DLJ:A:295-402	42	2.57
gi|154248731|ref|YP_001409556.1|_297-599_1MXG:A:1-361	130	2.78
gi|154248732|ref|YP_001409557.1|_2-65_1G6P:A:	22	3.00
gi|154248734|ref|YP_001409559.1|_4-46_2FIY:A:19-308	84	3.45
gi|154248735|ref|YP_001409560.1|_349-500_1W25:A:294-455	47	3.43
gi|154248736|ref|YP_001409561.1|_85-242_1KSK:A:60-231	61	2.82
gi|154248736|ref|YP_001409561.1|_26-110_1FJG:D:	69	3.01
gi|154248738|ref|YP_001409563.1|_4-143_1VJX:A:	30	5.20
gi|154248739|ref|YP_001409564.1|_167-294_1BCO:A:258-480	73	3.05
gi|154249012|ref|YP_001409837.1|_167-294_1BCO:A:258-480	73	3.05
gi|154249432|ref|YP_001410257.1|_167-294_1BCO:A:258-480	73	3.05
gi|154249758|ref|YP_001410583.1|_167-294_1BCO:A:258-480	73	3.05
gi|154249940|ref|YP_001410765.1|_167-294_1BCO:A:258-480	73	3.05
gi|154250088|ref|YP_001410913.1|_167-294_1BCO:A:258-480	73	3.05
gi|154248740|ref|YP_001409565.1|_4-143_2VO9:A:1-148	46	3.22
gi|154248741|ref|YP_001409566.1|_1-141_2DYA:A:6-158	46	3.35
gi|154248742|ref|YP_001409567.1|_4-106_1JPD:X:2-113	81	2.57
gi|154248743|ref|YP_001409568.1|_206-224,255-564_2C5W:B:266-650	133	2.89
gi|154248743|ref|YP_001409568.1|_40-234_2OQO:A:57-243	51	3.67
gi|154248744|ref|YP_001409569.1|_68-151_1MGT:A:89-169	30	2.70
gi|154248745|ref|YP_001409570.1|_25-160_1VQ2:A:	58	3.33
gi|154248746|ref|YP_001409571.1|_15-252_1B0P:A:786-1232	147	3.04
gi|154248747|ref|YP_001409572.1|_5-183_1B0P:A:416-668	82	3.09
gi|154248749|ref|YP_001409574.1|_159-344_1CHD:A:	69	2.87
gi|154248749|ref|YP_001409574.1|_5-111_1A2O:A:1-140	38	3.68
gi|154248751|ref|YP_001409576.1|_2-352_1O2D:A:	85	4.35
gi|154248754|ref|YP_001409579.1|_7-249_1G6H:A:	81	3.14
gi|154248754|ref|YP_001409579.1|_275-370,398-515_1MT0:A:	85	2.84
