PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|126464914|ref|YP_001040023.1|_25-257_1NI5:A:0-226	1.00	4.67	3.00	12.00	0.00	2.38	1.33	2.07	0.00	226.00
gi|126464918|ref|YP_001040027.1|_3-217_1OXS:C:1-242	0.00	6.00	3.00	9.88	0.00	1.35	1.22	2.00	0.00	242.00
gi|126464919|ref|YP_001040028.1|_54-131_2BJ7:A:51-132	0.00	9.75	0.00	11.50	0.00	1.67	1.80	2.20	0.00	87.00
gi|126464919|ref|YP_001040028.1|_5-48_2BJ7:A:1-50	0.00	9.00	0.00	14.50	0.00	2.00	1.50	1.50	0.00	50.00
gi|126464920|ref|YP_001040029.1|_5-302_2FV7:A:15-322	0.00	5.07	3.60	10.20	0.00	1.82	1.53	1.86	0.00	308.00
gi|126464921|ref|YP_001040030.1|_5-218,308-371_1PJ5:A:4-219,A:339-427	1.00	3.88	3.17	12.38	0.00	1.97	1.50	2.00	1.00	305.00
gi|126464921|ref|YP_001040030.1|_239-308_1NG4:A:219-306	0.00	6.50	5.00	14.00	0.00	2.00	1.20	1.50	0.00	88.00
gi|126464923|ref|YP_001040032.1|_40-96_7FD1:A:	1.00	3.00	3.20	6.00	0.00	1.89	1.25	2.22	0.00	106.00
gi|126464924|ref|YP_001040033.1|_110-434_2I0Z:A:1-192,A:362-420	1.00	3.73	3.17	10.25	0.00	1.56	1.75	1.80	1.00	251.00
gi|126464924|ref|YP_001040033.1|_22-109_2FUG:3:1-95	1.00	3.60	0.00	8.00	0.00	2.93	1.25	2.00	0.00	95.00
gi|126464925|ref|YP_001040034.1|_7-163_2Z1E:A:43-155	0.00	7.29	0.00	15.50	0.00	1.57	2.25	2.20	0.00	113.00
gi|126464925|ref|YP_001040034.1|_165-313_2Z1E:A:156-334	0.00	4.57	3.00	10.60	0.00	2.25	1.80	1.90	0.00	179.00
gi|126464926|ref|YP_001040035.1|_1-73_2Z1C:A:2-72	0.00	6.00	0.00	17.00	0.00	1.43	1.00	2.00	0.00	71.00
