PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|11497624|ref|NP_068844.1|_33-152_1SMB:A:	0	4	2	6	0	13	7	6	0	149
gi|11497625|ref|NP_068845.1|_333-525_1VPL:A:	2	10	2	9	0	18	9	15	0	238
gi|11497625|ref|NP_068845.1|_87-279_1VPL:A:	2	10	2	9	0	18	9	15	0	238
gi|11497625|ref|NP_068845.1|_6-123_1FEH:A:127-209	0	5	3	2	0	8	7	5	0	83
gi|11497627|ref|NP_068847.1|_70-208_1BMT:A:741-896	0	5	1	6	0	17	8	8	0	156
gi|11497627|ref|NP_068847.1|_4-83_1BMT:A:651-740	0	0	0	5	0	5	5	6	0	90
gi|11497628|ref|NP_068848.1|_7-73,118-417_1URO:A:	1	9	5	16	0	33	22	19	0	357
gi|11497629|ref|NP_068849.1|_4-404_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|161511074|ref|NP_068850.2|_22-257_1F6Y:A:	2	8	2	10	0	27	14	14	0	262
gi|11497631|ref|NP_068851.1|_2-92_1B9R:A:	1	4	1	3	0	14	7	12	0	105
gi|11497632|ref|NP_068852.1|_99-237_1BMT:A:741-896	0	5	1	6	0	17	8	8	0	156
gi|11497632|ref|NP_068852.1|_30-112_1BMT:A:651-740	0	0	0	5	0	5	5	6	0	90
gi|11497633|ref|NP_068853.1|_7-74,119-416_1URO:A:	1	9	5	16	0	33	22	19	0	357
gi|11497634|ref|NP_068854.1|_5-397_1PW4:A:	2	0	1	18	0	21	18	22	0	450
gi|11497637|ref|NP_068857.1|_5-180_1H21:A:	5	0	5	7	0	27	16	12	0	240
gi|11497638|ref|NP_068858.1|_404-661_2DUB:A:	2	10	4	11	0	25	14	14	0	259
gi|11497638|ref|NP_068858.1|_4-186_1F0Y:A:12-203	0	8	1	7	0	22	12	11	0	192
gi|11497638|ref|NP_068858.1|_304-413_3HDH:A:204-302	3	0	1	5	0	8	3	5	0	99
gi|11497638|ref|NP_068858.1|_189-295_1F0Y:A:204-302	3	0	1	5	0	8	3	5	0	99
gi|11497639|ref|NP_068859.1|_2-224_1AFW:A:294-417	3	4	3	4	0	12	4	7	0	124
gi|11497639|ref|NP_068859.1|_228-379_1AFW:A:294-417	3	4	3	4	0	12	4	7	0	124
gi|11497640|ref|NP_068860.1|_29-145_2GNR:A:8-144	1	11	1	2	0	19	6	6	0	137
gi|11497641|ref|NP_068861.1|_6-418_1XK7:A:4-405	4	14	4	15	0	37	24	30	0	405
gi|11497642|ref|NP_068862.1|_187-322_2C2A:A:321-481	0	7	2	3	0	13	4	10	0	161
gi|11497642|ref|NP_068862.1|_5-108_1EW0:A:	2	5	2	5	0	11	8	8	0	130
gi|11497643|ref|NP_068863.1|_1-91_1VJK:A:	5	4	1	2	0	13	5	6	0	97
gi|11497644|ref|NP_068864.1|_212-591_1AOR:A:211-605	3	5	8	21	0	37	16	31	0	395
gi|11497644|ref|NP_068864.1|_1-205_1AOR:A:1-210	1	12	0	6	0	23	14	16	0	210
gi|11497645|ref|NP_068865.1|_32-414_1RRM:A:	3	10	9	14	0	32	17	17	0	385
gi|11497646|ref|NP_068866.1|_4-390_1PW4:A:	2	0	1	18	0	21	18	22	0	450
gi|11497649|ref|NP_068869.1|_15-370_2E7J:A:8-371	4	12	3	15	0	33	15	20	0	364
gi|11497650|ref|NP_068870.1|_1-114_2AB1:A:2-122	0	8	0	4	0	14	6	7	0	121
gi|11497653|ref|NP_068873.1|_59-203_1YNB:A:7-173	2	0	5	7	0	12	5	7	0	167
gi|11497654|ref|NP_068874.1|_13-163_1HNJ:A:1-174	1	8	2	7	0	21	11	7	0	174
gi|11497654|ref|NP_068874.1|_317-448_2GNR:A:8-144	1	11	1	2	0	19	6	6	0	137
gi|11497654|ref|NP_068874.1|_150-288_1HZP:A:175-317	1	7	3	5	0	17	5	9	0	148
gi|11497655|ref|NP_068875.1|_34-254_1ULQ:A:276-400	2	4	2	4	0	11	5	8	0	125
gi|11497655|ref|NP_068875.1|_278-404_1ULQ:A:276-400	2	4	2	4	0	11	5	8	0	125
gi|11497656|ref|NP_068876.1|_4-293_1ZX5:A:1-299	6	21	2	5	0	38	22	14	0	299
gi|11497657|ref|NP_068877.1|_13-182_1JG1:A:	4	9	4	6	0	25	16	10	0	215
gi|11497659|ref|NP_068879.1|_1-351_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gi|11497660|ref|NP_068880.1|_1-239_1QG8:A:	2	9	4	8	0	22	13	12	0	255
gi|11497662|ref|NP_068882.1|_37-234_1OXS:C:1-242	0	11	6	8	0	23	18	13	0	242
gi|11497664|ref|NP_068884.1|_3-351_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gi|11500013|ref|NP_071259.1|_4-300,361-408_1DB3:A:	2	15	3	10	0	35	15	17	0	357
gi|11497665|ref|NP_068886.1|_16-393_2BIS:A:1-437	4	17	6	16	0	48	27	24	0	437
gi|11497665|ref|NP_068886.1|_846-1208_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gi|11497665|ref|NP_068886.1|_415-791_2IW1:A:2-371	0	15	4	16	0	41	26	17	0	370
gi|11497666|ref|NP_068887.1|_269-436_1VE3:A:2-227	0	10	2	7	0	20	9	11	0	226
gi|11497668|ref|NP_068889.1|_22-341_1CVR:A:1-350	7	14	4	9	0	39	25	18	0	350
