PDB_ID	Total_Structures	Average_Length
gi|71064582|ref|YP_263309.1|_146-356_1L8Q:A:77-289	53	4.02
gi|71064582|ref|YP_263309.1|_376-478_1J1V:A:	19	4.95
gi|71064583|ref|YP_263310.1|_270-391_2POL:A:245-366	39	3.13
gi|71064583|ref|YP_263310.1|_1-122_2POL:A:1-122	38	3.21
gi|71064583|ref|YP_263310.1|_131-241_2POL:A:123-244	30	4.07
gi|71064584|ref|YP_263311.1|_1-381_1F2T:A:,B:	88	3.33
gi|71064585|ref|YP_263312.1|_422-588,797-862_1BJT:A:	202	3.76
gi|71064585|ref|YP_263312.1|_34-243_1EI1:A:2-220	76	2.88
gi|71064585|ref|YP_263312.1|_249-420_1EI1:A:221-392	42	4.10
gi|71064587|ref|YP_263314.1|_93-254_1C0M:A:49-216	52	3.23
gi|71064588|ref|YP_263315.1|_57-157_1HLV:A:1-66	17	3.88
gi|71064588|ref|YP_263315.1|_1-55_2OA4:A:1-93	30	3.10
gi|71064589|ref|YP_263316.1|_65-340_2H00:A:5-254	63	3.97
gi|71064590|ref|YP_263317.1|_202-430_1GPM:A:208-404	42	4.69
gi|71064590|ref|YP_263317.1|_17-242_1GPM:A:3-207	79	2.59
gi|71064590|ref|YP_263317.1|_416-536_1GPM:A:405-525	32	3.78
gi|71064592|ref|YP_263319.1|_123-297_1XA0:A:119-294	49	3.59
gi|71064592|ref|YP_263319.1|_9-150_1TT7:A:2-127,A:295-330	68	2.40
gi|71064593|ref|YP_263320.1|_113-291_1GU7:A:161-349	58	3.26
gi|71064593|ref|YP_263320.1|_1-148_1YB5:A:6-120,A:295-329	52	2.90
gi|71064595|ref|YP_263322.1|_2-342_1VRD:A:1-85,A:213-457	103	3.21
gi|71064597|ref|YP_263324.1|_4-96_2JN6:A:1-89	26	3.42
gi|71066243|ref|YP_264970.1|_4-96_2JN6:A:1-89	26	3.42
gi|71064598|ref|YP_263325.1|_102-262_1C0M:A:49-216	52	3.23
gi|71066242|ref|YP_264969.1|_102-262_1C0M:A:49-216	52	3.23
gi|71064599|ref|YP_263326.1|_5-53_1F2T:A:,B:	88	3.33
gi|71064602|ref|YP_263329.1|_12-118_2D1P:A:1-128	39	3.28
gi|71064603|ref|YP_263330.1|_74-308_1HKH:A:	88	3.17
gi|71064604|ref|YP_263331.1|_2-130_1VI7:A:3-137	45	2.98
gi|71064604|ref|YP_263331.1|_134-189_1VI7:A:138-208	18	3.89
gi|71064605|ref|YP_263332.1|_66-237_1VIO:A:58-231	61	2.85
gi|71064605|ref|YP_263332.1|_6-87_1VIO:A:0-57	23	2.43
gi|71064606|ref|YP_263333.1|_218-358_1EEJ:A:61-216	44	3.55
gi|71064606|ref|YP_263333.1|_63-120_1EEJ:A:1-60	22	2.73
gi|71064608|ref|YP_263335.1|_1-110_1XBL:A:	19	3.95
gi|71064608|ref|YP_263335.1|_257-343_1C3G:A:260-349	41	2.20
gi|71064608|ref|YP_263335.1|_133-208_1EXK:A:	33	2.39
gi|71064608|ref|YP_263335.1|_113-154,213-255_1NLT:A:110-138,A:213-257	28	2.68
gi|71064609|ref|YP_263336.1|_8-134,244-276_1DIH:A:2-130,A:241-273	60	2.72
gi|71064609|ref|YP_263336.1|_136-244_1DIH:A:131-240	32	3.44
gi|71064610|ref|YP_263337.1|_24-272_2TOD:A:44-283	67	3.58
gi|71064610|ref|YP_263337.1|_257-390_1F3T:A:14-43,A:284-422	51	3.33
gi|71064611|ref|YP_263338.1|_2-165_1LRY:A:	43	3.84
