PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
CC1G_07122T0_3-518_1DQU:A:	3	13	5	23	0	50	31	25	0	519
CC1G_09467T0_26-654_1RY2:A:	13	28	0	20	0	87	54	43	0	640
CC1G_08232T0_147-375_2BTF:A:147-375	0	9	5	10	0	22	20	16	0	229
CC1G_08232T0_3-153_1C0G:A:1-146	0	10	2	4	0	13	10	8	0	146
CC1G_05003T0_2-148_1ULE:A:	2	12	0	0	0	25	11	8	0	150
CC1G_05005T0_2-148_1ULE:A:	2	12	0	0	0	25	11	8	0	150
CC1G_00723T0_35-130_1ULE:A:	2	12	0	0	0	25	11	8	0	150
CC1G_12476T0_313-636_1VHN:A:	0	9	3	14	0	31	18	15	0	317
CC1G_12476T0_80-108_1M9O:A:	0	0	2	0	0	8	6	3	0	76
CC1G_12235T0_103-388_2BV3:A:7-282	2	11	3	8	0	22	12	14	0	276
CC1G_12235T0_593-715_2BV3:A:479-599	1	6	1	2	0	15	8	4	0	121
CC1G_12235T0_371-389,420-512_2BV3:A:283-403	1	12	0	0	0	15	9	9	0	121
CC1G_12235T0_517-594_1FNM:A:404-482	0	5	0	2	0	8	3	2	0	79
CC1G_12235T0_721-808_2BV3:A:600-688	0	4	2	3	0	5	0	4	0	89
CC1G_08655T0_15-315_1F48:A:1-296	0	8	6	11	0	31	20	16	0	296
CC1G_05458T0_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
CC1G_05756T0_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
CC1G_05765T0_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
CC1G_06132T0_41-252_1AKY:A:3-130,A:169-220	0	5	1	9	0	13	6	8	1	180
CC1G_01502T0_24-91_1N9S:C:	0	6	2	0	0	6	4	4	0	74
CC1G_02019T0_62-263_1W4Z:A:	2	7	4	10	0	25	16	16	0	259
CC1G_03337T0_20-238_1E4C:P:	3	7	3	6	0	24	7	14	0	206
CC1G_02104T0_30-361_2E3B:A:9-344	4	10	6	13	0	35	25	24	0	336
