PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
GSPATP00033675001_15-316_1F48:A:1-296	0.00	5.25	3.50	10.82	0.00	1.77	1.35	2.00	0.00	296.00
GSPATP00023900001_11-312_1F48:A:1-296	0.00	5.25	3.50	10.82	0.00	1.77	1.35	2.00	0.00	296.00
GSPATP00015825001_2-147_1EXR:A:	1.00	2.00	0.00	13.43	0.00	1.64	2.80	1.80	0.00	146.00
GSPATP00022199001_20-305_1PCI:A:	1.00	4.70	4.50	11.62	0.00	2.12	1.30	2.43	0.00	311.00
GSPATP00025439001_22-177_2GGM:A:24-166	1.00	3.00	3.00	12.43	0.00	2.00	2.00	2.20	0.00	143.00
GSPATP00033005001_29-178_2GGM:A:24-166	1.00	3.00	3.00	12.43	0.00	2.00	2.00	2.20	0.00	143.00
GSPATP00026058001_32-179_2GGM:A:24-166	1.00	3.00	3.00	12.43	0.00	2.00	2.00	2.20	0.00	143.00
GSPATP00031615001_31-177_2GGM:A:24-166	1.00	3.00	3.00	12.43	0.00	2.00	2.00	2.20	0.00	143.00
GSPATP00007681001_30-169_2GGM:A:24-166	1.00	3.00	3.00	12.43	0.00	2.00	2.00	2.20	0.00	143.00
GSPATP00026240001_31-179_2GGM:A:24-166	1.00	3.00	3.00	12.43	0.00	2.00	2.00	2.20	0.00	143.00
GSPATP00019973001_166-462_1J3K:C:	1.00	7.11	3.67	9.40	0.00	2.27	1.25	2.10	0.00	326.00
GSPATP00019973001_4-166_1QZF:A:3-180	1.00	5.36	0.00	7.75	0.00	2.15	1.50	2.08	0.00	178.00
GSPATP00032405001_444-572_1KFI:A:444-572	0.00	5.38	0.00	9.50	0.00	1.50	1.62	2.20	0.00	129.00
GSPATP00032405001_9-235_1KFI:A:3-205	1.00	5.56	3.00	11.00	0.00	1.91	1.40	1.92	0.00	203.00
GSPATP00032405001_309-449_1KFI:A:324-443	0.00	4.00	0.00	9.67	0.00	1.70	1.62	1.60	0.00	120.00
GSPATP00032405001_206-322_1KFI:A:206-323	1.00	3.80	3.00	8.25	0.00	1.62	1.00	2.40	0.00	118.00
GSPATP00000627001_9-233_1KFI:A:3-205	1.00	5.56	3.00	11.00	0.00	1.91	1.40	1.92	0.00	203.00
GSPATP00000627001_444-572_1KFI:A:444-572	0.00	5.38	0.00	9.50	0.00	1.50	1.62	2.20	0.00	129.00
GSPATP00000627001_309-449_1KFI:A:324-443	0.00	4.00	0.00	9.67	0.00	1.70	1.62	1.60	0.00	120.00
