PDB_ID	Total_Structures	Average_Length
gnl|CMER|CMV056C_8-308_2F9Y:A:4-319	90	3.51
gnl|CMER|CMV132C_1-78_1T8K:A:	21	3.67
gnl|CMER|CMV149C_78-235_1AFR:A:	79	4.37
gnl|CMER|CMM237C_147-377_2BTF:A:147-375	82	2.79
gnl|CMER|CMM237C_5-154_1C0G:A:1-146	47	3.11
gnl|CMER|CMV160C_18-289_2BTY:A:1-282	88	3.20
gnl|CMER|CMV225C_97-371_1FX0:A:97-372	98	2.82
gnl|CMER|CMV225C_374-492_1FX0:A:373-501	25	5.16
gnl|CMER|CMV225C_11-95_1FX0:A:25-96	27	2.67
gnl|CMER|CMV196C_76-354_1FX0:B:98-377	103	2.72
gnl|CMER|CMV196C_352-466_1FX0:B:378-485	29	3.72
gnl|CMER|CMV196C_2-74_1FX0:B:19-97	27	2.93
gnl|CMER|CMV224C_2-92_1ABV:A:	22	4.77
gnl|CMER|CMV195C_1-79_1AQT:A:2-86	24	3.54
gnl|CMER|CMV221C_4-79_1C99:A:	7	11.29
gnl|CMER|CMV222C_42-132_1AV1:D:	20	10.00
gnl|CMER|CMV015C_21-286_1LV7:A:	87	2.94
gnl|CMER|CMV086C_6-133,403-518_1WE3:A:3-138,A:409-527	57	4.49
gnl|CMER|CMV086C_184-373_1SJP:A:189-372	60	3.07
gnl|CMER|CMV086C_136-202_1WE3:A:139-189,A:374-408	21	4.14
gnl|CMER|CMV208C_6-143_1MZ4:A:	46	2.85
gnl|CMER|CMV096C_5-215_1Q90:B:	41	5.17
gnl|CMER|CMV209C_4-104_1GDV:A:	26	3.27
gnl|CMER|CMV155C_33-190,247-266_1HCZ:A:1-167,A:231-250	77	2.44
gnl|CMER|CMV155C_263-300_1VF5:C:250-286	8	4.62
gnl|CMER|CMV155C_195-247_1E2W:A:169-232	30	2.13
gnl|CMER|CMV163C_186-377_1DKG:D:186-383	44	4.50
gnl|CMER|CMV163C_2-183_1DKG:D:3-185	67	2.73
gnl|CMER|CMV163C_379-535_1CKR:A:	51	3.12
gnl|CMER|CMV219C_53-197_1TFE:A:	35	4.06
gnl|CMER|CMV219C_3-51_1EFU:B:1-54	9	6.00
gnl|CMER|CMV191C_6-230_1EXM:A:3-212	67	3.13
gnl|CMER|CMV191C_309-409_1EFC:A:297-393	31	3.13
gnl|CMER|CMV191C_216-312_1EXM:A:213-312	39	2.56
gnl|CMER|CMV129C_152-398_1LV7:A:	87	2.94
gnl|CMER|CMV129C_403-595_2CE7:A:411-603	34	5.68
gnl|CMER|CMV138C_3-200_1KA9:H:	70	2.79
gnl|CMER|CMV021C_89-174_1TIG:A:	20	4.40
gnl|CMER|CMV021C_12-85_1TIF:A:	23	3.30
gnl|CMER|CMV025C_79-184,214-369_1XZP:A:212-371	49	3.27
gnl|CMER|CMV154C_6-204_1NI4:B:0-191	64	2.98
gnl|CMER|CMV154C_188-324_1QS0:B:206-339	45	2.98
gnl|CMER|CMV097C_8-153_2E74:B:1-160	45	3.56
gnl|CMER|CMV139C_1-30_1Q90:G:	3	10.00
gnl|CMER|CMV148C_1-31_1VF5:H:	4	6.75
gnl|CMER|CMV135C_27-691_1JB0:A:	199	3.73
gnl|CMER|CMV135C_681-744_1JB0:A:	199	3.73
gnl|CMER|CMV136C_543-606_5ZGB:B:1-732	217	3.37
gnl|CMER|CMV059C_3-71_1JB0:C:	29	2.76
gnl|CMER|CMV202C_2-37_1JB0:J:	9	4.56
gnl|CMER|CMV236C_4-139_1JB0:L:	38	3.97
gnl|CMER|CMV047C_12-343_2AXT:A:10-344	100	3.35
gnl|CMER|CMV081C_12-350_2AXT:D:13-352	91	3.74
gnl|CMER|CMV231C_4-80_2AXT:E:3-84	22	3.73
gnl|CMER|CMV230C_7-40_2AXT:F:11-45	6	5.83
gnl|CMER|CMV127C_3-62_2AXT:H:2-65	16	4.00
gnl|CMER|CMV240C_1-35_2AXT:I:1-35	8	4.38
gnl|CMER|CMV228C_6-39_2AXT:J:7-40	7	4.86
gnl|CMER|CMV140C_7-43_2AXT:K:10-46	8	4.62
gnl|CMER|CMV229C_3-38_2AXT:L:1-37	7	5.29
gnl|CMER|CMV125C_1-29_2AXT:T:1-30	5	6.00
gnl|CMER|CMV141C_6-62_5XNL:Z:	9	6.89
gnl|CMER|CMV044C_95-302_1AL3:A:	74	3.20
gnl|CMER|CMV044C_4-115_1IXC:A:1-89	17	5.24
gnl|CMER|CMV013C_154-480_1BWV:A:150-478	105	3.12
gnl|CMER|CMV013C_12-153_1BWV:A:7-149	48	3.00
gnl|CMER|CMV014C_1-138_1BWV:S:	44	3.14
gnl|CMER|CMV102C_67-137_1MMS:A:71-140	20	3.50
gnl|CMER|CMV104C_4-58_1DD3:A:1-57	10	5.70
gnl|CMER|CMV174C_1-119_2J01:O:1-122	51	2.39
gnl|CMER|CMV171C_1-137_2ZJR:J:6-141	51	2.67
gnl|CMER|CMV179C_15-107_1OVY:A:	32	3.03
gnl|CMER|CMV103C_14-220_1AD2:A:	83	2.70
gnl|CMER|CMV151C_2-108_2GYC:O:2-116	36	3.19
gnl|CMER|CMV034C_6-102_2J01:V:1-101	30	3.37
gnl|CMER|CMV169C_2-94_2ZJR:P:8-134	32	3.97
gnl|CMER|CMV175C_4-74_2ZJR:R:4-113	42	2.62
gnl|CMER|CMV011C_1-61_2QAM:Z:2-78	26	2.96
gnl|CMER|CMV167C_97-235_2ZJR:A:128-272	64	2.27
gnl|CMER|CMV167C_2-95_2J01:D:2-126	53	2.36
gnl|CMER|CMV188C_1-66_2J01:4:1-50	21	2.38
gnl|CMER|CMV214C_3-62_2J01:6:9-53	11	4.09
gnl|CMER|CMV182C_1-37_2I2T:4:1-38	22	1.73
gnl|CMER|CMV176C_5-176_1MJI:A:	61	2.95
gnl|CMER|CMV185C_9-56,177-230_1I6V:A:6-49,A:173-229	41	2.49
gnl|CMER|CMV185C_58-176_1IW7:A:50-172	52	2.37
gnl|CMER|CMV185C_247-305_1Z3E:B:245-311	25	2.68
gnl|CMER|CMV216C_2-549,593-1020_1I6V:C:	437	2.55
gnl|CMER|CMV217C_3-1037,1414-1583,1615-1673_1I6V:D:	378	3.26
gnl|CMER|CMV184C_10-121_2QAL:K:12-128	33	3.55
gnl|CMER|CMV189C_2-121_1FJG:L:	46	2.72
gnl|CMER|CMV183C_1-120_1FJG:M:	40	3.12
gnl|CMER|CMV137C_2-100_2QAL:N:1-100	33	3.03
gnl|CMER|CMV084C_1-72_1FJG:P:	31	2.68
gnl|CMER|CMV173C_2-70_1FJG:Q:	21	4.95
gnl|CMER|CMV168C_2-83_1FJG:S:	32	2.62
gnl|CMER|CMV218C_4-219_2GY9:B:8-225	63	3.46
gnl|CMER|CMV170C_107-204_2QAL:C:106-206	33	3.06
gnl|CMER|CMV170C_2-105_1FJG:C:2-106	36	2.92
gnl|CMER|CMV180C_7-76_1PKP:A:4-77	25	2.96
gnl|CMER|CMV180C_80-147_1PKP:A:78-148	25	2.84
gnl|CMER|CMV079C_11-98_1VMB:A:	23	4.65
gnl|CMER|CMV190C_8-148_1RSS:A:	31	4.68
gnl|CMER|CMV177C_1-117_1S03:G:	47	2.68
gnl|CMER|CMV071C_3-207,328-375_1M6N:A:1-226,A:349-395	68	4.03
gnl|CMER|CMV071C_378-598_1NKT:A:397-615	64	3.42
gnl|CMER|CMV071C_603-773_1NKT:A:616-835	31	7.10
gnl|CMER|CMV071C_206-328_1M6N:A:227-348	42	2.90
gnl|CMER|CMV077C_2-242_1WV2:A:	76	3.20
gnl|CMER|CMV012C_1-102_1DBY:A:	30	3.53
gnl|CMER|CMV004C_27-215_1NI5:A:0-226	59	3.83
gnl|CMER|CMV006C_2-237_1RD5:A:	87	3.00
gnl|CMER|CMV197C_29-154_1W3B:A:	90	4.31
gnl|CMER|CMR185C_441-773_2OVR:B:2365-2706	116	2.95
gnl|CMER|CMM158C_92-367_1IYN:A:	91	3.02
gnl|CMER|CMM045C_371-460_1ICC:A:	35	2.49
gnl|CMER|CMQ087C_51-246,279-362_1E79:G:	49	5.55
gnl|CMER|CMD104C_63-401_1W1Z:A:	101	3.16
gnl|CMER|CMJ305C_83-476_1PHP:A:	145	2.72
gnl|CMER|CMI290C_78-314_2AXT:O:30-271	85	2.85
gnl|CMER|CMS195C_189-488_1PGP:A:177-473	66	4.50
gnl|CMER|CMS195C_15-188_1PGP:A:1-176	63	2.79
gnl|CMER|CMK046C_220-460_1DQW:A:	86	3.10
gnl|CMER|CMK046C_4-194_1ORO:A:	60	3.55
gnl|CMER|CMS502C_72-291_1EFC:A:8-204	56	3.52
gnl|CMER|CMS502C_371-463_1EXM:A:313-405	29	3.21
gnl|CMER|CMS502C_270-367_1EXM:A:213-312	39	2.56
gnl|CMER|CMT493C_99-313_1OFU:A:11-208	52	3.81
gnl|CMER|CMT493C_309-339,366-446_1RQ2:A:206-312	31	3.45
gnl|CMER|CMN262C_99-427_2AKA:B:6-304	101	2.96
gnl|CMER|CMP123C_93-379_1FX0:A:97-372	98	2.82
gnl|CMER|CMS342C_190-449_1SKY:E:83-356	102	2.69
gnl|CMER|CMS342C_460-541_1FX0:B:378-485	29	3.72
gnl|CMER|CMS342C_7-75_1SKY:B:21-95	25	3.00
gnl|CMER|CMQ172C_41-290_1HTI:A:	83	2.99
