PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
ENSGALP00000022159_12-262_2D5R:A:11-262	1.00	5.00	3.00	10.00	0.00	2.08	1.80	1.83	0.00	252.00
ENSGALP00000015988_149-377_1ESV:A:147-375	0.00	3.78	3.29	8.10	0.00	1.70	1.25	2.29	0.00	229.00
ENSGALP00000015988_6-155_1ESV:A:6-146	0.00	4.00	3.00	11.33	0.00	2.67	1.30	2.38	0.00	141.00
ENSGALP00000041526_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
ENSGALP00000041526_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
ENSGALP00000009582_85-114_1RUT:X:83-113	0.00	3.00	3.00	0.00	0.00	1.33	1.00	2.33	0.00	31.00
ENSGALP00000009582_49-81_1M3V:A:33-71	0.00	2.67	0.00	4.50	0.00	2.40	1.67	2.50	0.00	39.00
ENSGALP00000009582_19-49_1J2O:A:1-30	1.00	3.00	0.00	0.00	0.00	1.14	2.25	3.00	0.00	29.00
ENSGALP00000010363_5-156_1U9A:A:	1.50	7.00	3.00	13.50	0.00	1.70	1.11	2.55	0.00	160.00
ENSGALP00000009821_66-142_1A32:A:	0.00	0.00	0.00	16.25	0.00	2.00	1.00	1.33	0.00	85.00
ENSGALP00000025184_18-112_1LM8:C:	0.00	4.33	3.00	9.50	0.00	3.11	1.00	1.67	0.00	96.00
ENSGALP00000026659_2-139_1GW5:S:	0.00	5.29	0.00	13.00	0.00	1.73	1.00	1.67	0.00	142.00
ENSGALP00000014636_9-79_1JTH:C:	0.00	0.00	0.00	67.00	0.00	7.00	0.00	0.00	0.00	81.00
ENSGALP00000014636_130-203_1SFC:H:	0.00	0.00	0.00	61.00	0.00	7.33	1.50	0.00	0.00	86.00
ENSGALP00000040484_6-69_1NY4:A:	0.00	6.25	0.00	0.00	0.00	2.90	2.14	2.00	0.00	71.00
ENSGALP00000015657_149-374_2BTF:A:147-375	0.00	3.78	3.40	8.30	0.00	1.68	1.15	2.19	0.00	229.00
ENSGALP00000015657_7-146_1C0G:A:1-146	0.00	4.00	3.00	9.75	0.00	2.62	1.40	1.62	0.00	146.00
ENSGALP00000016120_2-165_1C1Y:A:	1.00	7.00	3.00	9.50	0.00	1.67	1.42	2.00	0.00	167.00
ENSGALP00000002234_8-182_1Z0F:A:8-173	0.00	7.17	3.00	9.33	0.00	1.42	1.22	1.85	0.00	167.00
ENSGALP00000025130_20-141_1FJG:L:	1.00	4.50	3.00	7.00	0.00	2.75	1.38	2.33	0.00	125.00
ENSGALP00000014072_1-149_1JAS:A:	1.50	5.75	3.50	12.25	0.00	1.88	1.54	2.25	0.00	152.00
ENSGALP00000038957_3-136_2JOY:A:1-96	0.00	4.80	0.00	7.50	0.00	2.00	2.12	2.50	0.00	96.00
ENSGALP00000021367_5-65_1RHZ:B:	0.00	0.00	0.00	27.00	0.00	2.33	1.00	1.50	0.00	65.00
ENSGALP00000007476_9-221_2E50:A:1-222	1.00	6.00	3.50	13.29	0.00	4.60	1.33	2.14	0.00	222.00
ENSGALP00000033525_1-147_1Z2U:A:1-147	1.33	6.75	3.00	13.00	0.00	1.69	1.38	2.56	0.00	147.00
ENSGALP00000020720_8-171_1G8I:A:	1.00	3.00	3.00	11.30	0.00	1.71	1.78	1.71	0.00	187.00
ENSGALP00000010633_6-82_1D3B:A:	0.00	7.80	3.00	7.00	0.00	1.38	1.00	2.25	0.00	72.00
ENSGALP00000010447_103-161_1FQV:B:85-160	0.00	0.00	0.00	9.80	0.00	1.86	2.00	2.00	0.00	76.00
ENSGALP00000010447_4-69_3WSO:B:1-69	0.00	4.00	3.00	9.50	0.00	3.29	1.67	1.75	0.00	69.00
ENSGALP00000003538_9-139_1DT9:A:5-142	0.00	7.00	3.00	13.50	0.00	1.81	2.20	1.86	0.00	138.00
ENSGALP00000003538_277-420_1DT9:A:277-422	1.00	4.00	0.00	10.50	0.00	4.75	1.70	2.75	0.00	146.00
ENSGALP00000003538_145-250_1DT9:A:143-276	0.00	4.80	0.00	7.25	0.00	2.00	1.77	4.00	0.00	134.00
ENSGALP00000010239_149-377_1ESV:A:147-375	0.00	3.78	3.29	8.10	0.00	1.70	1.25	2.29	0.00	229.00
ENSGALP00000010239_6-155_1ESV:A:6-146	0.00	4.00	3.00	11.33	0.00	2.67	1.30	2.38	0.00	141.00
ENSGALP00000000696_19-334_1GOT:B:	1.00	5.82	0.00	13.00	0.00	1.64	1.59	2.39	0.00	339.00
ENSGALP00000007287_24-149_2QAL:K:12-128	0.00	6.60	3.00	9.00	0.00	2.82	1.43	2.17	0.00	117.00
ENSGALP00000000734_9-112_1X4A:A:9-103	0.00	3.83	3.00	9.50	0.00	3.00	2.00	2.00	0.00	96.00
ENSGALP00000019539_20-105_1LDJ:B:	0.00	3.33	0.00	5.50	0.00	2.00	1.88	4.00	0.00	88.00
ENSGALP00000042773_32-72_1KIL:E:	0.00	0.00	0.00	36.00	0.00	5.00	0.00	2.00	0.00	48.00
ENSGALP00000012928_8-93_1WZ0:A:8-100	1.00	4.75	0.00	12.00	0.00	2.21	1.62	2.50	0.00	91.00
ENSGALP00000012940_5-151_1YH6:A:23-174	1.33	6.25	0.00	8.71	0.00	1.62	1.62	2.56	0.00	152.00
ENSGALP00000003584_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
ENSGALP00000031320_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
ENSGALP00000040613_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
ENSGALP00000040771_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
ENSGALP00000042680_149-374_2BTF:A:147-375	0.00	3.78	3.40	8.30	0.00	1.68	1.15	2.19	0.00	229.00
ENSGALP00000042680_7-146_1C0G:A:1-146	0.00	4.00	3.00	9.75	0.00	2.62	1.40	1.62	0.00	146.00
ENSGALP00000013891_1-150_2F3I:A:	0.00	6.11	0.00	4.00	0.00	2.25	2.07	2.18	0.00	150.00
ENSGALP00000040958_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
ENSGALP00000042290_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
ENSGALP00000000189_14-88_4F7U:E:	0.00	8.40	3.00	11.00	0.00	1.25	1.67	2.33	0.00	78.00
ENSGALP00000038376_14-180_1HUR:A:	1.00	6.29	3.00	8.17	0.00	1.58	1.69	1.93	0.00	180.00
ENSGALP00000018042_151-376_1ESV:A:147-375	0.00	3.78	3.29	8.10	0.00	1.70	1.25	2.29	0.00	229.00
ENSGALP00000018042_9-148_1ESV:A:6-146	0.00	4.00	3.00	11.33	0.00	2.67	1.30	2.38	0.00	141.00
ENSGALP00000026514_1-186_1BJF:A:	0.00	2.50	3.00	10.30	0.00	1.56	1.83	2.00	0.00	181.00
ENSGALP00000026567_18-98_2F9D:A:12-125	0.00	4.33	0.00	9.75	0.00	1.92	1.14	2.57	0.00	114.00
ENSGALP00000031272_24-302_1S70:A:	1.20	3.43	3.00	9.40	0.00	1.92	1.74	2.05	0.00	309.00
ENSGALP00000014233_9-156_1AUI:B:	0.00	2.00	3.33	9.44	0.00	1.82	2.00	1.89	0.00	165.00
ENSGALP00000038735_228-304_1XD3:B:	1.00	4.80	3.00	12.00	0.00	1.70	1.00	2.50	0.00	75.00
ENSGALP00000038735_152-228_1XD3:B:	1.00	4.80	3.00	12.00	0.00	1.70	1.00	2.50	0.00	75.00
ENSGALP00000038735_76-152_1XD3:B:	1.00	4.80	3.00	12.00	0.00	1.70	1.00	2.50	0.00	75.00
ENSGALP00000038735_1-76_1XD3:B:	1.00	4.80	3.00	12.00	0.00	1.70	1.00	2.50	0.00	75.00
ENSGALP00000006578_1-231_1QJB:A:	0.00	0.00	3.00	18.78	0.00	2.55	1.00	2.08	0.00	232.00
ENSGALP00000043305_1-231_1QJB:A:	0.00	0.00	3.00	18.78	0.00	2.55	1.00	2.08	0.00	232.00
ENSGALP00000036122_1-231_1QJB:A:	0.00	0.00	3.00	18.78	0.00	2.55	1.00	2.08	0.00	232.00
ENSGALP00000028746_1-231_1QJB:A:	0.00	0.00	3.00	18.78	0.00	2.55	1.00	2.08	0.00	232.00
ENSGALP00000005776_1-284_2BDU:A:7-297	1.00	4.55	3.40	11.00	0.00	1.54	1.43	1.94	0.00	291.00
ENSGALP00000000223_8-319_1F88:A:	0.00	3.00	3.50	15.62	0.00	3.15	1.58	2.06	0.00	348.00
ENSGALP00000027178_40-320_1AUO:A:	0.00	4.55	3.00	11.67	0.00	1.92	1.89	2.08	0.00	218.00
ENSGALP00000011390_4-289_2ELB:A:6-273	0.00	0.00	3.00	35.17	0.00	4.00	2.00	2.33	0.00	268.00
ENSGALP00000011390_400-516_1DCQ:A:247-368	1.00	3.00	4.00	9.00	0.00	1.73	1.25	2.89	0.00	122.00
ENSGALP00000011390_260-365_1EAZ:A:	0.00	5.57	3.00	10.50	0.00	1.38	1.75	1.80	0.00	104.00
ENSGALP00000011390_611-730_1N11:A:	0.00	0.00	3.00	8.21	0.00	2.54	1.60	1.77	0.00	408.00
ENSGALP00000009302_238-398,552-617_1OED:A:	0.00	0.00	3.00	28.00	0.00	22.00	1.00	1.00	0.00	227.00
ENSGALP00000009302_31-237_1I9B:A:	1.00	8.25	3.00	11.00	0.00	2.60	1.55	2.55	0.00	216.00
ENSGALP00000023037_240-481_1OED:A:	0.00	0.00	3.00	28.00	0.00	22.00	1.00	1.00	0.00	227.00
ENSGALP00000023037_34-238_1I9B:A:	1.00	8.25	3.00	11.00	0.00	2.60	1.55	2.55	0.00	216.00
ENSGALP00000020999_3-221,367-460_1F88:A:	0.00	3.00	3.50	15.62	0.00	3.15	1.58	2.06	0.00	348.00
ENSGALP00000039176_148-376_2BTF:A:147-375	0.00	3.78	3.40	8.30	0.00	1.68	1.15	2.19	0.00	229.00
ENSGALP00000039176_5-153_1C0G:A:1-146	0.00	4.00	3.00	9.75	0.00	2.62	1.40	1.62	0.00	146.00
ENSGALP00000036932_7-98_2ACY:A:	0.00	8.20	0.00	12.00	0.00	1.08	1.83	1.80	0.00	98.00
ENSGALP00000018758_491-573_1X5A:A:8-101	0.00	5.86	0.00	0.00	0.00	2.92	2.00	2.00	0.00	94.00
ENSGALP00000039673_4-329_1F88:A:	0.00	3.00	3.50	15.62	0.00	3.15	1.58	2.06	0.00	348.00
ENSGALP00000023838_35-107_1X2N:A:6-67	0.00	0.00	0.00	13.67	0.00	3.00	1.50	2.00	0.00	60.00
ENSGALP00000005721_60-227_1AYZ:A:	1.50	6.75	3.00	13.75	0.00	1.93	1.43	2.36	0.00	153.00
ENSGALP00000025010_3-364_1QO5:A:	1.00	5.00	3.40	12.50	0.00	2.03	1.44	1.95	0.00	360.00
ENSGALP00000036836_3-364_1QO5:A:	1.00	5.00	3.40	12.50	0.00	2.03	1.44	1.95	0.00	360.00
ENSGALP00000002398_7-152_1A9N:A:	0.00	2.70	5.67	6.50	0.00	2.07	1.31	1.90	0.00	162.00
ENSGALP00000040224_26-138_1RNF:A:	1.00	9.50	4.00	9.00	0.00	1.50	1.70	2.50	0.00	119.00
ENSGALP00000005971_24-339_1W7B:A:	0.00	0.00	0.00	11.89	0.00	1.96	2.00	2.25	0.00	319.00
ENSGALP00000013724_157-432_1I31:A:	1.00	9.00	3.00	0.00	0.00	3.04	1.88	2.00	0.00	277.00
ENSGALP00000013724_1-140_1GW5:M:1-141	1.00	6.00	3.00	11.50	0.00	2.38	1.62	2.14	0.00	140.00
ENSGALP00000039143_11-461_1I0A:A:	0.00	3.12	4.62	15.59	0.00	1.68	1.35	1.95	0.00	453.00
ENSGALP00000000076_7-76_1IAL:A:	0.00	0.00	3.25	10.75	0.00	1.78	1.55	1.95	0.00	453.00
ENSGALP00000000076_140-199_1FVQ:A:	1.00	5.50	0.00	11.50	0.00	1.38	1.50	2.00	0.00	71.00
ENSGALP00000019832_162-414_1K8K:A:161-418	0.00	4.22	3.29	10.20	0.00	2.38	1.18	1.92	0.00	258.00
ENSGALP00000019832_5-155_1K8K:A:3-160	0.00	3.90	3.25	11.33	0.00	2.41	1.17	1.89	0.00	158.00
ENSGALP00000005624_183-282,443-577_1ESV:A:147-375	0.00	3.78	3.29	8.10	0.00	1.70	1.25	2.29	0.00	229.00
ENSGALP00000005624_33-187_1YAG:A:4-146	0.00	4.00	3.00	9.75	0.00	1.62	1.45	1.78	0.00	143.00
ENSGALP00000008779_1-287_2BSZ:A:6-275	1.00	5.31	0.00	9.44	0.00	1.91	1.61	1.73	0.00	270.00
ENSGALP00000040088_38-107_1MDY:A:	0.00	0.00	0.00	22.50	0.00	2.00	1.25	2.00	0.00	68.00
ENSGALP00000034617_64-223_1C17:M:	0.00	0.00	0.00	29.75	0.00	8.40	1.50	2.00	0.00	171.00
ENSGALP00000003846_27-147_2CAM:A:	0.00	7.50	6.00	0.00	0.00	2.20	2.17	3.00	0.00	124.00
ENSGALP00000037012_180-478_1B6C:B:	1.00	5.30	3.20	11.40	0.00	2.08	1.33	2.11	0.00	326.00
ENSGALP00000037012_26-120_1BTE:A:	0.00	5.86	3.00	4.00	0.00	2.70	1.56	1.75	0.00	96.00
ENSGALP00000010012_1-202_1BXL:A:	0.00	0.00	3.00	18.25	0.00	2.42	1.64	1.91	0.00	220.00
ENSGALP00000010059_1-202_1BXL:A:	0.00	0.00	3.00	18.25	0.00	2.42	1.64	1.91	0.00	220.00
ENSGALP00000039454_24-117_1BMG:A:	1.00	5.44	0.00	0.00	0.00	1.93	1.80	2.20	0.00	98.00
ENSGALP00000009155_31-125_1EXB:E:	0.00	4.50	3.00	7.75	0.00	2.29	1.00	2.25	0.00	91.00
ENSGALP00000008882_10-118_1FYX:A:	0.00	4.60	3.00	7.38	0.00	1.71	1.70	1.71	0.00	149.00
ENSGALP00000020984_6-217_1G5M:A:	0.00	0.00	4.00	14.00	0.00	2.29	1.80	1.71	0.00	164.00
ENSGALP00000019837_126-243_1BND:A:	1.00	7.11	3.00	4.00	0.00	1.15	1.67	2.20	0.00	109.00
ENSGALP00000006762_6-453_2CB5:A:	1.00	4.93	3.20	11.44	0.00	1.69	1.32	2.13	0.00	453.00
ENSGALP00000011282_415-536_1PIC:A:	0.00	4.40	0.00	9.00	0.00	1.75	1.60	2.38	0.00	111.00
ENSGALP00000008620_347-448_1P97:A:	0.00	9.20	0.00	5.75	0.00	1.33	1.33	2.29	0.00	113.00
ENSGALP00000008620_79-144_1AN4:A:	0.00	0.00	0.00	14.50	0.00	4.25	1.67	4.33	0.00	64.00
ENSGALP00000008620_163-217,245-264_1LL8:A:	0.00	4.67	4.00	5.00	0.00	1.60	2.75	2.78	0.00	113.00
ENSGALP00000010513_108-175_1FTT:A:	0.00	0.00	0.00	13.67	0.00	1.71	2.00	1.50	0.00	68.00
ENSGALP00000018378_11-126_3E9V:A:9-128	0.00	5.00	0.00	11.40	0.00	1.80	1.29	2.29	0.00	120.00
ENSGALP00000032837_254-407_1PAQ:A:	0.00	0.00	4.50	14.75	0.00	1.67	1.75	1.50	0.00	161.00
ENSGALP00000024371_260-399_1NCJ:A:102-215	1.00	6.29	3.00	0.00	0.00	1.80	1.31	2.40	0.00	114.00
ENSGALP00000024371_491-618_1L3W:A:327-433	1.00	3.89	0.00	0.00	0.00	2.50	2.14	2.50	0.00	107.00
ENSGALP00000024371_38-183_1OP4:A:	1.00	5.57	0.00	0.00	0.00	3.30	1.57	3.50	0.00	136.00
ENSGALP00000024371_381-498_1L3W:A:214-326	1.00	4.88	0.00	0.00	0.00	2.44	1.50	2.25	0.00	113.00
ENSGALP00000024371_170-264_1NCI:A:	1.00	5.43	4.00	0.00	0.00	1.93	1.30	2.29	0.00	102.00
ENSGALP00000024371_605-709_1L3W:A:434-540	1.00	3.50	0.00	0.00	0.00	2.09	2.08	3.00	0.00	107.00
ENSGALP00000030382_152-260_1NCJ:A:102-215	1.00	6.29	3.00	0.00	0.00	1.80	1.31	2.40	0.00	114.00
ENSGALP00000030382_372-490_1L3W:A:327-433	1.00	3.89	0.00	0.00	0.00	2.50	2.14	2.50	0.00	107.00
ENSGALP00000030382_261-377_1L3W:A:214-326	1.00	4.88	0.00	0.00	0.00	2.44	1.50	2.25	0.00	113.00
ENSGALP00000030382_481-589_1NCJ:A:102-215	1.00	6.29	3.00	0.00	0.00	1.80	1.31	2.40	0.00	114.00
ENSGALP00000030382_77-159_1NCI:A:	1.00	5.43	4.00	0.00	0.00	1.93	1.30	2.29	0.00	102.00
ENSGALP00000025525_2-259_1LUG:A:	1.00	5.13	3.33	5.67	0.00	1.94	1.58	2.07	0.00	259.00
ENSGALP00000026395_15-173_1RFJ:A:	1.00	2.00	0.00	13.00	0.00	1.56	2.40	2.00	0.00	148.00
ENSGALP00000026395_149-227_1BJF:A:	0.00	2.50	3.00	10.30	0.00	1.56	1.83	2.00	0.00	181.00
ENSGALP00000016538_7-354_1KFU:L:2-355	1.00	4.85	3.50	8.00	0.00	1.88	2.15	2.27	0.00	354.00
ENSGALP00000016538_359-516_1QXP:A:356-514	1.00	6.50	3.00	4.00	0.00	2.95	1.73	2.75	0.00	159.00
ENSGALP00000016538_527-703_1QXP:A:515-702	1.00	2.67	3.00	12.17	0.00	4.56	1.80	2.20	0.00	188.00
ENSGALP00000006415_3-246_1IZN:B:	0.00	8.70	3.00	14.29	0.00	2.00	1.80	2.38	0.00	270.00
ENSGALP00000010662_7-396_1LYA:A:,B:	1.00	6.12	3.60	6.50	0.00	1.47	1.63	2.30	1.00	338.00
ENSGALP00000002349_9-274_1IZN:A:	1.00	8.10	3.00	14.43	0.00	2.00	1.92	1.83	0.00	275.00
ENSGALP00000015277_8-281_1IZN:A:	1.00	8.10	3.00	14.43	0.00	2.00	1.92	1.83	0.00	275.00
ENSGALP00000001402_26-88_1B50:A:	0.00	3.00	0.00	6.00	0.00	2.46	1.43	3.00	0.00	69.00
ENSGALP00000006605_130-265_2CCH:B:181-308	0.00	0.00	4.00	14.33	0.00	2.33	2.33	2.00	0.00	128.00
ENSGALP00000006605_268-387_1JSU:B:310-432	0.00	0.00	3.00	10.71	0.00	2.00	1.29	2.00	0.00	123.00
ENSGALP00000036437_7-152_1JKW:A:11-161	0.00	0.00	3.00	16.00	0.00	1.92	1.67	2.29	0.00	151.00
ENSGALP00000036437_154-250_2I53:A:158-267	1.00	0.00	3.67	14.00	0.00	2.00	2.00	1.83	0.00	110.00
ENSGALP00000027885_19-151_1G3N:C:16-147	0.00	0.00	3.50	12.43	0.00	2.10	1.67	2.40	0.00	132.00
ENSGALP00000027885_153-254_1BU2:A:149-250	0.00	0.00	3.25	10.80	0.00	1.50	1.33	1.88	0.00	102.00
ENSGALP00000014099_21-137_1AH1:A:	0.00	5.67	0.00	0.00	0.00	2.40	1.89	2.17	0.00	129.00
ENSGALP00000034254_3-173_2NGR:A:	0.00	7.50	4.00	9.50	0.00	1.95	1.18	2.08	0.00	191.00
