PDB_ID	Total_Structures	Average_Length
jgi|Thaps3_bd|1287|e_gw1.26x41.22.1_97-371_1FX0:A:97-372	98	2.82
jgi|Thaps3_bd|1287|e_gw1.26x41.22.1_373-500_1FX0:A:373-501	25	5.16
jgi|Thaps3_bd|1287|e_gw1.26x41.22.1_11-95_1FX0:A:25-96	27	2.67
jgi|Thaps3_bd|1563|estExt_Genewise1.C_bd_26x410088_82-360_1FX0:B:98-377	103	2.72
jgi|Thaps3_bd|1563|estExt_Genewise1.C_bd_26x410088_358-473_1FX0:B:378-485	29	3.72
jgi|Thaps3_bd|1563|estExt_Genewise1.C_bd_26x410088_4-80_1FX0:B:19-97	27	2.93
jgi|Thaps3_bd|1023|fgenesh1_pg.C_bd_26x41000068_8-108_1ABV:A:	22	4.77
jgi|Thaps3_bd|1290|e_gw1.26x41.150.1_3-79_1C99:A:	7	11.29
jgi|Thaps3_bd|1039|fgenesh1_pg.C_bd_26x41000084_44-156_1F1C:A:	49	2.63
jgi|Thaps3_bd|467|fgenesh1_kg.C_bd_26x41000004_5-215_1Q90:B:	41	5.17
jgi|Thaps3_bd|573|fgenesh1_pm.C_bd_26x41000017_31-197,259-279_1E2W:A:1-168,A:233-251	78	2.41
jgi|Thaps3_bd|573|fgenesh1_pm.C_bd_26x41000017_199-260_1HCZ:A:168-230	29	2.17
jgi|Thaps3_bd|573|fgenesh1_pm.C_bd_26x41000017_278-314_1Q90:A:248-292	101	2.45
jgi|Thaps3_bd|466|fgenesh1_kg.C_bd_26x41000003_6-154_1Q90:D:	43	3.63
jgi|Thaps3_bd|1611|estExt_Genewise1.C_bd_26x410192_3-730_1JB0:B:	206	3.59
jgi|Thaps3_bd|1048|fgenesh1_pg.C_bd_27x41000004_6-61_1JB0:C:	29	2.76
jgi|Thaps3_bd|1342|e_gw1.26x41.123.1_4-143_1JB0:L:	38	3.97
jgi|Thaps3_bd|1387|e_gw1.26x41.184.1_4-83_2AXT:E:3-84	22	3.73
jgi|Thaps3_bd|1313|e_gw1.26x41.136.1_3-63_2AXT:H:2-65	16	4.00
jgi|Thaps3_bd|2088|estExt_Genewise1Plus.C_bd_26x410175_154-482_1BWV:A:150-478	105	3.12
jgi|Thaps3_bd|2088|estExt_Genewise1Plus.C_bd_26x410175_12-153_1BWV:A:7-149	48	3.00
jgi|Thaps3_bd|1396|e_gw1.26x41.105.1_8-120_2GYA:N:1-114	38	3.00
jgi|Thaps3_bd|1911|estExt_fgenesh1_pg.C_bd_26x410049_7-227_1AD2:A:	83	2.70
jgi|Thaps3_bd|1243|e_gw1.26x41.174.1_3-64_2J01:6:9-53	11	4.09
jgi|Thaps3_bd|2050|estExt_Genewise1Plus.C_bd_26x410107_7-341,1182-1431_1IW7:D:	485	3.10
jgi|Thaps3_bd|977|fgenesh1_pg.C_bd_26x41000022_2-100_2QAL:N:1-100	33	3.03
jgi|Thaps3_bd|1251|e_gw1.26x41.115.1_15-69_2QAL:R:19-73	20	2.75
jgi|Thaps3_bd|1676|estExt_fgenesh1_kg.C_bd_26x410018_6-226_2GY9:B:8-225	63	3.46
jgi|Thaps3_bd|1447|e_gw1.27x41.13.1_6-98_1CQM:A:	20	4.90
jgi|Thaps3_bd|1620|estExt_Genewise1.C_bd_27x410013_6-253_1TYG:A:	87	2.78
jgi|Thaps3_bd|1435|e_gw1.26x41.85.1_20-166_1W3B:A:	90	4.31
jgi|Thaps3_bd|1258|e_gw1.26x41.163.1_3-98_4FXC:A:	36	2.72
jgi|Thaps3_bd|1360|e_gw1.26x41.32.1_40-482_1VH4:A:	116	3.56
jgi|Thaps3_bd|1319|e_gw1.26x41.76.1_6-237_1G6H:A:	81	3.14
jgi|Thaps3_bd|1378|e_gw1.26x41.70.1_88-237_1C17:M:	15	11.40
jgi|Thaps3_bd|2073|estExt_Genewise1Plus.C_bd_26x410148_3-486_2AXT:B:2-489	157	3.11
jgi|Thaps3_bd|1013|fgenesh1_pg.C_bd_26x41000058_2-183_1QMV:A:	74	2.66
jgi|Thaps3_bd|2063|estExt_Genewise1Plus.C_bd_26x410123_16-267_1G6O:A:	99	3.26
jgi|Thaps3_bd|1327|e_gw1.26x41.35.1_189-441_1CR1:A:	69	4.01
jgi|Thaps3_bd|1327|e_gw1.26x41.35.1_17-127_1JWE:A:	26	4.38
jgi|Thaps3_bd|980|fgenesh1_pg.C_bd_26x41000025_12-344_1G8P:A:	96	3.47
jgi|Thaps3_bd|1720|estExt_fgenesh1_pm.C_bd_26x410014_180-423_2CE7:A:150-402	74	3.42
jgi|Thaps3_bd|1720|estExt_fgenesh1_pm.C_bd_26x410014_434-633_2CE7:A:411-603	34	5.68
jgi|Thaps3_bd|1545|estExt_Genewise1.C_bd_26x410045_27-471_2AXT:C:27-473	132	3.39
jgi|Thaps3_bd|1426|e_gw1.26x41.137.1_4-55_2AXT:Z:1-62	6	10.33
jgi|Thaps3_bd|1339|e_gw1.26x41.126.1_3-138_1JB0:D:	55	2.51
jgi|Thaps3_bd|1306|e_gw1.26x41.71.1_16-280_1OZ4:A:471-763	86	3.40
jgi|Thaps3_bd|1380|e_gw1.26x41.59.1_4-265_1QYC:A:	98	3.13
