PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
NCU03949T0_30-371_1VRD:A:1-85,A:213-457	5	15	2	11	0	35	20	14	1	330
NCU06023T0_6-171_1UQR:A:	0	5	5	5	0	14	8	9	0	146
NCU03282T0_1-167_1ZVF:A:1-175	3	12	1	3	0	27	11	7	0	175
NCU06024T0_12-333_1I60:A:	2	10	5	10	0	25	13	15	0	278
NCU04230T0_16-531_1DQU:A:	3	13	5	23	0	50	31	25	0	519
NCU09770T0_241-520_2G39:A:224-497	2	17	5	10	0	29	21	17	0	274
NCU09770T0_12-239_2G39:A:3-223	10	9	3	6	0	25	19	14	0	221
NCU06785T0_173-295,340-650_1AJ8:A:	3	5	4	16	0	28	15	16	0	371
NCU06785T0_48-179_1OI7:A:1-121	0	7	0	4	0	13	8	8	0	121
NCU05008T0_54-130_1T8K:A:	2	0	1	4	0	8	0	6	0	77
NCU06836T0_42-661_1RY2:A:	13	28	0	20	0	87	54	43	0	640
NCU04173T0_147-375_1YAG:A:147-375	0	9	6	10	0	25	15	15	0	229
NCU04173T0_4-153_1YAG:A:4-146	0	10	2	4	0	16	11	9	0	143
NCU04173T1_147-375_1YAG:A:147-375	0	9	6	10	0	25	15	15	0	229
NCU04173T1_4-153_1YAG:A:4-146	0	10	2	4	0	16	11	9	0	143
NCU04247T0_149-379_1C0G:A:147-375	0	9	6	10	0	23	12	12	0	229
NCU04247T0_8-156_1YAG:A:4-146	0	10	2	4	0	16	11	9	0	143
NCU06656T0_16-60_1D66:A:8-48	0	0	0	2	0	4	1	2	0	41
NCU01754T0_10-179_1RJW:A:1-137,A:306-339	5	11	3	3	0	24	12	10	1	171
NCU01754T0_147-320_1LLU:A:144-309	0	7	1	8	0	14	10	9	0	166
NCU09477T0_10-299_1OKC:A:	0	0	6	11	0	19	10	9	0	292
NCU08218T0_45-256_1N11:A:	0	0	1	24	0	48	15	35	0	408
NCU07807T0_10-361_1DOS:A:	0	11	3	12	0	36	18	17	0	358
NCU07807T1_10-361_1DOS:A:	0	11	3	12	0	36	18	17	0	358
NCU06779T0_103-543_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
NCU03503T0_12-437_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
NCU01816T0_26-194_1O59:A:0-187	3	12	3	1	0	30	16	8	0	187
NCU01816T0_203-349_1O59:A:194-343	0	12	3	0	0	21	12	5	0	150
NCU03188T0_27-216_1W1O:A:40-245	2	10	2	6	0	23	19	14	0	206
NCU07989T0_1-142_1GW5:S:	0	7	0	5	0	11	6	9	0	142
NCU02027T0_10-234_1FJ2:A:	2	9	5	5	0	26	16	11	0	231
NCU08340T0_17-183_1HUR:A:	2	7	2	6	0	19	13	14	0	180
NCU08340T1_17-183_1HUR:A:	2	7	2	6	0	19	13	14	0	180
NCU02802T0_41-355_1OKC:A:	0	0	6	11	0	19	10	9	0	292
NCU05410T0_58-457_1VEF:A:9-395	3	17	2	15	0	38	24	27	0	387
NCU02333T0_48-354_2AEB:A:5-313	8	8	7	10	0	35	14	14	0	314
NCU05420T0_1-396_1R53:A:	6	14	2	9	0	32	13	18	0	371
NCU02785T0_9-465_2B7O:A:1-462	4	13	2	14	0	45	28	29	0	462
NCU01756T0_188-429_1K8K:A:161-418	0	9	7	10	0	24	11	13	0	258
NCU01756T0_2-44,75-176_1K8K:A:3-160	0	10	4	3	0	17	12	9	0	158
NCU02555T0_191-238,274-468_1C0G:A:147-375	0	9	6	10	0	23	12	12	0	229
NCU02555T0_20-103,140-198_1YAG:A:4-146	0	10	2	4	0	16	11	9	0	143
NCU05587T0_178-281,309-438_1YAG:A:147-375	0	9	6	10	0	25	15	15	0	229
NCU05587T0_19-156_1YAG:A:4-146	0	10	2	4	0	16	11	9	0	143
NCU05598T0_24-280_1NKG:A:1-250	4	20	4	0	0	35	14	17	0	250
NCU05598T0_370-540_1NKG:A:338-508	2	10	4	1	0	22	17	11	0	171
NCU05598T0_282-363_1NKG:A:251-337	2	8	1	0	0	14	4	4	0	87
NCU09436T0_1-155_1ROC:A:	0	10	2	2	0	19	14	6	0	154
NCU10049T0_54-157_1WZ3:A:10-93	4	4	0	2	0	10	6	6	0	84
NCU12096T0_1011-1433_1IIR:A:	0	13	4	14	0	38	21	15	0	401
NCU12096T0_336-480_1X1G:A:8-123	0	7	0	1	0	18	14	3	0	116
NCU02433T0_45-75,166-467_2P82:A:26-359	5	15	3	8	0	30	21	21	0	334
NCU06672T0_358-577,605-652_1JW9:B:	5	8	2	9	0	22	10	18	0	247
NCU01545T0_1-116_1GNU:A:	4	4	0	4	0	15	8	8	0	117
NCU05029T0_441-691_2HYD:A:324-578	2	10	5	9	0	25	21	16	0	255
NCU05029T0_109-422_1PF4:A:10-320	0	0	9	16	0	12	11	14	0	310
NCU00274T0_2547-2681,2714-2872_1E8Y:A:726-1092	0	10	2	12	0	26	15	16	0	367
NCU00274T0_78-191,245-350,450-547,914-1062,1160-1216,1284-1310_1GW5:B:	0	0	4	32	0	42	43	37	0	579
NCU00636T0_4-125_2CLY:B:4-123	0	0	1	6	0	7	4	7	0	120
NCU02250T0_79-146_1C99:A:	0	0	1	2	0	2	1	1	0	79
NCU02514T0_137-419_1E79:A:95-379	8	11	6	9	0	30	20	18	0	285
NCU02514T0_422-549_1E79:A:380-510	0	0	2	6	0	9	4	6	0	131
NCU02514T0_51-135_1MAB:A:10-94	6	5	0	0	0	14	8	9	0	86
NCU05430T0_122-398_1E79:D:82-357	4	12	5	8	0	32	21	15	0	276
NCU05430T0_396-510_1E79:D:358-475	0	0	2	6	0	9	7	4	0	118
NCU05430T0_47-120_1MAB:B:1-81	1	7	0	0	0	12	6	5	0	81
NCU00385T0_35-115_1E79:H:15-100	3	10	1	0	0	12	8	2	0	86
NCU00502T0_112-215_2CLY:A:79-183	0	0	1	2	0	2	0	2	0	105
NCU01606T0_37-142_1ABV:A:	0	0	1	6	0	8	3	4	0	105
NCU04110T0_196-317_1K1G:A:	0	3	1	4	0	10	10	5	0	122
NCU04110T0_311-363_1AAF:A:	0	0	2	0	0	11	7	2	0	55
NCU07267T0_35-172_2I02:A:5-147	1	7	3	3	0	13	3	8	0	143
NCU08699T0_94-318_1WMA:A:2-276	2	8	1	11	0	26	15	13	0	275
NCU08021T0_291-532_1QE3:A:	7	14	7	14	0	50	31	31	0	483
NCU10272T0_36-229,276-441_1PW4:A:	2	0	1	18	0	21	18	22	0	450
NCU06424T0_50-279_1NRK:A:1-243	0	11	5	6	0	22	14	17	0	243
NCU04120T0_2-148_1RFJ:A:	2	2	0	7	0	16	5	7	0	148
NCU03833T0_16-168_1AUI:B:	0	4	3	9	0	17	7	9	0	165
NCU03833T1_16-168_1AUI:B:	0	4	3	9	0	17	7	9	0	165
NCU07471T0_5-279_1IZN:B:	0	10	4	7	0	17	10	8	0	270
NCU07732T0_205-413_1A9X:B:1653-1880	4	10	1	6	0	22	14	15	0	228
NCU07732T0_54-198_1A9X:B:1502-1652	4	7	2	4	0	22	12	6	0	151
NCU07732T1_205-413_1A9X:B:1653-1880	4	10	1	6	0	22	14	15	0	228
NCU07732T1_54-198_1A9X:B:1502-1652	4	7	2	4	0	22	12	6	0	151
NCU02273T0_69-394_1DPJ:A:	4	26	6	5	0	36	14	22	0	329
NCU00355T0_40-564_1CF9:A:27-597	12	14	11	15	0	73	43	37	0	571
NCU03297T0_68-349_2EUT:A:4-294	6	5	4	14	0	33	17	17	0	291
NCU03297T1_68-349_2EUT:A:4-294	6	5	4	14	0	33	17	17	0	291
NCU07779T0_394-584,628-752_1HD7:A:	6	12	5	7	0	32	18	10	0	275
NCU07779T0_242-347_1O6V:A:33-416	1	19	16	2	0	68	27	29	0	381
NCU06994T0_32-104_1A5J:A:1-55	0	0	0	3	0	9	8	2	0	55
NCU00145T0_26-148_1KX5:A:	0	2	0	4	0	17	13	6	0	135
NCU01084T0_1-243_1HYQ:A:	0	8	2	11	0	23	12	9	0	232
NCU02935T0_15-174_1ZD0:A:9-144	1	4	0	6	0	10	6	5	0	138
NCU03611T0_329-586_1OMZ:A:	3	13	1	7	0	26	18	19	0	265
NCU09324T0_691-752,841-953,989-1045_1OMZ:A:	3	13	1	7	0	26	18	19	0	265
NCU01975T0_41-239_1WMX:B:	4	11	3	1	0	26	16	9	0	195
NCU05426T0_39-110,142-311,346-463_1VYH:C:92-408	0	28	1	0	0	39	25	14	0	317
NCU01692T0_36-467_2CTS:A:	5	2	3	20	0	34	18	23	0	437
NCU02717T0_62-538_2OOE:A:21-549	2	0	2	28	0	36	16	28	0	529
NCU02717T0_512-628_2OOE:A:21-549	2	0	2	28	0	36	16	28	0	529
NCU06314T0_159-197,257-337_1HQC:A:5-242	0	7	0	8	0	28	17	13	0	238
NCU06314T0_91-189_1HQC:A:5-242	0	7	0	8	0	28	17	13	0	238
NCU04071T0_4-366_1JOF:A:	3	28	1	0	0	39	21	26	0	365
NCU02305T0_81-148,188-448_1V4E:A:	0	2	1	14	0	18	6	12	0	280
NCU07296T0_196-359,407-555_1APM:E:	5	9	4	11	0	36	21	20	0	341
NCU02217T0_26-74_2HP8:A:	0	0	1	3	0	6	3	5	0	68
NCU05689T0_58-157_2OCC:F:	2	5	0	2	0	16	7	4	0	98
NCU05457T0_36-161_1OCR:D:	2	2	4	5	0	13	11	7	0	144
NCU06695T0_45-146_2OCC:E:	1	0	0	6	0	9	2	7	0	105
NCU06695T1_45-146_2OCC:E:	1	0	0	6	0	9	2	7	0	105
NCU04050T0_216-261_1YSA:D:	0	0	0	1	0	2	2	0	0	57
NCU08807T0_76-130_2CSH:A:8-60	0	4	0	2	0	6	6	3	0	53
NCU00552T0_6-336,471-511_1F8R:A:4-319,A:433-486	5	16	5	15	0	36	19	22	1	370
NCU00582T0_250-568_1NP7:A:205-483	4	0	5	14	0	26	16	17	0	279
NCU00582T0_4-215_1NP7:A:1-204	2	5	4	5	0	18	13	7	0	204
NCU03124T0_9-322_1LPU:A:	1	9	10	13	0	32	15	13	0	327
NCU05485T0_9-72,102-211,245-268_1JWH:C:	12	0	4	7	0	25	19	17	0	200
NCU02754T0_15-207_1JWH:C:	12	0	4	7	0	25	19	17	0	200
NCU00593T0_342-421_1UFM:A:	0	3	0	3	0	8	7	3	0	83
NCU07361T0_314-383_1UFM:A:	0	3	0	3	0	8	7	3	0	83
NCU00467T0_43-161_1OI0:A:	0	9	0	2	0	14	8	5	0	121
NCU05495T0_1-108_3EZM:A:	0	10	3	0	0	8	4	9	0	101
NCU00066T0_211-452_1H6K:A:27-290	3	2	4	12	0	21	8	8	0	264
NCU01954T0_309-350_1RMD:A:1-86	6	2	3	3	0	14	6	6	0	86
NCU01954T0_219-252_1RGO:A:187-220	2	0	1	1	0	7	4	2	0	34
NCU08514T0_15-208_1XYH:A:1-160	6	8	1	2	0	23	13	12	0	160
NCU03603T0_2-79_1AXX:A:	1	5	1	4	0	11	7	6	0	94
NCU03910T0_3-79_1DO9:A:	3	3	2	4	0	9	5	7	0	94
NCU01808T0_5-105_1YEB:A:	2	0	1	5	0	11	4	8	0	108
NCU01272T0_553-806_2FGE:A:540-797	0	6	3	9	0	20	15	6	0	258
NCU01272T0_292-554_2FGE:A:272-539	0	6	3	10	0	23	15	9	0	268
NCU01272T0_26-271_2FGE:A:15-271	3	10	4	10	0	24	18	13	0	257
NCU01272T0_821-992_2FGE:A:798-993	2	6	1	9	0	14	7	11	0	196
NCU00726T0_65-223_2C3B:A:1-171	1	8	0	3	0	20	9	9	0	171
NCU04433T0_620-675_1VC1:A:	2	5	1	3	0	8	6	6	0	110
NCU09327T0_504-694,736-919_2R7D:A:3-403	4	13	1	12	0	38	19	23	0	401
NCU07712T0_98-303_1HV8:A:3-210	0	7	1	9	0	25	17	9	0	208
NCU07712T0_242-340,374-487_2J0S:A:244-411	0	7	4	5	0	15	11	10	0	168
NCU07839T0_204-491_1WRB:A:164-401	2	8	2	8	0	26	18	9	0	238
NCU05782T0_258-559_1WRB:A:164-401	2	8	2	8	0	26	18	9	0	238
NCU05782T0_34-107,198-362_1S2M:A:46-251	0	7	1	9	0	25	17	9	0	206
NCU04439T0_129-415_1VEC:A:	0	7	1	9	0	25	16	12	0	206
NCU01160T0_145-429_2G2J:A:307-474	2	7	1	5	0	20	12	5	0	178
NCU06520T0_136-385_1WRB:A:164-401	2	8	2	8	0	26	18	9	0	238
NCU06520T0_185-255,492-595_2J0S:A:244-411	0	7	4	5	0	15	11	10	0	168
NCU06418T0_266-567_2J0S:A:244-411	0	7	4	5	0	15	11	10	0	168
NCU07070T0_93-305_1T6N:A:	0	7	0	9	0	22	16	12	0	207
NCU07070T0_113-171,258-274,321-402,447-532_1FUK:A:	0	7	3	4	0	16	14	7	0	162
NCU08270T0_174-334,448-592_1WP9:A:201-486	0	6	1	11	0	23	15	14	0	286
NCU08270T0_1257-1352,1404-1449_1O0W:A:1-167	2	0	1	10	0	12	5	7	0	167
NCU08270T0_1045-1218_1JFZ:A:	2	0	1	7	0	12	8	9	0	148
NCU01271T0_89-323_1D7K:A:44-283	2	9	4	9	0	27	11	9	0	240
NCU01271T0_290-471_7ODC:A:2-43,A:284-418	0	10	2	3	0	19	7	5	1	177
NCU05292T0_188-304_2RSP:A:	1	11	0	1	0	21	11	5	0	124
NCU05292T0_12-92_1XD3:B:	3	5	1	1	0	10	1	6	0	75
NCU05292T0_383-438_1Z96:A:295-332	0	0	0	3	0	4	0	2	0	38
NCU01369T0_281-566_1WRB:A:164-401	2	8	2	8	0	26	18	9	0	238
NCU02984T0_18-52,86-177_2IF1:A:	3	5	1	3	0	19	12	8	0	125
NCU01195T0_4-190_1BGV:A:1-194	3	5	2	8	0	16	8	12	0	194
NCU01195T0_188-449_1BGV:A:195-449	2	7	2	10	0	29	11	16	0	255
NCU03031T0_60-144_1NEK:D:	0	0	0	4	0	4	4	2	0	113
NCU05418T0_7-349_1DHS:A:	2	9	3	16	0	28	17	24	0	361
NCU04402T0_39-328_1ML9:A:	5	15	6	5	0	45	22	13	0	284
NCU11398T0_1-71,128-307_1TUB:A:1-245	0	6	2	9	0	25	23	14	0	245
NCU06264T0_289-518_1X9N:A:534-753	5	11	2	6	0	25	17	14	0	220
NCU06264T0_526-682_1X9N:A:754-901	3	10	1	2	0	17	13	7	0	148
NCU06264T0_936-1044_1WF6:A:	1	4	3	3	0	15	14	3	0	131
NCU06264T0_732-825_1CDZ:A:	1	4	1	3	0	15	6	8	0	96
NCU06264T0_167-249_1X9N:A:262-533	2	0	4	13	0	28	14	13	0	272
NCU05252T0_58-142,167-300_1TE4:A:	0	0	3	6	0	11	9	5	0	111
NCU03718T0_18-123,185-226_1D2T:A:	0	0	2	13	0	18	11	13	0	224
NCU06266T0_216-529_1U2Z:A:	7	11	6	12	0	46	21	21	0	406
NCU09465T0_7-72_1YWS:A:1-82	0	6	0	2	0	7	3	5	0	82
NCU02805T0_117-206_1WGE:A:8-77	1	5	1	2	0	10	3	4	0	70
NCU02805T0_2-92_1HDJ:A:	0	0	1	4	0	9	2	7	0	76
NCU07266T0_1-277_2DEK:A:1-265	7	12	5	10	0	28	14	14	0	265
NCU00276T0_538-998_1KFS:A:519-928	6	8	2	17	0	32	17	21	0	410
NCU00276T0_178-276,328-410_1KFS:A:324-518	0	6	2	7	0	16	14	9	0	195
NCU11175T0_365-651_1VEC:A:	0	7	1	9	0	25	16	12	0	206
NCU02619T0_329-541,568-698_1VHN:A:	0	9	3	14	0	31	18	15	0	317
NCU03483T0_5-95_2COW:A:7-94	0	7	1	0	0	18	9	3	0	87
