PDB_ID	Total_Structures	Average_Length
gi|48477074|ref|YP_022780.1|_2-78_2I0X:A:1-84	25	3.36
gi|48477077|ref|YP_022783.1|_34-194,225-346_1WP9:A:201-486	70	4.09
gi|48477083|ref|YP_022789.1|_111-308_1ZC6:A:122-292	51	3.35
gi|48477083|ref|YP_022789.1|_2-104_1ZC6:A:8-121	30	3.80
gi|48477084|ref|YP_022790.1|_6-312_1J5X:A:	84	3.92
gi|48477085|ref|YP_022791.1|_52-346_1O12:A:44-331	99	2.91
gi|48477085|ref|YP_022791.1|_1-51,348-375_1YRR:A:1-53,A:351-382	38	2.26
gi|48477086|ref|YP_022792.1|_4-244_1NRI:A:	74	3.35
gi|48477087|ref|YP_022793.1|_11-300_1W5D:A:5-462	154	2.97
gi|48477088|ref|YP_022794.1|_27-284_1TWI:A:50-313	71	3.72
gi|48477088|ref|YP_022794.1|_266-415_1TWI:A:15-49,A:314-448	60	2.85
gi|48477089|ref|YP_022795.1|_110-226_2EVR:A:87-234	45	3.29
gi|48477090|ref|YP_022796.1|_49-141,192-257,288-686_1DPE:A:	167	3.04
gi|48477091|ref|YP_022797.1|_24-338_1C3B:A:	117	3.06
gi|48477092|ref|YP_022798.1|_17-268_1TR9:A:	117	2.91
gi|48477093|ref|YP_022799.1|_114-355_1JPM:A:126-359	81	2.89
gi|48477093|ref|YP_022799.1|_7-126_1JPM:A:1-125	34	3.68
gi|48477100|ref|YP_022806.1|_172-394_1E32:A:201-458	79	3.27
gi|48477107|ref|YP_022813.1|_20-84_1PV7:A:	68	6.13
gi|48477108|ref|YP_022814.1|_6-182_1VLM:A:	66	3.30
gi|48477112|ref|YP_022818.1|_3-135_1F2V:A:	62	3.37
gi|48477113|ref|YP_022819.1|_10-76_1SR8:A:	102	2.76
gi|48477117|ref|YP_022823.1|_5-74_1YLQ:A:1-90	28	3.21
gi|48477120|ref|YP_022826.1|_1-79_2I0X:A:1-84	25	3.36
gi|48477125|ref|YP_022831.1|_4-88_1U6Z:A:313-509	46	4.28
gi|48477129|ref|YP_022835.1|_23-423_2I71:A:1-377	103	3.66
gi|48477130|ref|YP_022836.1|_43-417_2I71:A:1-377	103	3.66
gi|48477131|ref|YP_022837.1|_14-165_1XXL:A:	69	3.45
gi|48477132|ref|YP_022838.1|_1-253_2FNA:A:1-283	74	3.82
gi|48477132|ref|YP_022838.1|_280-351_2FNA:A:284-356	22	3.32
gi|48477135|ref|YP_022841.1|_3-65_1I1G:A:2-61	17	3.53
gi|48477136|ref|YP_022842.1|_32-401_1PV7:A:	68	6.13
gi|48477137|ref|YP_022843.1|_22-403_1PV7:A:	68	6.13
gi|48477139|ref|YP_022845.1|_173-593_1M7X:A:227-622	133	2.98
gi|48477139|ref|YP_022845.1|_601-697_1M7X:A:623-728	45	2.36
gi|48477139|ref|YP_022845.1|_19-104_1M7X:A:117-226	46	2.39
gi|48477140|ref|YP_022846.1|_151-538_1M53:A:43-520	170	2.81
gi|48477140|ref|YP_022846.1|_538-615_1JI1:A:555-637	30	2.77
gi|48477141|ref|YP_022847.1|_7-325,352-459_1UOK:A:1-479	171	2.80
gi|48477141|ref|YP_022847.1|_465-543_1G5A:A:555-628	31	2.39
gi|48477142|ref|YP_022848.1|_226-352_1TQI:A:91-282	47	4.09
gi|48477144|ref|YP_022850.1|_24-426_1PW4:A:	82	5.49
gi|48477145|ref|YP_022851.1|_16-382_1PW4:A:	82	5.49
gi|48477148|ref|YP_022854.1|_207-472_1HV8:A:211-365	50	3.10
gi|48477148|ref|YP_022854.1|_272-328,581-692_1T5I:A:	48	3.50
gi|48477149|ref|YP_022855.1|_231-437_1YF2:A:1-220	71	3.10
gi|48477149|ref|YP_022855.1|_7-231_1YF2:A:1-220	71	3.10
gi|48477150|ref|YP_022856.1|_89-124,154-574_2OKC:A:9-433	117	3.63
gi|48477152|ref|YP_022858.1|_50-91_1O3U:A:	20	6.70
gi|48477154|ref|YP_022860.1|_8-94_1R1U:A:	23	4.09
gi|48477156|ref|YP_022862.1|_2-310_1LI5:A:1-315	99	3.18
gi|48477156|ref|YP_022862.1|_315-454_1U0B:B:316-461	41	3.56
