PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|116751205|ref|YP_847892.1|_4-136_1J23:A:	0	6	1	5	0	12	9	5	0	131
gi|116747453|ref|YP_844140.1|_109-318_1L8Q:A:77-289	0	5	2	9	0	17	9	11	0	213
gi|116747453|ref|YP_844140.1|_348-443_1J1V:A:	0	0	0	6	0	7	3	3	0	94
gi|116747454|ref|YP_844141.1|_3-92_1IHF:A:	1	5	0	3	0	10	0	4	0	96
gi|116747455|ref|YP_844142.1|_4-126_1B66:A:	0	5	2	5	0	13	4	8	0	138
gi|116747457|ref|YP_844144.1|_471-589_1W3B:A:	0	0	0	23	0	35	6	26	0	388
gi|116747458|ref|YP_844145.1|_37-348_1VIM:A:	0	5	1	8	0	19	10	10	0	199
gi|116747459|ref|YP_844146.1|_27-261_1GPH:1:1-234	3	13	2	6	0	27	14	15	0	234
gi|116747459|ref|YP_844146.1|_260-484_1GPH:1:235-465	2	10	2	10	0	29	15	13	0	231
gi|116747460|ref|YP_844147.1|_128-400_1A9X:A:128-402	4	11	3	7	0	30	24	12	0	275
gi|116747460|ref|YP_844147.1|_675-935_1A9X:A:677-935	1	11	2	8	0	28	16	9	0	259
gi|116747460|ref|YP_844147.1|_559-677_1A9X:A:556-676	3	4	0	6	0	13	10	8	0	121
gi|116747460|ref|YP_844147.1|_1-127_1A9X:A:1-127	2	5	2	5	0	17	8	6	0	127
gi|116747460|ref|YP_844147.1|_396-556_1A9X:A:403-555	3	2	1	7	0	15	8	10	0	153
gi|116747460|ref|YP_844147.1|_937-1073_1A9X:A:936-1073	2	5	1	7	0	14	5	11	0	138
gi|116747461|ref|YP_844148.1|_190-378_1A9X:B:1653-1880	4	10	1	6	0	22	14	15	0	228
gi|116747461|ref|YP_844148.1|_9-154_1A9X:B:1502-1652	4	7	2	4	0	22	12	6	0	151
gi|116747462|ref|YP_844149.1|_1-242_1VH1:A:	1	11	0	10	0	26	12	14	0	246
gi|116747463|ref|YP_844150.1|_489-754_1V4A:A:2-286	2	7	3	12	0	25	14	12	0	285
gi|116747463|ref|YP_844150.1|_4-261_1V4A:A:2-286	2	7	3	12	0	25	14	12	0	285
gi|116747463|ref|YP_844150.1|_263-415_1V4A:A:287-437	2	0	1	6	0	11	7	7	0	151
gi|116747463|ref|YP_844150.1|_763-912_1V4A:A:287-437	2	0	1	6	0	11	7	7	0	151
gi|116747464|ref|YP_844151.1|_162-247_1KF6:B:106-243	0	0	3	8	0	15	4	9	0	138
gi|116747465|ref|YP_844152.1|_244-486_1H7W:A:184-287,A:441-532	6	7	3	6	0	23	15	12	1	196
gi|116747465|ref|YP_844152.1|_152-254_1H7W:A:2-183	1	0	4	8	0	20	11	12	0	182
gi|116747465|ref|YP_844152.1|_611-637,1014-1096_1FCA:A:	0	4	1	1	0	12	1	6	0	55
gi|116747465|ref|YP_844152.1|_10-100_2I0Z:A:1-192,A:362-420	4	15	6	8	0	27	12	15	1	251
gi|116747465|ref|YP_844152.1|_422-548_1H7W:A:184-287,A:441-532	6	7	3	6	0	23	15	12	1	196
gi|116747465|ref|YP_844152.1|_101-172_1KF6:B:106-243	0	0	3	8	0	15	4	9	0	138
gi|116747465|ref|YP_844152.1|_870-956_1H6V:A:171-292	1	7	0	4	0	13	9	7	0	122
gi|116747466|ref|YP_844153.1|_17-189_1B0P:A:416-668	2	6	4	9	0	29	21	11	0	253
gi|116747467|ref|YP_844154.1|_21-258_1B0P:A:786-1232	9	8	4	17	0	46	33	30	0	447
gi|116747468|ref|YP_844155.1|_10-261_1B0P:A:2-258	2	11	0	10	0	22	13	9	0	257
gi|116747468|ref|YP_844155.1|_270-380_1W85:B:193-324	0	6	2	5	0	13	8	5	0	132
gi|116747469|ref|YP_844156.1|_13-85_1JB0:C:	0	4	1	2	0	12	5	5	0	80
gi|116747470|ref|YP_844157.1|_2-246_2H1Q:A:1-251	2	10	5	11	0	19	17	17	0	251
gi|116747471|ref|YP_844158.1|_573-767_1XHK:A:	5	9	2	4	0	19	12	7	0	185
gi|116747471|ref|YP_844158.1|_35-93,316-561_1G6O:A:	2	13	3	9	0	31	22	19	0	323
gi|116747472|ref|YP_844159.1|_7-62_1E3H:A:579-632	2	0	0	1	0	4	3	0	0	54
gi|116747473|ref|YP_844160.1|_1-99_1LXN:A:	0	4	0	3	0	7	6	3	0	99
gi|116747474|ref|YP_844161.1|_39-264_1XP3:A:2-298	3	12	4	10	0	36	13	18	0	297
gi|116747475|ref|YP_844162.1|_36-311_1PQ4:A:	4	8	5	9	0	24	11	10	0	289
gi|116747476|ref|YP_844163.1|_7-138_1MZB:A:	1	5	0	5	0	12	4	5	0	134
gi|116747478|ref|YP_844165.1|_36-264_1Q35:A:	6	9	5	13	0	28	16	19	0	318
gi|116747479|ref|YP_844166.1|_17-225_2ONK:C:1-252	0	0	1	12	0	13	9	9	0	252
gi|116747480|ref|YP_844167.1|_4-228_1G29:1:1-240	1	11	4	8	0	20	15	14	0	240
gi|116747481|ref|YP_844168.1|_196-358_2IV2:X:1-564	10	22	7	22	0	67	42	29	0	564
gi|116747481|ref|YP_844168.1|_84-221_1FEH:A:127-209	0	5	3	2	0	8	7	5	0	83
gi|116747481|ref|YP_844168.1|_16-82_1FEH:A:1-126	4	5	1	3	0	15	6	10	0	126
gi|116747482|ref|YP_844169.1|_1-418_2IV2:X:1-564	10	22	7	22	0	67	42	29	0	564
gi|116747482|ref|YP_844169.1|_371-528_2IV2:X:565-715	0	6	1	3	0	18	8	7	0	151
gi|116747483|ref|YP_844170.1|_6-146_2GLZ:A:3-151	0	5	0	6	0	16	8	7	0	149
gi|116747483|ref|YP_844170.1|_374-522_1G8L:A:178-326	1	9	0	5	0	17	13	5	0	149
gi|116747484|ref|YP_844171.1|_34-127_1B9M:A:1-126	0	5	0	5	0	9	4	5	0	127
gi|116747485|ref|YP_844172.1|_5-264_2PW9:A:7-257	4	12	3	7	0	20	11	9	0	251
gi|116747486|ref|YP_844173.1|_43-195_1H0H:A:1-812	26	32	15	25	0	110	58	62	0	812
gi|116747487|ref|YP_844174.1|_1-637_1H0H:A:1-812	26	32	15	25	0	110	58	62	0	812
gi|116747487|ref|YP_844174.1|_617-646,673-804_1H0H:A:813-977	3	8	1	3	0	26	19	12	0	165
gi|116747488|ref|YP_844175.1|_5-213_1H0H:B:	2	10	3	6	0	29	13	15	0	214
gi|116747489|ref|YP_844176.1|_15-309_2FIY:A:19-308	0	8	2	10	0	31	11	22	0	290
gi|116747490|ref|YP_844177.1|_47-269_1TWY:A:	4	13	2	8	0	31	13	17	0	249
gi|116747492|ref|YP_844179.1|_4-345_1R53:A:	6	14	2	9	0	32	13	18	0	371
gi|116747493|ref|YP_844180.1|_1-79_1MBX:C:	0	3	0	3	0	6	2	1	0	87
gi|116747494|ref|YP_844181.1|_443-739_1KSF:X:437-755	2	10	4	12	0	25	21	18	0	319
gi|116747494|ref|YP_844181.1|_174-435_1KSF:X:168-436	0	5	1	10	1	25	19	11	0	269
gi|116747494|ref|YP_844181.1|_1-141_1K6K:A:	4	2	0	8	0	17	8	7	0	142
gi|116747495|ref|YP_844182.1|_3-220_2CXA:A:1-232	0	12	2	7	0	21	9	14	0	232
gi|116747497|ref|YP_844184.1|_122-297_1FP6:A:	1	8	3	12	0	26	18	18	0	289
gi|116747498|ref|YP_844185.1|_8-309_1E19:A:	1	17	4	9	0	29	9	17	0	313
gi|116747501|ref|YP_844188.1|_82-211_1QSA:A:451-618	3	0	1	9	0	18	9	10	0	168
gi|116747502|ref|YP_844189.1|_1-217_1VPX:A:	2	8	0	10	0	20	11	9	0	229
gi|116747504|ref|YP_844191.1|_1-153_1F9Y:A:	2	8	1	4	0	23	10	8	0	158
gi|116747505|ref|YP_844192.1|_6-386_1GDE:A:	4	12	7	13	0	42	12	25	0	388
gi|116747506|ref|YP_844193.1|_1-126,236-266_1DIH:A:2-130,A:241-273	1	8	1	5	0	21	13	10	1	162
gi|116747506|ref|YP_844193.1|_127-236_1DIH:A:131-240	0	5	1	2	0	11	5	8	0	110
gi|116747507|ref|YP_844194.1|_1-290_1O5K:A:	0	10	4	12	0	25	12	16	0	305
gi|116747508|ref|YP_844195.1|_9-129_1BWZ:A:1-130	0	7	1	2	0	14	10	9	0	130
gi|116747508|ref|YP_844195.1|_134-279_1BWZ:A:1-130	0	7	1	2	0	14	10	9	0	130
gi|116747509|ref|YP_844196.1|_36-292_1TWI:A:50-313	2	10	3	10	0	22	16	8	0	264
gi|116747509|ref|YP_844196.1|_263-424_1TWI:A:15-49,A:314-448	3	12	2	3	0	22	7	10	1	170
gi|116747510|ref|YP_844197.1|_174-343_1V5J:A:	2	8	0	0	0	15	8	3	0	107
gi|116747511|ref|YP_844198.1|_5-457_1TJ7:A:	4	4	6	20	0	37	14	25	0	455
gi|116747512|ref|YP_844199.1|_172-397_1KOR:A:171-395	0	9	2	5	0	20	9	10	0	225
gi|116747512|ref|YP_844199.1|_4-202_1KOR:A:1-165	2	5	1	7	0	16	7	11	0	165
gi|116747513|ref|YP_844200.1|_2-304_1PVV:A:151-313	4	5	1	7	0	19	9	11	0	163
gi|116747514|ref|YP_844201.1|_11-392_1VEF:A:9-395	3	17	2	15	0	38	24	27	0	387
gi|116747515|ref|YP_844202.1|_2-290_2BUF:A:2-301	7	11	1	10	0	27	12	17	0	300
gi|116747516|ref|YP_844203.1|_5-464_1E94:E:	0	11	6	19	0	34	19	21	0	448
gi|116747517|ref|YP_844204.1|_5-178_1M4Y:A:	0	11	1	4	0	17	7	8	0	171
gi|116747518|ref|YP_844205.1|_17-314_1A0P:A:111-292	4	3	3	8	0	17	7	7	0	182
gi|116747519|ref|YP_844206.1|_5-278_2BV3:A:7-282	2	11	3	8	0	22	12	14	0	276
gi|116747519|ref|YP_844206.1|_474-594_2BV3:A:479-599	1	6	1	2	0	15	8	4	0	121
gi|116747519|ref|YP_844206.1|_598-686_2BV3:A:600-688	0	4	2	3	0	5	0	4	0	89
gi|116747519|ref|YP_844206.1|_262-397_2BV3:A:283-403	1	12	0	0	0	15	9	9	0	121
gi|116747519|ref|YP_844206.1|_400-476_1FNM:A:404-482	0	5	0	2	0	8	3	2	0	79
gi|116747521|ref|YP_844208.1|_16-166_1JLJ:A:	0	6	2	8	0	17	8	7	0	169
gi|116747524|ref|YP_844211.1|_36-234_1IWM:A:	0	13	0	3	0	21	10	9	0	177
gi|116747525|ref|YP_844212.1|_249-551_1W3B:A:	0	0	0	23	0	35	6	26	0	388
gi|116747525|ref|YP_844212.1|_49-284_1W3B:A:	0	0	0	23	0	35	6	26	0	388
gi|116747527|ref|YP_844214.1|_11-305_1BBU:A:161-502	3	13	4	11	0	30	17	16	0	342
gi|116747528|ref|YP_844215.1|_131-188_1UEB:A:127-184	0	5	0	0	0	7	4	4	0	58
gi|116747528|ref|YP_844215.1|_6-65_1UEB:A:1-63	0	6	1	0	0	7	2	4	0	63
gi|116747528|ref|YP_844215.1|_68-129_1UEB:A:64-126	1	5	2	0	0	5	1	5	0	63
gi|116747529|ref|YP_844216.1|_141-424_1IYX:A:137-431	4	13	3	9	0	38	18	14	0	295
gi|116747529|ref|YP_844216.1|_3-138_1E9I:A:1-139	4	4	1	5	0	16	9	9	0	139
gi|116747531|ref|YP_844218.1|_63-88,134-294_2G40:A:38-212	0	10	3	4	0	18	8	9	0	175
gi|116747531|ref|YP_844218.1|_290-390_1CLF:A:	2	2	0	0	0	11	4	6	0	55
gi|116747532|ref|YP_844219.1|_18-133_2G40:A:38-212	0	10	3	4	0	18	8	9	0	175
gi|116747535|ref|YP_844222.1|_4-112_1P1T:A:	2	4	0	4	0	11	10	6	0	104
gi|116747537|ref|YP_844224.1|_357-607_3B60:A:329-581	4	10	2	9	0	24	18	16	0	253
gi|116747537|ref|YP_844224.1|_34-354_1PF4:A:10-320	0	0	9	16	0	12	11	14	0	310
gi|116747538|ref|YP_844225.1|_101-249_1WOT:A:	0	4	0	4	0	13	6	4	0	98
gi|116747541|ref|YP_844228.1|_60-502_1SP3:A:	9	14	6	14	0	65	40	30	0	442
gi|116747542|ref|YP_844229.1|_7-202_1KQF:C:	1	2	4	10	0	14	7	8	0	216
gi|116747544|ref|YP_844231.1|_4-98_1E0C:A:1-135	2	5	2	5	0	18	7	11	0	135
gi|116747545|ref|YP_844232.1|_19-407_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|116747549|ref|YP_844236.1|_604-778_1RRE:A:	5	10	1	6	0	17	11	10	0	182
gi|116747549|ref|YP_844236.1|_319-595_1QZM:A:	0	2	0	5	0	9	2	6	0	94
gi|116747549|ref|YP_844236.1|_19-208_2ANE:A:8-117	2	6	1	1	0	12	6	4	0	110
gi|116747550|ref|YP_844237.1|_62-399_1UM8:A:	0	10	5	15	0	31	13	21	0	364
gi|116747550|ref|YP_844237.1|_12-47_1OVX:A:	0	2	0	1	0	5	2	2	0	38
gi|116747551|ref|YP_844238.1|_11-192_1TYF:A:	2	9	0	7	0	18	7	7	0	183
gi|116747552|ref|YP_844239.1|_250-424_1T11:A:248-376	1	1	2	5	0	8	6	7	0	129
gi|116747552|ref|YP_844239.1|_1-130_1T11:A:1-129	2	5	0	2	0	14	6	7	0	129
gi|116747552|ref|YP_844239.1|_91-244_1W26:A:132-247	1	8	0	2	0	20	10	6	0	116
gi|116747553|ref|YP_844240.1|_48-149_1T92:A:	2	4	2	1	0	18	8	5	0	115
gi|116747554|ref|YP_844241.1|_6-292_1OLT:A:	1	19	6	15	0	46	26	24	0	441
gi|116747555|ref|YP_844242.1|_1-65,96-256_2CUL:A:2-231	1	16	3	5	0	24	13	15	0	230
gi|116747556|ref|YP_844243.1|_10-138_1MZB:A:	1	5	0	5	0	12	4	5	0	134
