PDB_ID	Total_Structures	Average_Length
jgi|Phchr1|11055|fgenesh1_kg.C_scaffold_3000004_23-344_1PYF:A:	107	2.91
jgi|Phchr1|11098|fgenesh1_kg.C_scaffold_12000007_20-203_1D7B:A:	66	2.80
jgi|Phchr1|11098|fgenesh1_kg.C_scaffold_12000007_531-711_1KDG:A:513-693	69	2.62
jgi|Phchr1|11098|fgenesh1_kg.C_scaffold_12000007_232-514,707-768_1KDG:A:215-512,A:694-755	149	2.42
jgi|Phchr1|135884|e_gww2.10.382.1_3-102_1KX5:B:	27	3.78
jgi|Phchr1|2132|fgenesh1_pg.C_scaffold_3000126_3-102_1KX5:B:	27	3.78
jgi|Phchr1|2151|fgenesh1_pg.C_scaffold_3000145_3-102_1KX5:B:	27	3.78
jgi|Phchr1|11110|fgenesh1_kg.C_scaffold_19000003_30-369_1LLP:A:	121	2.83
jgi|Phchr1|11093|fgenesh1_kg.C_scaffold_12000002_238-505,545-560_1AMO:A:243-518	96	2.88
jgi|Phchr1|11093|fgenesh1_kg.C_scaffold_12000002_63-227_1JA1:A:63-239	49	3.61
jgi|Phchr1|11093|fgenesh1_kg.C_scaffold_12000002_560-735_1AMO:A:519-678	38	4.21
jgi|Phchr1|137275|e_gww2.3.146.1_382-557_2F5V:A:355-552	74	2.68
jgi|Phchr1|137275|e_gww2.3.146.1_12-202,244-348,377-386,553-617_2F5V:A:43-354,A:553-619	135	2.81
jgi|Phchr1|140708|e_gww2.15.98.1_24-363_1YYD:A:1-357	128	2.79
jgi|Phchr1|3589|fgenesh1_pg.C_scaffold_5000151_27-369_1YYD:A:1-357	128	2.79
jgi|Phchr1|138715|e_gww2.8.250.1_87-395_1K6A:A:	101	2.99
jgi|Phchr1|138715|e_gww2.8.250.1_23-56_1AZ6:A:	15	2.40
jgi|Phchr1|128650|e_gwh2.8.159.1_351-437_1AWP:A:	34	2.53
jgi|Phchr1|137042|e_gww2.14.106.1_20-440_1GPI:A:	171	2.51
jgi|Phchr1|137042|e_gww2.14.106.1_473-504_1AZ6:A:	15	2.40
jgi|Phchr1|11068|fgenesh1_kg.C_scaffold_6000005_72-448_1K3I:A:151-537	158	2.45
jgi|Phchr1|11068|fgenesh1_kg.C_scaffold_6000005_448-550_1K3I:A:538-639	43	2.37
jgi|Phchr1|135608|e_gww2.13.248.1_70-399_1WKR:A:	115	2.96
jgi|Phchr1|10581|fgenesh1_pm.C_scaffold_9000005_87-231_1AOZ:A:1-129	51	2.53
jgi|Phchr1|10581|fgenesh1_pm.C_scaffold_9000005_403-590_1AOZ:A:339-552	76	2.82
jgi|Phchr1|10581|fgenesh1_pm.C_scaffold_9000005_214-410_1A65:A:132-303	66	2.61
jgi|Phchr1|5406|fgenesh1_pg.C_scaffold_9000010_99-245_1KYA:A:1-130	53	2.45
jgi|Phchr1|5406|fgenesh1_pg.C_scaffold_9000010_227-423_1V10:A:137-304	63	2.67
jgi|Phchr1|5406|fgenesh1_pg.C_scaffold_9000010_422-601_1AOZ:A:339-552	76	2.82
jgi|Phchr1|9267|fgenesh1_pg.C_scaffold_23000015_90-200_1AP6:A:84-198	31	3.71
