PDB_ID	Total_Structures	Average_Length
DDB0232938|DDB_G0269138_1-233_1O9D:A:	35	6.74
DDB0191258|DDB_G0283601_14-582_1B3U:A:	154	3.82
DDB0231359|DDB_G0282743_1-172_1ZVF:A:1-175	64	2.73
DDB0216217|DDB_G0292566_24-185_3CUM:A:1-162	55	2.95
DDB0216217|DDB_G0292566_184-315_3CUM:A:163-296	36	3.72
DDB0231737|DDB_G0284831_23-546_1LCI:A:	183	2.96
DDB0231736|DDB_G0284745_21-546_1LCI:A:	183	2.96
DDB0266358|DDB_G0284743_23-545_1LCI:A:	183	2.96
DDB0230202|DDB_G0279053_103-248,286-582_2BDE:A:2-459	142	3.23
DDB0215011|DDB_G0277885_181-483_1PGP:A:177-473	66	4.50
DDB0215011|DDB_G0277885_7-169_1PGP:A:1-176	63	2.79
DDB0231287|DDB_G0292898_14-234_1PBT:A:	77	2.86
DDB0229939|DDB_G0285463_342-623_1FPU:A:	90	3.24
DDB0220006|DDB_G0281331_315-420,471-687_1GJO:A:	81	3.68
DDB0201568|DDB_G0291860_354-662_2BNH:A:	150	3.04
DDB0185151|DDB_G0276031_153-459_1VYH:C:92-408	107	2.96
DDB0191132|DDB_G0288877_382-737_1G3J:A:	122	4.35
DDB0191132|DDB_G0288877_306-384_2OVR:B:2263-2364	27	3.78
DDB0230093|DDB_G0282493_39-434_7AAT:A:	107	3.75
DDB0230092|DDB_G0268664_26-423_7AAT:A:	107	3.75
DDB0305585|DDB_G0272014_56-462_1VP4:A:	121	3.50
DDB0305583|DDB_G0287711_9-436_1X0M:A:26-428	116	3.47
DDB0191222|DDB_G0291994_564-783_1VPL:A:	65	3.66
DDB0191223|DDB_G0267438_474-715_1VPL:A:	65	3.66
DDB0191223|DDB_G0267438_1287-1525_1VPL:A:	65	3.66
DDB0201662|DDB_G0293436_508-730_1VPL:A:	65	3.66
DDB0201662|DDB_G0293436_1307-1520_1VPL:A:	65	3.66
DDB0219982|DDB_G0274121_482-729_1VPL:A:	65	3.66
DDB0219982|DDB_G0274121_1298-1521_3DHW:C:1-240	71	3.38
DDB0191224|DDB_G0274119_490-745_3DHW:C:1-240	71	3.38
DDB0191224|DDB_G0274119_1338-1550_1VPL:A:	65	3.66
DDB0201627|DDB_G0291245_481-722_3DHW:C:1-240	71	3.38
DDB0201627|DDB_G0291245_1309-1535_1VPL:A:	65	3.66
DDB0215337|DDB_G0271140_516-751_1V43:A:7-245	69	3.46
DDB0216250|DDB_G0271138_528-745_1VPL:A:	65	3.66
DDB0201653|DDB_G0291980_520-758_1V43:A:7-245	69	3.46
DDB0191529|DDB_G0283387_478-727_1F3O:A:	70	3.31
DDB0219981|DDB_G0275453_476-693_1VPL:A:	65	3.66
DDB0201666|DDB_G0293416_659-904_2HYD:A:324-578	88	2.90
DDB0201666|DDB_G0293416_332-649_3B60:A:10-328	36	8.86
DDB0201670|DDB_G0293438_467-711_2HYD:A:324-578	88	2.90
DDB0201670|DDB_G0293438_1148-1396_2HYD:A:324-578	88	2.90
DDB0201670|DDB_G0293438_789-1056,1092-1138_1PF4:A:10-320	62	5.00
DDB0201670|DDB_G0293438_128-446_1PF4:A:10-320	62	5.00
DDB0201629|DDB_G0291714_506-751_2HYD:A:324-578	88	2.90
DDB0201629|DDB_G0291714_1185-1429_2HYD:A:324-578	88	2.90
DDB0201629|DDB_G0291714_825-1090,1125-1177_3B60:A:10-328	36	8.86
DDB0201629|DDB_G0291714_168-492_3B60:A:10-328	36	8.86
DDB0208540|DDB_G0279915_514-761_2HYD:A:324-578	88	2.90
DDB0208540|DDB_G0279915_192-507_3B60:A:10-328	36	8.86
DDB0201625|DDB_G0292554_450-696_2HYD:A:324-578	88	2.90
