PDB_ID	Total_Structures	Average_Length
jgi|Naegr1|55564|estExt_fgeneshHS_pm.C_10029_9-154_1MXE:A:	37	3.89
jgi|Naegr1|35722|estExt_gwp_gw1.C_90144_1-166_1AUI:B:	49	3.37
jgi|Naegr1|56351|estExt_fgeneshHS_kg.C_640001_26-166_2GGM:A:24-166	34	4.21
jgi|Naegr1|60166|fgeneshNG_pm.scaffold_1000063_8-249_1ZS9:A:4-256	78	3.24
jgi|Naegr1|70372|fgeneshNG_pg.scaffold_40000008_21-234_1E4C:P:	64	3.22
jgi|Naegr1|39221|estExt_Genewise1.C_250017_1-244_1TUB:A:1-245	79	3.10
jgi|Naegr1|39221|estExt_Genewise1.C_250017_246-436_1TUB:A:246-440	58	3.36
jgi|Naegr1|56065|estExt_fgeneshHS_kg.C_110005_1-244_1TUB:A:1-245	79	3.10
jgi|Naegr1|56065|estExt_fgeneshHS_kg.C_110005_246-436_1TUB:A:246-440	58	3.36
jgi|Naegr1|56236|estExt_fgeneshHS_kg.C_350011_1-244_1TUB:A:1-245	79	3.10
jgi|Naegr1|56236|estExt_fgeneshHS_kg.C_350011_246-436_1TUB:A:246-440	58	3.36
jgi|Naegr1|55423|fgeneshHS_kg.scaffold_53000002_1-243_1TUB:B:1-245	73	3.33
jgi|Naegr1|55423|fgeneshHS_kg.scaffold_53000002_244-429_1TUB:B:246-437	64	2.88
jgi|Naegr1|56391|estExt_fgeneshHS_kg.C_810001_1-243_1TUB:B:1-245	73	3.33
jgi|Naegr1|56391|estExt_fgeneshHS_kg.C_810001_244-429_1TUB:B:246-437	64	2.88
jgi|Naegr1|83350|estExt_fgeneshNG_pm.C_850003_1-243_1TUB:B:1-245	73	3.33
jgi|Naegr1|83350|estExt_fgeneshNG_pm.C_850003_244-429_1TUB:B:246-437	64	2.88
jgi|Naegr1|28984|e_gw1.1.151.1_3-436_1PV7:A:	68	6.13
jgi|Naegr1|61595|fgeneshNG_pg.scaffold_1000529_8-145_1WMM:A:1-145	47	3.09
jgi|Naegr1|61596|fgeneshNG_pg.scaffold_1000530_98-140_1QYP:A:	18	3.11
jgi|Naegr1|61597|fgeneshNG_pg.scaffold_1000531_88-237_1OUV:A:	55	4.95
jgi|Naegr1|3611|gw1.1.421.1_1-189_2JFL:A:21-308	92	3.13
jgi|Naegr1|61599|fgeneshNG_pg.scaffold_1000533_180-232_1M1J:C:142-393	105	2.40
jgi|Naegr1|45265|fgeneshHS_pg.scaffold_1000355_110-323_2BNH:A:	150	3.04
jgi|Naegr1|45265|fgeneshHS_pg.scaffold_1000355_232-340,386-590_2BNH:A:	150	3.04
jgi|Naegr1|61603|fgeneshNG_pg.scaffold_1000537_3-75,103-136_1RPN:A:	102	3.15
jgi|Naegr1|61605|fgeneshNG_pg.scaffold_1000539_78-325_1PS1:A:	65	4.78
jgi|Naegr1|77831|estExt_fgeneshNG_pg.C_10540_474-589_1FQI:A:	36	3.83
jgi|Naegr1|61610|fgeneshNG_pg.scaffold_1000544_10-171_1N11:A:	123	3.32
jgi|Naegr1|45271|fgeneshHS_pg.scaffold_1000361_193-257_1QQV:A:	26	2.58
jgi|Naegr1|45272|fgeneshHS_pg.scaffold_1000362_131-321_2OZB:B:85-333	54	4.61
jgi|Naegr1|45272|fgeneshHS_pg.scaffold_1000362_349-418_2OZB:B:85-333	54	4.61
jgi|Naegr1|61613|fgeneshNG_pg.scaffold_1000547_6-111_1E8O:B:	12	7.83
jgi|Naegr1|77833|estExt_fgeneshNG_pg.C_10546_2-122_2I53:A:14-157	36	4.00
jgi|Naegr1|77833|estExt_fgeneshNG_pg.C_10546_125-228_2I53:A:158-267	30	3.67
jgi|Naegr1|29204|e_gw1.1.455.1_13-151_1A9N:A:	67	2.42
jgi|Naegr1|61616|fgeneshNG_pg.scaffold_1000550_52-205,236-367_1IA8:A:	99	2.78
jgi|Naegr1|2029|gw1.1.226.1_26-291_1WA5:B:	116	4.36
jgi|Naegr1|61621|fgeneshNG_pg.scaffold_1000555_151-315_1VIO:A:58-231	61	2.85
jgi|Naegr1|61621|fgeneshNG_pg.scaffold_1000555_82-193_1VIO:A:0-57	23	2.43
jgi|Naegr1|61625|fgeneshNG_pg.scaffold_1000559_7-81_1H3I:A:52-193	50	2.84
jgi|Naegr1|77836|estExt_fgeneshNG_pg.C_10559_172-480_1SET:A:111-421	105	2.96
jgi|Naegr1|77836|estExt_fgeneshNG_pg.C_10559_35-158_1SET:A:1-110	15	7.33
jgi|Naegr1|61628|fgeneshNG_pg.scaffold_1000562_167-359_1WF3:A:3-180	57	3.12
jgi|Naegr1|61628|fgeneshNG_pg.scaffold_1000562_385-476_1EGA:A:183-295	29	3.90
jgi|Naegr1|77837|estExt_fgeneshNG_pg.C_10561_70-137_2F3N:A:2-65	17	3.76
jgi|Naegr1|77837|estExt_fgeneshNG_pg.C_10561_228-308_1Q1O:A:	28	3.46
jgi|Naegr1|56558|estExt_fgeneshHS_pg.C_10371_256-351_1H3I:A:52-193	50	2.84
jgi|Naegr1|61632|fgeneshNG_pg.scaffold_1000566_576-823_1MUO:A:	86	3.03
jgi|Naegr1|61636|fgeneshNG_pg.scaffold_1000570_121-271,354-402_1JMK:C:	72	3.19
jgi|Naegr1|61638|fgeneshNG_pg.scaffold_1000572_281-345,372-567_2BNH:A:	150	3.04
jgi|Naegr1|45288|fgeneshHS_pg.scaffold_1000378_783-851_1FPU:A:	90	3.24
jgi|Naegr1|45288|fgeneshHS_pg.scaffold_1000378_346-589_1DBG:A:	217	2.22
jgi|Naegr1|3023|gw1.1.327.1_23-229_1VE3:A:2-227	59	3.83
jgi|Naegr1|61643|fgeneshNG_pg.scaffold_1000577_35-363_1VYH:C:92-408	107	2.96
jgi|Naegr1|61651|fgeneshNG_pg.scaffold_1000585_161-279_1IAL:A:	111	4.08
jgi|Naegr1|61652|fgeneshNG_pg.scaffold_1000586_61-234,278-358_1P22:A:253-545	100	2.93
jgi|Naegr1|2780|gw1.1.305.1_36-153_1VL5:A:	62	3.73
jgi|Naegr1|45297|fgeneshHS_pg.scaffold_1000387_1010-1148_1AZS:A:	51	3.73
jgi|Naegr1|45297|fgeneshHS_pg.scaffold_1000387_1299-1483_2PSO:A:908-1104	56	3.52
jgi|Naegr1|45297|fgeneshHS_pg.scaffold_1000387_868-977_1EW0:A:	41	3.17
jgi|Naegr1|45297|fgeneshHS_pg.scaffold_1000387_1150-1253_1OMW:A:29-185	37	4.24
jgi|Naegr1|77842|estExt_fgeneshNG_pg.C_10592_4-172_1CTQ:A:	47	3.53
jgi|Naegr1|2048|gw1.1.229.1_28-284_2FUK:A:3-220	73	2.99
jgi|Naegr1|61662|fgeneshNG_pg.scaffold_1000596_5-131_1SZA:A:	35	4.09
jgi|Naegr1|44203|fgeneshHS_pm.scaffold_1000040_2-220_1QMH:A:5-184,A:280-338	73	3.29
jgi|Naegr1|34790|estExt_gwp_gw1.C_10607_191-346_1AUI:B:	49	3.37
jgi|Naegr1|34790|estExt_gwp_gw1.C_10607_47-176_1G8I:A:	50	3.74
jgi|Naegr1|34795|estExt_gwp_gw1.C_10612_3-107_1XWA:A:	29	3.79
jgi|Naegr1|77849|estExt_fgeneshNG_pg.C_10604_76-208,241-334_1DN1:B:	33	6.73
jgi|Naegr1|28985|e_gw1.1.143.1_182-330_1R1D:A:	73	3.32
jgi|Naegr1|61675|fgeneshNG_pg.scaffold_1000609_29-143,182-260,488-574_1LFW:A:1-186,A:383-468	87	3.14
jgi|Naegr1|61676|fgeneshNG_pg.scaffold_1000610_68-291_1BLX:A:	95	3.21
jgi|Naegr1|82883|estExt_fgeneshNG_pm.C_10069_2-153_2GE3:A:6-169	39	4.21
jgi|Naegr1|55569|estExt_fgeneshHS_pm.C_10044_3-168_1C1Y:A:	53	3.15
jgi|Naegr1|258|gw1.1.36.1_21-149,257-350,768-1017_1SU4:A:1-124,A:240-343,A:751-994	104	4.56
jgi|Naegr1|258|gw1.1.36.1_354-374,532-817_1SU4:A:344-360,A:600-750	60	2.82
jgi|Naegr1|258|gw1.1.36.1_362-601_1MO7:A:	76	2.80
jgi|Naegr1|258|gw1.1.36.1_149-253_1SU4:A:125-239	52	2.21
jgi|Naegr1|77855|estExt_fgeneshNG_pg.C_10619_5-104,151-239,349-441_3C96:A:4-182,A:294-402	77	3.75
jgi|Naegr1|61689|fgeneshNG_pg.scaffold_1000623_11-78_1IGR:A:150-299	71	2.11
jgi|Naegr1|29498|e_gw1.1.264.1_12-235_1SXJ:C:12-238	70	3.24
jgi|Naegr1|29498|e_gw1.1.264.1_241-332_1SXJ:C:239-333	18	5.28
jgi|Naegr1|61692|fgeneshNG_pg.scaffold_1000626_303-384_1S7B:A:	24	4.54
jgi|Naegr1|61692|fgeneshNG_pg.scaffold_1000626_135-230_1S7B:A:	24	4.54
jgi|Naegr1|29181|e_gw1.1.616.1_1-75_1XD3:B:	27	2.78
jgi|Naegr1|45319|fgeneshHS_pg.scaffold_1000409_2393-2510,3054-3131,3353-3458_2NPP:B:28-415	97	4.00
jgi|Naegr1|29162|e_gw1.1.285.1_3-62,92-250_1SXJ:E:4-255	70	3.60
jgi|Naegr1|29162|e_gw1.1.285.1_256-349_1SXJ:E:256-354	20	4.95
