PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
ENSDARP00000077832_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000077832_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000082327_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000082327_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000101311_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000101311_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000101467_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000101467_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000101862_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000101862_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000104379_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000104379_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000105059_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000105059_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000105168_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000105168_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000105496_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000105496_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000106245_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000106245_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000106443_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000106443_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000106496_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
ENSDARP00000106496_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
ENSDARP00000106634_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
