PDB_ID	Total_Structures	Average_Length
gi|160901492|ref|YP_001567073.1|_100-309_1L8Q:A:77-289	53	4.02
gi|160901492|ref|YP_001567073.1|_352-447_1J1V:A:	19	4.95
gi|160901494|ref|YP_001567075.1|_3-89_1ZPY:A:4-94	18	5.06
gi|160901495|ref|YP_001567076.1|_12-50_2H1C:A:1-138	42	3.29
gi|160901498|ref|YP_001567079.1|_10-249_2ONK:C:1-252	44	5.73
gi|160901498|ref|YP_001567079.1|_272-507_2R6G:F:261-504	64	3.81
gi|160901499|ref|YP_001567080.1|_21-321_1Y4T:A:	94	3.37
gi|160901500|ref|YP_001567081.1|_32-247_1O0Y:A:	68	3.81
gi|160901501|ref|YP_001567082.1|_1-64_1G6P:A:	22	3.00
gi|160901502|ref|YP_001567083.1|_129-185_1UEB:A:127-184	20	2.90
gi|160901502|ref|YP_001567083.1|_68-127_1UEB:A:64-126	19	3.32
gi|160901502|ref|YP_001567083.1|_1-63_1UEB:A:1-63	20	3.15
gi|160901504|ref|YP_001567085.1|_11-141_1LJ9:A:	31	4.65
gi|160901506|ref|YP_001567087.1|_11-139_2A61:A:5-143	24	5.79
gi|160901509|ref|YP_001567090.1|_2-250_1OXW:A:	109	3.30
gi|160901510|ref|YP_001567091.1|_11-216_1OXW:A:	109	3.30
gi|160901514|ref|YP_001567095.1|_13-169,285-414_1LRV:A:	73	3.19
gi|160901515|ref|YP_001567096.1|_38-186_1ORE:A:	53	3.38
gi|160901516|ref|YP_001567097.1|_1-303_2DCN:A:2-309	87	3.54
gi|160901517|ref|YP_001567098.1|_1-169_1D1G:A:	58	2.83
gi|160901518|ref|YP_001567099.1|_20-411_1EU8:A:	130	3.13
gi|160901519|ref|YP_001567100.1|_58-290_2R6G:F:261-504	64	3.81
gi|160901520|ref|YP_001567101.1|_9-283_2R6G:G:7-296	72	4.03
gi|160901521|ref|YP_001567102.1|_3-174_1K2Y:X:5-154	47	3.19
gi|160901521|ref|YP_001567102.1|_252-360_1K2Y:X:259-367	40	2.73
gi|160901521|ref|YP_001567102.1|_150-251_1K2Y:X:155-258	41	2.54
gi|160901521|ref|YP_001567102.1|_352-437_1WJW:A:	23	4.83
gi|160901522|ref|YP_001567103.1|_30-249_1L1J:A:	73	3.12
gi|160901522|ref|YP_001567103.1|_238-348_1KY9:A:260-353	41	2.29
gi|160901522|ref|YP_001567103.1|_359-450_1KY9:B:359-446	33	2.67
gi|160901523|ref|YP_001567104.1|_11-153_2AEE:A:1-208	61	3.41
gi|160901524|ref|YP_001567105.1|_3-245_1R3D:A:	75	3.51
gi|160901525|ref|YP_001567106.1|_112-390_1PVO:A:129-417	87	3.32
gi|160901525|ref|YP_001567106.1|_72-147_1A62:A:48-125	29	2.69
gi|160901525|ref|YP_001567106.1|_23-67_1A62:A:1-47	15	3.13
gi|160901529|ref|YP_001567110.1|_18-287_2ETV:A:25-358	115	2.90
gi|160901530|ref|YP_001567111.1|_11-332_1L7V:A:	56	5.79
gi|160901531|ref|YP_001567112.1|_2-228_1F3O:A:	70	3.31
gi|160901532|ref|YP_001567113.1|_4-229_1TYY:A:	88	3.45
gi|160901533|ref|YP_001567114.1|_3-137_1XD7:A:	32	3.97
gi|160901535|ref|YP_001567116.1|_5-223_1VR0:A:1-235	82	2.87
gi|160901536|ref|YP_001567117.1|_1-203_1EBB:A:	67	3.01
gi|160901537|ref|YP_001567118.1|_1-192_1GPM:A:3-207	79	2.59
gi|160901537|ref|YP_001567118.1|_176-428_1GPM:A:208-404	42	4.69
gi|160901537|ref|YP_001567118.1|_387-507_1GPM:A:405-525	32	3.78
gi|160901538|ref|YP_001567119.1|_1-101,166-238_1LW7:A:57-219	51	3.20
gi|160901539|ref|YP_001567120.1|_1-250_1J9L:A:	80	3.09
gi|160901540|ref|YP_001567121.1|_2-161_1LME:A:	52	3.37
gi|160901541|ref|YP_001567122.1|_8-210_1FMT:A:1-206	65	3.17
gi|160901541|ref|YP_001567122.1|_208-312_1FMT:A:207-314	39	2.77
gi|160901542|ref|YP_001567123.1|_3-252_1J6O:A:	75	3.56
gi|160901543|ref|YP_001567124.1|_1-137_2H6L:A:1-138	34	4.06
gi|160901544|ref|YP_001567125.1|_1-268_1NF2:A:	89	3.00
gi|160901546|ref|YP_001567127.1|_11-427_1EJD:A:	145	2.89
gi|160901549|ref|YP_001567130.1|_8-316_1H3F:A:5-347	99	3.46
gi|160901549|ref|YP_001567130.1|_304-394_1JH3:A:	37	2.68
gi|160901551|ref|YP_001567132.1|_91-349_2NZU:G:58-332	85	3.24
gi|160901551|ref|YP_001567132.1|_30-87_2HSG:A:2-58	19	3.11
gi|160901552|ref|YP_001567133.1|_372-805_2FHF:A:403-965	213	2.64
gi|160901552|ref|YP_001567133.1|_60-159_2J73:A:6-107	29	3.55
gi|160901552|ref|YP_001567133.1|_269-375_2FHF:A:288-402	46	2.50
gi|160901557|ref|YP_001567138.1|_235-371_1TVC:A:111-251	39	3.62
gi|160901557|ref|YP_001567138.1|_106-238_1KRH:A:106-205	35	2.86
gi|160901557|ref|YP_001567138.1|_36-124_1XLQ:A:1-106	45	2.36
gi|160901559|ref|YP_001567140.1|_4-327_1DXH:A:1-150	44	3.41
gi|160901560|ref|YP_001567141.1|_4-311_1E19:A:	86	3.64
gi|160901561|ref|YP_001567142.1|_89-252_1VIM:A:	53	3.75
