PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|154149550|ref|YP_001403168.1|_21-300_1FNN:A:1-276	1.00	5.40	3.50	11.00	0.00	1.88	1.42	1.88	0.00	276.00
gi|154149550|ref|YP_001403168.1|_306-412_1FNN:A:277-388	0.00	3.33	0.00	13.00	0.00	2.78	1.75	1.67	0.00	112.00
gi|154149551|ref|YP_001403169.1|_64-144_1RI7:A:85-170	0.00	7.50	0.00	10.50	0.00	2.12	2.00	1.60	0.00	86.00
gi|154149551|ref|YP_001403169.1|_1-60_2CFX:A:1-63	0.00	8.00	3.00	11.00	0.00	2.00	1.00	1.25	0.00	63.00
gi|154149552|ref|YP_001403170.1|_4-383_1GDE:A:	1.00	4.17	3.14	12.15	0.00	2.02	1.17	2.20	0.00	388.00
gi|154149553|ref|YP_001403171.1|_1-332_1QF5:A:	1.12	3.95	3.38	10.23	0.00	1.61	1.73	2.12	0.00	431.00
gi|154149554|ref|YP_001403172.1|_3-58_2PK7:A:3-61	0.00	3.20	3.00	4.00	0.00	2.25	1.50	2.40	0.00	59.00
gi|154149557|ref|YP_001403175.1|_22-273_1ZNN:A:18-271	0.00	4.88	3.67	10.50	0.00	2.21	1.44	1.82	0.00	254.00
gi|154149558|ref|YP_001403176.1|_6-195_1Q7R:A:	0.00	5.50	3.33	9.33	0.00	3.29	1.57	2.11	0.00	218.00
gi|154149559|ref|YP_001403177.1|_172-225_1CLF:A:	1.00	3.00	0.00	0.00	0.00	2.00	1.50	3.17	0.00	55.00
gi|154149560|ref|YP_001403178.1|_4-226_1RC2:A:	0.00	0.00	0.00	15.80	0.00	2.07	1.67	2.25	0.00	231.00
gi|154149561|ref|YP_001403179.1|_11-226_2B6C:A:3-215	0.00	0.00	3.25	10.00	0.00	2.50	1.62	2.45	0.00	213.00
gi|154149562|ref|YP_001403180.1|_7-117_2HZT:A:4-98	1.00	6.00	4.00	10.20	0.00	1.11	1.50	1.83	0.00	95.00
gi|154149563|ref|YP_001403181.1|_8-160_1EJE:A:	1.00	5.29	4.50	6.00	0.00	1.90	1.67	2.08	0.00	192.00
gi|154149564|ref|YP_001403182.1|_87-144,172-265_2B67:A:1-201	1.00	6.40	3.00	10.11	0.00	2.17	1.67	1.50	0.00	201.00
gi|154149564|ref|YP_001403182.1|_3-69_7FD1:A:	1.00	3.00	3.20	6.00	0.00	1.89	1.25	2.22	0.00	106.00
gi|154149565|ref|YP_001403183.1|_2-256_2AF7:A:1-119	0.00	0.00	0.00	11.00	6.00	1.44	1.50	1.29	0.00	119.00
gi|154149566|ref|YP_001403184.1|_1-188_1RLI:A:	1.00	6.60	4.00	8.00	0.00	3.21	1.57	1.67	0.00	179.00
gi|154149567|ref|YP_001403185.1|_1-217_1RLI:A:	1.00	6.60	4.00	8.00	0.00	3.21	1.57	1.67	0.00	179.00
gi|154149568|ref|YP_001403186.1|_1-63,90-190_1NOX:A:	1.00	6.75	3.00	10.00	0.00	2.58	1.29	1.55	0.00	200.00
gi|154149569|ref|YP_001403187.1|_12-54_1T0Q:A:	1.00	3.00	3.60	11.16	7.00	1.97	1.72	1.89	0.00	491.00
gi|154149570|ref|YP_001403188.1|_8-140_1NYO:A:	1.00	3.43	0.00	6.25	0.00	1.83	1.81	2.00	0.00	163.00
gi|154149571|ref|YP_001403189.1|_70-437,480-553_1PEQ:A:175-699	1.00	4.00	3.00	10.38	0.00	2.27	1.35	1.77	0.00	525.00
gi|154149571|ref|YP_001403189.1|_26-69_1PEQ:A:13-174	1.00	3.00	3.00	9.20	0.00	2.07	1.40	1.60	0.00	162.00
gi|154149575|ref|YP_001403193.1|_6-136_2FUG:6:15-175	1.00	3.25	3.00	10.20	0.00	3.35	1.43	1.71	0.00	161.00
gi|154149576|ref|YP_001403194.1|_4-107_2FUG:5:1-196	0.00	4.57	0.00	7.75	0.00	2.74	1.84	2.40	0.00	196.00
gi|154149577|ref|YP_001403195.1|_15-359_2FUG:4:35-409	1.00	3.29	3.00	10.92	0.00	2.44	1.96	2.89	0.00	375.00
gi|154149578|ref|YP_001403196.1|_36-110_2FUG:9:26-179	1.00	4.00	3.00	6.67	0.00	1.89	1.50	2.22	0.00	154.00
gi|154149580|ref|YP_001403198.1|_40-118_2OAR:A:10-118	0.00	3.00	0.00	17.20	0.00	2.25	1.00	2.00	0.00	118.00
gi|154149583|ref|YP_001403201.1|_3-391_1VBG:A:3-382	1.00	5.00	3.00	11.73	0.00	2.06	1.61	1.90	0.00	380.00
gi|154149583|ref|YP_001403201.1|_471-799_1H6Z:A:538-903	1.00	4.38	3.40	11.40	0.00	1.54	1.52	2.59	0.00	366.00
gi|154149583|ref|YP_001403201.1|_353-471_1H6Z:A:406-537	0.00	3.73	3.00	6.50	0.00	2.20	1.58	2.88	0.00	132.00
gi|154149584|ref|YP_001403202.1|_214-434_1SU1:A:	1.00	4.82	3.00	9.67	0.00	2.30	1.80	2.00	0.00	184.00
gi|154149586|ref|YP_001403204.1|_52-140,208-268_1B12:A:	1.00	6.12	3.00	4.00	0.00	2.22	1.10	2.31	0.00	247.00
