PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
jgi|Monbr1|37018|estExt_fgenesh1_pg.C_90234_38-386_1EKF:A:	6	19	3	7	0	43	24	20	0	365
jgi|Monbr1|37129|estExt_fgenesh1_pg.C_100205_413-530,574-797_2OVR:B:2365-2706	0	32	2	1	0	36	24	21	0	342
jgi|Monbr1|30417|fgenesh2_pg.scaffold_50000022_157-358,407-498_1VYH:C:92-408	0	28	1	0	0	39	25	14	0	317
jgi|Monbr1|22450|fgenesh2_pg.scaffold_2000657_176-245_1WI9:A:	0	3	0	3	0	11	5	1	0	71
jgi|Monbr1|33738|estExt_fgenesh2_pg.C_230124_28-120_1HNN:A:	3	9	3	9	0	26	17	15	0	261
jgi|Monbr1|13685|e_gw1.2.335.1_314-389_1WI9:A:	0	3	0	3	0	11	5	1	0	71
jgi|Monbr1|26645|fgenesh2_pg.scaffold_15000079_18-265_1ZS9:A:4-256	7	6	4	10	0	25	11	15	0	253
jgi|Monbr1|26773|fgenesh2_pg.scaffold_15000207_16-455_1QZ9:A:	7	13	7	13	1	43	24	27	0	404
jgi|Monbr1|29994|fgenesh2_pg.scaffold_41000044_20-229_1E4C:P:	3	7	3	6	0	24	7	14	0	206
jgi|Monbr1|37534|estExt_fgenesh1_pg.C_140088_287-495_1V29:A:	0	4	3	9	0	23	12	16	0	203
jgi|Monbr1|37534|estExt_fgenesh1_pg.C_140088_7-211_1V29:B:	0	6	2	8	0	24	14	10	0	229
jgi|Monbr1|33756|estExt_fgenesh2_pg.C_240017_8-245_1G3Q:A:	0	8	3	11	0	25	16	14	0	237
jgi|Monbr1|19511|estExt_Genewise1.C_30104_347-435_1CDZ:A:	1	4	1	3	0	15	6	8	0	96
jgi|Monbr1|30792|estExt_fgenesh2_pg.C_20217_10-201_1VI6:A:	1	7	3	6	0	22	13	12	0	193
jgi|Monbr1|21173|fgenesh2_pm.scaffold_3000061_3-161_2IN1:A:3-164	2	3	2	5	0	13	10	10	0	162
jgi|Monbr1|30764|estExt_fgenesh2_pg.C_20143_101-393_2OVR:B:2365-2706	0	32	2	1	0	36	24	21	0	342
jgi|Monbr1|35734|estExt_fgenesh1_pg.C_20771_535-727_1RE0:B:	2	0	3	10	0	14	8	10	0	220
jgi|Monbr1|13875|e_gw1.2.12.1_2-359_1I6I:A:	5	18	4	8	0	31	12	24	0	365
jgi|Monbr1|13875|e_gw1.2.12.1_457-561_2G1L:A:498-599	0	11	0	0	0	17	8	6	0	102
jgi|Monbr1|13868|e_gw1.2.696.1_118-258_2NR9:A:4-192	0	0	2	8	0	13	11	7	0	189
jgi|Monbr1|14040|e_gw1.2.605.1_1-244_1FVR:A:	7	11	7	10	0	36	11	16	0	309
jgi|Monbr1|3654|gw1.2.915.1_1-73_2IF1:A:	3	5	1	3	0	19	12	8	0	125
jgi|Monbr1|31066|estExt_fgenesh2_pg.C_20809_225-418_1F5X:A:	0	0	2	11	0	11	9	11	0	208
jgi|Monbr1|31066|estExt_fgenesh2_pg.C_20809_610-707_1A09:A:	2	5	1	2	0	13	7	10	0	106
jgi|Monbr1|31066|estExt_fgenesh2_pg.C_20809_3-119_1H67:A:	0	0	1	6	0	8	10	5	0	107
jgi|Monbr1|31066|estExt_fgenesh2_pg.C_20809_413-540_1NTY:A:1415-1535	0	8	2	1	0	13	7	5	0	121
jgi|Monbr1|31066|estExt_fgenesh2_pg.C_20809_585-606,727-774_1GBR:A:	6	4	1	0	0	15	7	3	0	73
jgi|Monbr1|19429|estExt_Genewise1.C_20899_5-64_1RHZ:B:	0	0	0	2	0	3	1	2	0	65
jgi|Monbr1|13888|e_gw1.2.97.1_1-430_1FO3:A:	8	18	3	16	0	47	22	26	0	457
