PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
ENSCINP00000029998_40-134_1KX5:A:	0	2	0	4	0	17	13	6	0	135
ENSCINP00000002686_150-378_1ESV:A:147-375	0	9	7	10	0	23	16	14	0	229
ENSCINP00000002686_7-155_1ESV:A:6-146	0	10	1	3	0	12	10	8	0	141
ENSCINP00000012660_150-378_1ESV:A:147-375	0	9	7	10	0	23	16	14	0	229
ENSCINP00000012660_7-155_1ESV:A:6-146	0	10	1	3	0	12	10	8	0	141
ENSCINP00000014519_150-378_1ESV:A:147-375	0	9	7	10	0	23	16	14	0	229
ENSCINP00000014519_7-155_1ESV:A:6-146	0	10	1	3	0	12	10	8	0	141
ENSCINP00000011761_37-184_1O6V:A:33-416	1	19	16	2	0	68	27	29	0	381
ENSCINP00000026518_150-264_1ORQ:C:	0	0	0	9	0	12	9	11	0	223
ENSCINP00000030766_7-65_1RHZ:B:	0	0	0	2	0	3	1	2	0	65
ENSCINP00000031557_7-65_1RHZ:B:	0	0	0	2	0	3	1	2	0	65
ENSCINP00000001527_202-359_1TTU:A:381-541	9	11	3	1	0	25	10	9	0	161
ENSCINP00000001527_55-204_1TTU:A:196-380	2	10	0	3	0	19	9	7	0	185
ENSCINP00000001527_360-472_1TTU:A:542-660	2	9	2	1	0	13	4	7	0	119
ENSCINP00000028628_40-285,356-396_1LG2:A:22-266,A:335-386	1	9	6	9	0	32	20	17	1	297
ENSCINP00000028628_285-355_1E9L:A:267-336	1	6	0	1	0	7	3	6	0	70
ENSCINP00000028628_496-560_1DQC:A:	0	5	1	0	0	11	8	5	0	73
ENSCINP00000028628_586-647_1DQC:A:	0	5	1	0	0	11	8	5	0	73
ENSCINP00000022340_53-150_1VFI:A:4-95	0	0	0	4	0	9	8	3	0	91
ENSCINP00000022341_45-144_1VFI:A:4-95	0	0	0	4	0	9	8	3	0	91
ENSCINP00000022344_35-138_1VFI:A:4-95	0	0	0	4	0	9	8	3	0	91
ENSCINP00000022339_32-125_1VFI:A:4-95	0	0	0	4	0	9	8	3	0	91
ENSCINP00000012862_20-120_1H3I:A:52-193	0	13	0	0	0	18	10	9	0	142
ENSCINP00000012862_110-186_1H3I:A:52-193	0	13	0	0	0	18	10	9	0	142
ENSCINP00000009456_27-361_1F88:A:	0	4	2	13	0	20	19	16	0	348
ENSCINP00000002640_128-201_1AHD:P:	0	0	0	3	0	8	4	3	0	67
ENSCINP00000003044_170-220_2DJ8:A:8-54	0	2	0	2	0	6	6	3	0	47
ENSCINP00000003044_54-106_1U3E:M:1-105	1	8	1	2	0	14	6	9	0	105
ENSCINP00000017585_199-285_1WIM:A:	2	4	1	3	0	13	8	2	0	93
ENSCINP00000017585_4-139_2DAY:A:8-122	0	4	0	3	0	10	8	4	0	115
ENSCINP00000017585_375-430_1WD2:A:	0	0	2	0	0	10	10	2	0	59
ENSCINP00000017585_272-338_2CT7:A:8-80	1	4	0	1	0	15	9	2	0	73
ENSCINP00000032769_6-117_2BYK:B:11-99	0	1	0	4	0	8	3	5	0	89
ENSCINP00000035879_1-59_2VRD:A:1-61	0	2	0	3	0	7	6	4	0	61
