PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
jgi|Dappu1|231307|estExt_fgenesh1_kg.C_610036_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|235586|SNAP_00003644_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|235594|SNAP_00003652_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|235620|SNAP_00003678_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|235802|SNAP_00003860_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|255862|SNAP_00023920_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|304645|PASA_GEN_0300065_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43402|e_gw1.6.863.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43405|e_gw1.6.847.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43440|e_gw1.6.204.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43441|e_gw1.6.805.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43467|e_gw1.6.767.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43482|e_gw1.6.872.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43597|e_gw1.6.831.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43602|e_gw1.6.815.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43862|e_gw1.6.195.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43863|e_gw1.6.796.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|43874|e_gw1.6.800.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|44114|e_gw1.6.811.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|44115|e_gw1.6.202.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|44116|e_gw1.6.803.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|44125|e_gw1.6.888.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|44149|e_gw1.6.376.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|44153|e_gw1.6.862.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Dappu1|67712|e_gw1.1025.5.1_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
