PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
evm.TU.supercontig_33.161_1-149_1RFJ:A:	1.00	2.00	0.00	13.00	0.00	1.56	2.40	2.00	0.00	148.00
evm.TU.supercontig_34.214_1-149_1RFJ:A:	1.00	2.00	0.00	13.00	0.00	1.56	2.40	2.00	0.00	148.00
evm.TU.supercontig_84.92_2-133_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
evm.TU.supercontig_84.93_2-133_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
evm.TU.supercontig_84.95_2-133_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
evm.TU.supercontig_36.169_2-133_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
evm.TU.supercontig_55.74_2-133_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
evm.TU.supercontig_1.370_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
evm.TU.supercontig_1.371_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
evm.TU.supercontig_139.3_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
evm.TU.supercontig_1420.3_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
evm.TU.supercontig_178.26_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
evm.TU.supercontig_190.11_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
evm.TU.supercontig_104.97_1-76_1XD3:B:	1.00	4.80	3.00	12.00	0.00	1.70	1.00	2.50	0.00	75.00
evm.TU.supercontig_104.97_76-127_2AYJ:A:1-56	0.00	2.67	0.00	0.00	0.00	2.17	1.67	3.00	0.00	56.00
evm.TU.supercontig_3.141_1-76_1XD3:B:	1.00	4.80	3.00	12.00	0.00	1.70	1.00	2.50	0.00	75.00
evm.TU.supercontig_3.141_76-127_2AYJ:A:1-56	0.00	2.67	0.00	0.00	0.00	2.17	1.67	3.00	0.00	56.00
evm.TU.supercontig_6.198_2-94_1EGW:A:	0.00	6.00	0.00	17.50	0.00	1.75	1.50	2.00	0.00	71.00
evm.TU.supercontig_26.318_2-96_1EGW:A:	0.00	6.00	0.00	17.50	0.00	1.75	1.50	2.00	0.00	71.00
evm.TU.supercontig_17.183_46-171_1WIN:A:	0.00	4.50	0.00	11.20	0.00	2.73	1.83	2.33	0.00	142.00
evm.TU.supercontig_139.46_5-246_1APX:A:	1.00	2.00	3.33	10.73	0.00	2.25	1.35	2.11	0.00	249.00
evm.TU.supercontig_161.10_397-759_1U1J:A:396-760	1.33	3.30	3.67	10.82	0.00	2.07	1.64	2.04	0.00	365.00
evm.TU.supercontig_161.10_3-395_1U1J:A:2-395	1.25	4.00	3.40	11.43	0.00	1.82	1.77	2.00	0.00	394.00
evm.TU.supercontig_27.64_71-198_1CT9:A:1-192	1.00	5.33	3.00	10.33	0.00	1.64	1.25	2.57	0.00	192.00
evm.TU.supercontig_1.77_15-93_1X6O:A:19-86	0.00	6.50	3.00	0.00	0.00	2.67	1.00	2.25	0.00	68.00
evm.TU.supercontig_1.77_86-156_1X6O:A:87-165	1.00	7.00	0.00	12.00	0.00	1.80	1.25	2.00	0.00	79.00
evm.TU.supercontig_3.305_28-189_1X91:A:	0.00	0.00	4.00	22.60	0.00	1.88	1.60	2.25	0.00	149.00
evm.TU.supercontig_50.71_3-73_1N6J:A:	0.00	5.33	0.00	16.00	0.00	1.60	1.50	1.33	0.00	93.00
evm.TU.supercontig_33.160_2-147_1RFJ:A:	1.00	2.00	0.00	13.00	0.00	1.56	2.40	2.00	0.00	148.00
evm.TU.supercontig_932.3_14-179_1HUR:A:	1.00	6.29	3.00	8.17	0.00	1.58	1.69	1.93	0.00	180.00
evm.TU.supercontig_122.25_2-147_1QCQ:A:	1.20	6.75	3.00	12.50	0.00	1.59	1.38	2.18	0.00	148.00
evm.TU.supercontig_93.26_22-339_1TG7:A:41-394	1.08	4.30	3.50	9.80	0.00	1.74	1.37	1.88	0.00	354.00
evm.TU.supercontig_93.26_576-657,684-716_2VZS:A:42-225	1.00	4.77	3.33	5.50	0.00	1.68	1.24	2.33	0.00	184.00
evm.TU.supercontig_93.26_396-566_1YQ2:A:4-219	1.00	5.00	3.60	0.00	0.00	1.75	1.38	2.07	0.00	216.00
evm.TU.supercontig_414.3_2-89_1EGW:A:	0.00	6.00	0.00	17.50	0.00	1.75	1.50	2.00	0.00	71.00
evm.TU.supercontig_250.6_16-397_1IA5:A:	1.00	6.18	3.00	8.00	0.00	1.62	1.44	2.08	0.00	339.00
evm.TU.supercontig_26.38_1-136_1GW5:S:	0.00	5.29	0.00	13.00	0.00	1.73	1.00	1.67	0.00	142.00
evm.TU.supercontig_1.374_2-65_1NY4:A:	0.00	6.25	0.00	0.00	0.00	2.90	2.14	2.00	0.00	71.00
evm.TU.supercontig_77.97_2-65_1NY4:A:	0.00	6.25	0.00	0.00	0.00	2.90	2.14	2.00	0.00	71.00
evm.TU.supercontig_97.94_7-151_1J7D:B:	1.33	5.75	3.00	11.25	0.00	1.57	1.09	2.42	0.00	149.00
evm.TU.contig_32646.1_5-263_1OCR:C:	1.00	0.00	3.00	27.14	0.00	2.92	1.75	2.25	0.00	261.00
evm.TU.supercontig_44.10_21-198_1IPC:A:	0.00	6.38	3.75	10.50	0.00	2.33	1.11	2.07	0.00	191.00
evm.TU.supercontig_33.145_1-238,272-312_1TZF:A:	0.00	4.44	3.75	9.00	0.00	2.44	1.17	1.93	0.00	258.00
evm.TU.supercontig_136.70_113-389,503-630_1GCI:A:	1.00	5.56	0.00	9.11	0.00	1.61	1.45	2.00	0.00	269.00
