PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
Kwal_10967_40-134_1ID3:A:	0	2	0	4	0	9	3	4	0	97
Kwal_11478_40-134_1ID3:A:	0	2	0	4	0	9	3	4	0	97
Kwal_10964_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Kwal_11476_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Kwal_22576_5-67_1NY4:A:	0	4	0	0	0	10	7	1	0	71
Kwal_12995_38-100_1MNM:C:	0	2	0	3	0	7	3	4	0	77
Kwal_14524_27-70_1I50:L:	2	1	0	0	0	11	5	2	0	46
Kwal_3135_3-173_2NGR:A:	0	6	3	6	0	19	11	13	0	191
Kwal_1302_44-102_2J5O:A:742-811	0	2	0	3	0	8	6	5	0	70
Kwal_16053_6-125_2ALE:A:1-126	1	4	1	5	0	12	6	9	0	126
Kwal_16031_85-152_1C99:A:	0	0	1	2	0	2	1	1	0	79
Kwal_16031_12-77_1C99:A:	0	0	1	2	0	2	1	1	0	79
Kwal_21422_16-77_1UHT:A:	3	9	0	0	0	18	9	7	0	117
Kwal_3_6-124_2QAM:N:1-120	2	3	1	5	0	12	7	10	0	120
Kwal_5_49-374_1JBQ:A:	3	11	7	11	0	40	22	20	0	355
Kwal_10_570-612,669-764_1MKP:A:	0	6	1	5	0	14	7	10	0	144
Kwal_26_17-97_1N1J:B:	1	1	1	3	0	7	3	6	0	78
Kwal_37_6-296_1PV1:A:	4	9	3	10	0	32	19	22	0	299
Kwal_39_7-70_2OVR:B:2263-2364	0	0	0	6	0	9	7	5	0	102
Kwal_40_424-613,775-860_1VGY:A:2-180,A:294-376	6	13	2	7	0	28	17	16	1	262
Kwal_40_14-145,209-389_2OVR:B:2365-2706	0	32	2	1	0	36	24	21	0	342
Kwal_49_248-386,432-580_1SQ9:A:	7	28	4	1	0	39	24	22	0	393
Kwal_57_2-188,215-448_1RH5:A:	4	2	2	14	0	28	20	20	0	422
Kwal_65_2-226_2EX4:A:2-224	2	9	5	8	0	18	12	9	0	222
Kwal_68_58-317_2EFK:A:10-288	0	0	1	6	0	5	3	5	0	279
Kwal_70_447-673_2HYE:C:403-675	1	8	3	9	0	25	16	11	0	273
Kwal_76_168-269_1TS9:A:	0	6	2	2	0	11	5	6	0	98
Kwal_80_108-354_1X2G:A:1-246	3	11	2	8	0	28	9	16	0	246
Kwal_82_340-389,420-486,534-631_1SQ9:A:	7	28	4	1	0	39	24	22	0	393
Kwal_82_216-246,275-394_1XFD:A:127-591	9	30	2	3	0	57	36	22	0	465
Kwal_88_3-301_2PTD:A:	4	10	3	8	0	35	23	17	0	296
Kwal_96_40-316_1A06:A:	4	8	4	10	0	29	20	14	0	307
Kwal_99_136-347_2BIS:A:1-437	4	17	6	16	0	48	27	24	0	437
Kwal_99_494-609_2IW1:A:2-371	0	15	4	16	0	41	26	17	0	370
Kwal_124_855-946_1J0F:A:	0	4	0	4	0	12	4	7	0	99
Kwal_138_346-421,475-513_2CND:A:125-270	0	8	3	6	0	14	9	6	0	146
Kwal_145_38-365_1VLL:A:	3	15	2	12	0	33	17	19	0	321
Kwal_147_17-81,113-218_1KOA:A:5915-6264	7	11	8	11	0	40	20	20	0	350
Kwal_155_144-310,343-484_1A06:A:	4	8	4	10	0	29	20	14	0	307
Kwal_167_9-214,249-427,567-639,715-800,910-966,1015-1034_1B3U:A:	0	0	8	44	0	40	26	36	0	588
Kwal_167_436-618_1VPL:A:	2	10	2	9	0	18	9	15	0	238
Kwal_167_669-729,830-976_2HYD:A:324-578	2	10	5	9	0	25	21	16	0	255
Kwal_173_100-479_1CJY:A:142-721	2	16	10	18	0	52	32	26	0	580
Kwal_179_40-136_1SNL:A:	0	2	0	5	0	10	9	3	0	99
Kwal_182_1-133_2HZB:A:2-312	4	12	1	13	1	35	24	14	0	311
Kwal_189_4-222_2FEA:A:2-227	4	7	3	11	0	24	11	14	0	226
Kwal_191_1-405_1LWD:A:	2	16	1	15	0	36	17	20	0	413
Kwal_201_275-332_2F6M:A:322-385	0	0	0	2	0	3	1	2	0	64
Kwal_204_19-263_2EY4:A:8-252	1	11	4	7	0	24	15	15	0	245
Kwal_204_265-346_2APO:A:247-331	0	6	1	2	0	11	6	6	0	85
Kwal_207_2-71,106-119_1XBL:A:	0	0	0	3	0	7	3	6	0	75
Kwal_207_262-348_1C3G:A:260-349	4	6	0	2	0	16	7	6	0	90
Kwal_207_184-259_1C3G:A:180-259	2	5	0	1	0	11	4	4	0	80
Kwal_212_5-299_1VYH:C:92-408	0	28	1	0	0	39	25	14	0	317
Kwal_214_274-347_1DP7:P:	0	3	0	3	0	5	2	3	0	76
Kwal_225_3-359_2AYQ:A:	2	14	4	13	0	32	18	21	0	356
Kwal_227_80-465_1P3W:A:	8	12	2	12	0	39	22	27	0	391
Kwal_232_4-268_1OKC:A:	0	0	6	11	0	19	10	9	0	292
Kwal_237_259-433_1KI1:B:1229-1438	0	0	2	10	0	7	5	12	0	210
Kwal_250_59-216_1HD1:A:	2	4	1	2	0	7	2	4	0	75
Kwal_250_2-45_1CVJ:A:91-179	2	5	0	3	0	9	6	7	0	89
Kwal_265_71-144_2PC6:A:1-77	0	4	1	2	0	4	3	4	0	77
Kwal_265_211-276_2FGC:A:105-187	0	5	2	2	0	8	4	1	0	83
Kwal_273_58-234_1F0I:A:264-514	2	9	3	7	0	27	19	11	0	246
Kwal_273_422-494_1XDP:A:315-501	2	8	2	5	0	21	8	14	0	187
Kwal_281_136-275_2VGN:A:136-277	0	5	2	5	0	11	6	8	0	142
Kwal_281_1-134_2VGN:A:1-135	0	7	0	2	0	15	5	8	0	135
Kwal_281_268-375_2VGN:A:278-381	0	4	1	4	0	7	6	6	0	105
Kwal_287_66-122_2ZJR:Z:2-59	3	2	0	1	0	11	4	5	0	58
Kwal_289_182-447_1H2K:A:	3	17	6	8	0	41	17	19	0	335
Kwal_289_54-131_2OVR:B:2263-2364	0	0	0	6	0	9	7	5	0	102
Kwal_295_1-197_2A5L:A:3-198	7	6	0	6	0	19	6	8	0	196
Kwal_299_40-471_2CTS:A:	5	2	3	20	0	34	18	23	0	437
Kwal_307_268-484_1IA8:A:	5	12	5	7	0	36	16	18	0	275
Kwal_312_635-727,791-835,945-955_1GOT:B:	1	28	0	2	0	36	22	23	0	339
Kwal_319_22-238_1URU:A:	2	0	0	4	0	8	3	8	0	217
Kwal_322_2-328_1UMY:A:	2	8	4	16	0	40	18	22	0	390
Kwal_324_78-152_2DK5:A:8-85	0	3	0	3	0	8	6	3	0	78
Kwal_327_366-601_3DHW:C:1-240	3	10	1	7	0	21	17	12	0	240
Kwal_335_39-320_2AFW:A:33-361	6	6	3	10	0	32	24	20	0	329
Kwal_338_223-297_1HYI:A:	0	4	0	1	0	11	5	3	0	65
Kwal_356_5-152,234-329_1ERJ:A:	2	30	1	1	0	43	24	22	0	388
Kwal_360_42-112,150-222_1G4M:A:5-175	1	10	2	2	0	21	12	8	0	171
Kwal_366_147-362_1XHC:A:1-103,A:226-289	4	11	2	5	0	18	13	9	1	165
Kwal_366_305-483_1XHC:A:1-103,A:226-289	4	11	2	5	0	18	13	9	1	165
Kwal_370_16-182_1CVJ:A:11-90	0	6	1	2	0	9	4	5	0	80
Kwal_370_222-311,338-418_2CQ3:A:110-202	0	6	1	2	0	13	6	5	0	90
Kwal_371_158-216_1OOT:A:	3	5	1	0	0	9	4	4	0	58
Kwal_375_231-418_1B8A:A:104-438	6	13	4	11	0	30	23	16	0	335
Kwal_375_124-215_1C0A:A:1-106	0	5	3	1	0	12	3	7	0	106
Kwal_379_181-448_1HC7:A:5-276	5	14	1	6	0	26	14	14	0	272
Kwal_379_450-581_1HC7:A:277-403	1	5	1	4	0	10	5	8	0	127
Kwal_379_584-675_1HC7:A:404-477	3	4	0	2	0	10	4	3	0	74
Kwal_379_18-107_1VJF:A:	0	9	1	6	0	18	7	11	0	168
Kwal_384_6-16,55-126_1M65:A:	5	8	5	8	0	27	12	19	0	244
Kwal_388_211-306_1NG4:A:219-306	0	6	1	1	0	9	5	4	0	88
Kwal_388_2-224,295-351_1C0P:A:999-1193,A:1289-1361	6	30	14	10	0	80	40	44	1	724
Kwal_393_18-45_1U6M:A:	0	7	5	6	0	12	8	15	0	198
Kwal_394_8-160_1OHE:A:42-198	3	4	2	4	0	18	12	5	0	157
Kwal_394_167-327_1OHE:A:199-380	2	5	1	7	0	19	11	10	0	182
Kwal_402_291-314_1F6U:A:	2	2	3	0	0	10	5	3	0	55
Kwal_407_123-176_1ASU:A:	0	5	1	5	0	18	12	6	0	162
Kwal_414_162-320,359-530_1HAR:A:	6	8	3	4	0	21	6	10	0	216
Kwal_444_21-106_2P6R:A:1-202	1	7	2	7	0	20	9	10	0	202
Kwal_468_37-174_2CCH:B:181-308	0	0	1	6	0	9	3	5	0	128
Kwal_482_32-139_1N67:A:229-369	3	11	1	1	0	19	5	11	0	141
Kwal_502_6-63_1R7M:A:3-120	2	5	2	5	0	14	6	6	0	118
Kwal_505_1-77_1EZV:C:262-385	0	0	2	6	0	7	4	7	0	124
Kwal_509_1-114_1OCR:A:	5	1	6	21	0	35	23	27	0	514
Kwal_519_2-74_1C99:A:	0	0	1	2	0	2	1	1	0	79
Kwal_520_13-54_2OCC:B:1-90	0	0	0	3	0	7	6	4	0	90
Kwal_526_8-137_1Y81:A:6-121	1	7	1	4	0	18	8	9	0	116
Kwal_529_212-409_1BDG:A:223-460	0	5	4	9	0	19	16	17	0	237
Kwal_529_14-203_1BDG:A:13-222	3	8	1	6	0	19	9	10	0	208
Kwal_533_8-100_2P6R:A:1-202	1	7	2	7	0	20	9	10	0	202
Kwal_563_2-151_3CNW:A:3-140	0	7	2	2	0	13	5	7	0	138
Kwal_570_28-125_1BRT:A:	6	8	5	11	0	26	14	19	0	277
Kwal_576_1-304_1J31:A:	1	16	2	7	0	32	15	15	0	262
Kwal_580_9-55_1CLD:A:	0	0	0	2	0	4	2	1	0	33
Kwal_585_30-439_1X0M:A:26-428	2	14	5	14	0	43	21	17	0	403
Kwal_599_73-358,388-591_2BW3:A:163-609	0	5	7	21	0	33	14	25	0	447
Kwal_605_34-191_1Q1N:A:1-152,A:321-360	3	12	3	4	0	28	9	12	1	192
Kwal_605_170-338_1Q1N:A:153-320	0	6	5	5	0	19	11	12	0	168
Kwal_616_284-339_1ASU:A:	0	5	1	5	0	18	12	6	0	162
Kwal_654_5-142_2P6R:A:1-202	1	7	2	7	0	20	9	10	0	202
Kwal_670_50-208,247-386_1HAR:A:	6	8	3	4	0	21	6	10	0	216
Kwal_676_3-124_1ASU:A:	0	5	1	5	0	18	12	6	0	162
Kwal_713_18-69_1FUK:A:	0	7	3	4	0	16	14	7	0	162
Kwal_716_214-499,529-732_2BW3:A:163-609	0	5	7	21	0	33	14	25	0	447
Kwal_722_62-250,329-503_1PV7:A:	0	0	2	22	0	18	12	14	0	417
Kwal_728_35-267_1PV7:A:	0	0	2	22	0	18	12	14	0	417
Kwal_728_262-494,535-562_1PV7:A:	0	0	2	22	0	18	12	14	0	417
Kwal_747_549-621,663-699_2PIA:A:104-223	0	5	2	4	0	13	9	8	0	120
Kwal_747_452-542_1QFJ:A:1-97	0	6	0	1	0	11	7	3	0	97
Kwal_761_263-293_1DSQ:A:	2	0	0	0	0	5	1	2	0	21
Kwal_764_219-352_1ASU:A:	0	5	1	5	0	18	12	6	0	162
Kwal_775_1-286_1R6D:A:	3	12	4	12	0	35	11	18	0	322
Kwal_778_2-38_1CLD:A:	0	0	0	2	0	4	2	1	0	33
Kwal_782_36-454_1PW4:A:	2	0	1	18	0	21	18	22	0	450
Kwal_791_267-561_1CS1:A:	8	12	2	13	0	42	23	28	0	384
