PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
AT5G44120.3_23-112,139-449_1FXZ:A:297-470	0.00	5.31	3.00	8.50	0.00	1.62	1.82	2.15	0.00	174.00
AT1G03880.1_13-436_1FXZ:A:297-470	0.00	5.31	3.00	8.50	0.00	1.62	1.82	2.15	0.00	174.00
AT1G22300.1_3-235_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT1G26480.1_9-240_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT4G09000.1_9-242_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT1G78300.1_4-237_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT5G38480.1_1-236_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT1G35160.1_10-243_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT5G16050.1_6-239_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT5G10450.1_6-240_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT3G02520.1_4-237_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT5G65430.1_5-240_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT2G42590.1_6-237_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
AT1G62960.1_148-551_1B8G:A:	1.00	4.20	3.22	11.71	0.00	2.22	1.72	2.04	0.00	428.00
AT4G08040.1_8-424_1B8G:A:	1.00	4.20	3.22	11.71	0.00	2.22	1.72	2.04	0.00	428.00
AT5G51690.1_77-491_1B8G:A:	1.00	4.20	3.22	11.71	0.00	2.22	1.72	2.04	0.00	428.00
AT3G61510.1_20-429_1IAY:A:	1.00	4.50	3.17	11.64	0.00	2.07	1.96	2.27	0.00	428.00
AT1G01480.1_17-437_1IAY:A:	1.00	4.50	3.17	11.64	0.00	2.07	1.96	2.27	0.00	428.00
AT2G22810.1_8-426_1B8G:A:	1.00	4.20	3.22	11.71	0.00	2.22	1.72	2.04	0.00	428.00
AT5G65800.1_13-428_1B8G:A:	1.00	4.20	3.22	11.71	0.00	2.22	1.72	2.04	0.00	428.00
AT4G11280.1_25-435_1IAY:A:	1.00	4.50	3.17	11.64	0.00	2.07	1.96	2.27	0.00	428.00
AT4G26200.1_27-443_1B8G:A:	1.00	4.20	3.22	11.71	0.00	2.22	1.72	2.04	0.00	428.00
AT4G37770.1_10-428_1B8G:A:	1.00	4.20	3.22	11.71	0.00	2.22	1.72	2.04	0.00	428.00
AT3G49700.1_9-428_1B8G:A:	1.00	4.20	3.22	11.71	0.00	2.22	1.72	2.04	0.00	428.00
AT5G03470.1_84-466_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT3G09880.1_84-465_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT3G26030.1_72-454_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT3G54930.1_93-474_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT4G15415.1_94-475_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT4G15415.2_94-475_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT5G25510.1_83-461_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT3G26020.1_106-487_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT3G26020.2_106-487_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT1G13460.1_85-466_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT1G13460.2_85-466_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
AT3G21650.1_115-496_2NPP:B:28-415	0.00	0.00	3.50	12.83	0.00	2.13	1.64	1.71	0.00	388.00
