PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|70605854|ref|YP_254724.1|_22-265_1FNN:A:1-276	1.00	5.40	3.50	11.00	0.00	1.88	1.42	1.88	0.00	276.00
gi|70605854|ref|YP_254724.1|_283-378_1FNN:A:277-388	0.00	3.33	0.00	13.00	0.00	2.78	1.75	1.67	0.00	112.00
gi|70605859|ref|YP_254729.1|_5-69_2P4W:A:1-194	1.00	5.60	0.00	15.38	0.00	1.58	1.29	2.00	0.00	197.00
gi|70605861|ref|YP_254731.1|_3-262_1J31:A:	1.00	4.81	4.00	9.29	0.00	1.78	1.33	2.27	0.00	262.00
gi|70605862|ref|YP_254732.1|_5-259_1XNG:A:3-257	1.00	3.00	3.50	11.42	0.00	2.17	1.80	2.00	0.00	255.00
gi|70605864|ref|YP_254734.1|_6-161_2I3B:A:1-189	0.00	4.00	3.00	8.80	0.00	2.60	1.86	3.00	0.00	189.00
gi|70605865|ref|YP_254735.1|_2-220_1T0T:V:	0.00	6.73	3.25	10.75	0.00	1.83	1.62	2.00	0.00	243.00
gi|70605866|ref|YP_254736.1|_3-164_1V8Y:A:	1.20	7.00	0.00	11.67	0.00	2.20	1.20	2.50	0.00	158.00
gi|70605868|ref|YP_254738.1|_4-271_1QTW:A:	1.00	4.11	3.00	12.22	0.00	1.85	1.69	1.93	0.00	285.00
gi|70605869|ref|YP_254739.1|_6-217_1NF2:A:	1.00	4.21	3.00	9.50	5.00	1.54	1.43	2.21	0.00	267.00
gi|70605870|ref|YP_254740.1|_7-136_1WY7:A:4-204	0.00	7.43	3.00	10.33	0.00	2.69	1.50	1.82	0.00	201.00
gi|70605871|ref|YP_254741.1|_1-214_1X42:A:1-230	1.00	4.50	4.00	11.10	0.00	1.58	1.40	2.07	0.00	230.00
gi|70605872|ref|YP_254742.1|_3-101_2GMG:A:1-105	1.25	5.00	0.00	9.67	0.00	2.33	2.00	3.00	0.00	96.00
