PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|160901492|ref|YP_001567073.1|_100-309_1L8Q:A:77-289	0	5	2	9	0	17	9	11	0	213
gi|160901492|ref|YP_001567073.1|_352-447_1J1V:A:	0	0	0	6	0	7	3	3	0	94
gi|160901494|ref|YP_001567075.1|_3-89_1ZPY:A:4-94	0	0	1	3	0	8	4	2	0	91
gi|160901495|ref|YP_001567076.1|_12-50_2H1C:A:1-138	0	5	3	7	0	15	4	8	0	138
gi|160901498|ref|YP_001567079.1|_10-249_2ONK:C:1-252	0	0	1	12	0	13	9	9	0	252
gi|160901498|ref|YP_001567079.1|_272-507_2R6G:F:261-504	2	0	3	12	0	16	15	16	0	244
gi|160901499|ref|YP_001567080.1|_21-321_1Y4T:A:	4	10	4	14	0	30	16	16	0	317
gi|160901500|ref|YP_001567081.1|_32-247_1O0Y:A:	0	8	2	11	0	23	14	10	0	259
gi|160901501|ref|YP_001567082.1|_1-64_1G6P:A:	2	4	0	0	0	9	5	2	0	66
gi|160901502|ref|YP_001567083.1|_129-185_1UEB:A:127-184	0	5	0	0	0	7	4	4	0	58
gi|160901502|ref|YP_001567083.1|_68-127_1UEB:A:64-126	1	5	2	0	0	5	1	5	0	63
gi|160901502|ref|YP_001567083.1|_1-63_1UEB:A:1-63	0	6	1	0	0	7	2	4	0	63
gi|160901504|ref|YP_001567085.1|_11-141_1LJ9:A:	0	3	1	6	0	9	3	9	0	144
gi|160901506|ref|YP_001567087.1|_11-139_2A61:A:5-143	1	2	0	7	0	7	1	6	0	139
gi|160901509|ref|YP_001567090.1|_2-250_1OXW:A:	8	8	9	12	0	35	16	21	0	360
gi|160901510|ref|YP_001567091.1|_11-216_1OXW:A:	8	8	9	12	0	35	16	21	0	360
gi|160901514|ref|YP_001567095.1|_13-169,285-414_1LRV:A:	2	0	8	10	0	22	18	13	0	233
gi|160901515|ref|YP_001567096.1|_38-186_1ORE:A:	0	9	2	6	0	16	8	12	0	179
gi|160901516|ref|YP_001567097.1|_1-303_2DCN:A:2-309	1	14	3	11	0	29	13	16	0	308
gi|160901517|ref|YP_001567098.1|_1-169_1D1G:A:	0	11	0	4	0	21	14	8	0	164
gi|160901518|ref|YP_001567099.1|_20-411_1EU8:A:	9	13	3	18	0	37	19	31	0	407
gi|160901519|ref|YP_001567100.1|_58-290_2R6G:F:261-504	2	0	3	12	0	16	15	16	0	244
gi|160901520|ref|YP_001567101.1|_9-283_2R6G:G:7-296	4	0	2	14	0	20	19	13	0	290
gi|160901521|ref|YP_001567102.1|_3-174_1K2Y:X:5-154	5	7	1	4	0	15	5	10	0	150
gi|160901521|ref|YP_001567102.1|_252-360_1K2Y:X:259-367	1	4	0	5	0	13	9	8	0	109
gi|160901521|ref|YP_001567102.1|_150-251_1K2Y:X:155-258	0	5	2	3	0	14	9	8	0	104
gi|160901521|ref|YP_001567102.1|_352-437_1WJW:A:	0	3	0	2	0	7	8	3	0	111
gi|160901522|ref|YP_001567103.1|_30-249_1L1J:A:	2	14	3	5	0	26	14	9	0	228
gi|160901522|ref|YP_001567103.1|_238-348_1KY9:A:260-353	4	4	0	2	0	14	9	8	0	94
gi|160901522|ref|YP_001567103.1|_359-450_1KY9:B:359-446	2	4	1	1	0	13	7	5	0	88
gi|160901523|ref|YP_001567104.1|_11-153_2AEE:A:1-208	0	10	2	7	0	22	10	10	0	208
gi|160901524|ref|YP_001567105.1|_3-245_1R3D:A:	2	7	3	11	0	24	13	15	0	263
gi|160901525|ref|YP_001567106.1|_112-390_1PVO:A:129-417	2	10	3	11	0	28	20	13	0	289
gi|160901525|ref|YP_001567106.1|_72-147_1A62:A:48-125	1	5	1	1	0	12	2	7	0	78
gi|160901525|ref|YP_001567106.1|_23-67_1A62:A:1-47	1	0	0	3	0	5	2	4	0	47
gi|160901529|ref|YP_001567110.1|_18-287_2ETV:A:25-358	3	13	5	15	0	39	21	19	0	334
gi|160901530|ref|YP_001567111.1|_11-332_1L7V:A:	2	0	2	14	0	18	8	12	0	324
gi|160901531|ref|YP_001567112.1|_2-228_1F3O:A:	0	10	2	7	0	22	15	14	0	232
gi|160901532|ref|YP_001567113.1|_4-229_1TYY:A:	0	14	8	9	0	31	15	11	0	304
gi|160901533|ref|YP_001567114.1|_3-137_1XD7:A:	2	2	1	6	0	11	6	4	0	127
gi|160901535|ref|YP_001567116.1|_5-223_1VR0:A:1-235	4	10	4	10	0	27	11	16	0	235
gi|160901536|ref|YP_001567117.1|_1-203_1EBB:A:	4	6	4	7	0	26	7	13	0	202
gi|160901537|ref|YP_001567118.1|_1-192_1GPM:A:3-207	1	12	1	4	0	26	19	16	0	205
gi|160901537|ref|YP_001567118.1|_176-428_1GPM:A:208-404	0	5	1	8	0	15	5	8	0	197
gi|160901537|ref|YP_001567118.1|_387-507_1GPM:A:405-525	2	4	2	2	0	9	6	7	0	121
gi|160901538|ref|YP_001567119.1|_1-101,166-238_1LW7:A:57-219	0	5	2	6	0	19	11	8	0	163
gi|160901539|ref|YP_001567120.1|_1-250_1J9L:A:	2	11	2	6	0	30	17	12	0	247
gi|160901540|ref|YP_001567121.1|_2-161_1LME:A:	4	7	3	2	0	18	10	8	0	175
gi|160901541|ref|YP_001567122.1|_8-210_1FMT:A:1-206	5	7	1	6	0	25	13	8	0	206
gi|160901541|ref|YP_001567122.1|_208-312_1FMT:A:207-314	5	6	1	3	0	10	7	7	0	108
gi|160901542|ref|YP_001567123.1|_3-252_1J6O:A:	1	8	6	9	0	23	12	16	0	267
gi|160901543|ref|YP_001567124.1|_1-137_2H6L:A:1-138	4	9	0	1	0	9	5	6	0	138
gi|160901544|ref|YP_001567125.1|_1-268_1NF2:A:	5	14	3	10	1	28	14	14	0	267
gi|160901546|ref|YP_001567127.1|_11-427_1EJD:A:	10	24	4	14	0	50	23	20	0	419
gi|160901549|ref|YP_001567130.1|_8-316_1H3F:A:5-347	7	6	5	16	0	29	14	22	0	343
gi|160901549|ref|YP_001567130.1|_304-394_1JH3:A:	0	5	0	3	0	10	11	8	0	99
gi|160901551|ref|YP_001567132.1|_91-349_2NZU:G:58-332	0	12	2	9	0	30	19	13	0	275
gi|160901551|ref|YP_001567132.1|_30-87_2HSG:A:2-58	0	0	0	4	0	7	3	5	0	59
gi|160901552|ref|YP_001567133.1|_372-805_2FHF:A:403-965	12	16	12	20	0	65	44	44	0	563
gi|160901552|ref|YP_001567133.1|_60-159_2J73:A:6-107	2	8	0	0	0	9	4	6	0	103
gi|160901552|ref|YP_001567133.1|_269-375_2FHF:A:288-402	2	9	3	1	0	17	5	9	0	115
gi|160901557|ref|YP_001567138.1|_235-371_1TVC:A:111-251	0	5	0	4	0	14	13	3	0	141
gi|160901557|ref|YP_001567138.1|_106-238_1KRH:A:106-205	0	6	0	1	0	15	6	7	0	100
gi|160901557|ref|YP_001567138.1|_36-124_1XLQ:A:1-106	2	5	3	2	0	17	6	10	0	106
gi|160901559|ref|YP_001567140.1|_4-327_1DXH:A:1-150	3	4	0	5	0	17	7	8	0	150
gi|160901560|ref|YP_001567141.1|_4-311_1E19:A:	1	17	4	9	0	29	9	17	0	313
gi|160901561|ref|YP_001567142.1|_89-252_1VIM:A:	0	5	1	8	0	19	10	10	0	199
gi|160901561|ref|YP_001567142.1|_4-76_2O3F:A:1-83	0	0	2	6	0	7	3	3	0	83
gi|160901562|ref|YP_001567143.1|_19-386_2BO4:A:2-382	0	8	4	17	0	37	18	18	0	381
gi|160901563|ref|YP_001567144.1|_107-323_2R6G:G:7-296	4	0	2	14	0	20	19	13	0	290
gi|160901563|ref|YP_001567144.1|_5-65_2R6G:G:7-296	4	0	2	14	0	20	19	13	0	290
gi|160901564|ref|YP_001567145.1|_61-284_2R6G:F:261-504	2	0	3	12	0	16	15	16	0	244
gi|160901564|ref|YP_001567145.1|_16-45_2R6G:F:13-260	5	14	2	8	0	30	12	13	0	248
gi|160901565|ref|YP_001567146.1|_21-427_1ELJ:A:	8	15	5	16	0	37	14	23	0	380
gi|160901566|ref|YP_001567147.1|_4-181_1SPV:A:	0	6	1	5	0	17	11	6	0	172
gi|160901567|ref|YP_001567148.1|_112-277_1RY2:A:	13	28	0	20	0	87	54	43	0	640
gi|160901568|ref|YP_001567149.1|_498-896_1QTM:A:423-831	4	11	3	17	0	33	15	20	0	409
gi|160901568|ref|YP_001567149.1|_3-173_1BGX:T:1-173	6	0	3	5	0	23	15	17	0	173
gi|160901568|ref|YP_001567149.1|_321-495_1KFS:A:324-518	0	6	2	7	0	16	14	9	0	195
gi|160901568|ref|YP_001567149.1|_174-289_1BGX:T:174-289	0	0	3	2	0	12	13	7	0	116
gi|160901569|ref|YP_001567150.1|_119-361_1TV8:A:	4	11	4	10	0	39	20	20	0	327
gi|160901571|ref|YP_001567152.1|_16-195_1IUH:A:	0	9	4	3	0	14	7	3	0	183
gi|160901572|ref|YP_001567153.1|_11-274_1UBE:A:5-270	2	9	1	9	0	25	18	12	0	266
gi|160901572|ref|YP_001567153.1|_276-337_1G19:A:270-329	0	3	0	3	0	4	4	2	0	60
gi|160901574|ref|YP_001567155.1|_310-468_1XX7:A:	2	0	3	11	0	13	6	7	0	183
gi|160901574|ref|YP_001567155.1|_205-300_1TUA:A:85-188	0	3	1	5	0	6	1	5	0	104
gi|160901575|ref|YP_001567156.1|_5-192,934-1029_1F3O:A:	0	10	2	7	0	22	15	14	0	232
gi|160901576|ref|YP_001567157.1|_1-302_1II7:A:	4	19	4	8	0	37	23	13	0	333
