PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
jgi|Phypa1_1|156929|e_gw1.602.3.1_3-165_1LRY:A:	2	7	3	3	0	16	6	6	0	165
jgi|Phypa1_1|104222|fgenesh1_pg.scaffold_9690000001_4-324_1HNJ:A:1-174	1	8	2	7	0	21	11	7	0	174
jgi|Phypa1_1|184505|estExt_gwp_gw1.C_740114_8-334_1BX4:A:	0	14	5	12	0	30	15	16	0	342
jgi|Phypa1_1|215969|estExt_Genewise1.C_1220021_60-124_1P91:A:	4	11	1	8	0	29	16	19	0	268
jgi|Phypa1_1|226280|estExt_Genewise1.C_3530015_155-318_1GAD:O:149-312	2	8	3	3	0	15	11	8	0	164
jgi|Phypa1_1|226280|estExt_Genewise1.C_3530015_6-172_1U8F:O:3-151,O:316-335	1	8	3	4	0	22	12	9	1	169
jgi|Phypa1_1|111893|e_gw1.3.270.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Phypa1_1|112240|e_gw1.3.269.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Phypa1_1|201641|estExt_Genewise1.C_30440_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Phypa1_1|135154|e_gw1.117.83.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|136891|e_gw1.133.59.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|147924|e_gw1.269.69.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|152862|e_gw1.378.10.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|169022|estExt_fgenesh1_pg.C_1970003_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|196255|estExt_gwp_gw1.C_2590013_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|54981|fgenesh1_pm.scaffold_2000022_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|57949|fgenesh1_pm.scaffold_83000034_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|58346|fgenesh1_pm.scaffold_100000024_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|60756|fgenesh1_pm.scaffold_279000007_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|88010|fgenesh1_pg.scaffold_164000016_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Phypa1_1|184189|estExt_gwp_gw1.C_710078_24-172_1D8U:A:	0	0	1	7	0	12	7	6	0	165
jgi|Phypa1_1|111231|e_gw1.1.124.1_264-504_1ZS9:A:4-256	7	6	4	10	0	25	11	15	0	253
jgi|Phypa1_1|111231|e_gw1.1.124.1_23-237_1E4C:P:	3	7	3	6	0	24	7	14	0	206
jgi|Phypa1_1|100368|fgenesh1_pg.scaffold_420000003_11-108_1H8A:C:87-143	0	0	0	3	0	8	4	3	0	57
jgi|Phypa1_1|119144|e_gw1.27.122.1_15-74_2AXT:H:2-65	0	0	0	2	0	6	4	4	0	64
jgi|Phypa1_1|168194|estExt_fgenesh1_pg.C_1690031_171-289_1IW7:A:50-172	4	10	1	2	0	17	11	7	0	123
jgi|Phypa1_1|168194|estExt_fgenesh1_pg.C_1690031_125-171,290-343_1IW7:A:1-49,A:173-229	0	5	0	2	0	10	7	5	1	106
jgi|Phypa1_1|168194|estExt_fgenesh1_pg.C_1690031_378-441_1Z3E:B:245-311	3	0	1	5	0	7	3	6	0	67
jgi|Phypa1_1|170153|estExt_fgenesh1_pg.C_2340008_2-246_1TUB:B:1-245	2	5	1	8	0	23	21	13	0	243
jgi|Phypa1_1|170153|estExt_fgenesh1_pg.C_2340008_247-446_1TUB:B:246-437	1	4	4	7	1	21	16	10	0	184
jgi|Phypa1_1|217744|estExt_Genewise1.C_1460040_69-346_2BTY:A:1-282	5	14	1	11	0	26	15	16	0	282
jgi|Phypa1_1|203762|estExt_Genewise1.C_160096_258-390_1DQV:A:425-569	1	7	1	1	0	21	14	5	0	145
jgi|Phypa1_1|203762|estExt_Genewise1.C_160096_418-533_1V27:A:	4	7	2	0	0	19	10	3	0	140
jgi|Phypa1_1|222021|estExt_Genewise1.C_2240022_226-522_1QG8:A:	2	9	4	8	0	22	13	12	0	255
jgi|Phypa1_1|186654|estExt_gwp_gw1.C_960145_90-360_1A06:A:	4	8	4	10	0	29	20	14	0	307
jgi|Phypa1_1|186654|estExt_gwp_gw1.C_960145_391-531_1S6I:A:	0	4	0	8	0	18	14	14	0	182
jgi|Phypa1_1|193793|estExt_gwp_gw1.C_2050007_111-380_1A06:A:	4	8	4	10	0	29	20	14	0	307
jgi|Phypa1_1|193793|estExt_gwp_gw1.C_2050007_409-548_1S6I:A:	0	4	0	8	0	18	14	14	0	182
jgi|Phypa1_1|209543|estExt_Genewise1.C_540294_396-587_2C2A:A:321-481	0	7	2	3	0	13	4	10	0	161
jgi|Phypa1_1|209543|estExt_Genewise1.C_540294_611-737_1DCF:A:	0	5	0	5	0	14	9	5	0	134
jgi|Phypa1_1|209543|estExt_Genewise1.C_540294_327-408_2C2A:A:232-320	0	0	1	3	0	3	0	4	0	89
jgi|Phypa1_1|209543|estExt_Genewise1.C_540294_161-309_2K2N:A:31-200	1	5	1	4	0	22	14	6	0	170
