PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|14521983|ref|NP_125692.1|_8-217_1CJS:A:	0	10	4	7	0	20	10	12	0	213
gi|14520219|ref|NP_125693.1|_4-82_1MMS:A:8-70	0	3	0	2	0	6	3	5	0	63
gi|14520219|ref|NP_125693.1|_66-138_1S72:I:	0	2	0	3	0	7	5	3	0	70
gi|14520221|ref|NP_125695.1|_4-58_1RHZ:B:	0	0	0	2	0	3	1	2	0	65
gi|14520222|ref|NP_125696.1|_38-235_1W5B:A:23-231	0	6	3	10	0	15	8	9	0	209
gi|14520222|ref|NP_125696.1|_233-347_1W5B:A:232-354	0	6	1	3	0	15	7	10	0	123
gi|14520224|ref|NP_125698.1|_1-271_2GFQ:A:1-274	3	14	1	9	0	31	19	13	0	286
gi|14520225|ref|NP_125699.1|_21-73_1WOT:A:	0	4	0	4	0	13	6	4	0	98
gi|14520227|ref|NP_125701.1|_4-203_1VAJ:A:3-205	2	9	5	4	0	21	12	12	0	203
gi|14520228|ref|NP_125702.1|_104-273_1O4U:A:104-273	0	7	2	6	0	15	10	10	0	170
gi|14520228|ref|NP_125702.1|_5-103_1QPO:A:2-116	0	5	0	4	0	11	3	5	0	115
gi|14520229|ref|NP_125703.1|_1-168_2Q4V:A:3-169	1	7	2	6	0	14	4	9	0	167
gi|14520230|ref|NP_125704.1|_11-307_1WZU:A:1-298	1	12	1	14	0	30	18	15	0	298
gi|14520232|ref|NP_125706.1|_4-231,313-365_1CHU:A:2-237,A:354-422	6	12	4	6	0	30	16	12	1	305
gi|14520232|ref|NP_125706.1|_207-310_1CHU:A:238-353	2	4	2	4	0	18	7	10	0	116
gi|14520232|ref|NP_125706.1|_387-453_1CHU:A:423-533	6	1	0	3	0	11	4	3	0	111
gi|14520233|ref|NP_125707.1|_93-452_1JQO:A:	1	8	2	38	0	68	46	49	0	936
gi|14520234|ref|NP_125708.1|_1-240_3D03:A:1-271	8	13	4	6	0	39	23	13	0	274
gi|14520235|ref|NP_125709.1|_17-146,405-524_1Q3Q:A:9-145,A:406-526	0	9	0	10	0	19	6	13	1	258
gi|14520235|ref|NP_125709.1|_212-378_1Q3Q:A:217-369	3	9	2	3	0	18	15	4	0	153
gi|14520235|ref|NP_125709.1|_149-216,368-405_1Q3Q:A:146-216,A:370-405	1	5	3	3	0	8	7	2	1	107
gi|14520237|ref|NP_125711.1|_2-91_1YLQ:A:1-90	0	4	1	4	0	10	6	3	0	90
gi|14520238|ref|NP_125712.1|_66-131_1WTY:A:	0	0	1	6	0	5	4	5	0	116
gi|14520239|ref|NP_125713.1|_25-173_1TV8:A:	4	11	4	10	0	39	20	20	0	327
gi|14520240|ref|NP_125714.1|_68-640_1H78:A:	12	17	2	17	0	45	26	29	0	562
gi|14520241|ref|NP_125715.1|_4-243_1V43:A:7-245	1	10	2	8	0	20	13	15	0	239
gi|14520241|ref|NP_125715.1|_237-363_1V43:A:304-373	1	5	1	0	0	7	3	3	0	70
gi|14520242|ref|NP_125716.1|_10-269_2R6G:G:7-296	4	0	2	14	0	20	19	13	0	290
gi|14520243|ref|NP_125717.1|_5-277_2R6G:F:261-504	2	0	3	12	0	16	15	16	0	244
gi|14520244|ref|NP_125718.1|_26-418_1ELJ:A:	8	15	5	16	0	37	14	23	0	380
gi|14520245|ref|NP_125719.1|_52-254_1W3B:A:	0	0	0	23	0	35	6	26	0	388
gi|14520246|ref|NP_125720.1|_8-91_1GH8:A:	0	5	1	2	0	9	7	2	0	89
gi|14520250|ref|NP_125725.1|_216-617_1AOR:A:211-605	3	5	8	21	0	37	16	31	0	395
gi|14520250|ref|NP_125725.1|_8-211_1AOR:A:1-210	1	12	0	6	0	23	14	16	0	210
gi|14520251|ref|NP_125726.1|_17-273_1PZ1:A:	6	12	9	9	0	39	21	23	0	332
gi|14520252|ref|NP_125727.1|_8-96_2P4W:A:1-194	2	5	0	8	0	12	7	8	0	197
gi|14520253|ref|NP_125728.1|_46-191_2ITB:A:3-201	0	2	1	8	0	10	8	6	0	199
gi|14520254|ref|NP_125729.1|_5-200_1XM8:A:	1	14	3	9	0	25	7	18	0	253
gi|14520255|ref|NP_125730.1|_18-328_1J33:A:	4	6	2	14	0	32	16	19	0	333
gi|33356661|ref|NP_125731.2|_10-124_2H1C:A:1-138	0	5	3	7	0	15	4	8	0	138
gi|14520257|ref|NP_125732.1|_13-53_2BJ7:A:1-50	0	1	0	2	0	3	2	2	0	50
