PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
POPTR_0006s07780.1|PACid:18213488_146-412_1ULZ:A:115-328	2	8	1	6	0	23	11	8	0	214
POPTR_0006s07780.1|PACid:18213488_58-176_1DV1:A:1-114	0	5	2	5	0	11	5	6	0	114
POPTR_0006s07780.1|PACid:18213488_394-510_1DV1:A:331-446	3	7	0	4	0	16	7	5	0	116
POPTR_0010s16240.1|PACid:18241757_13-178_1HUR:A:	2	7	2	6	0	19	13	14	0	180
POPTR_0010s16240.2|PACid:18241758_13-178_1HUR:A:	2	7	2	6	0	19	13	14	0	180
POPTR_0006s02750.1|PACid:18213889_1-149_1RFJ:A:	2	2	0	7	0	16	5	7	0	148
POPTR_0009s02660.2|PACid:18228833_1-149_1RFJ:A:	2	2	0	7	0	16	5	7	0	148
POPTR_0016s02540.1|PACid:18251081_1-149_1RFJ:A:	2	2	0	7	0	16	5	7	0	148
POPTR_0001s22980.1|PACid:18234870_2-147_1RFJ:A:	2	2	0	7	0	16	5	7	0	148
POPTR_0009s10270.1|PACid:18227590_26-245_1SUI:A:21-247	5	7	5	8	0	25	14	15	0	227
POPTR_0001s31220.1|PACid:18236765_26-245_1SUI:A:21-247	5	7	5	8	0	25	14	15	0	227
POPTR_0005s22080.1|PACid:18208649_28-97_1VLM:A:	2	8	2	8	0	22	11	13	0	218
POPTR_0001s05470.1|PACid:18238677_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0002s03030.1|PACid:18245580_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0003s22120.1|PACid:18216391_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0003s22240.1|PACid:18216861_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0014s09260.1|PACid:18224201_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0005s25530.1|PACid:18206250_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0002s02830.1|PACid:18245950_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0005s07340.1|PACid:18206389_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0005s07340.2|PACid:18206390_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0005s25700.1|PACid:18208299_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0007s05050.1|PACid:18243069_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0007s05050.2|PACid:18243070_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0007s13920.1|PACid:18243353_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
POPTR_0005s11740.1|PACid:18206687_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0005s11770.1|PACid:18206153_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0006s18360.1|PACid:18212157_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0007s14000.1|PACid:18243649_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0007s14020.1|PACid:18242729_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0007s14090.1|PACid:18243493_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0008s04720.1|PACid:18249770_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0010s22080.1|PACid:18241433_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0010s22090.1|PACid:18241359_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0018s10040.1|PACid:18215232_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0018s10070.1|PACid:18214428_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0018s10080.1|PACid:18214969_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
POPTR_0014s11000.1|PACid:18222449_240-389_2P02:A:274-417	2	3	3	3	0	19	14	10	0	144
POPTR_0014s11000.1|PACid:18222449_115-239_2P02:A:148-273	1	4	2	3	0	10	8	8	0	126
POPTR_0014s11000.1|PACid:18222449_3-109_2P02:A:38-147	0	6	1	3	0	9	3	7	0	110
POPTR_0008s09870.2|PACid:18249189_241-389_2P02:A:274-417	2	3	3	3	0	19	14	10	0	144
POPTR_0008s09870.2|PACid:18249189_116-240_2P02:A:148-273	1	4	2	3	0	10	8	8	0	126
POPTR_0008s09870.2|PACid:18249189_4-110_2P02:A:38-147	0	6	1	3	0	9	3	7	0	110
POPTR_0006s12510.1|PACid:18212644_240-386_1QM4:A:253-396	1	3	1	4	0	20	15	11	0	144
POPTR_0006s12510.1|PACid:18212644_115-239_2P02:A:148-273	1	4	2	3	0	10	8	8	0	126
POPTR_0006s12510.1|PACid:18212644_3-109_2P02:A:38-147	0	6	1	3	0	9	3	7	0	110
POPTR_0005s26740.1|PACid:18207169_67-168_1PLC:A:	2	8	1	1	0	21	7	7	0	99
POPTR_0001s06870.1|PACid:18238248_439-634_1GUX:A:	0	0	1	10	0	14	4	9	0	198
POPTR_0001s06870.1|PACid:18238248_754-924_1GUX:B:	0	2	2	7	0	10	8	7	0	141
POPTR_0001s44440.1|PACid:18235054_151-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.1|PACid:18235054_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.1|PACid:18235054_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.1|PACid:18235054_304-380_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.1|PACid:18235054_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.2|PACid:18235055_151-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.2|PACid:18235055_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.2|PACid:18235055_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.2|PACid:18235055_304-380_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.2|PACid:18235055_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.5|PACid:18235056_151-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.5|PACid:18235056_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.5|PACid:18235056_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.5|PACid:18235056_304-380_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.5|PACid:18235056_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0007s02460.1|PACid:18243074_151-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0007s02460.1|PACid:18243074_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0007s02460.1|PACid:18243074_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0007s02460.1|PACid:18243074_304-380_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0007s02460.1|PACid:18243074_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.1|PACid:18232267_151-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.1|PACid:18232267_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.1|PACid:18232267_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.1|PACid:18232267_304-380_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.1|PACid:18232267_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.7|PACid:18232268_151-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.7|PACid:18232268_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.7|PACid:18232268_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.7|PACid:18232268_304-380_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.7|PACid:18232268_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0017s06450.1|PACid:18210164_151-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0017s06450.1|PACid:18210164_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0017s06450.1|PACid:18210164_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0017s06450.1|PACid:18210164_304-380_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0017s06450.1|PACid:18210164_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0004s02080.1|PACid:18226043_152-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0004s02080.1|PACid:18226043_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0004s02080.1|PACid:18226043_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0004s02080.1|PACid:18226043_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.3|PACid:18232269_152-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.3|PACid:18232269_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.3|PACid:18232269_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.3|PACid:18232269_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.4|PACid:18232270_152-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.4|PACid:18232270_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.4|PACid:18232270_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.4|PACid:18232270_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.5|PACid:18232271_152-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.5|PACid:18232271_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.5|PACid:18232271_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.5|PACid:18232271_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.6|PACid:18232272_152-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.6|PACid:18232272_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.6|PACid:18232272_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.6|PACid:18232272_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0017s06450.2|PACid:18210165_152-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0017s06450.2|PACid:18210165_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0017s06450.2|PACid:18210165_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0017s06450.2|PACid:18210165_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0011s13770.2|PACid:18232274_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.4|PACid:18235058_152-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.4|PACid:18235058_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0001s44440.4|PACid:18235058_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0004s02080.2|PACid:18226044_152-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0004s02080.2|PACid:18226044_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0004s02080.2|PACid:18226044_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
POPTR_0004s17030.1|PACid:18225640_86-155_1C99:A:	0	0	1	2	0	2	1	1	0	79
POPTR_0004s17030.1|PACid:18225640_12-76_1C99:A:	0	0	1	2	0	2	1	1	0	79
POPTR_0002s02870.1|PACid:18245131_87-156_1C99:A:	0	0	1	2	0	2	1	1	0	79
POPTR_0002s02870.1|PACid:18245131_13-77_1C99:A:	0	0	1	2	0	2	1	1	0	79
POPTR_0002s02870.2|PACid:18245132_87-156_1C99:A:	0	0	1	2	0	2	1	1	0	79
POPTR_0002s02870.2|PACid:18245132_13-77_1C99:A:	0	0	1	2	0	2	1	1	0	79
POPTR_0005s25660.1|PACid:18207816_87-156_1C99:A:	0	0	1	2	0	2	1	1	0	79
POPTR_0005s25660.1|PACid:18207816_13-77_1C99:A:	0	0	1	2	0	2	1	1	0	79
POPTR_0007s14130.2|PACid:18243083_21-92_1B72:A:	0	0	1	3	0	6	1	3	0	88
POPTR_0001s23030.1|PACid:18236482_9-297_1MUO:A:	6	6	4	9	0	28	17	16	0	261
POPTR_0001s23030.2|PACid:18236483_9-297_1MUO:A:	6	6	4	9	0	28	17	16	0	261
POPTR_0009s02610.1|PACid:18227851_9-285_1MUO:A:	6	6	4	9	0	28	17	16	0	261
POPTR_0008s16010.1|PACid:18248646_19-299_1MUO:A:	6	6	4	9	0	28	17	16	0	261
POPTR_0018s11770.1|PACid:18215403_14-281_1FOT:A:	5	9	4	10	0	37	20	19	0	316
POPTR_0010s08950.1|PACid:18240430_23-291_1A06:A:	4	8	4	10	0	29	20	14	0	307
POPTR_0011s07240.1|PACid:18232257_8-313_1FOT:A:	5	9	4	10	0	37	20	19	0	316
POPTR_0014s10000.1|PACid:18223308_12-289_1MUO:A:	6	6	4	9	0	28	17	16	0	261
POPTR_0013s15200.1|PACid:18220495_8-274_1MUO:A:	6	6	4	9	0	28	17	16	0	261
POPTR_0019s14860.1|PACid:18218597_13-278_1A06:A:	4	8	4	10	0	29	20	14	0	307
