PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|154149550|ref|YP_001403168.1|_21-300_1FNN:A:1-276	4	5	2	12	0	25	19	17	0	276
gi|154149550|ref|YP_001403168.1|_306-412_1FNN:A:277-388	0	3	0	5	0	9	4	3	0	112
gi|154149551|ref|YP_001403169.1|_64-144_1RI7:A:85-170	0	4	0	2	0	8	5	5	0	86
gi|154149551|ref|YP_001403169.1|_1-60_2CFX:A:1-63	0	1	1	3	0	6	2	4	0	63
gi|154149552|ref|YP_001403170.1|_4-383_1GDE:A:	4	12	7	13	0	42	12	25	0	388
gi|154149553|ref|YP_001403171.1|_1-332_1QF5:A:	8	19	8	13	0	54	26	26	0	431
gi|154149554|ref|YP_001403172.1|_3-58_2PK7:A:3-61	0	5	2	1	0	8	2	5	0	59
gi|154149557|ref|YP_001403175.1|_22-273_1ZNN:A:18-271	0	8	3	10	0	24	18	11	0	254
gi|154149558|ref|YP_001403176.1|_6-195_1Q7R:A:	0	12	3	6	0	17	7	9	0	218
gi|154149559|ref|YP_001403177.1|_172-225_1CLF:A:	2	2	0	0	0	11	4	6	0	55
gi|154149560|ref|YP_001403178.1|_4-226_1RC2:A:	0	0	0	10	0	15	9	12	0	231
gi|154149561|ref|YP_001403179.1|_11-226_2B6C:A:3-215	0	0	4	13	0	12	8	11	0	213
gi|154149562|ref|YP_001403180.1|_7-117_2HZT:A:4-98	1	2	1	5	0	9	4	6	0	95
gi|154149563|ref|YP_001403181.1|_8-160_1EJE:A:	2	14	2	5	0	21	6	13	0	192
gi|154149564|ref|YP_001403182.1|_87-144,172-265_2B67:A:1-201	5	5	3	9	0	18	6	10	0	201
gi|154149564|ref|YP_001403182.1|_3-69_7FD1:A:	1	4	5	3	0	18	4	9	0	106
gi|154149565|ref|YP_001403183.1|_2-256_2AF7:A:1-119	0	0	0	8	1	9	2	7	0	119
gi|154149566|ref|YP_001403184.1|_1-188_1RLI:A:	2	5	1	8	0	14	7	12	0	179
gi|154149567|ref|YP_001403185.1|_1-217_1RLI:A:	2	5	1	8	0	14	7	12	0	179
gi|154149568|ref|YP_001403186.1|_1-63,90-190_1NOX:A:	2	4	2	9	0	19	7	11	0	200
gi|154149569|ref|YP_001403187.1|_12-54_1T0Q:A:	4	2	10	25	1	38	18	28	0	491
gi|154149570|ref|YP_001403188.1|_8-140_1NYO:A:	5	7	0	8	0	18	16	11	0	163
gi|154149571|ref|YP_001403189.1|_70-437,480-553_1PEQ:A:175-699	5	17	4	21	0	59	31	26	0	525
gi|154149571|ref|YP_001403189.1|_26-69_1PEQ:A:13-174	5	1	1	10	0	14	10	10	0	162
gi|154149575|ref|YP_001403193.1|_6-136_2FUG:6:15-175	2	4	2	5	0	17	14	7	0	161
gi|154149576|ref|YP_001403194.1|_4-107_2FUG:5:1-196	0	7	0	4	0	27	19	10	0	196
gi|154149577|ref|YP_001403195.1|_15-359_2FUG:4:35-409	3	7	3	13	0	39	26	18	0	375
gi|154149578|ref|YP_001403196.1|_36-110_2FUG:9:26-179	5	7	1	3	0	27	18	9	0	154
gi|154149580|ref|YP_001403198.1|_40-118_2OAR:A:10-118	0	2	0	5	0	8	2	3	0	118
gi|154149583|ref|YP_001403201.1|_3-391_1VBG:A:3-382	2	11	2	15	0	35	18	21	0	380
gi|154149583|ref|YP_001403201.1|_471-799_1H6Z:A:538-903	1	8	5	15	0	35	29	17	0	366
gi|154149583|ref|YP_001403201.1|_353-471_1H6Z:A:406-537	0	11	1	2	0	15	12	8	0	132
