PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
YAL002W_57-227,291-359_1NR0:A:2-312	1.00	5.52	3.00	0.00	0.00	1.71	2.05	2.25	0.00	311.00
YAL002W_1181-1270_1IYM:A:	0.00	2.00	0.00	4.00	0.00	2.27	1.67	2.75	0.00	54.00
YAL003W_118-206_1F60:B:	0.00	11.00	0.00	9.00	0.00	1.83	1.50	2.00	0.00	90.00
YAL003W_9-58_1FHE:A:81-214	1.00	0.00	0.00	11.00	0.00	1.40	1.91	2.22	0.00	134.00
YAL005C_1-185_1BUP:A:4-188	0.00	4.83	3.00	9.33	0.00	1.56	1.57	2.23	0.00	185.00
YAL005C_188-379_1HJO:A:189-382	1.00	8.00	3.50	13.83	0.00	1.69	1.50	2.10	0.00	194.00
YAL005C_384-540_1CKR:A:	1.00	5.90	0.00	7.00	0.00	2.00	2.14	2.78	0.00	159.00
YAL005C_535-614_1UD0:A:	0.00	0.00	3.00	20.33	0.00	12.33	1.33	1.75	0.00	112.00
YAL007C_44-116_1O6U:A:275-398	0.00	7.88	3.00	9.00	0.00	2.21	1.29	2.25	0.00	124.00
YAL012W_8-391_1N8P:A:	1.00	4.58	3.50	10.69	0.00	1.79	1.64	2.80	0.00	393.00
YAL014C_155-225_1GL2:D:	0.00	0.00	0.00	52.00	0.00	6.00	0.00	0.00	0.00	64.00
YAL015C_138-318_1ORN:A:	0.00	0.00	3.00	10.58	0.00	2.58	1.36	1.64	0.00	225.00
YAL016W_33-626_1B3U:A:	0.00	0.00	3.62	9.68	0.00	1.15	1.31	1.47	0.00	588.00
YAL019W_803-894,941-1104_1Z3I:X:390-735	0.00	5.20	3.50	11.00	0.00	1.68	1.55	1.65	0.00	346.00
YAL019W_530-801_1Z63:A:432-661	0.00	4.57	3.50	8.27	0.00	1.71	1.38	2.06	0.00	230.00
YAL021C_503-826_1VYB:A:	1.00	5.71	4.00	10.50	0.00	2.26	2.09	2.36	0.00	236.00
YAL021C_332-462_1O6V:A:33-416	1.00	3.32	3.62	7.50	0.00	2.15	1.56	1.93	0.00	381.00
YAL022C_75-280,324-509_1PV7:A:	0.00	0.00	4.00	15.09	0.00	1.72	1.67	1.86	0.00	417.00
YAL023C_346-525_1T9F:A:	1.00	6.08	3.00	0.00	0.00	1.83	2.00	2.29	0.00	186.00
YAL024C_8-177,1176-1434_1NVU:S:	1.00	4.00	3.75	12.48	0.00	3.37	1.24	1.83	0.00	481.00
YAL029C_60-822_1OE9:A:63-795	1.00	4.95	3.50	12.77	0.00	3.11	1.34	1.85	0.00	733.00
YAL029C_1-64_1OE9:A:5-62	1.00	5.50	0.00	0.00	0.00	3.43	1.33	2.33	0.00	58.00
YAL030W_25-89_3B5N:A:28-86	0.00	0.00	0.00	59.00	0.00	1.00	0.00	0.00	0.00	60.00
YAL033W_7-131_2CZV:C:3-120	0.00	5.67	3.00	13.67	0.00	2.50	1.67	2.00	0.00	118.00
YAL034C_311-406_2CUJ:A:8-108	0.00	0.00	0.00	11.50	0.00	4.71	1.50	2.60	0.00	101.00
YAL035W_404-696_1G7S:A:1-227	1.00	4.67	3.60	12.00	0.00	1.92	1.23	2.14	0.00	227.00
YAL035W_731-857_1G7S:A:329-459	1.00	4.50	0.00	13.40	0.00	1.40	1.80	1.83	0.00	131.00
YAL035W_863-1001_1G7S:A:460-587	1.00	6.75	0.00	9.50	0.00	2.08	1.50	2.11	0.00	128.00
YAL036C_68-307_1LNZ:A:158-342	1.00	4.29	0.00	10.00	0.00	2.10	1.67	2.22	0.00	185.00
YAL036C_288-368_1WXQ:A:320-395	1.00	5.75	0.00	6.50	0.00	2.67	1.25	2.00	0.00	76.00
YAL038W_16-92,177-361_1A3W:A:2-87,A:189-366	1.00	3.25	3.33	10.67	0.00	1.93	1.30	1.90	1.00	264.00
YAL038W_369-500_1A3W:A:367-500	0.00	5.20	3.00	9.00	0.00	1.65	1.40	2.00	0.00	134.00
YAL038W_88-188_1A3W:A:88-188	1.20	3.50	0.00	4.00	0.00	2.35	1.88	3.00	0.00	101.00
YAL040C_69-206_1W98:B:88-227	1.00	0.00	3.50	13.50	0.00	2.17	1.80	2.67	0.00	140.00
YAL041W_268-475_1FOE:A:1034-1239	0.00	0.00	3.50	12.08	0.00	1.50	1.71	2.09	0.00	206.00
YAL041W_751-853_1Q1O:A:	0.00	5.60	0.00	14.00	0.00	1.92	2.00	2.00	0.00	97.00
YAL041W_473-521,603-668_2COD:A:8-109	0.00	5.71	0.00	18.00	0.00	2.22	2.29	2.67	0.00	102.00
YAL044C_42-166_1ONL:A:	1.00	4.89	6.00	6.25	0.00	1.18	1.71	2.12	0.00	127.00
YAL044W-A_4-108_1V9J:A:	0.00	6.00	3.00	8.25	0.00	2.46	2.10	2.50	0.00	112.00
YAL046C_18-108_1V9J:A:	0.00	6.00	3.00	8.25	0.00	2.46	2.10	2.50	0.00	112.00
YAL048C_445-613_2FV8:A:4-184	0.00	7.17	4.50	9.83	0.00	2.25	1.40	2.08	0.00	181.00
YAL048C_3-217_2ERY:A:10-180	1.00	7.17	0.00	10.17	0.00	1.81	1.44	1.91	0.00	169.00
YAL048C_185-294,336-397_1JFJ:A:	0.00	3.00	0.00	9.62	0.00	1.33	2.38	2.50	0.00	134.00
YAL049C_27-240_1DIN:A:	1.00	5.22	5.67	13.00	0.00	1.42	1.33	1.89	0.00	233.00
YAL054C_75-708_1RY2:A:	1.00	4.11	0.00	8.90	0.00	1.93	1.52	1.95	0.00	640.00
YAL058W_241-381_1JHN:A:270-411	1.00	3.00	3.00	0.00	0.00	2.66	1.62	2.09	0.00	142.00
YAL058W_30-232_1JHN:A:61-262,A:412-458	1.00	5.80	3.00	6.50	0.00	2.57	2.00	2.22	1.00	249.00
YAL061W_1-198_1E3J:A:4-142,A:313-351	1.00	5.17	3.00	7.67	0.00	1.91	1.50	2.00	1.00	178.00
YAL061W_165-337_1E3J:A:143-312	0.00	4.50	0.00	9.38	0.00	1.52	1.29	2.00	0.00	170.00
YAL062W_3-187_1BGV:A:1-194	1.00	7.80	3.00	10.88	0.00	1.38	1.88	1.83	0.00	194.00
YAL062W_185-454_1BGV:A:195-449	1.00	4.00	3.00	13.10	0.00	1.55	1.27	1.81	0.00	255.00
YAL067C_126-557_1PW4:A:	1.00	0.00	5.00	17.67	0.00	2.95	1.44	1.68	0.00	450.00
YAR003W_31-344_1ERJ:A:	1.00	5.87	3.00	4.00	0.00	2.58	1.71	2.32	0.00	388.00
YAR007C_445-618_1L1O:C:	1.00	6.67	0.00	9.80	0.00	2.12	1.86	2.71	0.00	178.00
YAR007C_299-422_1FGU:A:299-426	1.00	7.00	6.00	9.50	0.00	1.94	1.67	2.00	0.00	128.00
YAR007C_183-296_1FGU:A:181-298	0.00	6.12	3.00	10.00	0.00	1.89	1.50	2.00	0.00	118.00
YAR007C_3-112_1EWI:A:	1.00	5.20	3.00	5.00	0.00	2.71	2.36	2.25	0.00	114.00
YAR008W_182-265_1A79:A:83-179	0.00	5.50	3.00	12.50	0.00	1.30	1.33	1.88	0.00	97.00
YAR009C_103-253_1ASU:A:	0.00	5.40	3.00	13.00	0.00	1.89	1.75	2.00	0.00	162.00
YAR009C_773-921,967-1103_1HAR:A:	1.00	4.25	4.33	14.50	0.00	3.71	1.17	2.00	0.00	216.00
YAR015W_12-304_2CNQ:A:2-305	1.00	4.67	4.00	13.29	0.00	2.21	1.35	2.21	0.00	304.00
YAR018C_9-186,224-350_2JAV:A:3-271	1.00	5.50	3.00	10.78	0.00	3.29	1.33	1.77	0.00	269.00
YAR035W_3-434_1NM8:A:9-385	1.00	4.18	5.50	14.27	0.00	2.73	1.32	2.33	0.00	372.00
YAR035W_435-648_1NDB:A:406-625	0.00	6.00	0.00	12.38	0.00	1.82	1.38	1.75	0.00	220.00
YAR042W_794-1188_1ZHX:A:2-434	1.00	6.21	3.70	10.67	0.00	1.72	1.71	2.14	0.00	433.00
