PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|225871700|ref|YP_002753154.1|_40-213_2G40:A:38-212	0	10	3	4	0	18	8	9	0	175
gi|225871701|ref|YP_002753155.1|_68-93,139-297_2G40:A:38-212	0	10	3	4	0	18	8	9	0	175
gi|225871701|ref|YP_002753155.1|_283-395_1KF6:B:106-243	0	0	3	8	0	15	4	9	0	138
gi|225871708|ref|YP_002753162.1|_59-498_2P0V:A:39-481	5	15	3	16	0	48	34	25	0	443
gi|225871709|ref|YP_002753163.1|_325-782_1V7W:A:271-801	11	25	6	16	0	58	33	35	0	531
gi|225871711|ref|YP_002753165.1|_207-328_1VF7:A:	2	20	0	3	0	31	18	9	0	237
gi|225871711|ref|YP_002753165.1|_52-147_1VF7:A:	2	20	0	3	0	31	18	9	0	237
gi|225871713|ref|YP_002753167.1|_4-470_1WP1:A:	7	6	2	10	0	34	19	14	0	456
gi|225871714|ref|YP_002753168.1|_175-549_2C7F:A:17-386	8	10	4	11	0	40	23	25	0	370
gi|225871714|ref|YP_002753168.1|_60-190_1CX1:A:	2	10	0	0	0	26	15	5	0	152
gi|225871717|ref|YP_002753171.1|_92-296_1AL3:A:	3	10	1	9	0	23	12	16	0	237
gi|225871717|ref|YP_002753171.1|_4-87_1IXC:A:1-89	2	0	0	4	0	6	2	3	0	89
gi|225871718|ref|YP_002753172.1|_11-500_1QE3:A:	7	14	7	14	0	50	31	31	0	483
gi|225871719|ref|YP_002753173.1|_37-406_1EX1:A:1-388	3	11	8	15	1	39	19	29	0	388
gi|225871719|ref|YP_002753173.1|_408-478,510-660_1EX1:A:389-602	5	6	2	6	0	33	25	10	0	214
gi|225871720|ref|YP_002753174.1|_1-295_1TYY:A:	0	14	8	9	0	31	15	11	0	304
gi|225871721|ref|YP_002753175.1|_135-379_1DBQ:A:	1	11	2	8	0	30	17	12	0	282
gi|225871721|ref|YP_002753175.1|_16-91_1V4R:A:1-100	1	2	0	4	0	11	10	6	0	100
gi|225871722|ref|YP_002753176.1|_156-385,437-538,565-683,740-787,820-869,936-976,1017-1063,1124-1206_1FEP:A:	8	34	5	5	0	63	37	34	0	714
gi|225871722|ref|YP_002753176.1|_68-163_1QMU:A:305-383	2	9	0	0	0	10	3	5	0	79
gi|225871723|ref|YP_002753177.1|_44-355_1UYP:A:1-294	3	21	2	0	0	24	19	15	0	294
gi|225871723|ref|YP_002753177.1|_379-510_1Y4W:A:373-536	2	13	1	0	0	18	11	11	0	164
gi|225871724|ref|YP_002753178.1|_4-436_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|225871725|ref|YP_002753179.1|_174-500_2SLI:A:277-759	6	35	5	1	0	62	44	28	0	483
gi|225871725|ref|YP_002753179.1|_71-230_1MS9:A:2-399	5	29	3	1	0	46	27	22	0	398
gi|225871726|ref|YP_002753180.1|_200-408_2O14:A:160-367	5	5	3	8	0	27	8	18	0	208
gi|225871727|ref|YP_002753181.1|_5-373_1MOQ:A:	1	12	7	13	0	28	17	19	0	366
gi|225871728|ref|YP_002753182.1|_160-483_2GJX:A:167-528	3	10	0	14	0	42	22	24	0	362
gi|225871728|ref|YP_002753182.1|_24-159_1NOW:A:55-199	1	7	1	2	0	19	9	5	0	145
gi|225871729|ref|YP_002753183.1|_372-682_1EDT:A:	1	15	4	8	0	29	17	16	0	265
gi|225871730|ref|YP_002753184.1|_58-407_1QKS:A:136-567	3	35	4	4	0	49	27	29	0	432
gi|225871733|ref|YP_002753187.1|_61-419_1M7J:A:62-419	1	13	4	15	1	41	28	23	0	358
gi|225871733|ref|YP_002753187.1|_7-60,419-473_1M7J:A:420-480	4	4	0	0	0	9	5	5	0	61
gi|225871734|ref|YP_002753188.1|_56-289_1BD0:A:12-244	2	9	3	9	0	27	16	11	0	233
gi|225871735|ref|YP_002753189.1|_210-507_1HP5:A:151-506	6	8	5	12	0	43	23	23	0	356
gi|225871735|ref|YP_002753189.1|_67-207_2CBI:A:41-178	1	7	0	3	0	14	12	8	0	138
gi|225871736|ref|YP_002753190.1|_14-286,379-409_1KFW:A:10-327,A:389-444	7	12	6	10	0	46	25	27	1	374
gi|225871737|ref|YP_002753191.1|_414-714,824-858_1KFW:A:10-327,A:389-444	7	12	6	10	0	46	25	27	1	374
gi|225871737|ref|YP_002753191.1|_242-418_1K85:A:	0	8	0	0	0	9	7	1	0	87
gi|225871737|ref|YP_002753191.1|_86-173_1K85:A:	0	8	0	0	0	9	7	1	0	87
gi|225871737|ref|YP_002753191.1|_34-76_1ED7:A:	2	4	0	0	0	10	3	4	0	45
gi|225871737|ref|YP_002753191.1|_178-235_1AIW:A:	4	5	0	0	0	8	6	5	0	62
gi|225871738|ref|YP_002753192.1|_82-242_1KS2:A:2-126,A:199-219	3	8	3	4	0	19	9	5	1	146
gi|225871738|ref|YP_002753192.1|_5-71_2FBH:A:8-144	3	2	1	6	0	11	3	8	0	137
gi|225871739|ref|YP_002753193.1|_145-286,395-663,752-869,903-943,973-1016,1066-1134_1FEP:A:	8	34	5	5	0	63	37	34	0	714
gi|225871739|ref|YP_002753193.1|_53-137_1NKG:A:251-337	2	8	1	0	0	14	4	4	0	87
gi|225871740|ref|YP_002753194.1|_100-336_1FCH:A:	0	0	2	17	0	24	6	19	0	323
gi|225871740|ref|YP_002753194.1|_32-128_1W3B:A:	0	0	0	23	0	35	6	26	0	388
gi|225871742|ref|YP_002753196.1|_15-394_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gi|225871743|ref|YP_002753197.1|_3-52,94-300_1QG8:A:	2	9	4	8	0	22	13	12	0	255
gi|225871745|ref|YP_002753199.1|_32-327_1PSW:A:	0	12	6	13	0	35	21	21	0	348
gi|225871747|ref|YP_002753201.1|_40-318_1UAS:A:1-273	6	8	3	10	0	34	17	23	0	273
gi|225871747|ref|YP_002753201.1|_320-405_1UAS:A:274-362	0	8	1	0	0	10	3	7	0	89
