PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|48477074|ref|YP_022780.1|_2-78_2I0X:A:1-84	0	4	0	2	0	9	6	4	0	84
gi|48477077|ref|YP_022783.1|_34-194,225-346_1WP9:A:201-486	0	6	1	11	0	23	15	14	0	286
gi|48477083|ref|YP_022789.1|_111-308_1ZC6:A:122-292	0	4	1	9	0	14	12	11	0	171
gi|48477083|ref|YP_022789.1|_2-104_1ZC6:A:8-121	0	5	2	3	0	10	5	5	0	114
gi|48477084|ref|YP_022790.1|_6-312_1J5X:A:	1	9	5	11	0	25	14	19	0	329
gi|48477085|ref|YP_022791.1|_52-346_1O12:A:44-331	5	13	3	9	0	34	14	21	0	288
gi|48477085|ref|YP_022791.1|_1-51,348-375_1YRR:A:1-53,A:351-382	1	10	1	0	0	12	7	6	1	85
gi|48477086|ref|YP_022792.1|_4-244_1NRI:A:	2	5	4	9	0	21	14	19	0	248
gi|48477087|ref|YP_022793.1|_11-300_1W5D:A:5-462	5	19	8	11	0	51	33	27	0	458
gi|48477088|ref|YP_022794.1|_27-284_1TWI:A:50-313	2	10	3	10	0	22	16	8	0	264
gi|48477088|ref|YP_022794.1|_266-415_1TWI:A:15-49,A:314-448	3	12	2	3	0	22	7	10	1	170
gi|48477089|ref|YP_022795.1|_110-226_2EVR:A:87-234	0	6	1	4	0	16	11	7	0	148
gi|48477090|ref|YP_022796.1|_49-141,192-257,288-686_1DPE:A:	3	19	4	19	0	53	36	33	0	507
gi|48477091|ref|YP_022797.1|_24-338_1C3B:A:	5	16	6	13	0	36	19	22	0	358
gi|48477092|ref|YP_022798.1|_17-268_1TR9:A:	4	10	5	10	1	41	27	19	0	340
gi|48477093|ref|YP_022799.1|_114-355_1JPM:A:126-359	3	13	2	8	0	29	15	11	0	234
gi|48477093|ref|YP_022799.1|_7-126_1JPM:A:1-125	5	3	1	5	0	10	4	6	0	125
gi|48477100|ref|YP_022806.1|_172-394_1E32:A:201-458	3	5	4	12	0	28	13	14	0	258
gi|48477107|ref|YP_022813.1|_20-84_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|48477108|ref|YP_022814.1|_6-182_1VLM:A:	2	8	2	8	0	22	11	13	0	218
gi|48477112|ref|YP_022818.1|_3-135_1F2V:A:	0	6	3	10	0	21	12	10	0	209
gi|48477113|ref|YP_022819.1|_10-76_1SR8:A:	5	18	4	9	0	34	15	17	0	282
gi|48477117|ref|YP_022823.1|_5-74_1YLQ:A:1-90	0	4	1	4	0	10	6	3	0	90
gi|48477120|ref|YP_022826.1|_1-79_2I0X:A:1-84	0	4	0	2	0	9	6	4	0	84
gi|48477125|ref|YP_022831.1|_4-88_1U6Z:A:313-509	0	3	3	7	0	16	6	11	0	197
gi|48477129|ref|YP_022835.1|_23-423_2I71:A:1-377	1	16	4	13	0	33	16	20	0	377
gi|48477130|ref|YP_022836.1|_43-417_2I71:A:1-377	1	16	4	13	0	33	16	20	0	377
gi|48477131|ref|YP_022837.1|_14-165_1XXL:A:	5	8	2	9	0	23	10	12	0	238
gi|48477132|ref|YP_022838.1|_1-253_2FNA:A:1-283	0	7	3	11	0	23	13	17	0	283
gi|48477132|ref|YP_022838.1|_280-351_2FNA:A:284-356	1	2	1	4	0	7	4	3	0	73
gi|48477135|ref|YP_022841.1|_3-65_1I1G:A:2-61	0	0	1	3	0	5	4	4	0	60
gi|48477136|ref|YP_022842.1|_32-401_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|48477137|ref|YP_022843.1|_22-403_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|48477139|ref|YP_022845.1|_173-593_1M7X:A:227-622	6	10	8	11	0	43	33	22	0	396
gi|48477139|ref|YP_022845.1|_601-697_1M7X:A:623-728	5	8	2	0	0	16	8	6	0	106
gi|48477139|ref|YP_022845.1|_19-104_1M7X:A:117-226	1	8	2	0	0	18	8	9	0	110
gi|48477140|ref|YP_022846.1|_151-538_1M53:A:43-520	8	13	11	18	0	59	30	31	0	478
gi|48477140|ref|YP_022846.1|_538-615_1JI1:A:555-637	2	8	1	0	0	11	2	6	0	83
gi|48477141|ref|YP_022847.1|_7-325,352-459_1UOK:A:1-479	6	15	12	16	0	55	33	34	0	479
gi|48477141|ref|YP_022847.1|_465-543_1G5A:A:555-628	0	8	0	0	0	13	5	5	0	74
gi|48477142|ref|YP_022848.1|_226-352_1TQI:A:91-282	0	10	1	4	0	15	9	8	0	192
gi|48477144|ref|YP_022850.1|_24-426_1PW4:A:	2	0	1	18	0	21	18	22	0	450
gi|48477145|ref|YP_022851.1|_16-382_1PW4:A:	2	0	1	18	0	21	18	22	0	450
gi|48477148|ref|YP_022854.1|_207-472_1HV8:A:211-365	1	6	1	6	0	17	12	7	0	155
gi|48477148|ref|YP_022854.1|_272-328,581-692_1T5I:A:	0	7	3	5	0	16	12	5	0	168
gi|48477149|ref|YP_022855.1|_231-437_1YF2:A:1-220	4	12	1	7	0	27	10	10	0	220
gi|48477149|ref|YP_022855.1|_7-231_1YF2:A:1-220	4	12	1	7	0	27	10	10	0	220
gi|48477150|ref|YP_022856.1|_89-124,154-574_2OKC:A:9-433	2	9	3	16	0	39	24	24	0	425
gi|48477152|ref|YP_022858.1|_50-91_1O3U:A:	0	0	0	5	0	6	4	5	0	134
gi|48477154|ref|YP_022860.1|_8-94_1R1U:A:	1	2	0	5	0	6	4	5	0	94
gi|48477156|ref|YP_022862.1|_2-310_1LI5:A:1-315	10	12	4	9	0	33	15	16	0	315
gi|48477156|ref|YP_022862.1|_315-454_1U0B:B:316-461	1	2	0	8	0	14	6	10	0	146
gi|48477157|ref|YP_022863.1|_8-376_1IO7:A:	2	10	6	16	0	36	19	24	0	366
gi|48477158|ref|YP_022864.1|_10-436_1PW4:A:	2	0	1	18	0	21	18	22	0	450
gi|48477159|ref|YP_022865.1|_4-244_1G29:1:1-240	1	11	4	8	0	20	15	14	0	240
gi|48477159|ref|YP_022865.1|_238-343_1OXS:C:243-352	0	10	2	0	0	11	6	6	0	110
gi|48477160|ref|YP_022866.1|_4-268_2R6G:G:7-296	4	0	2	14	0	20	19	13	0	290
gi|48477161|ref|YP_022867.1|_56-285_2R6G:F:261-504	2	0	3	12	0	16	15	16	0	244
gi|48477161|ref|YP_022867.1|_12-54_2R6G:F:13-260	5	14	2	8	0	30	12	13	0	248
gi|48477162|ref|YP_022868.1|_48-447_1EU8:A:	9	13	3	18	0	37	19	31	0	407
gi|48477163|ref|YP_022869.1|_230-460_1O7D:A:51-342,B:347-384	6	10	1	10	0	37	20	19	1	330
gi|48477163|ref|YP_022869.1|_586-952_1O7D:C:488-585,D:603-875,E:885-1007	8	35	4	2	0	60	35	19	2	490
gi|48477163|ref|YP_022869.1|_491-589_1HTY:A:412-522	3	0	2	3	0	9	5	8	0	111
gi|48477164|ref|YP_022870.1|_152-493_2F2H:A:248-585	10	10	5	9	0	36	16	18	0	338
gi|48477164|ref|YP_022870.1|_13-150_2F2H:A:1-247	2	21	1	1	0	22	20	14	0	247
gi|48477164|ref|YP_022870.1|_495-558_2F2H:A:586-665	0	8	1	1	0	13	7	5	0	80
gi|48477165|ref|YP_022871.1|_10-454_1PW4:A:	2	0	1	18	0	21	18	22	0	450
gi|48477167|ref|YP_022873.1|_11-236_1VPL:A:	2	10	2	9	0	18	9	15	0	238
gi|48477170|ref|YP_022876.1|_1-120_1FJJ:A:	5	8	2	1	0	21	10	12	0	158
gi|48477172|ref|YP_022878.1|_5-396_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|48477174|ref|YP_022880.1|_59-290_1K5C:A:	1	29	3	0	0	49	30	12	0	333
gi|48477175|ref|YP_022881.1|_3-541_1X87:A:	3	14	3	18	0	47	22	31	0	545
gi|48477177|ref|YP_022883.1|_55-347_2BB0:A:74-373	5	9	2	15	0	29	13	18	0	300
gi|48477177|ref|YP_022883.1|_2-56,346-388_1GKP:A:2-54,A:390-459	2	13	1	0	0	18	6	8	1	123
gi|48477178|ref|YP_022884.1|_5-294_1GQ6:A:	7	8	6	9	0	33	21	11	0	301
gi|48477179|ref|YP_022885.1|_1-486_1B8F:A:	2	9	7	20	0	42	21	27	0	509
gi|48477180|ref|YP_022886.1|_1-195_1G3Q:A:	0	8	3	11	0	25	16	14	0	237
gi|48477180|ref|YP_022886.1|_242-437_1Q7R:A:	0	12	3	6	0	17	7	9	0	218
gi|48477181|ref|YP_022887.1|_1-212_3EEQ:A:8-214	1	10	3	6	0	24	8	10	0	205
gi|48477181|ref|YP_022887.1|_200-320_3BY5:A:8-130	0	6	1	4	0	16	5	5	0	123
gi|48477182|ref|YP_022888.1|_3-276_1SR8:A:	5	18	4	9	0	34	15	17	0	282
gi|48477183|ref|YP_022889.1|_2-191_1V9C:A:	0	6	2	11	0	19	8	13	0	204
gi|48477185|ref|YP_022891.1|_16-154_2GH1:A:13-293	0	10	2	12	0	27	11	18	0	281
gi|48477186|ref|YP_022892.1|_13-95_2FSW:A:3-104	0	3	0	6	0	8	6	6	0	102
gi|48477188|ref|YP_022894.1|_131-359_1R0M:A:133-375	10	10	3	8	0	31	22	16	0	243
gi|48477188|ref|YP_022894.1|_1-119_1SJD:A:1-125	3	3	0	5	0	10	5	5	0	125
gi|48477189|ref|YP_022895.1|_157-398_1XHB:A:95-422	1	12	5	11	0	35	18	17	0	328
gi|48477190|ref|YP_022896.1|_20-215_1J2R:A:	2	6	3	6	0	16	9	11	0	188
