PDB_ID	Total_Structures	Average_Length
gb|GLP15_2417_6-210_1BYU:A:	65	3.11
gb|GLP15_420_6-46_1R2A:A:	11	4.09
gb|GLP15_3984_3-64_1NY4:A:	22	3.23
gb|GLP15_3785_23-299_1FJM:A:	98	3.00
gb|GLP15_4636_4-100_2V94:A:1-93	25	3.72
gb|GLP15_585_13-105_1T0K:B:	33	2.94
gb|GLP15_4488_4-162_1PZV:A:	53	3.04
gb|GLP15_2737_100-198_2QAL:C:106-206	33	3.06
gb|GLP15_2737_16-107_1WH9:A:	26	3.50
gb|GLP15_5143_4-167_1XO7:A:	63	2.63
gb|GLP15_5148_4-80_1CKS:A:	24	3.08
gb|GLP15_1004_31-88,122-251_1S0U:A:34-229	56	3.48
gb|GLP15_1004_246-361_1S0U:A:230-347	45	2.62
gb|GLP15_1004_362-465_1S0U:A:348-437	22	4.09
gb|GLP15_676_2-93_1Y4O:A:10-104	20	4.75
gb|GLP15_3166_4-157_2GGM:A:24-166	34	4.21
gb|GLP15_1773_1-243_1TUB:B:1-245	73	3.33
gb|GLP15_1773_244-428_1TUB:B:246-437	64	2.88
gb|GLP15_1776_1-243_1TUB:B:1-245	73	3.33
gb|GLP15_1776_244-428_1TUB:B:246-437	64	2.88
gb|GLP15_1749_8-50_2EZW:A:12-61	14	3.57
gb|GLP15_1749_21-118_1CMF:A:	24	3.04
gb|GLP15_4559_2-134_1KX5:A:	42	3.21
gb|GLP15_4705_2-134_1KX5:A:	42	3.21
gb|GLP15_2325_4-175_1G16:A:	49	3.39
gb|GLP15_2326_24-160_1AUI:B:	49	3.37
gb|GLP15_1943_8-103_1I50:F:	29	2.90
gb|GLP15_339_7-95_1EQZ:A:	40	3.12
gb|GLP15_2239_8-92_1N1J:A:	21	4.14
gb|GLP15_5036_25-158_2GY9:I:4-129	33	3.82
gb|GLP15_3220_9-95_1SQR:A:	29	3.00
gb|GLP15_105_1-89_1RE6:A:	34	2.74
gb|GLP15_2290_18-143_2QAL:K:12-128	33	3.55
gb|GLP15_26_6-151_1MXE:A:	37	3.89
gb|GLP15_2758_13-77_2F3N:A:2-65	17	3.76
gb|GLP15_187_4-130_1I6U:A:	43	3.00
gb|GLP15_2364_1-146_1USU:A:	75	3.41
gb|GLP15_2364_169-292_1SF8:A:	29	4.31
gb|GLP15_2371_23-171_2GGM:A:24-166	34	4.21
