PDB_ID	Total_Structures	Average_Length
gi|116618456|ref|YP_818827.1|_1-49_2J01:6:9-53	11	4.09
gi|116617350|ref|YP_817721.1|_2-70_1AH9:A:	31	2.29
gi|116617337|ref|YP_817708.1|_2-64_1R73:A:	11	6.00
gi|116617328|ref|YP_817699.1|_5-102_2QAL:J:5-102	33	2.97
gi|116617175|ref|YP_817546.1|_108-319_1L8Q:A:77-289	53	4.02
gi|116617175|ref|YP_817546.1|_341-445_1J1V:A:	19	4.95
gi|116617176|ref|YP_817547.1|_252-377_1VPK:A:244-366	38	3.24
gi|116617176|ref|YP_817547.1|_1-125_2POL:A:1-122	38	3.21
gi|116617176|ref|YP_817547.1|_132-253_2POL:A:123-244	30	4.07
gi|116617177|ref|YP_817548.1|_3-68_1P9K:A:	27	2.89
gi|116617178|ref|YP_817549.1|_1-217,244-352_1F2T:A:,B:	88	3.33
gi|116617179|ref|YP_817550.1|_431-663_1BJT:A:	202	3.76
gi|116617179|ref|YP_817550.1|_38-247_1EI1:A:2-220	76	2.88
gi|116617179|ref|YP_817550.1|_257-428_1EI1:A:221-392	42	4.10
gi|116617180|ref|YP_817551.1|_32-487_1AB4:A:	139	3.55
gi|116617180|ref|YP_817551.1|_500-820_1WP5:A:	122	2.64
gi|116617181|ref|YP_817552.1|_1-157_2F8A:A:12-195	73	2.52
gi|116617182|ref|YP_817553.1|_2-114_1KRW:A:	32	3.88
gi|116617183|ref|YP_817554.1|_131-238_1L0O:A:	42	3.36
gi|116617184|ref|YP_817555.1|_2-78,223-507_2F9F:A:2-167	56	2.96
gi|116617185|ref|YP_817556.1|_264-487_2F9F:A:2-167	56	2.96
gi|116617187|ref|YP_817558.1|_316-477_1HKH:A:	88	3.17
gi|116617189|ref|YP_817560.1|_3-117_1O0I:A:	43	3.19
gi|116617190|ref|YP_817561.1|_11-273_1Q52:A:	75	3.96
gi|116617191|ref|YP_817562.1|_2-264_1F89:A:	79	3.56
gi|116617192|ref|YP_817563.1|_6-389_1GDE:A:	115	3.37
gi|116617193|ref|YP_817564.1|_7-387_1PW4:A:	82	5.49
gi|116617194|ref|YP_817565.1|_3-255_1YV9:A:4-256	86	2.94
gi|116617197|ref|YP_817568.1|_14-146_1Q2Y:A:	39	3.59
gi|116617198|ref|YP_817569.1|_266-669_1HDH:A:	178	2.95
gi|116617199|ref|YP_817570.1|_12-353_2F9F:A:2-167	56	2.96
gi|116617200|ref|YP_817571.1|_18-92_1Q06:A:	28	4.54
gi|116617201|ref|YP_817572.1|_82-295_1PRZ:A:	84	3.00
gi|116617202|ref|YP_817573.1|_1-231_1RC2:A:	46	5.02
gi|116617203|ref|YP_817574.1|_385-402,440-679_2B8E:A:416-434,A:548-663	46	2.96
gi|116617203|ref|YP_817574.1|_188-283_1SU4:A:125-239	52	2.21
gi|116617203|ref|YP_817574.1|_135-189,286-373_1SU4:A:1-124,A:240-343,A:751-994	104	4.56
gi|116617204|ref|YP_817575.1|_5-122_1OKR:A:	24	5.00
gi|116617205|ref|YP_817576.1|_1-77_3BWG:A:5-82	24	3.25
gi|116617206|ref|YP_817577.1|_3-207_1VPL:A:	65	3.66
gi|116617208|ref|YP_817579.1|_3-222_1VPL:A:	65	3.66
gi|116617210|ref|YP_817581.1|_5-271_1HW6:A:	82	3.20
gi|116617211|ref|YP_817582.1|_4-371_1VEF:A:9-395	126	3.07
gi|116617212|ref|YP_817583.1|_1-242_2BTY:A:1-282	88	3.20
gi|116617213|ref|YP_817584.1|_19-400_1VZ6:A:	99	3.87
gi|116617214|ref|YP_817585.1|_150-314_1VKN:A:145-307	52	3.13
gi|116617214|ref|YP_817585.1|_6-176_1VKN:A:1-144,A:308-339	59	3.00
gi|116617215|ref|YP_817586.1|_3-162_1FJJ:A:	59	2.68
gi|116617218|ref|YP_817589.1|_4-135_1LSU:A:	40	3.35
gi|116617218|ref|YP_817589.1|_131-216_1VCT:A:108-201	32	2.94
gi|116617220|ref|YP_817591.1|_5-396_1PV7:A:	68	6.13
gi|116617221|ref|YP_817592.1|_1-65_1UTX:A:	21	3.14
gi|116617222|ref|YP_817593.1|_25-85_1B0N:A:1-68	19	3.58
gi|116617227|ref|YP_817598.1|_6-230_3DHW:C:1-240	71	3.38
gi|116617227|ref|YP_817598.1|_249-490_1JI0:A:	71	3.38
gi|116617230|ref|YP_817601.1|_1-145_1HYH:A:21-166	42	3.48
gi|116617230|ref|YP_817601.1|_144-300_1HYH:A:167-329	40	4.08
gi|116617231|ref|YP_817602.1|_4-233_1F3O:A:	70	3.31
gi|116617233|ref|YP_817604.1|_39-258_1JDP:A:	107	3.75
gi|116617234|ref|YP_817605.1|_12-73_1Y7Y:A:5-73	19	3.63
gi|116617235|ref|YP_817606.1|_1-185_1VL8:A:	73	3.44
gi|116617238|ref|YP_817609.1|_474-714_2HYD:A:324-578	88	2.90
