PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|160901492|ref|YP_001567073.1|_100-309_1L8Q:A:77-289	0.00	4.80	3.50	12.33	0.00	1.82	2.00	2.00	0.00	213.00
gi|160901492|ref|YP_001567073.1|_352-447_1J1V:A:	0.00	0.00	0.00	11.83	0.00	2.14	1.00	1.67	0.00	94.00
gi|160901494|ref|YP_001567075.1|_3-89_1ZPY:A:4-94	0.00	0.00	3.00	22.00	0.00	1.88	1.00	1.50	0.00	91.00
gi|160901495|ref|YP_001567076.1|_12-50_2H1C:A:1-138	0.00	2.80	3.33	10.14	0.00	1.53	1.50	1.75	0.00	138.00
gi|160901498|ref|YP_001567079.1|_10-249_2ONK:C:1-252	0.00	0.00	3.00	16.25	0.00	1.54	1.33	2.44	0.00	252.00
gi|160901498|ref|YP_001567079.1|_272-507_2R6G:F:261-504	1.00	0.00	3.00	12.75	0.00	1.56	1.87	1.69	0.00	244.00
gi|160901499|ref|YP_001567080.1|_21-321_1Y4T:A:	1.00	5.10	3.50	9.79	0.00	1.93	1.44	1.88	0.00	317.00
gi|160901500|ref|YP_001567081.1|_32-247_1O0Y:A:	0.00	4.62	3.00	11.36	0.00	2.22	1.43	2.00	0.00	259.00
gi|160901501|ref|YP_001567082.1|_1-64_1G6P:A:	1.50	7.00	0.00	0.00	0.00	1.78	2.60	3.00	0.00	66.00
gi|160901502|ref|YP_001567083.1|_129-185_1UEB:A:127-184	0.00	5.80	0.00	0.00	0.00	1.43	2.25	2.50	0.00	58.00
gi|160901502|ref|YP_001567083.1|_68-127_1UEB:A:64-126	1.00	7.20	3.00	0.00	0.00	1.60	1.00	2.20	0.00	63.00
gi|160901502|ref|YP_001567083.1|_1-63_1UEB:A:1-63	0.00	6.33	3.00	0.00	0.00	1.29	2.50	2.00	0.00	63.00
gi|160901504|ref|YP_001567085.1|_11-141_1LJ9:A:	0.00	4.00	3.00	16.17	0.00	1.33	1.33	1.78	0.00	144.00
gi|160901506|ref|YP_001567087.1|_11-139_2A61:A:5-143	1.00	7.50	0.00	14.71	0.00	1.43	1.00	1.50	0.00	139.00
gi|160901509|ref|YP_001567090.1|_2-250_1OXW:A:	1.00	6.00	3.33	11.83	0.00	1.77	1.75	2.00	0.00	360.00
gi|160901510|ref|YP_001567091.1|_11-216_1OXW:A:	1.00	6.00	3.33	11.83	0.00	1.77	1.75	2.00	0.00	360.00
gi|160901514|ref|YP_001567095.1|_13-169,285-414_1LRV:A:	1.00	0.00	6.12	9.00	0.00	1.50	1.50	2.46	0.00	233.00
gi|160901515|ref|YP_001567096.1|_38-186_1ORE:A:	0.00	6.56	3.00	9.00	0.00	1.38	1.75	2.00	0.00	179.00
gi|160901516|ref|YP_001567097.1|_1-303_2DCN:A:2-309	1.00	5.57	3.00	10.27	0.00	1.72	1.77	2.12	0.00	308.00
gi|160901517|ref|YP_001567098.1|_1-169_1D1G:A:	0.00	5.45	0.00	9.75	0.00	1.48	1.29	2.00	0.00	164.00
gi|160901518|ref|YP_001567099.1|_20-411_1EU8:A:	1.00	5.00	3.33	10.11	0.00	1.65	1.32	1.77	0.00	407.00
gi|160901519|ref|YP_001567100.1|_58-290_2R6G:F:261-504	1.00	0.00	3.00	12.75	0.00	1.56	1.87	1.69	0.00	244.00
gi|160901520|ref|YP_001567101.1|_9-283_2R6G:G:7-296	1.00	0.00	3.50	12.64	0.00	2.20	1.63	2.08	0.00	290.00
gi|160901521|ref|YP_001567102.1|_3-174_1K2Y:X:5-154	1.00	5.14	3.00	12.75	0.00	1.93	1.60	1.80	0.00	150.00
gi|160901521|ref|YP_001567102.1|_252-360_1K2Y:X:259-367	1.00	4.00	0.00	10.80	0.00	1.00	1.33	1.62	0.00	109.00
gi|160901521|ref|YP_001567102.1|_150-251_1K2Y:X:155-258	0.00	4.40	4.00	9.33	0.00	1.50	1.22	1.75	0.00	104.00
gi|160901521|ref|YP_001567102.1|_352-437_1WJW:A:	0.00	6.33	0.00	14.50	0.00	4.86	3.00	1.67	0.00	111.00
gi|160901522|ref|YP_001567103.1|_30-249_1L1J:A:	1.00	5.86	3.00	7.00	0.00	2.00	1.71	2.67	0.00	228.00
gi|160901522|ref|YP_001567103.1|_238-348_1KY9:A:260-353	1.00	3.00	0.00	5.00	0.00	2.36	2.00	2.12	0.00	94.00
gi|160901522|ref|YP_001567103.1|_359-450_1KY9:B:359-446	1.00	3.75	3.00	7.00	0.00	2.54	2.43	2.20	0.00	88.00
gi|160901523|ref|YP_001567104.1|_11-153_2AEE:A:1-208	0.00	4.30	4.50	12.14	0.00	1.73	1.30	2.00	0.00	208.00
gi|160901524|ref|YP_001567105.1|_3-245_1R3D:A:	1.00	5.71	3.33	10.27	0.00	2.12	1.31	2.00	0.00	263.00
gi|160901525|ref|YP_001567106.1|_112-390_1PVO:A:129-417	1.00	4.80	3.33	10.73	0.00	1.75	1.55	2.38	0.00	289.00
gi|160901525|ref|YP_001567106.1|_72-147_1A62:A:48-125	1.00	6.40	3.00	6.00	0.00	1.67	1.00	2.00	0.00	78.00
gi|160901525|ref|YP_001567106.1|_23-67_1A62:A:1-47	1.00	0.00	0.00	9.33	0.00	1.60	1.00	2.00	0.00	47.00
gi|160901529|ref|YP_001567110.1|_18-287_2ETV:A:25-358	1.00	3.77	3.40	9.07	0.00	1.82	1.19	1.74	0.00	334.00
gi|160901530|ref|YP_001567111.1|_11-332_1L7V:A:	1.00	0.00	3.00	17.07	0.00	2.00	2.00	2.08	0.00	324.00
gi|160901531|ref|YP_001567112.1|_2-228_1F3O:A:	0.00	6.00	3.00	11.14	0.00	1.59	1.47	2.21	0.00	232.00
gi|160901532|ref|YP_001567113.1|_4-229_1TYY:A:	0.00	4.50	3.25	11.00	0.00	2.06	1.87	2.18	0.00	304.00
gi|160901533|ref|YP_001567114.1|_3-137_1XD7:A:	1.00	2.00	3.00	11.83	0.00	2.73	1.83	1.50	0.00	127.00
gi|160901535|ref|YP_001567116.1|_5-223_1VR0:A:1-235	1.00	4.30	3.00	9.00	0.00	1.52	1.18	2.00	0.00	235.00
gi|160901536|ref|YP_001567117.1|_1-203_1EBB:A:	1.00	6.00	3.00	10.14	0.00	1.65	1.57	1.92	0.00	202.00
