PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|147902268|ref|NP_001088067|_1-116_1GNU:A:	1.00	5.50	0.00	9.50	0.00	1.87	1.12	2.00	0.00	117.00
gi|148223045|ref|NP_001085553|_1-116_1GNU:A:	1.00	5.50	0.00	9.50	0.00	1.87	1.12	2.00	0.00	117.00
gi|49115106|gb|AAH72921|_1-116_1GNU:A:	1.00	5.50	0.00	9.50	0.00	1.87	1.12	2.00	0.00	117.00
gi|52354790|gb|AAH82864|_1-116_1GNU:A:	1.00	5.50	0.00	9.50	0.00	1.87	1.12	2.00	0.00	117.00
gi|82184550|sp|Q6GQ27|_1-116_1GNU:A:	1.00	5.50	0.00	9.50	0.00	1.87	1.12	2.00	0.00	117.00
gi|109157557|gb|2F8N_B|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|109157557|gb|2F8N_B|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|109157560|gb|2F8N_F|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|109157560|gb|2F8N_F|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|148228507|ref|NP_001087926|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|148228507|ref|NP_001087926|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|214275|gb|AAA49761|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|214275|gb|AAA49761|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|214280|gb|AAA49766|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|214280|gb|AAA49766|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|214286|gb|AAA49771|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|214286|gb|AAA49771|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|50604163|gb|AAH78038|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|50604163|gb|AAH78038|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|51317335|sp|P62799|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|51317335|sp|P62799|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|64765|gb|CAA25042|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|64765|gb|CAA25042|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|64768|gb|CAA26809|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|64768|gb|CAA26809|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|64773|gb|CAA26814|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|64773|gb|CAA26814|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|64779|gb|CAA26819|_26-103_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
gi|64779|gb|CAA26819|_10-102_2L5A:A:1-225	0.00	0.00	3.00	16.14	0.00	3.47	1.54	1.92	0.00	224.00
gi|148233962|ref|NP_001080758|_5-156_1U9A:A:	1.50	7.00	3.00	13.50	0.00	1.70	1.11	2.55	0.00	160.00
gi|2078331|gb|AAB57736|_5-156_1U9A:A:	1.50	7.00	3.00	13.50	0.00	1.70	1.11	2.55	0.00	160.00
gi|28277235|gb|AAH46273|_5-156_1U9A:A:	1.50	7.00	3.00	13.50	0.00	1.70	1.11	2.55	0.00	160.00
gi|54039793|sp|P63282|_5-156_1U9A:A:	1.50	7.00	3.00	13.50	0.00	1.70	1.11	2.55	0.00	160.00
gi|147899211|ref|NP_001080128|_18-112_1LM8:C:	0.00	4.33	3.00	9.50	0.00	3.11	1.00	1.67	0.00	96.00
gi|32766703|gb|AAH55268|_18-112_1LM8:C:	0.00	4.33	3.00	9.50	0.00	3.11	1.00	1.67	0.00	96.00
gi|148222500|ref|NP_001084538|_2-143_1D7Q:A:	0.00	6.40	4.00	7.00	0.00	3.47	2.33	2.17	0.00	143.00
gi|148230953|ref|NP_001086071|_2-143_1D7Q:A:	0.00	6.40	4.00	7.00	0.00	3.47	2.33	2.17	0.00	143.00
gi|46250212|gb|AAH68786|_2-143_1D7Q:A:	0.00	6.40	4.00	7.00	0.00	3.47	2.33	2.17	0.00	143.00
gi|49257578|gb|AAH74155|_2-143_1D7Q:A:	0.00	6.40	4.00	7.00	0.00	3.47	2.33	2.17	0.00	143.00
gi|147899976|ref|NP_001088861|_13-91_1X6O:A:19-86	0.00	6.50	3.00	0.00	0.00	2.67	1.00	2.25	0.00	68.00
gi|147899976|ref|NP_001088861|_84-152_1XTD:A:95-172	1.00	7.00	0.00	13.00	0.00	1.60	1.20	1.75	0.00	78.00
gi|60552517|gb|AAH91629|_13-91_1X6O:A:19-86	0.00	6.50	3.00	0.00	0.00	2.67	1.00	2.25	0.00	68.00
gi|60552517|gb|AAH91629|_84-152_1XTD:A:95-172	1.00	7.00	0.00	13.00	0.00	1.60	1.20	1.75	0.00	78.00
gi|148236927|ref|NP_001085456|_1-76_1XD3:B:	1.00	4.80	3.00	12.00	0.00	1.70	1.00	2.50	0.00	75.00
gi|148236927|ref|NP_001085456|_76-127_2AYJ:A:1-56	0.00	2.67	0.00	0.00	0.00	2.17	1.67	3.00	0.00	56.00
gi|49255973|gb|AAH72791|_1-76_1XD3:B:	1.00	4.80	3.00	12.00	0.00	1.70	1.00	2.50	0.00	75.00
gi|49255973|gb|AAH72791|_76-127_2AYJ:A:1-56	0.00	2.67	0.00	0.00	0.00	2.17	1.67	3.00	0.00	56.00
gi|147900213|ref|NP_001087980|_8-182_1Z0F:A:8-173	0.00	7.17	3.00	9.33	0.00	1.42	1.22	1.85	0.00	167.00
gi|52138917|gb|AAH82642|_8-182_1Z0F:A:8-173	0.00	7.17	3.00	9.33	0.00	1.42	1.22	1.85	0.00	167.00
gi|148229616|ref|NP_001083182|_1-149_1JAS:A:	1.50	5.75	3.50	12.25	0.00	1.88	1.54	2.25	0.00	152.00
