PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
jgi|Phatr2|25172|estExt_Genewise1.C_chr_20044_24-190_1RWT:A:	4	0	5	5	0	27	15	15	0	218
jgi|Phatr2|18202|estExt_gwp_gw1.C_chr_20240_690-876_1RRE:A:	5	10	1	6	0	17	11	10	0	182
jgi|Phatr2|18202|estExt_gwp_gw1.C_chr_20240_386-641_1KSF:X:437-755	2	10	4	12	0	25	21	18	0	319
jgi|Phatr2|18202|estExt_gwp_gw1.C_chr_20240_71-278_2ANE:A:8-117	2	6	1	1	0	12	6	4	0	110
jgi|Phatr2|29136|estExt_Genewise1.C_chr_150127_149-377_2BTF:A:147-375	0	9	5	10	0	22	20	16	0	229
jgi|Phatr2|29136|estExt_Genewise1.C_chr_150127_6-155_1C0G:A:1-146	0	10	2	4	0	13	10	8	0	146
jgi|Phatr2|46636|estExt_fgenesh1_pg.C_chr_110005_167-234_1GGZ:A:	0	4	0	7	0	13	4	7	0	144
jgi|Phatr2|46641|estExt_fgenesh1_pg.C_chr_110010_309-663,692-718_1C0N:A:	4	15	6	13	0	47	23	26	0	404
jgi|Phatr2|46641|estExt_fgenesh1_pg.C_chr_110010_742-871_2EXN:A:1-128	0	10	2	1	0	16	8	7	0	120
jgi|Phatr2|3639|gw1.11.151.1_8-158_1YDW:A:6-133,A:305-360	0	7	2	7	0	18	5	9	1	184
jgi|Phatr2|3639|gw1.11.151.1_139-295_1OFG:A:161-322	0	8	1	5	0	16	15	8	0	162
jgi|Phatr2|28068|estExt_Genewise1.C_chr_110007_35-312_1WDK:C:2-263	5	8	5	7	0	26	13	19	0	262
jgi|Phatr2|28068|estExt_Genewise1.C_chr_110007_314-452_1WDK:C:264-391	2	4	3	5	0	10	4	7	0	128
jgi|Phatr2|13399|e_gw1.11.174.1_6-252_1T77:A:2186-2489	10	0	6	13	0	39	25	20	0	304
jgi|Phatr2|36666|fgenesh1_pg.C_chr_11000019_41-139,169-281_2Q46:A:2-253	0	12	3	8	0	27	15	20	0	252
jgi|Phatr2|36668|fgenesh1_pg.C_chr_11000021_238-522_1GXR:A:	2	31	0	0	0	37	29	20	0	336
jgi|Phatr2|20948|estExt_gwp_gw1.C_chr_110012_4-100_1J3S:A:	2	0	0	5	0	12	8	6	0	104
jgi|Phatr2|13418|e_gw1.11.66.1_10-418_1U7G:A:	2	2	6	15	0	21	14	16	0	383
jgi|Phatr2|54621|estExt_Phatr1_ua_kg.C_chr_110006_39-427_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
jgi|Phatr2|46656|estExt_fgenesh1_pg.C_chr_110027_18-87,114-192,277-317,380-415,448-496_1MC3:A:	2	13	3	12	0	30	22	19	0	295
jgi|Phatr2|46657|estExt_fgenesh1_pg.C_chr_110028_75-216_1RFS:A:	8	9	1	1	0	24	9	10	0	127
jgi|Phatr2|46657|estExt_fgenesh1_pg.C_chr_110028_50-83_1Q90:R:	0	0	0	1	0	2	1	0	0	39
jgi|Phatr2|13358|e_gw1.11.246.1_59-177_1RFS:A:	8	9	1	1	0	24	9	10	0	127
jgi|Phatr2|13358|e_gw1.11.246.1_11-43_1Q90:R:	0	0	0	1	0	2	1	0	0	39
jgi|Phatr2|52094|phatr1_ua_kg.chr_11000008_36-100,129-190_1I50:C:42-172	0	8	3	1	0	20	8	7	0	131
jgi|Phatr2|52094|phatr1_ua_kg.chr_11000008_8-41,225-311_1I50:C:3-41,C:173-268	2	3	1	3	0	17	12	4	1	135
jgi|Phatr2|46661|estExt_fgenesh1_pg.C_chr_110032_124-414_1LL2:A:	1	11	7	10	0	24	19	16	0	263
jgi|Phatr2|46663|estExt_fgenesh1_pg.C_chr_110034_115-216_1X6M:A:	1	11	5	3	0	24	13	10	0	195
jgi|Phatr2|13383|e_gw1.11.212.1_4-164_1OZ4:A:471-763	2	0	3	7	0	31	24	19	0	292
jgi|Phatr2|46664|estExt_fgenesh1_pg.C_chr_110036_130-420_1F0X:A:9-273	7	11	5	7	0	41	22	16	0	265
jgi|Phatr2|46664|estExt_fgenesh1_pg.C_chr_110036_423-686_1F0X:A:274-567	2	7	0	9	0	22	13	11	0	294
jgi|Phatr2|46667|estExt_fgenesh1_pg.C_chr_110039_296-397_2FRN:A:19-278	0	13	3	6	0	25	10	16	0	260
jgi|Phatr2|46668|estExt_fgenesh1_pg.C_chr_110040_10-415_1BHE:A:	4	30	1	2	0	55	38	14	0	376
jgi|Phatr2|3578|gw1.11.144.1_2-135,167-291_1DJ0:A:	0	10	4	5	0	30	16	16	0	264
jgi|Phatr2|13520|e_gw1.11.299.1_16-120_1H2T:Z:	3	6	4	4	0	20	12	10	0	146
jgi|Phatr2|46672|estExt_fgenesh1_pg.C_chr_110046_89-173,221-504_2NWW:A:12-416	0	0	4	19	0	19	13	21	0	405
jgi|Phatr2|13244|e_gw1.11.231.1_1-247_2EUT:A:4-294	6	5	4	14	0	33	17	17	0	291
jgi|Phatr2|46675|estExt_fgenesh1_pg.C_chr_110049_73-277_1W3B:A:	0	0	0	23	0	35	6	26	0	388
jgi|Phatr2|42051|fgenesh1_pm.C_chr_11000006_249-578_1EOV:A:205-557	7	11	2	13	0	32	18	22	0	353
jgi|Phatr2|42051|fgenesh1_pm.C_chr_11000006_84-210_1EOV:A:71-204	0	6	2	1	0	14	6	5	0	134
jgi|Phatr2|13365|e_gw1.11.107.1_24-297_1A6Q:A:2-296	3	15	2	7	0	26	16	16	0	295
jgi|Phatr2|13221|e_gw1.11.257.1_15-140_2A1I:A:99-227	0	6	2	5	0	12	7	6	0	129
jgi|Phatr2|13221|e_gw1.11.257.1_137-207_2A1J:B:219-296	0	0	0	5	0	5	8	3	0	77
jgi|Phatr2|1103|gw1.11.44.1_2-201_1A06:A:	4	8	4	10	0	29	20	14	0	307
jgi|Phatr2|1103|gw1.11.44.1_240-385_1MXE:A:	0	4	0	8	0	14	5	6	0	144
jgi|Phatr2|1864|gw1.11.67.1_5-238_1A06:A:	4	8	4	10	0	29	20	14	0	307
jgi|Phatr2|1864|gw1.11.67.1_268-404_1S6I:A:	0	4	0	8	0	18	14	14	0	182
jgi|Phatr2|46684|estExt_fgenesh1_pg.C_chr_110059_575-608,699-787,815-827,911-1123_1RPA:A:	3	6	4	14	0	35	19	18	0	342
jgi|Phatr2|7721|gw1.11.307.1_1-91_2JFL:A:21-308	1	11	6	10	0	27	17	20	0	288
jgi|Phatr2|13400|e_gw1.11.166.1_1-153_1A06:A:	4	8	4	10	0	29	20	14	0	307
jgi|Phatr2|13400|e_gw1.11.166.1_180-317_1MXE:A:	0	4	0	8	0	14	5	6	0	144
jgi|Phatr2|21006|estExt_gwp_gw1.C_chr_110076_18-292_1A06:A:	4	8	4	10	0	29	20	14	0	307
jgi|Phatr2|21006|estExt_gwp_gw1.C_chr_110076_311-462_1S6I:A:	0	4	0	8	0	18	14	14	0	182
jgi|Phatr2|46687|estExt_fgenesh1_pg.C_chr_110062_119-373_1H2K:A:	3	17	6	8	0	41	17	19	0	335
jgi|Phatr2|46688|estExt_fgenesh1_pg.C_chr_110063_70-200_1FZQ:A:	0	7	4	6	0	19	9	13	0	176
jgi|Phatr2|13313|e_gw1.11.199.1_57-203_1VE3:A:2-227	0	10	2	7	0	20	9	11	0	226
jgi|Phatr2|13511|e_gw1.11.17.1_23-520,551-625_1GW5:A:	0	2	4	33	0	46	32	22	0	620
jgi|Phatr2|13511|e_gw1.11.17.1_799-937_1GYW:B:	2	8	2	0	0	16	7	6	0	128
jgi|Phatr2|13254|e_gw1.11.317.1_2-108_1OQC:A:	0	0	1	5	0	10	7	4	0	112
