PDB_ID	Total_Structures	Average_Length
YAL002W_57-227,291-359_1NR0:A:2-312	112	2.78
YAL002W_1181-1270_1IYM:A:	24	2.25
YAL003W_118-206_1F60:B:	21	4.29
YAL003W_9-58_1FHE:A:81-214	39	3.44
YAL005C_1-185_1BUP:A:4-188	57	3.25
YAL005C_188-379_1HJO:A:189-382	46	4.22
YAL005C_384-540_1CKR:A:	51	3.12
YAL005C_535-614_1UD0:A:	14	8.00
YAL007C_44-116_1O6U:A:275-398	35	3.54
YAL012W_8-391_1N8P:A:	128	3.07
YAL014C_155-225_1GL2:D:	3	21.33
YAL015C_138-318_1ORN:A:	60	3.75
YAL016W_33-626_1B3U:A:	154	3.82
YAL019W_803-894,941-1104_1Z3I:X:390-735	120	2.88
YAL019W_530-801_1Z63:A:432-661	78	2.95
YAL021C_503-826_1VYB:A:	67	3.52
YAL021C_332-462_1O6V:A:33-416	162	2.35
YAL022C_75-280,324-509_1PV7:A:	68	6.13
YAL023C_346-525_1T9F:A:	70	2.66
YAL024C_8-177,1176-1434_1NVU:S:	110	4.37
YAL029C_60-822_1OE9:A:63-795	178	4.12
YAL029C_1-64_1OE9:A:5-62	18	3.22
YAL030W_25-89_3B5N:A:28-86	2	30.00
YAL033W_7-131_2CZV:C:3-120	28	4.21
YAL034C_311-406_2CUJ:A:8-108	22	4.59
YAL035W_404-696_1G7S:A:1-227	74	3.07
YAL035W_731-857_1G7S:A:329-459	38	3.45
YAL035W_863-1001_1G7S:A:460-587	39	3.28
YAL036C_68-307_1LNZ:A:158-342	63	2.94
YAL036C_288-368_1WXQ:A:320-395	25	3.04
YAL038W_16-92,177-361_1A3W:A:2-87,A:189-366	84	3.15
YAL038W_369-500_1A3W:A:367-500	47	2.85
YAL038W_88-188_1A3W:A:88-188	42	2.40
YAL040C_69-206_1W98:B:88-227	32	4.38
YAL041W_268-475_1FOE:A:1034-1239	42	4.90
YAL041W_751-853_1Q1O:A:	28	3.46
YAL041W_473-521,603-668_2COD:A:8-109	27	3.78
YAL044C_42-166_1ONL:A:	49	2.59
YAL044W-A_4-108_1V9J:A:	33	3.39
YAL046C_18-108_1V9J:A:	33	3.39
YAL048C_445-613_2FV8:A:4-184	48	3.77
YAL048C_3-217_2ERY:A:10-180	50	3.38
YAL048C_185-294,336-397_1JFJ:A:	36	3.72
YAL049C_27-240_1DIN:A:	77	3.03
YAL054C_75-708_1RY2:A:	245	2.61
YAL058W_241-381_1JHN:A:270-411	64	2.22
YAL058W_30-232_1JHN:A:61-262,A:412-458	83	3.01
YAL061W_1-198_1E3J:A:4-142,A:313-351	66	2.71
YAL061W_165-337_1E3J:A:143-312	58	2.93
YAL062W_3-187_1BGV:A:1-194	54	3.59
YAL062W_185-454_1BGV:A:195-449	77	3.31
YAL067C_126-557_1PW4:A:	82	5.49
YAR003W_31-344_1ERJ:A:	123	3.15
YAR007C_445-618_1L1O:C:	47	3.79
YAR007C_299-422_1FGU:A:299-426	39	3.28
YAR007C_183-296_1FGU:A:181-298	40	2.95
YAR007C_3-112_1EWI:A:	39	2.92
YAR008W_182-265_1A79:A:83-179	33	2.94
YAR009C_103-253_1ASU:A:	47	3.45
YAR009C_773-921,967-1103_1HAR:A:	58	3.72
YAR015W_12-304_2CNQ:A:2-305	93	3.27
YAR018C_9-186,224-350_2JAV:A:3-271	70	3.84
YAR035W_3-434_1NM8:A:9-385	99	3.76
YAR035W_435-648_1NDB:A:406-625	62	3.55
YAR042W_794-1188_1ZHX:A:2-434	139	3.12
YAR042W_280-380_1V89:A:	37	3.16
YAR042W_22-242_1UOH:A:	69	3.23
YHR213W_2-39,66-170_1ACC:A:	243	3.02
YAR071W_33-459_1QFX:A:	140	3.19
YAR073W_32-128,208-372_1JR1:A:17-112,A:233-514	135	2.81
YAR073W_123-232_1JCN:A:112-231	29	4.14
YAR075W_11-154_1JR1:A:17-112,A:233-514	135	2.81
YBL001C_6-98_1LXJ:A:	24	4.33
YBL002W_13-128_1ID3:D:	19	4.89
YBL003C_7-127_1ID3:C:	37	2.97
YBL004W_1344-1431,1478-1559,1591-1680,1778-2261_1IAL:A:	111	4.08
YBL004W_83-312,340-406,452-617,658-757_1IAL:A:	111	4.08
YBL004W_1052-1117,1145-1535_1GW5:B:	158	3.66
YBL004W_2197-2413_1UG3:A:1438-1564	30	4.23
YBL005W_5-47_1CLD:A:	9	3.67
YBL005W-B_662-812_1ASU:A:	47	3.45
YBL005W-B_1332-1475,1526-1662_1MU2:A:3-429	135	3.16
YBL007C_54-159_1SHF:A:	23	2.57
YBL007C_356-457_1GBR:A:	36	2.03
YBL007C_6-69_1JQQ:A:	33	2.76
YBL009W_445-574_1F3M:C:	99	2.97
YBL011W_239-342_1K30:A:	89	4.12
YBL013W_30-203_1FMT:A:1-206	65	3.17
YBL015W_239-518_2G39:A:224-497	101	2.71
YBL015W_8-237_2G39:A:3-223	86	2.57
YBL016W_6-318_2F9G:A:	95	3.72
YBL017C_742-943,1052-1245_1SQJ:A:4-430	173	2.47
YBL017C_53-198,312-430_1V0E:A:245-760	190	2.72
YBL017C_177-336,407-573_1SQJ:A:431-786	149	2.39
YBL019W_17-111,160-362_1HD7:A:	90	3.06
YBL021C_38-142_1N1J:A:	21	4.14
YBL022C_926-1107_1RRE:A:	60	3.03
YBL022C_577-845_1QVR:A:536-850	98	3.21
YBL022C_181-285_2ANE:A:8-117	32	3.44
YBL023C_207-457_4POF:B:2-254	71	3.56
YBL023C_503-704,748-845_1OFH:A:	90	3.43
YBL023C_516-714,757-858_3JA8:4:1-933	101	2.93
YBL024W_41-351,383-411_1IXK:A:	89	3.52
YBL026W_5-87_4C92:B:2-95	27	3.48
YBL030C_80-308_4C9G:A:	47	6.09
YBL030C_17-88_4C9G:A:	47	6.09
YBL032W_146-234_2AXY:A:11-81	16	4.44
YBL032W_43-117_2AXY:A:11-81	16	4.44
YBL032W_250-334_1J4W:A:104-174	18	3.94
YBL033C_126-277_2BZ1:A:1-174	50	3.48
YBL033C_33-77_2BZ1:A:1-174	50	3.48
YBL034C_295-557,765-939,1255-1510_1UPK:A:	70	4.71
YBL036C_6-246_1CT5:A:	63	3.87
YBL037W_20-646_1GW5:A:	139	4.46
YBL037W_751-888_1W80:A:694-824	36	3.64
YBL037W_900-1021_1QTS:A:825-938	30	3.80
YBL038W_41-180_2GYA:K:3-133	49	2.67
YBL039C_1-271_2VO1:A:1-273	56	4.88
YBL039C_302-558_1VCO:A:298-547	77	3.25
YBL041W_17-232_1RYP:1:	64	3.47
YBL045C_28-237_1EZV:A:27-239	59	3.61
YBL045C_242-447_1EZV:A:240-456	60	3.62
YBL047C_265-362_1F8H:A:	31	3.06
YBL047C_125-224_1F8H:A:	31	3.06
YBL047C_9-85_1F8H:A:	31	3.06
YBL047C_1335-1380_2G3Q:A:1339-1381	12	3.58
YBL050W_2-290_1QQE:A:	53	5.47
YBL051C_71-166_1P1T:A:	37	2.81
YBL052C_272-562_2OZU:A:507-776	78	3.46
YBL054W_75-127_1GUU:A:	13	3.85
YBL055C_37-124,161-242,269-335,376-417_1XWY:A:1-260	74	3.51
YBL058W_225-319_1SS6:A:	36	2.81
YBL058W_306-422_1S3S:G:	43	2.74
YBL060W_90-271_2R09:A:65-252	47	4.04
YBL061C_293-538_1OUV:A:	55	4.95
YBL063W_52-449_1II6:A:	99	3.54
YBL064C_49-259_1PRX:A:	80	2.75
YBL066C_49-96_1PYI:A:30-71	14	3.00
YBL069W_51-190_1YB5:A:6-120,A:295-329	52	2.90
YBL069W_168-247,293-327,373-422_1VKN:A:1-144,A:308-339	59	3.00
YBL071W-A_4-63_1YWS:A:1-82	23	3.57
YBL075C_1-185_1BUP:A:4-188	57	3.25
YBL075C_190-380_1HJO:A:189-382	46	4.22
YBL075C_385-541_1CKR:A:	51	3.12
YBL075C_535-616_1UD0:A:	14	8.00
YBL076C_7-197,398-650_1ILE:A:1-197,A:387-641	144	3.15
YBL076C_657-914_1ILE:A:642-821	44	4.09
YBL076C_198-398_1UDZ:A:	68	2.63
YBL078C_1-116_1GNU:A:	43	2.72
YBL085W_774-895_1U29:A:260-378	40	2.98
YBL085W_223-293_1KW4:A:	19	3.68
YBL085W_15-75_1SHF:A:	23	2.57
YBL091C-A_2-132_1MSP:A:	43	2.88
YBL095W_9-215_2OV9:A:7-209	62	3.27
YBL098W_4-181,291-396_3C96:A:4-182,A:294-402	77	3.75
YBL100W-B_658-811_1ASU:A:	47	3.45
YBL100W-B_1350-1500,1541-1678_1HAR:A:	58	3.72
YBL103C_286-365_1AM9:A:	8	10.00
YBL104C_43-86,146-331,361-394_1P22:A:253-545	100	2.93
YBL111C_378-433,460-537,586-653_1HV8:A:3-210	68	3.06
YBL112C_2-58_1FUK:A:	51	3.18
YHR218W-A_2-58_1FUK:A:	51	3.18
YBR001C_217-749_2JG0:A:37-547	167	3.06
YBR002C_30-254_1JP3:A:	63	3.62
YBR003W_44-105,174-259,302-472_1V4E:A:	53	5.28
YBR006W_16-493_1BI9:A:	140	3.56
YBR008C_88-534_1PV7:A:	68	6.13
YBR009C_26-103_1KX5:B:	27	3.78
YBR009C_10-102_2L5A:A:1-225	52	4.31
YNL030W_26-103_1KX5:B:	27	3.78
YNL030W_10-102_2L5A:A:1-225	52	4.31
YBR010W_40-134_1ID3:A:	22	4.41
YNL031C_40-134_1ID3:A:	22	4.41
YBR011C_3-283_8PRK:A:	108	2.61
YBR012W-B_662-812_1ASU:A:	47	3.45
YBR012W-B_1333-1476,1527-1663_1HAR:A:	58	3.72
YBR014C_91-187_1B4Q:A:	37	2.84
YBR015C_170-297,351-380_1LL2:A:	88	2.99
YBR017C_5-876_1QBK:B:	232	3.83
YBR018C_5-192_1GUQ:A:2-177	70	2.51
YBR018C_195-362_1GUQ:A:178-348	52	3.29
YBR019C_371-699_1Z45:A:358-699	133	2.57
YBR019C_12-355_1Z45:A:11-357	95	3.65
YBR020W_28-246_1WUU:A:2-216	59	3.64
YBR020W_252-298,372-504_1WUU:A:217-392	43	4.09
YBR022W_4-175_2FG1:A:2-155	51	3.04
YBR023C_656-716,805-926,953-1114_1QG8:A:	70	3.64
YBR024W_122-281_2B7K:A:111-279	47	3.60
YBR025C_21-329_1NI3:A:11-306	84	3.52
YBR025C_307-388_1NI3:A:307-388	32	2.56
YBR026C_146-335_1GU7:A:161-349	58	3.26
YBR026C_37-184_1GU7:A:23-160,A:350-386	68	2.59
YBR028C_114-169,196-412_1VZO:A:	99	3.25
YBR030W_8-229_1MLV:A:50-310	88	2.97
YBR030W_298-353_1MLV:A:50-310	88	2.97
YBR031W_4-299_1VWX:C:2-304	109	2.77
YBR033W_47-96_1D66:A:8-48	9	4.56
YBR034C_26-329_1G6Q:1:	101	3.25
YBR035C_25-228_1CI0:A:	57	3.60
YBR037C_112-275_2B7K:A:111-279	47	3.60
YBR038W_288-328,408-470,504-674_1XHB:A:95-422	99	3.31
YBR041W_67-630_1LCI:A:	183	2.96
YBR042C_103-165_1K30:A:	89	4.12
YBR046C_126-281_1QOR:A:113-291	54	3.31
YBR046C_4-122,302-330_1YB5:A:6-120,A:295-329	52	2.90
YBR048W_67-147_1I94:Q:	37	2.81
YBR048W_11-142_3U5C:L:2-156	44	3.50
YDR025W_67-147_1I94:Q:	37	2.81
YDR025W_11-142_3U5C:L:2-156	44	3.50
YBR049C_449-525_1H88:C:89-143	19	2.89
YBR049C_686-732_1GUU:A:	13	3.85
YBR052C_1-208_2A5L:A:3-198	52	3.77
YBR053C_14-52,88-339_2GHS:A:20-314	102	2.89
YBR054W_19-261_1UAZ:A:	41	5.76
YBR055C_299-771_2OOE:A:21-549	112	4.72
YBR055C_732-870_1FCH:A:	68	4.75
YBR055C_219-286_2OOE:A:21-549	112	4.72
YBR056W_38-404_1EQC:A:	139	2.83
YBR058C_319-619,676-781_2HD5:A:211-521	96	3.50
YBR058C_169-278_2G45:A:173-285	44	2.66
YBR058C_633-693_1WIV:A:	27	2.67
YBR059C_25-316_2JAV:A:3-271	70	3.84
YBR061C_20-208_1EJ0:A:	46	3.91
YBR062C_108-157_1IYM:A:	24	2.25
