PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
jgi|Lotgi1|145439|e_gw1.324.28.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|145439|e_gw1.324.28.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|146028|e_gw1.619.24.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|146028|e_gw1.619.24.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|146029|e_gw1.619.16.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|146029|e_gw1.619.16.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|146923|e_gw1.1414.5.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|146923|e_gw1.1414.5.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|147261|e_gw1.2197.5.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|147261|e_gw1.2197.5.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|147329|e_gw1.2263.9.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|147329|e_gw1.2263.9.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|147488|e_gw1.2736.27.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|147488|e_gw1.2736.27.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|147781|e_gw1.4384.7.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|147781|e_gw1.4384.7.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|148042|e_gw1.5500.6.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|148042|e_gw1.5500.6.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|148724|e_gw1.11879.2.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|148724|e_gw1.11879.2.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|148824|e_gw1.13009.3.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|148824|e_gw1.13009.3.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|148840|e_gw1.13327.3.1_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|148840|e_gw1.13327.3.1_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|176226|fgenesh2_pg.C_sca_829000003_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|176226|fgenesh2_pg.C_sca_829000003_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|176527|fgenesh2_pg.C_sca_2012000001_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|176527|fgenesh2_pg.C_sca_2012000001_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|202861|estExt_Genewise1.C_sca_21100002_26-103_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lotgi1|202861|estExt_Genewise1.C_sca_21100002_10-102_2L5A:A:1-225	0	0	3	7	0	17	13	12	0	224
jgi|Lotgi1|150994|fgenesh2_kg.C_sca_75000008_40-134_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Lotgi1|145440|e_gw1.324.2.1_40-134_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Lotgi1|146472|e_gw1.829.18.1_40-134_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Lotgi1|147117|e_gw1.2012.14.1_40-134_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Lotgi1|147816|e_gw1.4467.3.1_40-134_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Lotgi1|147849|e_gw1.4597.21.1_40-134_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Lotgi1|148546|e_gw1.9711.8.1_40-134_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Lotgi1|60979|gw1.2736.9.1_2-50_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Lotgi1|176816|fgenesh2_pg.C_sca_4384000001_1-67_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
jgi|Lotgi1|176903|fgenesh2_pg.C_sca_6142000001_1-67_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
jgi|Lotgi1|180756|fgenesh2_pm.C_sca_829000002_1-67_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
jgi|Lotgi1|188534|estExt_Genewise1.C_sca_240373_156-327_5MDH:A:155-333	1	8	1	6	0	19	5	7	0	179
jgi|Lotgi1|188534|estExt_Genewise1.C_sca_240373_2-154_5MDH:A:1-154	0	6	2	6	0	16	8	12	0	154
jgi|Lotgi1|147338|e_gw1.2263.2.1_8-122_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
jgi|Lotgi1|148145|e_gw1.6373.2.1_8-122_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
jgi|Lotgi1|148156|e_gw1.6429.8.1_8-122_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
jgi|Lotgi1|148339|e_gw1.7848.4.1_8-122_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
jgi|Lotgi1|148688|e_gw1.11499.5.1_8-122_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
jgi|Lotgi1|146485|e_gw1.829.35.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|147122|e_gw1.2012.3.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|147263|e_gw1.2197.10.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|147368|e_gw1.2348.3.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|147730|e_gw1.4137.3.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|147766|e_gw1.4307.4.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|147878|e_gw1.4709.16.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|147926|e_gw1.4980.2.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|148109|e_gw1.6077.8.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|148511|e_gw1.9476.3.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|148569|e_gw1.9958.11.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|148612|e_gw1.10343.3.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|148799|e_gw1.12825.5.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|148872|e_gw1.13821.4.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
jgi|Lotgi1|148878|e_gw1.13912.2.1_15-119_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
