PDB_ID	Total_Structures	Average_Length
NCU03949T0_30-371_1VRD:A:1-85,A:213-457	103	3.21
NCU06023T0_6-171_1UQR:A:	46	3.17
NCU03282T0_1-167_1ZVF:A:1-175	64	2.73
NCU06024T0_12-333_1I60:A:	80	3.48
NCU04230T0_16-531_1DQU:A:	150	3.46
NCU09770T0_241-520_2G39:A:224-497	101	2.71
NCU09770T0_12-239_2G39:A:3-223	86	2.57
NCU06785T0_173-295,340-650_1AJ8:A:	87	4.26
NCU06785T0_48-179_1OI7:A:1-121	40	3.02
NCU05008T0_54-130_1T8K:A:	21	3.67
NCU06836T0_42-661_1RY2:A:	245	2.61
NCU04173T0_147-375_1YAG:A:147-375	80	2.86
NCU04173T0_4-153_1YAG:A:4-146	52	2.75
NCU04173T1_147-375_1YAG:A:147-375	80	2.86
NCU04173T1_4-153_1YAG:A:4-146	52	2.75
NCU04247T0_149-379_1C0G:A:147-375	72	3.18
NCU04247T0_8-156_1YAG:A:4-146	52	2.75
NCU06656T0_16-60_1D66:A:8-48	9	4.56
NCU01754T0_10-179_1RJW:A:1-137,A:306-339	69	2.49
NCU01754T0_147-320_1LLU:A:144-309	49	3.39
NCU09477T0_10-299_1OKC:A:	55	5.31
NCU08218T0_45-256_1N11:A:	123	3.32
NCU07807T0_10-361_1DOS:A:	97	3.69
NCU07807T1_10-361_1DOS:A:	97	3.69
NCU06779T0_103-543_2F9F:A:2-167	56	2.96
NCU03503T0_12-437_2F9F:A:2-167	56	2.96
NCU01816T0_26-194_1O59:A:0-187	73	2.56
NCU01816T0_203-349_1O59:A:194-343	53	2.83
NCU03188T0_27-216_1W1O:A:40-245	76	2.71
NCU07989T0_1-142_1GW5:S:	38	3.74
NCU02027T0_10-234_1FJ2:A:	74	3.12
NCU08340T0_17-183_1HUR:A:	63	2.86
NCU08340T1_17-183_1HUR:A:	63	2.86
NCU02802T0_41-355_1OKC:A:	55	5.31
NCU05410T0_58-457_1VEF:A:9-395	126	3.07
NCU02333T0_48-354_2AEB:A:5-313	96	3.27
NCU05420T0_1-396_1R53:A:	94	3.95
NCU02785T0_9-465_2B7O:A:1-462	135	3.42
NCU01756T0_188-429_1K8K:A:161-418	74	3.49
NCU01756T0_2-44,75-176_1K8K:A:3-160	55	2.87
NCU02555T0_191-238,274-468_1C0G:A:147-375	72	3.18
NCU02555T0_20-103,140-198_1YAG:A:4-146	52	2.75
NCU05587T0_178-281,309-438_1YAG:A:147-375	80	2.86
NCU05587T0_19-156_1YAG:A:4-146	52	2.75
NCU05598T0_24-280_1NKG:A:1-250	94	2.66
NCU05598T0_370-540_1NKG:A:338-508	67	2.55
NCU05598T0_282-363_1NKG:A:251-337	33	2.64
NCU09436T0_1-155_1ROC:A:	53	2.91
NCU10049T0_54-157_1WZ3:A:10-93	32	2.62
NCU12096T0_1011-1433_1IIR:A:	105	3.82
NCU12096T0_336-480_1X1G:A:8-123	43	2.70
NCU02433T0_45-75,166-467_2P82:A:26-359	103	3.24
NCU06672T0_358-577,605-652_1JW9:B:	74	3.34
NCU01545T0_1-116_1GNU:A:	43	2.72
NCU05029T0_441-691_2HYD:A:324-578	88	2.90
NCU05029T0_109-422_1PF4:A:10-320	62	5.00
NCU00274T0_2547-2681,2714-2872_1E8Y:A:726-1092	81	4.53
NCU00274T0_78-191,245-350,450-547,914-1062,1160-1216,1284-1310_1GW5:B:	158	3.66
NCU00636T0_4-125_2CLY:B:4-123	25	4.80
NCU02250T0_79-146_1C99:A:	7	11.29
NCU02514T0_137-419_1E79:A:95-379	102	2.79
NCU02514T0_422-549_1E79:A:380-510	27	4.85
NCU02514T0_51-135_1MAB:A:10-94	42	2.05
NCU05430T0_122-398_1E79:D:82-357	97	2.85
NCU05430T0_396-510_1E79:D:358-475	28	4.21
NCU05430T0_47-120_1MAB:B:1-81	31	2.61
NCU00385T0_35-115_1E79:H:15-100	36	2.39
NCU00502T0_112-215_2CLY:A:79-183	7	15.00
NCU01606T0_37-142_1ABV:A:	22	4.77
NCU04110T0_196-317_1K1G:A:	33	3.70
NCU04110T0_311-363_1AAF:A:	22	2.50
NCU07267T0_35-172_2I02:A:5-147	38	3.76
NCU08699T0_94-318_1WMA:A:2-276	76	3.62
NCU08021T0_291-532_1QE3:A:	154	3.14
NCU10272T0_36-229,276-441_1PW4:A:	82	5.49
NCU06424T0_50-279_1NRK:A:1-243	75	3.24
NCU04120T0_2-148_1RFJ:A:	39	3.79
NCU03833T0_16-168_1AUI:B:	49	3.37
NCU03833T1_16-168_1AUI:B:	49	3.37
NCU07471T0_5-279_1IZN:B:	56	4.82
NCU07732T0_205-413_1A9X:B:1653-1880	72	3.17
NCU07732T0_54-198_1A9X:B:1502-1652	57	2.65
NCU07732T1_205-413_1A9X:B:1653-1880	72	3.17
NCU07732T1_54-198_1A9X:B:1502-1652	57	2.65
NCU02273T0_69-394_1DPJ:A:	113	2.91
NCU00355T0_40-564_1CF9:A:27-597	205	2.79
NCU03297T0_68-349_2EUT:A:4-294	96	3.03
NCU03297T1_68-349_2EUT:A:4-294	96	3.03
NCU07779T0_394-584,628-752_1HD7:A:	90	3.06
NCU07779T0_242-347_1O6V:A:33-416	162	2.35
NCU06994T0_32-104_1A5J:A:1-55	22	2.50
NCU00145T0_26-148_1KX5:A:	42	3.21
NCU01084T0_1-243_1HYQ:A:	65	3.57
NCU02935T0_15-174_1ZD0:A:9-144	32	4.31
NCU03611T0_329-586_1OMZ:A:	87	3.05
NCU09324T0_691-752,841-953,989-1045_1OMZ:A:	87	3.05
NCU01975T0_41-239_1WMX:B:	70	2.79
NCU05426T0_39-110,142-311,346-463_1VYH:C:92-408	107	2.96
NCU01692T0_36-467_2CTS:A:	105	4.16
NCU02717T0_62-538_2OOE:A:21-549	112	4.72
NCU02717T0_512-628_2OOE:A:21-549	112	4.72
NCU06314T0_159-197,257-337_1HQC:A:5-242	73	3.26
NCU06314T0_91-189_1HQC:A:5-242	73	3.26
NCU04071T0_4-366_1JOF:A:	118	3.09
NCU02305T0_81-148,188-448_1V4E:A:	53	5.28
NCU07296T0_196-359,407-555_1APM:E:	106	3.22
NCU02217T0_26-74_2HP8:A:	18	3.78
NCU05689T0_58-157_2OCC:F:	36	2.72
NCU05457T0_36-161_1OCR:D:	44	3.27
NCU06695T0_45-146_2OCC:E:	25	4.20
NCU06695T1_45-146_2OCC:E:	25	4.20
NCU04050T0_216-261_1YSA:D:	5	11.40
NCU08807T0_76-130_2CSH:A:8-60	21	2.52
NCU00552T0_6-336,471-511_1F8R:A:4-319,A:433-486	119	3.12
NCU00582T0_250-568_1NP7:A:205-483	82	3.40
NCU00582T0_4-215_1NP7:A:1-204	54	3.78
NCU03124T0_9-322_1LPU:A:	93	3.52
NCU05485T0_9-72,102-211,245-268_1JWH:C:	84	2.38
NCU02754T0_15-207_1JWH:C:	84	2.38
NCU00593T0_342-421_1UFM:A:	24	3.46
NCU07361T0_314-383_1UFM:A:	24	3.46
NCU00467T0_43-161_1OI0:A:	38	3.18
NCU05495T0_1-108_3EZM:A:	34	2.97
NCU00066T0_211-452_1H6K:A:27-290	58	4.55
NCU01954T0_309-350_1RMD:A:1-86	40	2.15
NCU01954T0_219-252_1RGO:A:187-220	17	2.00
NCU08514T0_15-208_1XYH:A:1-160	65	2.46
NCU03603T0_2-79_1AXX:A:	35	2.69
NCU03910T0_3-79_1DO9:A:	33	2.85
NCU01808T0_5-105_1YEB:A:	31	3.48
NCU01272T0_553-806_2FGE:A:540-797	59	4.37
NCU01272T0_292-554_2FGE:A:272-539	66	4.06
NCU01272T0_26-271_2FGE:A:15-271	82	3.13
NCU01272T0_821-992_2FGE:A:798-993	50	3.92
NCU00726T0_65-223_2C3B:A:1-171	50	3.42
NCU04433T0_620-675_1VC1:A:	31	3.55
NCU09327T0_504-694,736-919_2R7D:A:3-403	110	3.65
NCU07712T0_98-303_1HV8:A:3-210	68	3.06
NCU07712T0_242-340,374-487_2J0S:A:244-411	52	3.23
NCU07839T0_204-491_1WRB:A:164-401	73	3.26
NCU05782T0_258-559_1WRB:A:164-401	73	3.26
NCU05782T0_34-107,198-362_1S2M:A:46-251	68	3.03
NCU04439T0_129-415_1VEC:A:	70	2.94
NCU01160T0_145-429_2G2J:A:307-474	52	3.42
NCU06520T0_136-385_1WRB:A:164-401	73	3.26
NCU06520T0_185-255,492-595_2J0S:A:244-411	52	3.23
NCU06418T0_266-567_2J0S:A:244-411	52	3.23
NCU07070T0_93-305_1T6N:A:	66	3.14
NCU07070T0_113-171,258-274,321-402,447-532_1FUK:A:	51	3.18
NCU08270T0_174-334,448-592_1WP9:A:201-486	70	4.09
NCU08270T0_1257-1352,1404-1449_1O0W:A:1-167	37	4.51
NCU08270T0_1045-1218_1JFZ:A:	39	3.79
NCU01271T0_89-323_1D7K:A:44-283	71	3.38
NCU01271T0_290-471_7ODC:A:2-43,A:284-418	47	3.79
NCU05292T0_188-304_2RSP:A:	50	2.48
NCU05292T0_12-92_1XD3:B:	27	2.78
NCU05292T0_383-438_1Z96:A:295-332	9	4.22
NCU01369T0_281-566_1WRB:A:164-401	73	3.26
NCU02984T0_18-52,86-177_2IF1:A:	51	2.45
NCU01195T0_4-190_1BGV:A:1-194	54	3.59
NCU01195T0_188-449_1BGV:A:195-449	77	3.31
NCU03031T0_60-144_1NEK:D:	14	8.07
NCU05418T0_7-349_1DHS:A:	99	3.65
