PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|76800658|ref|YP_325666.1|_371-613_2HYD:A:324-578	1.00	5.50	3.00	8.00	0.00	1.72	1.38	2.44	0.00	255.00
gi|76800658|ref|YP_325666.1|_25-359_2HYD:A:1-323	0.00	0.00	3.00	18.40	5.00	1.44	1.20	1.67	0.00	323.00
gi|76800659|ref|YP_325667.1|_74-279_1UC8:A:89-280	1.00	5.62	0.00	9.83	0.00	4.00	1.50	2.12	0.00	192.00
gi|76800660|ref|YP_325668.1|_34-115_1SHS:A:	1.00	5.60	3.00	0.00	0.00	2.12	1.50	2.00	0.00	115.00
gi|76800661|ref|YP_325669.1|_141-302_1CF2:O:139-303	0.00	6.12	3.00	11.00	0.00	1.65	1.80	2.22	0.00	165.00
gi|76800661|ref|YP_325669.1|_3-160_2CZC:A:1-139,A:302-334	1.00	4.57	3.33	8.75	0.00	1.44	1.27	1.58	1.00	172.00
gi|76800662|ref|YP_325670.1|_14-319_1ZJC:A:3-415	1.00	5.68	3.20	10.77	0.00	1.62	1.48	2.04	0.00	413.00
gi|76800664|ref|YP_325672.1|_4-208_1JG1:A:	1.25	6.00	4.00	10.67	0.00	1.44	1.38	1.80	0.00	215.00
gi|76800665|ref|YP_325673.1|_8-180_1JG1:A:	1.25	6.00	4.00	10.67	0.00	1.44	1.38	1.80	0.00	215.00
gi|76800669|ref|YP_325677.1|_5-144_1NXO:A:	0.00	5.00	0.00	11.40	0.00	2.10	1.29	1.75	0.00	119.00
gi|76800670|ref|YP_325678.1|_255-379_1PBJ:A:2-121	1.00	5.17	3.00	8.00	0.00	1.31	1.00	1.86	0.00	120.00
gi|76800671|ref|YP_325679.1|_3-255_1UIY:A:	1.00	4.11	3.00	11.08	0.00	1.60	1.38	1.50	0.00	253.00
gi|76800673|ref|YP_325681.1|_1-139_1MJH:A:	0.00	6.40	3.00	15.00	0.00	2.94	1.43	1.60	0.00	160.00
gi|76800674|ref|YP_325682.1|_3-166_1FF3:A:	1.00	4.25	3.00	9.80	0.00	2.79	1.67	2.00	0.00	211.00
gi|76800676|ref|YP_325684.1|_631-747_1WJG:A:	0.00	5.00	3.00	15.25	0.00	1.67	2.00	1.75	0.00	135.00
gi|76800676|ref|YP_325684.1|_491-624_1WJG:A:	0.00	5.00	3.00	15.25	0.00	1.67	2.00	1.75	0.00	135.00
gi|76800677|ref|YP_325685.1|_6-137_1WJG:A:	0.00	5.00	3.00	15.25	0.00	1.67	2.00	1.75	0.00	135.00
