PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|154248706|ref|YP_001409531.1|_106-314_1L8Q:A:77-289	0.00	4.80	3.50	12.33	0.00	1.82	2.00	2.00	0.00	213.00
gi|154248706|ref|YP_001409531.1|_333-436_1L8Q:A:290-399	0.00	0.00	0.00	13.17	0.00	2.71	1.80	1.50	0.00	110.00
gi|154248707|ref|YP_001409532.1|_2-59_1VJW:A:	1.00	2.50	0.00	6.50	0.00	1.73	1.33	2.20	0.00	59.00
gi|154248709|ref|YP_001409534.1|_34-253_1RPJ:A:	1.00	5.58	0.00	12.90	0.00	1.59	1.83	1.94	0.00	288.00
gi|154248710|ref|YP_001409535.1|_15-233_3DHW:C:1-240	1.00	6.40	3.00	11.43	0.00	1.57	1.47	2.67	0.00	240.00
gi|154248710|ref|YP_001409535.1|_253-498_1JI0:A:	1.00	6.40	3.00	8.40	0.00	1.74	1.50	2.20	0.00	240.00
gi|154248713|ref|YP_001409538.1|_4-130_1XBF:A:	0.00	6.25	0.00	11.33	0.00	1.81	1.64	1.60	0.00	139.00
gi|154248715|ref|YP_001409540.1|_1-90_1B8Z:A:	0.00	3.67	0.00	13.00	0.00	5.67	0.00	2.00	0.00	90.00
gi|154248716|ref|YP_001409541.1|_233-410_1XX7:A:	1.00	0.00	4.33	10.18	0.00	2.54	1.17	2.29	0.00	183.00
gi|154248716|ref|YP_001409541.1|_70-224_1MC0:A:402-555	0.00	5.57	0.00	14.50	0.00	1.86	1.57	1.82	0.00	154.00
gi|154248719|ref|YP_001409544.1|_174-282_2HEK:A:1-369	1.00	5.67	3.25	9.25	0.00	1.76	1.53	1.96	0.00	369.00
gi|154248720|ref|YP_001409545.1|_95-278_1WC3:A:	0.00	8.50	3.00	14.40	0.00	3.58	1.78	1.78	0.00	218.00
gi|154248722|ref|YP_001409547.1|_1-136_1VMJ:A:	0.00	6.25	3.00	11.67	0.00	1.79	1.88	2.00	0.00	139.00
gi|154248723|ref|YP_001409548.1|_251-498_1NY5:A:138-384	1.00	3.56	3.00	10.18	0.00	1.76	1.29	2.25	0.00	247.00
gi|154248723|ref|YP_001409548.1|_119-218_1EW0:A:	1.00	7.80	3.50	7.80	0.00	1.55	1.25	2.00	0.00	130.00
gi|154248723|ref|YP_001409548.1|_2-100_2VEA:A:4-130	1.00	6.17	0.00	7.00	0.00	2.91	1.38	2.78	0.00	127.00
gi|154248723|ref|YP_001409548.1|_507-562_1NTC:A:	0.00	0.00	0.00	12.75	0.00	3.83	2.00	2.50	0.00	90.00
gi|154248727|ref|YP_001409552.1|_240-429_1FNH:A:183-271	0.00	7.00	0.00	0.00	0.00	1.83	1.60	2.00	0.00	89.00
gi|154248727|ref|YP_001409552.1|_542-709_1K85:A:	0.00	5.88	0.00	0.00	0.00	2.56	2.00	3.00	0.00	87.00
gi|154248727|ref|YP_001409552.1|_146-227_1X5G:A:8-110	1.00	5.29	0.00	0.00	0.00	2.69	1.60	2.00	0.00	103.00
gi|154248728|ref|YP_001409553.1|_14-201_1MV8:A:1-202	1.00	4.50	0.00	8.67	0.00	1.82	1.36	1.92	0.00	202.00
gi|154248728|ref|YP_001409553.1|_210-301_1MV8:A:203-300	0.00	0.00	3.00	15.25	0.00	1.83	1.60	2.50	0.00	98.00
gi|154248728|ref|YP_001409553.1|_313-423_1DLJ:A:295-402	0.00	3.40	9.00	8.33	0.00	1.82	1.50	1.83	0.00	108.00
gi|154248731|ref|YP_001409556.1|_297-599_1MXG:A:1-361	1.20	4.21	3.00	10.18	0.00	1.80	1.62	2.00	0.00	361.00
gi|154248732|ref|YP_001409557.1|_2-65_1G6P:A:	1.50	7.00	0.00	0.00	0.00	1.78	2.60	3.00	0.00	66.00
gi|154248734|ref|YP_001409559.1|_4-46_2FIY:A:19-308	0.00	4.50	3.00	11.20	0.00	2.42	1.36	2.09	0.00	290.00
gi|154248735|ref|YP_001409560.1|_349-500_1W25:A:294-455	1.00	4.43	3.00	14.60	0.00	1.67	1.44	1.67	0.00	161.00
gi|154248736|ref|YP_001409561.1|_85-242_1KSK:A:60-231	1.00	5.33	3.50	6.75	0.00	2.00	2.00	2.00	0.00	172.00
gi|154248736|ref|YP_001409561.1|_26-110_1FJG:D:	1.00	3.50	3.67	9.38	0.00	2.14	1.91	2.12	0.00	208.00
gi|154248738|ref|YP_001409563.1|_4-143_1VJX:A:	1.00	0.00	3.00	21.00	0.00	3.20	1.00	1.67	0.00	156.00
gi|154248739|ref|YP_001409564.1|_167-294_1BCO:A:258-480	1.00	3.80	4.00	12.25	0.00	2.31	1.46	3.15	0.00	223.00
gi|154249012|ref|YP_001409837.1|_167-294_1BCO:A:258-480	1.00	3.80	4.00	12.25	0.00	2.31	1.46	3.15	0.00	223.00
gi|154249432|ref|YP_001410257.1|_167-294_1BCO:A:258-480	1.00	3.80	4.00	12.25	0.00	2.31	1.46	3.15	0.00	223.00
gi|154249758|ref|YP_001410583.1|_167-294_1BCO:A:258-480	1.00	3.80	4.00	12.25	0.00	2.31	1.46	3.15	0.00	223.00
gi|154249940|ref|YP_001410765.1|_167-294_1BCO:A:258-480	1.00	3.80	4.00	12.25	0.00	2.31	1.46	3.15	0.00	223.00
gi|154250088|ref|YP_001410913.1|_167-294_1BCO:A:258-480	1.00	3.80	4.00	12.25	0.00	2.31	1.46	3.15	0.00	223.00
gi|154248740|ref|YP_001409565.1|_4-143_2VO9:A:1-148	1.00	3.80	3.33	12.00	0.00	2.38	2.11	1.90	0.00	148.00
gi|154248741|ref|YP_001409566.1|_1-141_2DYA:A:6-158	0.00	7.00	3.00	7.50	0.00	2.14	1.62	1.56	0.00	154.00
gi|154248742|ref|YP_001409567.1|_4-106_1JPD:X:2-113	1.00	3.45	4.25	8.86	0.00	1.62	1.33	1.91	0.00	208.00
gi|154248743|ref|YP_001409568.1|_206-224,255-564_2C5W:B:266-650	1.00	4.56	3.60	10.27	0.00	1.98	1.50	2.11	0.00	385.00
gi|154248743|ref|YP_001409568.1|_40-234_2OQO:A:57-243	1.00	0.00	3.00	10.10	0.00	2.22	1.64	2.43	0.00	187.00
gi|154248744|ref|YP_001409569.1|_68-151_1MGT:A:89-169	1.00	2.00	3.00	9.75	0.00	1.50	1.00	2.00	0.00	81.00
gi|154248745|ref|YP_001409570.1|_25-160_1VQ2:A:	1.00	5.00	3.00	9.67	0.00	2.58	1.67	1.90	0.00	193.00
gi|154248746|ref|YP_001409571.1|_15-252_1B0P:A:786-1232	1.11	4.88	3.00	10.41	0.00	2.07	1.45	2.20	0.00	447.00
gi|154248747|ref|YP_001409572.1|_5-183_1B0P:A:416-668	1.00	6.50	3.75	9.89	0.00	1.97	1.33	2.09	0.00	253.00
gi|154248749|ref|YP_001409574.1|_159-344_1CHD:A:	1.00	5.22	3.00	9.50	0.00	1.60	1.60	2.20	0.00	198.00
gi|154248749|ref|YP_001409574.1|_5-111_1A2O:A:1-140	0.00	5.40	4.00	12.60	0.00	1.71	1.89	1.25	0.00	140.00
gi|154248751|ref|YP_001409576.1|_2-352_1O2D:A:	1.00	5.50	4.29	13.23	0.00	2.74	1.40	2.00	0.00	370.00
gi|154248754|ref|YP_001409579.1|_7-249_1G6H:A:	1.00	5.55	3.40	9.44	0.00	1.67	1.19	2.06	0.00	254.00
gi|154248754|ref|YP_001409579.1|_275-370,398-515_1MT0:A:	1.00	5.80	3.33	7.20	0.00	1.60	1.25	2.10	0.00	241.00
gi|154248755|ref|YP_001409580.1|_40-232_8ABP:A:	1.00	5.42	3.00	13.00	0.00	1.65	1.53	1.80	0.00	305.00
gi|154248756|ref|YP_001409581.1|_18-204_1B0P:A:2-258	1.00	4.45	0.00	12.40	0.00	1.91	1.23	2.67	0.00	257.00
gi|154248756|ref|YP_001409581.1|_368-538_1Q6Z:A:342-524	1.00	5.17	3.00	8.75	0.00	1.86	1.55	1.70	0.00	183.00
gi|154248756|ref|YP_001409581.1|_553-610_1BC6:A:	0.00	2.50	3.00	8.50	0.00	1.64	1.50	2.83	0.00	77.00
gi|154248757|ref|YP_001409582.1|_10-192_1B0P:A:416-668	1.00	6.50	3.75	9.89	0.00	1.97	1.33	2.09	0.00	253.00
gi|154248758|ref|YP_001409583.1|_193-444_1B0P:A:2-258	1.00	4.45	0.00	12.40	0.00	1.91	1.23	2.67	0.00	257.00
gi|154248758|ref|YP_001409583.1|_9-215_1B0P:A:416-668	1.00	6.50	3.75	9.89	0.00	1.97	1.33	2.09	0.00	253.00
gi|154248758|ref|YP_001409583.1|_455-557_1W85:B:193-324	0.00	5.00	3.00	10.60	0.00	1.54	1.88	1.60	0.00	132.00
gi|154248759|ref|YP_001409584.1|_13-257_1YBH:A:460-667	1.00	4.83	3.00	9.12	0.00	1.71	1.40	2.08	0.00	208.00
gi|154248760|ref|YP_001409585.1|_153-329_1NOX:A:	1.00	6.75	3.00	10.00	0.00	2.58	1.29	1.55	0.00	200.00
gi|154248760|ref|YP_001409585.1|_12-148_2A4V:A:59-214	1.00	5.00	0.00	11.80	0.00	1.32	2.12	1.89	0.00	156.00
gi|154248761|ref|YP_001409586.1|_6-148_1JOQ:A:	1.00	4.22	3.00	10.67	0.00	1.77	1.73	1.88	0.00	149.00
gi|154248761|ref|YP_001409586.1|_298-351_1EYF:A:	0.00	3.25	3.00	7.50	0.00	2.46	1.83	2.57	0.00	92.00
gi|154248762|ref|YP_001409587.1|_210-442_2F9F:A:2-167	1.00	4.17	3.00	9.57	0.00	1.84	1.27	2.00	0.00	166.00
gi|154248762|ref|YP_001409587.1|_17-141_1W3B:A:	0.00	0.00	0.00	12.65	0.00	1.11	1.33	1.92	0.00	388.00
gi|154248764|ref|YP_001409589.1|_2-392_2GB3:A:4-392	1.00	4.83	3.29	12.17	0.00	2.07	1.43	2.05	0.00	389.00
gi|154248765|ref|YP_001409590.1|_122-276_1B9D:A:	1.00	5.60	3.50	13.40	0.00	2.83	1.60	2.00	0.00	154.00
gi|154250290|ref|YP_001411115.1|_122-276_1B9D:A:	1.00	5.60	3.50	13.40	0.00	2.83	1.60	2.00	0.00	154.00
gi|154248766|ref|YP_001409591.1|_2-53_2OA4:A:1-93	0.00	3.00	0.00	9.75	0.00	1.92	2.25	1.75	0.00	93.00
gi|154250289|ref|YP_001411114.1|_2-53_2OA4:A:1-93	0.00	3.00	0.00	9.75	0.00	1.92	2.25	1.75	0.00	93.00
gi|154248768|ref|YP_001409593.1|_394-524_1W25:A:294-455	1.00	4.43	3.00	14.60	0.00	1.67	1.44	1.67	0.00	161.00
gi|154248769|ref|YP_001409594.1|_127-306_2GZ1:A:128-329	1.00	6.50	3.33	12.00	0.00	1.79	1.82	2.09	0.00	202.00
gi|154248769|ref|YP_001409594.1|_1-154_2GZ1:A:2-127,A:330-357	1.00	5.14	4.50	10.25	0.00	1.53	1.20	2.67	1.00	152.00
gi|154248770|ref|YP_001409595.1|_5-119_1BWZ:A:1-130	0.00	6.00	3.00	9.00	0.00	2.36	1.30	2.33	0.00	130.00
gi|154248770|ref|YP_001409595.1|_123-244_1BWZ:A:131-274	0.00	5.90	0.00	11.00	0.00	1.59	1.70	2.11	0.00	144.00
gi|154248771|ref|YP_001409596.1|_13-303_1O5K:A:	0.00	4.10	3.00	11.67	0.00	2.56	1.67	1.75	0.00	305.00
gi|154248772|ref|YP_001409597.1|_1-97,183-213_1VM6:A:1-96,A:183-214	0.00	4.43	3.00	10.40	0.00	1.36	1.00	1.88	1.00	128.00
gi|154248772|ref|YP_001409597.1|_101-184_1VM6:A:97-182	0.00	7.25	0.00	12.50	0.00	1.89	1.50	2.25	0.00	86.00
gi|154248773|ref|YP_001409598.1|_99-242_1TDT:A:	1.00	3.04	3.00	11.75	0.00	1.23	1.60	2.12	0.00	256.00
gi|154248774|ref|YP_001409599.1|_4-241_2HMF:A:2-303	1.00	4.17	3.00	14.20	0.00	1.55	1.46	2.00	0.00	302.00
gi|154248774|ref|YP_001409599.1|_248-325_2HMF:A:304-403	0.00	8.75	0.00	13.00	0.00	2.50	2.00	2.00	0.00	100.00
gi|154248774|ref|YP_001409599.1|_335-399_2HMF:A:404-470	0.00	6.00	3.00	11.50	0.00	1.60	2.00	2.75	0.00	67.00
gi|154248775|ref|YP_001409600.1|_3-375_1VEF:A:9-395	1.00	4.41	3.50	10.20	0.00	1.58	1.54	1.93	0.00	387.00
gi|154248777|ref|YP_001409602.1|_4-46_2FIY:A:19-308	0.00	4.50	3.00	11.20	0.00	2.42	1.36	2.09	0.00	290.00
gi|154249034|ref|YP_001409859.1|_4-46_2FIY:A:19-308	0.00	4.50	3.00	11.20	0.00	2.42	1.36	2.09	0.00	290.00
gi|154249875|ref|YP_001410700.1|_4-46_2FIY:A:19-308	0.00	4.50	3.00	11.20	0.00	2.42	1.36	2.09	0.00	290.00
gi|154248778|ref|YP_001409603.1|_55-177_153L:A:	1.00	2.00	3.00	11.38	0.00	1.61	1.00	2.50	0.00	185.00
gi|154248779|ref|YP_001409604.1|_1-145_1RQP:A:8-192	1.00	5.33	3.00	7.40	0.00	1.88	1.77	2.46	0.00	185.00
gi|154248779|ref|YP_001409604.1|_157-250_1RQP:A:193-298	1.00	6.25	4.00	4.50	0.00	1.40	1.25	2.30	0.00	106.00
gi|154248780|ref|YP_001409605.1|_6-184,279-363_2Q43:A:16-194,A:314-407	1.00	6.20	3.00	12.00	0.00	1.84	1.58	2.28	1.00	273.00
gi|154248780|ref|YP_001409605.1|_170-266_1YSJ:A:178-292	0.00	9.25	0.00	16.50	0.00	4.00	1.75	2.00	0.00	115.00
