PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
jgi|Auran1|19438_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Auran1|21960_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Auran1|59898_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Auran1|59915_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Auran1|60044_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Auran1|60329_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Auran1|60352_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Auran1|60370_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Auran1|71405_284-386_1E6I:A:	0	0	2	5	0	8	8	7	0	111
jgi|Auran1|71407_51-110,160-222_2CXF:A:83-249	2	0	2	8	0	13	5	13	0	167
jgi|Auran1|63358_175-214_1Y6I:A:1-82	0	0	0	5	0	8	5	4	0	82
jgi|Auran1|37193_51-585_1GW5:B:	0	0	4	32	0	42	43	37	0	579
jgi|Auran1|37193_686-839_1R4X:A:600-762	2	11	2	1	0	21	10	7	0	155
jgi|Auran1|37193_840-953_1R4X:A:763-873	0	6	1	3	0	10	7	5	0	111
jgi|Auran1|58937_90-378_2J0S:A:244-411	0	7	4	5	0	15	11	10	0	168
jgi|Auran1|71410_92-401_2BTY:A:1-282	5	14	1	11	0	26	15	16	0	282
jgi|Auran1|71410_406-525_2FIA:A:1-157	0	7	3	4	0	15	2	10	0	157
jgi|Auran1|71411_274-414_8PRK:A:	5	20	5	3	0	34	16	25	0	282
jgi|Auran1|71411_43-144_1JID:A:	4	3	4	2	0	18	9	10	0	114
jgi|Auran1|70153_7-287_2J0S:A:244-411	0	7	4	5	0	15	11	10	0	168
jgi|Auran1|53352_242-543_1G8P:A:	2	11	8	13	0	37	15	10	0	333
jgi|Auran1|53352_38-200_1LTL:A:	2	10	4	5	0	24	9	12	0	239
jgi|Auran1|71418_445-492,544-637_4CRX:A:130-341	2	5	3	9	0	25	15	9	0	212
jgi|Auran1|69770_188-304_1Q8K:A:186-302	2	6	1	3	0	11	7	4	0	117
jgi|Auran1|69770_96-183_1Q46:A:89-175	0	0	1	5	0	6	2	3	0	87
jgi|Auran1|69770_18-98_1KL9:A:3-88	0	5	1	0	0	6	3	5	0	86
jgi|Auran1|13383_1-261_1A06:A:	4	8	4	10	0	29	20	14	0	307
jgi|Auran1|53364_336-656_1O6L:A:	6	9	5	10	0	39	20	21	0	337
jgi|Auran1|13977_11-195_1VYH:C:92-408	0	28	1	0	0	39	25	14	0	317
jgi|Auran1|63379_286-394_1OUV:A:	0	0	0	15	0	18	7	15	0	272
jgi|Auran1|63379_510-564_2CSJ:A:8-111	4	5	0	2	0	16	8	4	0	104
jgi|Auran1|53365_159-258,298-417_2BTF:A:147-375	0	9	5	10	0	22	20	16	0	229
jgi|Auran1|53365_2-135_1YAG:A:4-146	0	10	2	4	0	16	11	9	0	143
jgi|Auran1|63384_733-793,853-919,947-1091_1ERJ:A:	2	30	1	1	0	43	24	22	0	388
jgi|Auran1|63384_118-264,316-390,537-591,732-797_1NEX:B:370-744	1	32	0	0	0	32	16	23	0	355
jgi|Auran1|71426_250-296_1GCC:A:	0	3	0	1	0	4	4	4	0	63
jgi|Auran1|71426_319-360_1GCC:A:	0	3	0	1	0	4	4	4	0	63
jgi|Auran1|71427_216-260,289-356_1LL2:A:	1	11	7	10	0	24	19	16	0	263
jgi|Auran1|53368_200-338_2V8Q:E:182-326	7	6	4	5	0	15	14	7	0	145
jgi|Auran1|53368_13-197_2V8Q:E:23-181	5	5	2	6	0	14	11	7	0	159
jgi|Auran1|71429_357-512,590-673,712-740,802-879_1P22:A:253-545	0	28	0	1	0	35	23	13	0	293
jgi|Auran1|71429_1375-1413,1489-1583_1ELW:A:	0	0	0	7	0	11	0	7	0	117
jgi|Auran1|53377_53-187_1RFJ:A:	2	2	0	7	0	16	5	7	0	148
