PDB_ID	Total_Structures	Average_Length
Kwal_10967_40-134_1ID3:A:	22	4.41
Kwal_11478_40-134_1ID3:A:	22	4.41
Kwal_10964_3-102_1KX5:B:	27	3.78
Kwal_11476_3-102_1KX5:B:	27	3.78
Kwal_22576_5-67_1NY4:A:	22	3.23
Kwal_12995_38-100_1MNM:C:	19	4.05
Kwal_14524_27-70_1I50:L:	21	2.19
Kwal_3135_3-173_2NGR:A:	58	3.29
Kwal_1302_44-102_2J5O:A:742-811	24	2.92
Kwal_16053_6-125_2ALE:A:1-126	38	3.32
Kwal_16031_85-152_1C99:A:	7	11.29
Kwal_16031_12-77_1C99:A:	7	11.29
Kwal_21422_16-77_1UHT:A:	46	2.54
Kwal_3_6-124_2QAM:N:1-120	40	3.00
Kwal_5_49-374_1JBQ:A:	114	3.11
Kwal_10_570-612,669-764_1MKP:A:	43	3.35
Kwal_26_17-97_1N1J:B:	22	3.55
Kwal_37_6-296_1PV1:A:	99	3.02
Kwal_39_7-70_2OVR:B:2263-2364	27	3.78
Kwal_40_424-613,775-860_1VGY:A:2-180,A:294-376	90	2.92
Kwal_40_14-145,209-389_2OVR:B:2365-2706	116	2.95
Kwal_49_248-386,432-580_1SQ9:A:	125	3.14
Kwal_57_2-188,215-448_1RH5:A:	90	4.69
Kwal_65_2-226_2EX4:A:2-224	63	3.52
Kwal_68_58-317_2EFK:A:10-288	20	13.95
Kwal_70_447-673_2HYE:C:403-675	73	3.74
Kwal_76_168-269_1TS9:A:	32	3.06
Kwal_80_108-354_1X2G:A:1-246	77	3.19
Kwal_82_340-389,420-486,534-631_1SQ9:A:	125	3.14
Kwal_82_216-246,275-394_1XFD:A:127-591	159	2.92
Kwal_88_3-301_2PTD:A:	100	2.96
Kwal_96_40-316_1A06:A:	89	3.45
Kwal_99_136-347_2BIS:A:1-437	142	3.08
Kwal_99_494-609_2IW1:A:2-371	119	3.11
Kwal_124_855-946_1J0F:A:	31	3.19
Kwal_138_346-421,475-513_2CND:A:125-270	46	3.17
Kwal_145_38-365_1VLL:A:	101	3.18
Kwal_147_17-81,113-218_1KOA:A:5915-6264	117	2.99
Kwal_155_144-310,343-484_1A06:A:	89	3.45
Kwal_167_9-214,249-427,567-639,715-800,910-966,1015-1034_1B3U:A:	154	3.82
Kwal_167_436-618_1VPL:A:	65	3.66
Kwal_167_669-729,830-976_2HYD:A:324-578	88	2.90
Kwal_173_100-479_1CJY:A:142-721	156	3.72
Kwal_179_40-136_1SNL:A:	29	3.41
Kwal_182_1-133_2HZB:A:2-312	104	2.99
Kwal_189_4-222_2FEA:A:2-227	74	3.05
Kwal_191_1-405_1LWD:A:	107	3.86
Kwal_201_275-332_2F6M:A:322-385	8	8.00
Kwal_204_19-263_2EY4:A:8-252	77	3.18
Kwal_204_265-346_2APO:A:247-331	32	2.66
Kwal_207_2-71,106-119_1XBL:A:	19	3.95
Kwal_207_262-348_1C3G:A:260-349	41	2.20
Kwal_207_184-259_1C3G:A:180-259	27	2.96
Kwal_212_5-299_1VYH:C:92-408	107	2.96
Kwal_214_274-347_1DP7:P:	16	4.75
Kwal_225_3-359_2AYQ:A:	104	3.42
Kwal_227_80-465_1P3W:A:	122	3.20
Kwal_232_4-268_1OKC:A:	55	5.31
Kwal_237_259-433_1KI1:B:1229-1438	36	5.83
Kwal_250_59-216_1HD1:A:	22	3.41
Kwal_250_2-45_1CVJ:A:91-179	32	2.78
Kwal_265_71-144_2PC6:A:1-77	18	4.28
Kwal_265_211-276_2FGC:A:105-187	22	3.77
Kwal_273_58-234_1F0I:A:264-514	78	3.15
Kwal_273_422-494_1XDP:A:315-501	60	3.12
Kwal_281_136-275_2VGN:A:136-277	37	3.84
Kwal_281_1-134_2VGN:A:1-135	37	3.65
Kwal_281_268-375_2VGN:A:278-381	28	3.75
Kwal_287_66-122_2ZJR:Z:2-59	26	2.23
Kwal_289_182-447_1H2K:A:	111	3.02
Kwal_289_54-131_2OVR:B:2263-2364	27	3.78
Kwal_295_1-197_2A5L:A:3-198	52	3.77
Kwal_299_40-471_2CTS:A:	105	4.16
Kwal_307_268-484_1IA8:A:	99	2.78
Kwal_312_635-727,791-835,945-955_1GOT:B:	112	3.03
Kwal_319_22-238_1URU:A:	25	8.68
Kwal_322_2-328_1UMY:A:	110	3.55
Kwal_324_78-152_2DK5:A:8-85	23	3.39
Kwal_327_366-601_3DHW:C:1-240	71	3.38
Kwal_335_39-320_2AFW:A:33-361	101	3.26
Kwal_338_223-297_1HYI:A:	24	2.71
Kwal_356_5-152,234-329_1ERJ:A:	123	3.15
Kwal_360_42-112,150-222_1G4M:A:5-175	56	3.05
Kwal_366_147-362_1XHC:A:1-103,A:226-289	63	2.63
Kwal_366_305-483_1XHC:A:1-103,A:226-289	63	2.63
Kwal_370_16-182_1CVJ:A:11-90	27	2.96
Kwal_370_222-311,338-418_2CQ3:A:110-202	33	2.73
Kwal_371_158-216_1OOT:A:	26	2.23
Kwal_375_231-418_1B8A:A:104-438	103	3.25
Kwal_375_124-215_1C0A:A:1-106	31	3.42
Kwal_379_181-448_1HC7:A:5-276	80	3.40
Kwal_379_450-581_1HC7:A:277-403	34	3.74
Kwal_379_584-675_1HC7:A:404-477	26	2.85
Kwal_379_18-107_1VJF:A:	52	3.23
Kwal_384_6-16,55-126_1M65:A:	84	2.90
Kwal_388_211-306_1NG4:A:219-306	26	3.38
Kwal_388_2-224,295-351_1C0P:A:999-1193,A:1289-1361	225	3.22
Kwal_393_18-45_1U6M:A:	53	3.74
Kwal_394_8-160_1OHE:A:42-198	48	3.27
Kwal_394_167-327_1OHE:A:199-380	55	3.31
Kwal_402_291-314_1F6U:A:	25	2.20
Kwal_407_123-176_1ASU:A:	47	3.45
Kwal_414_162-320,359-530_1HAR:A:	58	3.72
Kwal_444_21-106_2P6R:A:1-202	56	3.61
Kwal_468_37-174_2CCH:B:181-308	24	5.33
Kwal_482_32-139_1N67:A:229-369	51	2.76
Kwal_502_6-63_1R7M:A:3-120	40	2.95
Kwal_505_1-77_1EZV:C:262-385	26	4.77
Kwal_509_1-114_1OCR:A:	118	4.36
Kwal_519_2-74_1C99:A:	7	11.29
Kwal_520_13-54_2OCC:B:1-90	20	4.50
Kwal_526_8-137_1Y81:A:6-121	48	2.42
Kwal_529_212-409_1BDG:A:223-460	70	3.39
Kwal_529_14-203_1BDG:A:13-222	56	3.71
Kwal_533_8-100_2P6R:A:1-202	56	3.61
Kwal_563_2-151_3CNW:A:3-140	36	3.83
Kwal_570_28-125_1BRT:A:	89	3.11
Kwal_576_1-304_1J31:A:	88	2.98
Kwal_580_9-55_1CLD:A:	9	3.67
Kwal_585_30-439_1X0M:A:26-428	116	3.47
Kwal_599_73-358,388-591_2BW3:A:163-609	105	4.26
Kwal_605_34-191_1Q1N:A:1-152,A:321-360	72	2.68
Kwal_605_170-338_1Q1N:A:153-320	58	2.90
Kwal_616_284-339_1ASU:A:	47	3.45
Kwal_654_5-142_2P6R:A:1-202	56	3.61
Kwal_670_50-208,247-386_1HAR:A:	58	3.72
Kwal_676_3-124_1ASU:A:	47	3.45
Kwal_713_18-69_1FUK:A:	51	3.18
Kwal_716_214-499,529-732_2BW3:A:163-609	105	4.26
Kwal_722_62-250,329-503_1PV7:A:	68	6.13
Kwal_728_35-267_1PV7:A:	68	6.13
Kwal_728_262-494,535-562_1PV7:A:	68	6.13
Kwal_747_549-621,663-699_2PIA:A:104-223	41	2.93
Kwal_747_452-542_1QFJ:A:1-97	28	3.46
Kwal_761_263-293_1DSQ:A:	10	2.10
Kwal_764_219-352_1ASU:A:	47	3.45
Kwal_775_1-286_1R6D:A:	95	3.39
Kwal_778_2-38_1CLD:A:	9	3.67
Kwal_782_36-454_1PW4:A:	82	5.49
Kwal_791_267-561_1CS1:A:	128	3.00
Kwal_797_12-459_1TVL:A:	134	3.21
Kwal_807_178-556_1LTD:A:98-511	125	3.31
Kwal_807_78-158_1KBI:A:1-97	44	2.20
Kwal_814_36-458_1QFX:A:	140	3.19
Kwal_819_12-52_1D66:A:8-48	9	4.56
Kwal_831_61-247_1EB6:A:	57	3.11
Kwal_854_71-274,305-529_1PV7:A:	68	6.13
Kwal_863_280-419_1H4L:A:	92	3.11
Kwal_868_93-279_1UKZ:A:	52	3.77
Kwal_874_272-302,373-649_1KT1:A:254-421	30	5.60
Kwal_874_186-298,336-399_1KT1:A:254-421	30	5.60
Kwal_880_4-209_1PJC:A:1-135,A:304-361	63	3.08
Kwal_880_191-322_1JVB:A:144-313	50	3.40
Kwal_884_4-332_1VYH:C:92-408	107	2.96
Kwal_889_717-814_1S70:B:	87	3.34
Kwal_889_546-666_1CYG:A:492-574	34	2.44
Kwal_896_9-313_1D8D:A:	80	4.04
Kwal_900_3-161_1VHR:A:	49	3.63
Kwal_906_27-325_1NEX:B:370-744	104	3.41
Kwal_909_187-472,526-632_1W36:D:2-360	119	3.02
Kwal_913_5-127_2CLY:B:4-123	25	4.80
Kwal_915_39-82_1ZME:C:31-66	9	4.00
Kwal_931_131-173_1CLD:A:	9	3.67
Kwal_936_3-169_1K8K:F:	39	4.28
Kwal_939_118-172_2B7E:A:4-59	14	4.00
Kwal_939_183-246_2DOE:A:784-853	17	4.12
Kwal_939_333-395_2DOE:A:784-853	17	4.12
Kwal_939_3-37_1ZR7:A:12-39	9	3.11
Kwal_939_36-71_1O6W:A:30-75	12	3.83
Kwal_943_37-106_1UMU:A:	40	2.62
Kwal_947_1-210_2Q46:A:2-253	85	2.96
Kwal_949_69-260,292-321_1KCF:A:39-256	44	4.95
Kwal_955_236-422_1E20:A:	63	2.94
Kwal_963_25-85_2BSK:B:13-77	11	5.91
Kwal_969_37-65,269-445_1BOF:A:10-60,A:182-354	60	3.75
Kwal_969_69-115,202-274_1CIP:A:61-181	29	4.17
Kwal_974_3-121_2B6F:A:17-137	39	3.10
Kwal_979_164-331_2CMD:A:146-312	38	4.39
Kwal_979_7-164_1MLD:A:1-144	45	3.20
Kwal_981_6-97_2DKT:A:8-81	30	2.47
Kwal_982_9-163_1N11:A:	123	3.32
Kwal_985_95-214,266-432_1IUP:A:	84	3.23
Kwal_987_3-75_2AL3:A:10-85	30	2.53
Kwal_987_248-340_1H8C:A:	28	2.93
Kwal_1001_1-69_1NHY:A:1-75	26	2.88
Kwal_1006_6-392_1U7L:A:	93	4.17
Kwal_1019_139-384_2FLU:X:325-609	108	2.64
Kwal_1042_294-426_1L7B:A:	36	2.56
Kwal_1042_84-213_1WF6:A:	43	3.05
Kwal_1053_145-555_1A12:A:	164	2.45
Kwal_1057_15-252_2AMY:A:4-246	78	3.12
Kwal_1060_4-173_2PA2:A:40-176	32	4.28
Kwal_1064_35-96_1ZR9:A:28-94	28	2.39
Kwal_1065_103-224_1TFF:A:	56	4.07
Kwal_1069_19-70_2A9U:A:6-139	22	6.09
Kwal_1085_341-542_1V10:A:305-494	77	2.47
Kwal_1085_23-180_1GYC:A:1-130	54	2.41
Kwal_1085_153-341_1V10:A:137-304	63	2.67
Kwal_1090_70-349_2BV3:A:7-282	72	3.83
Kwal_1090_543-663_2BV3:A:479-599	37	3.27
Kwal_1090_315-342,372-465_2BV3:A:283-403	46	2.63
Kwal_1090_664-755_2BV3:A:600-688	18	4.94
Kwal_1090_467-544_1FNM:A:404-482	20	3.95
