PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
3831.m01458_2-147_1EXR:A:	2	2	0	7	0	14	5	5	0	146
3707.m00242_29-202_1PVA:A:	2	0	1	7	0	15	5	9	0	109
3702.m00260_51-175_1KX5:A:	0	2	0	4	0	17	13	6	0	135
16.m05348_41-179_1I50:C:42-172	0	8	3	1	0	20	8	7	0	131
16.m05348_2-45,209-299_1I50:C:3-41,C:173-268	2	3	1	3	0	17	12	4	1	135
3688.m00193_7-140_1DT9:A:5-142	0	4	1	4	0	16	5	7	0	138
3688.m00193_143-274_1DT9:A:143-276	0	5	0	4	0	15	13	7	0	134
3688.m00193_276-418_1DT9:A:277-422	3	4	0	4	0	12	10	4	0	146
3698.m00201_78-290_1PRY:A:	0	12	1	6	0	21	11	17	0	226
3687.m00065_3-102_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
3702.m00093_9-112_1F66:C:	0	3	1	5	0	11	6	5	0	103
133.m00094_3-102_1EQZ:A:	0	3	1	5	0	14	10	7	0	125
3832.m00156_198-363_1U35:C:814-919	0	3	1	5	0	8	6	6	0	106
3832.m00156_44-159_1A9N:A:	0	10	3	4	0	27	13	10	0	162
90.m00169_8-120_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
3697.m00091_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
1.m00972_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
1.m00975_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
3697.m00090_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
3715.m00129_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
3730.m00037_25-383_1SQI:A:157-366	2	8	0	6	0	21	8	7	0	192
3686.m00137_90-168_1K99:A:	0	0	1	3	0	8	7	3	0	98
3686.m00137_12-86_1CG7:A:	0	0	0	6	0	6	4	8	0	93
3752.m00301_14-415_1LTK:A:	1	19	6	16	0	47	35	26	0	424
318.m00023_43-353_1VYH:C:92-408	0	28	1	0	0	39	25	14	0	317
1.m01059_11-170_1BYU:A:	4	8	3	8	0	20	8	14	0	202
3751.m00419_6-96_1F8Y:A:	5	4	6	4	0	21	8	8	0	156
3831.m01641_22-142_1FJG:L:	1	6	1	1	0	20	8	9	0	125
3735.m00096_1-244_1TUB:A:1-245	0	6	2	9	0	25	23	14	0	245
3735.m00096_246-435_1TUB:A:246-440	3	3	2	5	0	20	14	11	0	195
3703.m00089_1-243_1TUB:B:1-245	2	5	1	8	0	23	21	13	0	243
3703.m00089_244-429_1TUB:B:246-437	1	4	4	7	1	21	16	10	0	184
3743.m00003_1-243_1TUB:B:1-245	2	5	1	8	0	23	21	13	0	243
3743.m00003_244-429_1TUB:B:246-437	1	4	4	7	1	21	16	10	0	184
99.m00154_631-711,761-830_1DV1:A:115-330	3	7	1	6	0	20	10	7	0	216
3699.m00053_881-930,960-984,1034-1106_1EHI:A:135-362	0	9	3	6	0	24	11	13	0	228
40.m00214_778-874,935-1005_1DV1:A:115-330	3	7	1	6	0	20	10	7	0	216
16.m00446_686-760,813-883_1IOW:A:97-306	1	10	1	8	0	21	10	13	0	210
127.m00078_1004-1104,1156-1227_1VKZ:A:94-313	0	12	0	6	0	17	13	10	0	220
3687.m00038_609-698,749-810_1DV1:A:115-330	3	7	1	6	0	20	10	7	0	216
3694.m00187_418-538,598-677_2R85:A:100-334	2	8	7	5	0	23	12	9	0	235
3698.m00114_147-242,295-376_1EYZ:A:113-318	3	10	2	6	0	15	11	6	0	206
3802.m00184_17-197_1H7S:A:29-231	0	10	3	5	0	18	14	9	0	203
3802.m00184_746-928_1X9Z:A:	2	7	1	7	0	14	7	8	0	182
3802.m00184_207-342_1H7S:A:232-365	2	7	1	4	0	12	4	9	0	134
3692.m00165_502-734_1E3M:A:567-800	2	10	1	6	0	25	13	9	0	234
3692.m00165_202-494_1E3M:A:270-566	3	4	1	15	0	23	13	17	0	297
3702.m00050_660-801,846-995_1EWQ:A:267-541	2	4	1	10	0	20	10	10	0	275
3702.m00050_1018-1237_1E3M:A:567-800	2	10	1	6	0	25	13	9	0	234
3702.m00050_303-430_1E3M:A:2-116	0	6	3	3	0	11	6	7	0	115
3702.m00050_442-593_1EWQ:A:121-266	1	6	2	5	0	14	11	3	0	146
3722.m00835_1-331_1EXB:A:	4	10	6	13	1	24	21	17	0	326
3810.m02032_106-331_1DXJ:A:	5	0	2	10	0	28	15	20	0	242
182.m000593_600-803_1Q3E:A:	2	8	1	10	0	20	7	9	0	193
182.m000593_343-598_2A9H:A:23-119	0	0	0	3	0	5	6	3	0	97
182.m000593_810-837_1NC8:A:	2	0	1	0	0	6	3	1	0	29
182.m000594_565-767_1Q3E:A:	2	8	1	10	0	20	7	9	0	193
182.m000594_346-563_1LNQ:A:19-98	0	0	0	5	0	5	7	8	0	80
182.m000594_775-802_1F6U:A:	2	2	3	0	0	10	5	3	0	55
3705.m01069_118-163_1IYM:A:	0	2	0	1	0	11	6	4	0	54
3705.m01068_50-250_1IUP:A:	0	8	2	13	0	25	18	18	0	271
3705.m01066_7-271_1VA4:A:	4	8	3	10	0	25	15	19	0	271
3705.m01065_24-195_1EM2:A:	2	12	1	4	0	21	7	12	0	214
3731.m00601_14-127,159-219_1LNQ:A:19-98	0	0	0	5	0	5	7	8	0	80
3731.m00601_262-435_1VP6:A:	0	8	1	5	0	18	5	4	0	133
3731.m00598_102-221_1Q7S:A:	1	4	1	4	0	8	3	3	0	117
3710.m00936_11-85_1LJO:A:	0	5	1	1	0	6	2	4	0	76
3710.m00935_777-865,903-951_1O7F:A:13-167	2	8	3	4	0	22	10	10	0	155
3710.m00935_960-1023,1063-1128_1CX4:A:130-265	0	8	1	4	0	13	4	5	0	136
3710.m00934_451-643,728-847_2OVR:B:2365-2706	0	32	2	1	0	36	24	21	0	342
3706.m01526_580-867_2OVR:B:2365-2706	0	32	2	1	0	36	24	21	0	342
3706.m01528_341-623_1MKY:A:173-358	2	7	3	5	0	16	12	10	0	186
3706.m01528_62-267_1MKY:A:2-172	2	6	2	6	0	13	10	9	0	171
3706.m01523_19-296_1QPC:A:	3	11	3	9	0	32	11	19	0	272
3706.m01522_328-449_1TJC:A:	0	0	0	5	0	8	1	4	0	95
3706.m01512_6-101_1NY8:A:	0	3	0	4	0	6	7	4	0	96
3706.m01505_52-137_2B5E:A:23-141	0	5	0	4	0	15	7	10	0	119
3725.m00635_15-237_1DIN:A:	2	9	3	6	0	26	12	19	0	233
3691.m01123_122-288_1GU7:A:161-349	0	7	1	10	0	20	8	12	0	189
3691.m01123_1-143_1LLU:A:2-143,A:310-342	5	11	2	3	0	26	13	11	1	175
3830.m00587_190-251_1SFC:H:	0	0	0	1	0	3	2	0	0	86
3712.m00913_349-414_1W6V:A:1-120	4	3	0	3	0	19	9	9	0	120
3712.m00912_299-639_2P1R:A:1-299	0	20	1	8	0	29	18	18	0	299
3712.m00915_94-338_1T94:A:75-407	2	10	5	13	0	31	13	16	0	333
3712.m00915_345-442_1T94:A:411-515	0	4	0	2	0	8	4	3	0	105
3724.m00592_88-384_1GXR:A:	2	31	0	0	0	37	29	20	0	336
3709.m00928_7-300_1J6O:A:	1	8	6	9	0	23	12	16	0	267
3709.m00923_85-172,324-422,875-1079_1SU4:A:1-124,A:240-343,A:751-994	1	1	8	18	0	32	20	22	2	472
3709.m00923_681-873_1J97:A:	3	7	3	9	1	19	10	11	0	210
3709.m00923_434-464,509-702_1MO7:A:	2	9	0	5	0	32	19	9	0	213
3709.m00923_177-240,283-321_1SU4:A:125-239	2	9	3	0	0	21	10	7	0	115
21.m02759_7-158_1Q5H:C:	3	12	0	1	0	23	8	7	0	146
3718.m00950_8-261_1A6Q:A:2-296	3	15	2	7	0	26	16	16	0	295
3718.m00945_2-157_1MC0:A:402-555	0	7	0	4	0	14	7	11	0	154
3718.m00951_729-1089_1C4Z:A:	4	10	4	13	0	35	26	18	0	350
3704.m01037_338-621_1RI6:A:	1	28	2	0	0	36	19	23	0	342
3704.m01037_16-293_1JOF:A:	3	28	1	0	0	39	21	26	0	365
3711.m01001_69-254_1AUA:A:97-299	2	5	7	8	0	23	12	12	0	203
3711.m01001_16-63_1AUA:A:4-96	0	0	1	5	0	8	5	8	0	93
3711.m00998_10-184_1HGX:A:	4	9	0	3	0	17	11	9	0	173
3703.m01246_13-340_2BNH:A:	5	17	2	16	0	59	26	25	0	456
3703.m01253_236-389_1TA0:A:	2	9	6	4	0	24	13	9	0	196
3703.m01245_32-143_1XWV:A:	6	10	1	0	0	18	10	8	0	129
3733.m00631_10-195,319-1058_1QBK:B:	0	0	17	47	0	50	54	64	0	888
3831.m01461_3-83_1Q1O:A:	0	5	0	2	0	13	6	2	0	97
3716.m00985_394-642_2HYD:A:324-578	2	10	5	9	0	25	21	16	0	255
3716.m00985_1059-1315_3B60:A:329-581	4	10	2	9	0	24	18	16	0	253
3716.m00985_725-1048_3B60:A:10-328	0	0	1	11	0	6	9	9	0	319
3716.m00985_63-387_3B60:A:10-328	0	0	1	11	0	6	9	9	0	319
3716.m00983_153-321_1W3B:A:	0	0	0	23	0	35	6	26	0	388
3716.m00983_55-141_1IHG:A:197-365	0	0	2	8	0	13	5	7	0	169
3716.m00986_350-461_2BNH:A:	5	17	2	16	0	59	26	25	0	456
3721.m00737_51-166_1H3I:A:52-193	0	13	0	0	0	18	10	9	0	142
3721.m00737_212-289_1H3I:A:52-193	0	13	0	0	0	18	10	9	0	142
3700.m01693_116-387_2JAV:A:3-271	1	8	3	9	0	24	12	13	0	269
3700.m01691_7-292_1RP4:A:	4	5	6	13	0	26	21	22	0	388
3700.m01695_10-118_1SYR:A:	0	5	0	4	0	9	5	6	0	103
3700.m01684_22-277_2JFL:A:21-308	1	11	6	10	0	27	17	20	0	288
3687.m01153_1602-1664,1694-1735_1O0W:A:1-167	2	0	1	10	0	12	5	7	0	167
3687.m01153_119-175,671-767_1HV8:A:211-365	1	6	1	6	0	17	12	7	0	155
3687.m01153_95-197,241-313_1WP9:A:1-200	2	7	4	8	0	27	18	8	0	200
3687.m01153_1420-1505_1JFZ:A:	2	0	1	7	0	12	8	9	0	148
3696.m00957_31-209_2DTG:E:157-311	8	9	3	1	0	30	18	7	0	155
3696.m00958_64-138_1T8K:A:	2	0	1	4	0	8	0	6	0	77
3714.m00967_108-253_1A4Y:A:	2	17	3	16	0	56	24	32	0	460
3714.m00975_1-333_1EXB:A:	4	10	6	13	1	24	21	17	0	326
3714.m00977_425-576_1CX4:A:266-412	0	6	2	5	0	15	4	7	0	147
3714.m00977_376-423_2A9H:A:23-119	0	0	0	3	0	5	6	3	0	97
3701.m01496_28-295_1MUO:A:	6	6	4	9	0	28	17	16	0	261
3701.m01498_61-435_1I6I:A:	5	18	4	8	0	31	12	24	0	365
3701.m01489_110-290_1FKM:A:249-442	2	0	8	8	0	13	13	10	0	194
3701.m01489_267-369_1FKM:A:443-630	0	0	1	8	0	10	3	8	0	188
3701.m01490_1087-1186,1488-1741_1E8Y:A:726-1092	0	10	2	12	0	26	15	16	0	367
3701.m01490_253-311_1IYM:A:	0	2	0	1	0	11	6	4	0	54
3701.m01484_3-140_1WKQ:A:	0	5	1	7	0	15	6	10	0	163
3701.m01481_9-272_2JAV:A:3-271	1	8	3	9	0	24	12	13	0	269
3701.m01480_17-288_2NSZ:A:322-450	0	0	1	7	0	10	4	6	0	129
3736.m00681_249-353_1F60:A:335-441	2	7	1	0	0	15	7	6	0	107
3736.m00681_4-168_1F60:A:2-240	2	8	3	8	0	25	15	13	0	239
3736.m00681_146-243_1F60:A:241-334	3	7	0	0	0	13	6	9	0	94
3736.m00677_5-82_1GSU:A:1-84	0	4	2	3	0	6	7	6	0	84
3736.m00677_93-210_1FHE:A:81-214	2	0	0	7	0	10	11	9	0	134
3736.m00676_215-335,395-487_1IOW:A:97-306	1	10	1	8	0	21	10	13	0	210
3736.m00682_25-119_1UHT:A:	3	9	0	0	0	18	9	7	0	117
3736.m00680_272-398_1WJ4:A:	1	5	0	1	0	15	10	6	0	123
3736.m00679_5-390_1T64:A:	10	8	3	11	0	40	16	26	0	364
3726.m00752_85-206_1H6H:A:	0	3	1	6	0	14	9	6	0	143
3698.m01703_37-344_3BLH:A:8-325	3	10	4	9	0	33	17	14	0	318
3698.m01705_3-190,233-367_2AX3:A:212-489	0	9	3	13	0	31	16	13	0	278
3698.m01711_63-155_1V5N:A:	0	3	0	2	0	14	11	4	0	88
3698.m01702_17-255_2OVR:B:2365-2706	0	32	2	1	0	36	24	21	0	342
3698.m01713_219-305,591-858_1E8Y:A:726-1092	0	10	2	12	0	26	15	16	0	367
3698.m01698_32-161_1AWC:B:	0	0	0	10	0	18	2	16	0	153
3698.m01695_2004-2350_1ND7:A:	2	12	7	14	0	33	22	22	0	373
3698.m01696_269-513_1LV7:A:	2	6	3	10	0	31	17	18	0	256
3698.m01696_525-702_2DI4:A:406-607	1	2	1	6	0	11	5	4	0	202
3822.m00687_4-124_1E7K:A:	1	4	1	5	0	13	6	11	0	125
3822.m00671_112-246,355-407_1O7F:A:322-445	0	8	2	3	0	13	7	8	0	124
3822.m00671_415-478,515-538_1CX4:A:266-412	0	6	2	5	0	15	4	7	0	147
3822.m00672_588-788_1Q3E:A:	2	8	1	10	0	20	7	9	0	193
3822.m00672_360-582_1LNQ:A:19-98	0	0	0	5	0	5	7	8	0	80
41.m02883_240-366_2J8K:A:1-175	31	0	0	1	0	64	1	33	0	174
41.m02883_115-262_2J8K:A:1-175	31	0	0	1	0	64	1	33	0	174
41.m02883_36-149_2F3L:A:7-138	15	6	0	2	0	39	3	18	0	132
41.m02880_3-291_2NYM:C:2-294	4	13	0	11	0	29	23	16	0	293
41.m02878_790-847,874-926,1015-1146_1P22:A:253-545	0	28	0	1	0	35	23	13	0	293
22.m02619_29-147_1EQ1:A:	0	0	2	6	0	10	10	6	0	166
22.m02623_34-381_2BNH:A:	5	17	2	16	0	59	26	25	0	456
22.m02621_16-178_1UPT:A:	0	6	3	4	0	17	8	14	0	169
22.m002617_551-666,796-863,927-1053_1GXR:A:	2	31	0	0	0	37	29	20	0	336
22.m002617_112-155,194-232,274-352,400-451,616-672_1JMX:B:	5	29	1	0	0	39	21	18	0	346
22.m002617_999-1273_2OVR:B:2365-2706	0	32	2	1	0	36	24	21	0	342
22.m002617_1858-2118_1JTA:A:	1	32	7	3	0	47	30	18	0	361
22.m002618_3666-3762,3830-3929,3967-4102_1GXR:A:	2	31	0	0	0	37	29	20	0	336
22.m002618_531-617,700-799,837-974_1GXR:A:	2	31	0	0	0	37	29	20	0	336
22.m002618_29-225,552-614_1H4I:A:	12	38	11	5	0	80	39	44	0	595
22.m002618_3045-3286_1K32:A:320-679	4	31	5	1	0	46	27	17	0	360
22.m002618_4782-5001_1QJV:A:	5	28	2	5	0	53	36	22	0	342
22.m002618_1814-2023_1QJV:A:	5	28	2	5	0	53	36	22	0	342
22.m002618_922-982,1014-1032,1116-1329_2BBK:H:	4	30	2	1	0	41	19	21	0	355
22.m002618_4147-4323,4370-4456_1VYH:C:92-408	0	28	1	0	0	39	25	14	0	317
3827.m00862_3-259_1QYC:A:	1	13	4	12	0	30	15	23	0	307
3827.m00871_4-258_1QYC:A:	1	13	4	12	0	30	15	23	0	307
3827.m00856_35-141_2BNH:A:	5	17	2	16	0	59	26	25	0	456
3823.m01118_110-314_1O6V:A:33-416	1	19	16	2	0	68	27	29	0	381
3823.m01118_9-50_1V38:A:	2	0	1	5	0	8	3	4	0	77
3823.m01106_36-113_1RYQ:A:	2	5	1	1	0	10	4	3	0	68
3688.m01158_310-387_1C3T:A:	2	5	2	1	0	12	2	7	0	76
3695.m00868_128-275_1A17:A:	0	0	0	7	0	11	3	7	0	159
3695.m00869_346-455,484-732_2HPA:A:	4	6	5	13	0	38	21	16	0	342
3695.m00869_9-343_2HPA:A:	4	6	5	13	0	38	21	16	0	342
3695.m00874_557-763_1Q3E:A:	2	8	1	10	0	20	7	9	0	193
3695.m00874_435-595_1LNQ:A:19-98	0	0	0	5	0	5	7	8	0	80
3695.m00874_776-799_1AAF:A:	0	0	2	0	0	11	7	2	0	55
3694.m01244_152-390_1JKM:A:	0	10	3	14	0	34	17	27	0	358
3694.m01245_22-337_1RI6:A:	1	28	2	0	0	36	19	23	0	342
3694.m01245_173-278,360-428,464-563_2DG1:A:6-324	6	25	6	0	0	47	21	19	0	320
86.m01493_469-673_2CKH:A:419-643	2	6	1	8	0	22	10	13	0	225
86.m01488_2-113_2BNH:A:	5	17	2	16	0	59	26	25	0	456
86.m01489_416-579_1W3B:A:	0	0	0	23	0	35	6	26	0	388
86.m01489_73-342_2JAV:A:3-271	1	8	3	9	0	24	12	13	0	269
86.m01489_515-557,590-673_2FBN:A:22-174	0	0	1	7	0	10	3	7	0	153
86.m01489_347-445_1A17:A:	0	0	0	7	0	11	3	7	0	159
3708.m00949_2-361_1TQN:A:	5	9	7	18	0	43	20	30	0	472
3708.m00948_13-437_1TQN:A:	5	9	7	18	0	43	20	30	0	472
3708.m00952_2-234_1UL1:X:2-217	0	7	1	7	0	19	10	10	0	216
3708.m00952_219-359_1UL1:X:218-357	1	1	1	7	0	13	9	4	0	140
3689.m01146_721-1045_1OYN:A:	2	0	5	17	0	24	16	22	0	334
3719.m00872_153-269_2U2F:A:	0	4	0	2	0	9	7	3	0	85
3719.m00872_34-121_1U2F:A:	1	4	1	1	0	13	8	6	0	90
16.m05356_12-325_2BNH:A:	5	17	2	16	0	59	26	25	0	456
16.m05356_318-469_2BNH:A:	5	17	2	16	0	59	26	25	0	456
16.m05354_9-269_1J8F:A:	4	9	5	12	0	33	20	18	0	323
16.m05346_4-344_1A12:A:	5	30	5	1	0	58	38	27	0	401
60.m01792_26-106_1FQV:A:146-431	8	13	3	8	0	55	21	24	0	286
60.m01782_490-678,784-936,1063-1263_1TE4:A:	0	0	3	6	0	11	9	5	0	111
3697.m01724_16-160_1WIX:A:	0	0	1	9	0	13	9	9	0	163
3697.m01702_12-91_1D3B:L:	0	5	1	1	0	9	3	5	0	90
3697.m01704_123-289_1JVB:A:144-313	0	6	2	8	0	13	10	11	0	170
3697.m01704_6-144_1PL7:A:1-145,A:317-356	1	14	4	3	0	22	9	12	1	185
3697.m01699_2-350_1F3M:C:	1	10	4	11	0	33	20	20	0	294
3699.m01940_441-953_1YOV:B:12-437	9	12	6	13	0	48	22	26	0	426
3699.m01940_28-427_1YOV:A:6-534	6	10	2	23	0	45	33	28	0	529
3699.m01940_1261-1461_2HR2:A:2-157	0	0	0	7	0	10	4	8	0	156
3699.m01950_852-968_1ELR:A:	0	0	0	7	0	9	1	5	0	128
3699.m01957_40-317_1OKC:A:	0	0	6	11	0	19	10	9	0	292
3699.m01944_95-168_1YRG:A:	3	14	2	12	0	46	15	21	0	343
139.m00942_4-157_1YRG:A:	3	14	2	12	0	46	15	21	0	343
3690.m01046_4-92,154-277_1TUB:B:1-245	2	5	1	8	0	23	21	13	0	243
3690.m01046_297-498_1TUB:B:246-437	1	4	4	7	1	21	16	10	0	184
3690.m01044_23-322_1A06:A:	4	8	4	10	0	29	20	14	0	307
3690.m01044_312-468_1S6I:A:	0	4	0	8	0	18	14	14	0	182
3690.m01047_49-252,317-399_1XM9:A:244-700	0	0	2	27	0	26	20	30	0	457
3690.m01047_633-685,719-771,1039-1156_1WA5:B:	0	0	5	29	0	38	22	22	0	506
3690.m01037_856-946_1N11:A:	0	0	1	24	0	48	15	35	0	408
3828.m01477_70-448_1PV7:A:	0	0	2	22	0	18	12	14	0	417
3828.m01367_138-302_1QOR:A:113-291	2	6	1	8	0	15	10	12	0	179
3828.m01367_16-158_1YB5:A:6-120,A:295-329	2	9	3	2	0	18	11	6	1	150
3828.m01349_27-90_1IYM:A:	0	2	0	1	0	11	6	4	0	54
3828.m01260_16-134_2BNH:A:	5	17	2	16	0	59	26	25	0	456
40.m02602_182-461_2BNH:A:	5	17	2	16	0	59	26	25	0	456
40.m02602_2-242_2BNH:A:	5	17	2	16	0	59	26	25	0	456
40.m02605_44-415_2BPT:A:1-861	0	0	19	43	0	44	28	37	0	860
3723.m00730_1-78_1DUG:A:1-80	0	4	1	3	0	9	6	4	0	80
3723.m00730_99-208_2FHE:A:81-216	2	0	0	5	0	11	11	8	0	136
3723.m00726_3-50_1X1R:A:10-178	2	6	1	6	0	19	10	10	0	169
3723.m00724_376-531_2PIA:A:104-223	0	5	2	4	0	13	9	8	0	120
3723.m00724_287-367_1A8P:A:2-100	1	6	0	1	0	13	6	7	0	99
3723.m00725_186-354_2CND:A:125-270	0	8	3	6	0	14	9	6	0	146
3723.m00725_100-189_1QFJ:A:1-97	0	6	0	1	0	11	7	3	0	97
3723.m00722_409-643_1YVU:A:315-706	2	20	1	9	0	32	17	11	0	311
3723.m00722_264-308,338-450_1U04:A:2-323	5	16	3	9	0	33	19	12	0	323
3723.m00723_26-181_1YVU:A:315-706	2	20	1	9	0	32	17	11	0	311
3723.m00733_2-175_2C31:A:7-194	0	8	2	9	0	17	9	7	0	188
3723.m00733_187-328_2C31:A:195-369	1	5	5	6	0	18	11	9	0	175
3723.m00734_6-152_2C31:A:370-552	6	6	1	7	0	19	13	10	0	183
3824.m02929_27-406_2HPA:A:	4	6	5	13	0	38	21	16	0	342
3824.m02899_38-106_2DNT:A:8-73	2	3	1	1	0	13	7	4	0	65
3717.m00844_4-152_2GGM:A:24-166	2	2	1	7	0	11	6	5	0	143
3717.m00841_1-45,72-364_1EX1:A:1-388	3	11	8	15	1	39	19	29	0	388
3717.m00841_399-504,552-696_1EX1:A:389-602	5	6	2	6	0	33	25	10	0	214
19.m03772_460-707_1H4L:A:	2	11	6	8	0	33	20	12	0	286
19.m03772_938-1090_2FBN:A:22-174	0	0	1	7	0	10	3	7	0	153
19.m03772_788-915_2C2L:A:24-224	0	0	1	10	0	12	7	11	0	201
19.m03773_270-515_1UWH:A:	2	8	4	8	0	28	15	13	0	276
19.m03773_808-923_2FBN:A:22-174	0	0	1	7	0	10	3	7	0	153
19.m03773_598-721_1W3B:A:	0	0	0	23	0	35	6	26	0	388
19.m03773_725-834_1KLX:A:	0	0	0	8	0	11	4	8	0	133
3713.m01023_142-331_2R09:A:65-252	2	0	0	10	0	15	10	10	0	190
3713.m01023_707-821_1FKM:A:443-630	0	0	1	8	0	10	3	8	0	188
3713.m01023_560-731_1FKM:A:249-442	2	0	8	8	0	13	13	10	0	194
3713.m01023_356-482_1MAI:A:	0	7	2	3	0	13	8	5	0	119
3713.m01020_297-359,388-442,496-629_2FWR:A:257-456	7	4	0	8	0	27	20	8	0	200
47.m02286_345-593_3B60:A:329-581	4	10	2	9	0	24	18	16	0	253
47.m02286_1036-1300_3B60:A:329-581	4	10	2	9	0	24	18	16	0	253
47.m02286_695-1011_1PF4:A:10-320	0	0	9	16	0	12	11	14	0	310
47.m02286_15-330_1PF4:A:10-320	0	0	9	16	0	12	11	14	0	310
3811.m00987_9-167_1O6Y:A:	1	11	3	8	0	24	14	12	0	276
3692.m01170_17-151_1ORQ:C:	0	0	0	9	0	12	9	11	0	223
3692.m01165_34-256_1FPU:A:	3	9	8	8	0	29	16	17	0	292
32.m02515_145-519_2BNH:A:	5	17	2	16	0	59	26	25	0	456
32.m02511_7-169_1Z0A:A:2-170	0	6	1	6	0	17	7	13	0	169
3836.m02055_2-262_2BNH:A:	5	17	2	16	0	59	26	25	0	456
3836.m02055_345-586_2BNH:A:	5	17	2	16	0	59	26	25	0	456
7.m04852_52-419_2BNH:A:	5	17	2	16	0	59	26	25	0	456
7.m04851_7-128_2ZJR:K:3-115	0	3	0	5	0	9	6	6	0	113
7.m04853_17-325_1YRG:A:	3	14	2	12	0	46	15	21	0	343
7.m04853_321-449_2BNH:A:	5	17	2	16	0	59	26	25	0	456
7.m04850_3-86_1A4Y:A:	2	17	3	16	0	56	24	32	0	460
7.m04849_319-582_1DEU:A:	15	12	3	7	0	35	19	18	0	275
7.m04849_18-276_1DEU:A:	15	12	3	7	0	35	19	18	0	275
7.m04839_43-168_1N8Y:C:489-608	10	9	2	0	0	17	16	7	0	120
7.m04835_36-237_1PME:A:	3	10	7	11	0	38	19	18	0	345
7.m04835_1098-1267_1KT1:A:254-421	0	0	1	7	0	12	3	7	0	168
7.m04835_691-994_1W3B:A:	0	0	0	23	0	35	6	26	0	388
7.m04835_516-785_1W3B:A:	0	0	0	23	0	35	6	26	0	388
7.m04835_345-544_1OUV:A:	0	0	0	15	0	18	7	15	0	272
3702.m01630_276-407_1DTL:A:	2	2	3	8	0	13	5	7	0	156
3702.m01630_164-233,266-304_1TN4:A:	0	4	0	8	0	14	5	7	0	157
3702.m01623_7-334_1PV7:A:	0	0	2	22	0	18	12	14	0	417
3702.m01622_5-89_1NQL:A:481-614	10	9	1	0	0	18	16	10	0	134
3702.m01616_142-312,460-541_1KV9:A:1-560	8	39	7	5	0	72	35	35	0	560
3702.m01616_476-758_1RI6:A:	1	28	2	0	0	36	19	23	0	342
3702.m01616_1099-1193_1L3W:A:327-433	2	9	0	0	0	18	7	4	0	107
3744.m00434_14-340_1Y1P:A:2-343	0	12	1	11	0	37	20	20	0	342
3744.m00435_470-629_2DTG:E:157-311	8	9	3	1	0	30	18	7	0	155
3744.m00435_615-764_1N8Y:C:489-608	10	9	2	0	0	17	16	7	0	120
3744.m00435_912-1071_2DTG:E:157-311	8	9	3	1	0	30	18	7	0	155
3744.m00435_1057-1219_1NQL:A:481-614	10	9	1	0	0	18	16	10	0	134
3744.m00435_1188-1318_1M6B:B:480-611	10	9	1	0	0	14	18	10	0	132
3744.m00435_753-925_1N8Y:C:489-608	10	9	2	0	0	17	16	7	0	120
3744.m00435_140-257_1N8Z:C:489-607	9	8	1	0	0	12	14	9	0	119
3812.m02575_15-316_1YRG:A:	3	14	2	12	0	46	15	21	0	343
