PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
Medtr8g020500.1_11-94_1WZ3:A:10-93	4	4	0	2	0	10	6	6	0	84
Medtr7g081230.1_99-444_2P82:A:26-359	5	15	3	8	0	30	21	21	0	334
Medtr7g081230.3_99-444_2P82:A:26-359	5	15	3	8	0	30	21	21	0	334
Medtr6g025320.1_1-149_1RFJ:A:	2	2	0	7	0	16	5	7	0	148
Medtr5g088320.1_2-147_1RFJ:A:	2	2	0	7	0	16	5	7	0	148
Medtr8g043970.1_7-52,86-326_1A06:A:	4	8	4	10	0	29	20	14	0	307
Medtr8g043970.1_350-514_1BJF:A:	0	4	1	10	0	16	12	9	0	181
Medtr2g005870.1_349-496_2FY8:A:116-244	0	6	2	6	0	14	10	7	0	130
Medtr2g005870.1_195-334_1ORQ:C:	0	0	0	9	0	12	9	11	0	223
Medtr3g106480.1_33-172_1WIN:A:	0	6	0	5	0	15	6	3	0	142
Medtr3g106420.1_35-175_1WIN:A:	0	6	0	5	0	15	6	3	0	142
Medtr3g106485.1_33-172_1WIN:A:	0	6	0	5	0	15	6	3	0	142
Medtr3g106430.1_33-172_1WIN:A:	0	6	0	5	0	15	6	3	0	142
Medtr1g083190.1_35-175_1WIN:A:	0	6	0	5	0	15	6	3	0	142
Medtr8g098350.1_86-325,364-506_1VA6:A:	8	14	7	19	0	59	36	25	0	515
Medtr2g096610.1_8-105_1KX5:C:	0	3	2	5	0	14	10	8	0	128
Medtr2g096570.1_13-131_1KX5:C:	0	3	2	5	0	14	10	8	0	128
Medtr4g071150.1_5-107_1KX5:C:	0	3	2	5	0	14	10	8	0	128
Medtr4g070240.1_32-148_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
Medtr4g071180.1_32-148_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
Medtr4g070245.1_32-148_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
Medtr7g099960.1_22-138_1EQZ:B:	0	2	0	4	0	10	4	3	0	108
Medtr2g035230.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr4g065990.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr4g088150.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr5g029770.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr5g029820.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr7g059070.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr8g063500.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr8g092720.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr8g092820.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr8g103245.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr1g023630.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr4g097175.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr8g061940.1_2-133_1KX5:A:	0	2	0	4	0	17	13	6	0	135
Medtr2g096100.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr3g054380.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr3g061440.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr3g070920.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr3g462400.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr3g462410.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr3g462510.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr3g462730.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr4g061827.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr4g061920.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr5g063620.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
Medtr7g029510.1_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
