PDB_ID	Total_Structures	Average_Length
gi|124026908|ref|YP_001012228.1|_1-89_1WII:A:	19	4.42
gi|124026909|ref|YP_001012229.1|_16-236_2F6U:A:1001-1231	71	3.25
gi|124026910|ref|YP_001012230.1|_3-80_1VMG:A:	12	6.92
gi|124026913|ref|YP_001012233.1|_2-77_1RI7:A:85-170	24	3.58
gi|124026915|ref|YP_001012235.1|_16-66_2BJC:A:1-62	18	3.44
gi|124026916|ref|YP_001012236.1|_65-209_1PHK:A:	90	3.08
gi|124026917|ref|YP_001012237.1|_166-285_1R89:A:143-257	36	3.19
gi|124026917|ref|YP_001012237.1|_271-428_1R89:A:258-437	50	3.60
gi|124026917|ref|YP_001012237.1|_11-206_1R89:A:1-142	33	4.30
gi|124026918|ref|YP_001012238.1|_46-179_2PJQ:A:1-215	51	4.22
gi|124026919|ref|YP_001012239.1|_1-151,227-283_2F5V:A:43-354,A:553-619	135	2.81
gi|124026920|ref|YP_001012240.1|_32-262_1V4E:A:	53	5.28
gi|124026921|ref|YP_001012241.1|_5-126_1UD9:A:1-119	34	3.50
gi|124026921|ref|YP_001012241.1|_127-246_1UD9:A:127-245	38	3.13
gi|124026922|ref|YP_001012242.1|_104-293_1UC8:A:89-280	45	4.27
gi|124026925|ref|YP_001012245.1|_11-273_1V4N:A:	87	3.22
gi|124026926|ref|YP_001012246.1|_144-300_1DUS:A:	56	3.46
gi|124026929|ref|YP_001012249.1|_16-206_1TLJ:A:	47	4.02
gi|124026933|ref|YP_001012253.1|_136-376_1NT2:B:	61	4.20
gi|124026934|ref|YP_001012254.1|_8-231_1PRY:A:	68	3.32
gi|124026936|ref|YP_001012256.1|_126-183_1Y7Y:A:5-73	19	3.63
gi|124026937|ref|YP_001012257.1|_97-441_1B8A:A:104-438	103	3.25
gi|124026937|ref|YP_001012257.1|_7-109_1G51:A:1-104	31	3.35
gi|124026938|ref|YP_001012258.1|_17-219,251-361_1TV8:A:	108	3.03
gi|124026940|ref|YP_001012260.1|_37-357_1TV8:A:	108	3.03
gi|124026941|ref|YP_001012261.1|_11-225_1SOU:A:	70	2.76
gi|124026942|ref|YP_001012262.1|_6-111_1Y88:A:3-127	15	3.80
gi|124026943|ref|YP_001012263.1|_3-316_1DHS:A:	99	3.65
gi|124026944|ref|YP_001012264.1|_26-145_1UFK:A:	68	3.74
gi|124026945|ref|YP_001012265.1|_17-216_1XXL:A:	69	3.45
gi|124026946|ref|YP_001012266.1|_6-189_1SBZ:A:	56	3.32
gi|124026948|ref|YP_001012268.1|_86-170_1A79:A:83-179	33	2.94
gi|124026948|ref|YP_001012268.1|_2-82_1A79:A:9-82	23	3.22
gi|124026949|ref|YP_001012269.1|_42-227_1T72:A:	23	9.83
gi|124026950|ref|YP_001012270.1|_176-436_1OLT:A:	137	3.22
gi|124026953|ref|YP_001012273.1|_5-228,277-378,436-484_1ATI:A:1-394	105	3.75
gi|124026953|ref|YP_001012273.1|_468-574_1ATI:A:395-505	38	2.92
gi|124026954|ref|YP_001012274.1|_15-300_1GQ6:A:	95	3.17
gi|124026955|ref|YP_001012275.1|_21-66_1I50:L:	21	2.19
gi|124026956|ref|YP_001012276.1|_20-101_1D1R:A:	26	4.42
gi|124026957|ref|YP_001012277.1|_223-317_1AIS:B:1206-1300	20	4.75
gi|124026957|ref|YP_001012277.1|_129-223_1AIS:B:1108-1205	19	5.16
gi|124026957|ref|YP_001012277.1|_24-65_1PFT:A:	17	2.94
gi|124026958|ref|YP_001012278.1|_44-346_1IRX:A:3-319	95	3.34
gi|124026958|ref|YP_001012278.1|_355-563_1IRX:A:320-523	50	4.08
gi|124026959|ref|YP_001012279.1|_39-129_2D1H:A:1-109	24	4.54
gi|124026960|ref|YP_001012280.1|_19-276_1UIR:A:	89	3.51
gi|124026962|ref|YP_001012282.1|_10-84_2PMR:A:3-77	12	6.25
gi|124026962|ref|YP_001012282.1|_96-226_1COZ:A:	41	3.07
gi|124026963|ref|YP_001012283.1|_1-205_2IMH:A:1-229	65	3.42
gi|124026965|ref|YP_001012285.1|_16-203_1IM5:A:	68	2.63
gi|124026966|ref|YP_001012286.1|_5-86,168-210_1T6N:A:	66	3.14
gi|124026966|ref|YP_001012286.1|_26-74,150-224,350-364,393-513_1P9R:A:	109	3.83
gi|124026967|ref|YP_001012287.1|_4-243_1V43:A:7-245	69	3.46
gi|124026967|ref|YP_001012287.1|_241-353_3D31:A:230-348	39	3.05
gi|124026968|ref|YP_001012288.1|_344-626_2ONK:C:1-252	44	5.73
gi|124026968|ref|YP_001012288.1|_32-320_2ONK:C:1-252	44	5.73
gi|124026969|ref|YP_001012289.1|_116-386_1XVY:A:	93	3.30
gi|124026971|ref|YP_001012291.1|_122-292,324-382_3D03:A:1-271	106	2.58
gi|124026974|ref|YP_001012294.1|_95-275_1TQI:A:91-282	47	4.09
gi|124026974|ref|YP_001012294.1|_8-90_1TQI:A:1-90	24	3.75
gi|124026975|ref|YP_001012295.1|_36-100_1SMT:A:	24	4.08
gi|124026979|ref|YP_001012299.1|_163-363_1T72:A:	23	9.83
gi|124026979|ref|YP_001012299.1|_41-81_1UB4:C:	23	3.26
gi|124026981|ref|YP_001012301.1|_8-161_1VDM:A:1-153	48	3.19
gi|124026982|ref|YP_001012302.1|_30-122_1VJ2:A:	36	3.17
gi|124026985|ref|YP_001012305.1|_11-81_1JBM:A:	20	4.25
gi|124026987|ref|YP_001012307.1|_4-163,253-326_1GV4:A:121-264,A:398-477	83	2.71
gi|124026988|ref|YP_001012308.1|_19-285_2FRN:A:19-278	73	3.56
gi|124026990|ref|YP_001012310.1|_45-203_1RRE:A:	60	3.03
gi|124026991|ref|YP_001012311.1|_7-185_1UI0:A:	65	2.95
gi|124026992|ref|YP_001012312.1|_15-243_1K3F:A:	82	3.09
gi|124026994|ref|YP_001012314.1|_41-267_1WY5:A:1-216	56	3.86
gi|124026998|ref|YP_001012318.1|_6-230_3DHW:C:1-240	71	3.38
gi|124026998|ref|YP_001012318.1|_257-487_1MT0:A:	85	2.84
gi|124027000|ref|YP_001012320.1|_69-154_1RI7:A:85-170	24	3.58
gi|124027000|ref|YP_001012320.1|_7-75_1RI7:A:25-84	15	4.00
gi|124027001|ref|YP_001012321.1|_1-92_2RAQ:A:3-95	26	3.58
gi|124027002|ref|YP_001012322.1|_13-117_1PYB:A:	43	2.49
gi|124027003|ref|YP_001012323.1|_127-309_1FF9:A:125-391	87	3.07
gi|124027003|ref|YP_001012323.1|_10-108_1A5Z:A:22-163	38	3.68
gi|124027004|ref|YP_001012324.1|_4-229_1VPL:A:	65	3.66
gi|124027006|ref|YP_001012326.1|_8-100_1KVN:A:	37	2.81
gi|124027007|ref|YP_001012327.1|_54-338_1XRT:A:56-365	83	3.73
gi|124027007|ref|YP_001012327.1|_8-53,342-404_1M7J:A:420-480	27	2.26
gi|124027008|ref|YP_001012328.1|_95-244_1EP3:B:103-262	54	2.96
gi|124027008|ref|YP_001012328.1|_6-79_1TVC:A:2-110	39	2.79
gi|124027009|ref|YP_001012329.1|_4-101_1PG5:B:11-104	24	3.92
gi|124027009|ref|YP_001012329.1|_102-156_1PG5:B:105-160	23	2.43
gi|124027010|ref|YP_001012330.1|_7-312_1TUG:A:1-150,A:151-310	105	2.96
gi|124027011|ref|YP_001012331.1|_12-196_2AEE:A:1-208	61	3.41
gi|124027012|ref|YP_001012332.1|_3-212_2CZD:A:1-206	62	3.32
gi|124027013|ref|YP_001012333.1|_10-311_1O58:A:	88	3.43
gi|124027014|ref|YP_001012334.1|_1-271_1VCO:A:11-282	83	3.28
gi|124027014|ref|YP_001012334.1|_290-532_1VCO:A:298-547	77	3.25
gi|124027015|ref|YP_001012335.1|_18-91_2PG4:A:1-92	20	4.60
gi|124027016|ref|YP_001012336.1|_2-94_1MZB:A:	32	4.19
gi|124027017|ref|YP_001012337.1|_171-294_2EF7:A:1-127	47	2.70
gi|124027017|ref|YP_001012337.1|_6-76_1STZ:A:14-100	28	3.11
gi|124027018|ref|YP_001012338.1|_43-202_1Y7O:A:2-193	52	3.69
gi|124027018|ref|YP_001012338.1|_386-445_2EXD:A:72-143	22	3.27
gi|124027020|ref|YP_001012340.1|_1-45_1Q5V:A:1-48	9	5.33
gi|124027022|ref|YP_001012342.1|_3-196_1YRB:A:1-244	67	3.66
gi|124027025|ref|YP_001012345.1|_130-297_2PB9:A:268-451	64	2.88
gi|124027025|ref|YP_001012345.1|_15-54_2A6C:A:1-69	15	4.60
gi|124027026|ref|YP_001012346.1|_16-202,327-408_1CG2:A:26-213,A:327-414	86	3.22
gi|124027026|ref|YP_001012346.1|_205-319_1CG2:A:214-326	38	2.97
gi|124027028|ref|YP_001012348.1|_1-261_2DEK:A:1-265	90	2.94
gi|124027029|ref|YP_001012349.1|_34-248_1KV8:A:	61	3.49
gi|124027030|ref|YP_001012350.1|_9-180_1XI8:A:6-181	36	4.89
gi|124027030|ref|YP_001012350.1|_179-334_1UZ5:A:181-328	45	3.29
gi|124027031|ref|YP_001012351.1|_95-267_1UF9:A:	51	3.75
gi|124027033|ref|YP_001012353.1|_1-92_1V8C:A:1-87	39	2.23
gi|124027035|ref|YP_001012355.1|_30-174_1TV8:A:	108	3.03
gi|124027036|ref|YP_001012356.1|_1-176_1QZX:A:88-294	62	3.34
gi|124027037|ref|YP_001012357.1|_27-296,325-617_1H78:A:	148	3.80
gi|124027039|ref|YP_001012359.1|_664-717,753-922_1GXR:A:	119	2.82
gi|124027042|ref|YP_001012362.1|_319-447_2YZI:A:4-135	52	2.54
gi|124027042|ref|YP_001012362.1|_452-603_3DDJ:A:1-135	51	2.65
gi|124027042|ref|YP_001012362.1|_133-268_2EF7:A:1-127	47	2.70
gi|124027042|ref|YP_001012362.1|_1-123_2V8Q:E:182-326	58	2.50
gi|124027046|ref|YP_001012366.1|_1-75_2FE1:A:1-130	37	3.51
gi|124027047|ref|YP_001012367.1|_5-234_1MC3:A:	101	2.92
gi|124027049|ref|YP_001012369.1|_23-236_1ULZ:A:115-328	59	3.63
gi|124027050|ref|YP_001012370.1|_166-436_1VL6:A:155-376	82	2.71
gi|124027050|ref|YP_001012370.1|_16-164_1VL6:A:1-154	52	2.96
gi|124027051|ref|YP_001012371.1|_6-254,356-427_1KF6:A:0-225,A:358-442	106	2.94
gi|124027051|ref|YP_001012371.1|_451-585_1KF6:A:443-576	39	3.44
gi|124027051|ref|YP_001012371.1|_231-352_1NEK:A:236-355	42	2.86
gi|124027052|ref|YP_001012372.1|_22-154_1NEK:C:	20	6.45
gi|124027053|ref|YP_001012373.1|_5-115_1NEK:D:	14	8.07
gi|124027054|ref|YP_001012374.1|_14-117_2BS2:B:1-106	37	2.86
