PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|171462833|ref|YP_001796946.1|_138-350_1L8Q:A:77-289	0.00	4.80	3.50	12.33	0.00	1.82	2.00	2.00	0.00	213.00
gi|171462833|ref|YP_001796946.1|_370-473_1J1V:A:	0.00	0.00	0.00	11.83	0.00	2.14	1.00	1.67	0.00	94.00
gi|171462834|ref|YP_001796947.1|_250-371_2POL:A:245-366	1.00	6.50	0.00	8.33	0.00	1.64	1.17	2.17	0.00	122.00
gi|171462834|ref|YP_001796947.1|_131-249_2POL:A:123-244	0.00	10.33	3.00	6.67	0.00	1.78	1.75	2.00	0.00	122.00
gi|171462834|ref|YP_001796947.1|_6-117_2POL:A:1-122	1.00	6.50	3.50	10.50	0.00	1.83	1.29	1.80	0.00	122.00
gi|171462835|ref|YP_001796948.1|_421-586,758-822_1BJT:A:	1.00	4.40	4.50	13.45	0.00	3.25	1.42	2.09	0.00	760.00
gi|171462835|ref|YP_001796948.1|_11-237_1EI1:A:2-220	1.00	5.27	3.00	9.33	0.00	1.73	1.67	2.08	0.00	219.00
gi|171462835|ref|YP_001796948.1|_242-418_1EI1:A:221-392	1.00	6.60	0.00	14.33	0.00	1.75	1.83	2.00	0.00	172.00
gi|171462836|ref|YP_001796949.1|_16-156_1ML9:A:	1.20	3.53	3.67	5.60	0.00	2.42	1.86	1.92	0.00	284.00
gi|171462838|ref|YP_001796951.1|_7-248_1G6H:A:	1.00	5.55	3.40	9.44	0.00	1.67	1.19	2.06	0.00	254.00
gi|171462839|ref|YP_001796952.1|_5-228_1JI0:A:	1.00	6.40	3.00	8.40	0.00	1.74	1.50	2.20	0.00	240.00
gi|171462840|ref|YP_001796953.1|_34-404_1USG:A:	1.00	4.43	3.33	12.82	0.00	1.94	1.75	2.00	0.00	346.00
gi|171462843|ref|YP_001796956.1|_6-66,97-262_2CUL:A:2-231	1.00	4.31	3.00	11.20	0.00	2.08	1.15	2.00	0.00	230.00
gi|171462844|ref|YP_001796957.1|_4-215_1JSX:A:	0.00	7.29	3.00	10.14	0.00	2.65	1.45	2.33	0.00	207.00
gi|171462845|ref|YP_001796958.1|_1-254_1G3Q:A:	0.00	5.50	3.33	8.55	0.00	1.60	1.50	1.79	0.00	237.00
gi|171462846|ref|YP_001796959.1|_114-219_1VZ0:A:116-208	0.00	0.00	3.00	8.57	0.00	1.75	1.33	1.50	0.00	93.00
gi|171462846|ref|YP_001796959.1|_32-123_1VZ0:A:23-115	0.00	4.80	3.00	14.67	0.00	2.14	1.33	1.50	0.00	93.00
gi|171462847|ref|YP_001796960.1|_99-285_1C17:M:	0.00	0.00	0.00	29.75	0.00	8.40	1.50	2.00	0.00	171.00
gi|171462848|ref|YP_001796961.1|_7-82_1C99:A:	0.00	0.00	3.00	34.50	0.00	1.00	1.00	4.00	0.00	79.00
gi|171462849|ref|YP_001796962.1|_62-121_1L2P:A:	0.00	0.00	0.00	58.00	0.00	1.00	0.00	1.00	0.00	61.00
gi|171462850|ref|YP_001796963.1|_4-105_1ABV:A:	0.00	0.00	3.00	13.33	0.00	1.50	1.33	1.50	0.00	105.00
gi|171462851|ref|YP_001796964.1|_96-381_1E79:A:95-379	1.00	5.00	3.17	10.11	0.00	1.67	1.40	1.89	0.00	285.00
gi|171462851|ref|YP_001796964.1|_383-510_1E79:A:380-510	0.00	0.00	3.00	14.83	0.00	1.78	1.25	2.50	0.00	131.00
gi|171462851|ref|YP_001796964.1|_10-94_1SKY:B:21-95	0.00	6.83	3.00	0.00	0.00	1.57	1.60	2.00	0.00	75.00
gi|171462852|ref|YP_001796965.1|_2-289_1FS0:G:	0.00	7.00	3.00	23.40	0.00	3.00	1.18	2.00	0.00	230.00
gi|171462853|ref|YP_001796966.1|_83-353_1E79:D:82-357	1.00	4.42	3.00	10.25	0.00	1.72	1.57	2.27	0.00	276.00
gi|171462853|ref|YP_001796966.1|_351-465_1E79:D:358-475	0.00	0.00	3.50	12.33	0.00	1.89	1.43	2.50	0.00	118.00
gi|171462853|ref|YP_001796966.1|_1-81_1FX0:B:19-97	0.00	5.17	0.00	0.00	0.00	2.17	2.80	2.00	0.00	79.00
gi|171462854|ref|YP_001796967.1|_3-85_1AQT:A:2-86	1.00	6.44	1.00	0.00	0.00	1.60	2.00	2.33	0.00	85.00
