PDB_ID	Total_Structures	Average_Length
gi|11497624|ref|NP_068844.1|_33-152_1SMB:A:	38	3.92
gi|11497625|ref|NP_068845.1|_333-525_1VPL:A:	65	3.66
gi|11497625|ref|NP_068845.1|_87-279_1VPL:A:	65	3.66
gi|11497625|ref|NP_068845.1|_6-123_1FEH:A:127-209	30	2.77
gi|11497627|ref|NP_068847.1|_70-208_1BMT:A:741-896	45	3.47
gi|11497627|ref|NP_068847.1|_4-83_1BMT:A:651-740	21	4.29
gi|11497628|ref|NP_068848.1|_7-73,118-417_1URO:A:	105	3.40
gi|11497629|ref|NP_068849.1|_4-404_1PV7:A:	68	6.13
gi|161511074|ref|NP_068850.2|_22-257_1F6Y:A:	77	3.40
gi|11497631|ref|NP_068851.1|_2-92_1B9R:A:	42	2.50
gi|11497632|ref|NP_068852.1|_99-237_1BMT:A:741-896	45	3.47
gi|11497632|ref|NP_068852.1|_30-112_1BMT:A:651-740	21	4.29
gi|11497633|ref|NP_068853.1|_7-74,119-416_1URO:A:	105	3.40
gi|11497634|ref|NP_068854.1|_5-397_1PW4:A:	82	5.49
gi|11497637|ref|NP_068857.1|_5-180_1H21:A:	72	3.33
gi|11497638|ref|NP_068858.1|_404-661_2DUB:A:	80	3.24
gi|11497638|ref|NP_068858.1|_4-186_1F0Y:A:12-203	61	3.15
gi|11497638|ref|NP_068858.1|_304-413_3HDH:A:204-302	25	3.96
gi|11497638|ref|NP_068858.1|_189-295_1F0Y:A:204-302	25	3.96
gi|11497639|ref|NP_068859.1|_2-224_1AFW:A:294-417	37	3.35
gi|11497639|ref|NP_068859.1|_228-379_1AFW:A:294-417	37	3.35
gi|11497640|ref|NP_068860.1|_29-145_2GNR:A:8-144	46	2.98
gi|11497641|ref|NP_068861.1|_6-418_1XK7:A:4-405	128	3.16
gi|11497642|ref|NP_068862.1|_187-322_2C2A:A:321-481	39	4.13
gi|11497642|ref|NP_068862.1|_5-108_1EW0:A:	41	3.17
gi|11497643|ref|NP_068863.1|_1-91_1VJK:A:	36	2.69
gi|11497644|ref|NP_068864.1|_212-591_1AOR:A:211-605	121	3.26
gi|11497644|ref|NP_068864.1|_1-205_1AOR:A:1-210	72	2.92
gi|11497645|ref|NP_068865.1|_32-414_1RRM:A:	102	3.77
gi|11497646|ref|NP_068866.1|_4-390_1PW4:A:	82	5.49
gi|11497649|ref|NP_068869.1|_15-370_2E7J:A:8-371	102	3.57
gi|11497650|ref|NP_068870.1|_1-114_2AB1:A:2-122	39	3.10
gi|11497653|ref|NP_068873.1|_59-203_1YNB:A:7-173	38	4.39
gi|11497654|ref|NP_068874.1|_13-163_1HNJ:A:1-174	57	3.05
gi|11497654|ref|NP_068874.1|_317-448_2GNR:A:8-144	46	2.98
gi|11497654|ref|NP_068874.1|_150-288_1HZP:A:175-317	47	3.15
gi|11497655|ref|NP_068875.1|_34-254_1ULQ:A:276-400	36	3.47
gi|11497655|ref|NP_068875.1|_278-404_1ULQ:A:276-400	36	3.47
gi|11497656|ref|NP_068876.1|_4-293_1ZX5:A:1-299	108	2.77
gi|11497657|ref|NP_068877.1|_13-182_1JG1:A:	74	2.91
gi|11497659|ref|NP_068879.1|_1-351_2F9F:A:2-167	56	2.96
gi|11497660|ref|NP_068880.1|_1-239_1QG8:A:	70	3.64
gi|11497662|ref|NP_068882.1|_37-234_1OXS:C:1-242	79	3.06
gi|11497664|ref|NP_068884.1|_3-351_2F9F:A:2-167	56	2.96
gi|11500013|ref|NP_071259.1|_4-300,361-408_1DB3:A:	97	3.68
gi|11497665|ref|NP_068886.1|_16-393_2BIS:A:1-437	142	3.08
gi|11497665|ref|NP_068886.1|_846-1208_2F9F:A:2-167	56	2.96
gi|11497665|ref|NP_068886.1|_415-791_2IW1:A:2-371	119	3.11
gi|11497666|ref|NP_068887.1|_269-436_1VE3:A:2-227	59	3.83
gi|11497668|ref|NP_068889.1|_22-341_1CVR:A:1-350	116	3.02
gi|11497671|ref|NP_068892.1|_3-157,289-368_1VGY:A:2-180,A:294-376	90	2.92
gi|11497671|ref|NP_068892.1|_161-268_1CG2:A:214-326	38	2.97
gi|11497675|ref|NP_068896.1|_1-130_2HI6:A:1-132	58	2.26
gi|11497676|ref|NP_068897.1|_1-38_1I50:L:	21	2.19
gi|11497677|ref|NP_068898.1|_10-80_1JJ2:Y:	26	2.81
gi|11497678|ref|NP_068899.1|_88-162_1T5Y:A:95-170	28	2.71
gi|11497680|ref|NP_068901.1|_1-84_2P06:A:1-84	16	5.25
gi|11497681|ref|NP_068902.1|_1-192_4TMK:A:	50	4.20
gi|11497682|ref|NP_068903.1|_14-134_2YZQ:A:1-122	39	3.13
gi|11497682|ref|NP_068903.1|_138-295_2YZQ:A:123-278	49	3.18
gi|11497683|ref|NP_068904.1|_2-57_1V96:A:2-149	36	4.11
gi|11497685|ref|NP_068906.1|_1-130_1O4W:A:	29	4.31
gi|11497686|ref|NP_068907.1|_2-43_1UB4:C:	23	3.26
gi|11497691|ref|NP_068912.1|_24-347_1Q0U:A:	69	3.03
gi|11497694|ref|NP_068915.1|_82-253_1WQW:A:1-188	55	3.42
gi|11497694|ref|NP_068915.1|_7-54_1I1G:A:2-61	17	3.53
gi|11497695|ref|NP_068916.1|_7-408_1I74:A:	92	3.36
gi|11497696|ref|NP_068917.1|_3-132_1KQF:B:2-245	89	2.74
gi|11497697|ref|NP_068918.1|_208-573_1AOR:A:211-605	121	3.26
gi|11497697|ref|NP_068918.1|_2-205_1AOR:A:1-210	72	2.92
gi|11497698|ref|NP_068919.1|_121-218_2F4M:A:164-450	82	3.50
gi|11497700|ref|NP_068921.1|_3-373_1VEF:A:9-395	126	3.07
gi|11497702|ref|NP_068923.1|_19-227_1A0P:A:111-292	49	3.71
gi|11497706|ref|NP_068927.1|_49-229_3DHW:A:6-208	37	5.49
gi|11497707|ref|NP_068928.1|_1-212_1G29:1:1-240	73	3.29
gi|11497708|ref|NP_068929.1|_22-241_1WDN:A:	62	3.60
gi|11497709|ref|NP_068930.1|_17-540_1LCI:A:	183	2.96
gi|11497710|ref|NP_068931.1|_2-261_1X8H:A:	72	3.15
gi|11497711|ref|NP_068932.1|_109-322_1I7O:A:214-429	88	2.45
gi|11497712|ref|NP_068933.1|_8-229_2ONK:A:1-240	77	3.12
gi|11497713|ref|NP_068934.1|_2-249_2ONK:C:1-252	44	5.73
gi|11497714|ref|NP_068935.1|_33-329_2ONS:A:32-342	102	3.05
gi|11497719|ref|NP_068940.1|_1-114_1O4W:A:	29	4.31
gi|11497722|ref|NP_068943.1|_15-85_2P4W:A:1-194	42	4.69
gi|11497723|ref|NP_068944.1|_1-187_1VP8:A:	54	3.70
gi|11497724|ref|NP_068945.1|_1-138_2H6L:A:1-138	34	4.06
gi|11497726|ref|NP_068947.1|_1-297_1TUG:A:1-150,A:151-310	105	2.96
gi|11497727|ref|NP_068948.1|_3-98_1PG5:B:11-104	24	3.92
gi|11497727|ref|NP_068948.1|_99-146_1D09:B:101-153	24	2.21
gi|11497728|ref|NP_068949.1|_5-252_1OJX:A:	81	3.10
gi|11497730|ref|NP_068951.1|_35-88,167-348_2RHS:C:84-351	77	3.48
gi|11497731|ref|NP_068952.1|_167-296_2EF7:A:1-127	47	2.70
gi|11497731|ref|NP_068952.1|_14-134_1STZ:A:14-100	28	3.11
gi|11497732|ref|NP_068953.1|_5-245_1MA3:A:	85	2.96
gi|11497733|ref|NP_068954.1|_125-358_2R7K:A:124-361	65	3.66
gi|11497733|ref|NP_068954.1|_5-120_2R7K:A:1-123	45	2.73
gi|11497734|ref|NP_068955.1|_10-79_1Y0U:A:	20	4.75
gi|11497735|ref|NP_068956.1|_3-253_1F89:A:	79	3.56
gi|11497736|ref|NP_068957.1|_1-222_1JR2:A:	82	3.17
gi|11497737|ref|NP_068958.1|_75-311_1R30:A:	98	3.18
gi|11497742|ref|NP_068964.1|_8-153_1MJH:A:	38	4.21
gi|11497747|ref|NP_068969.1|_3-358_3C10:A:515-900	130	2.97
gi|11497748|ref|NP_068970.1|_8-191_1BKJ:A:	60	3.98
gi|11497749|ref|NP_068971.1|_14-140_2GNR:A:8-144	46	2.98
gi|11497750|ref|NP_068972.1|_4-244_1QFL:A:269-392	32	3.88
gi|11497750|ref|NP_068972.1|_243-406_1QFL:A:269-392	32	3.88
gi|11497751|ref|NP_068973.1|_42-241_1AFW:A:294-417	37	3.35
gi|11497751|ref|NP_068973.1|_244-387_1ULQ:A:276-400	36	3.47
gi|11497752|ref|NP_068974.1|_10-137_2GNR:A:8-144	46	2.98
gi|11497756|ref|NP_068978.1|_99-163_2DK5:A:8-85	23	3.39
gi|11497757|ref|NP_068979.1|_24-220_1VLM:A:	66	3.30
gi|11497759|ref|NP_068981.1|_33-142_2CUA:B:	49	2.76
gi|11497761|ref|NP_068983.1|_11-126_2CUA:B:	49	2.76
gi|11497769|ref|NP_068991.1|_386-405,443-686_2B8E:A:416-434,A:548-663	46	2.96
gi|11497769|ref|NP_068991.1|_190-287_1SU4:A:125-239	52	2.21
gi|11497769|ref|NP_068991.1|_125-191,288-381,630-656_1SU4:A:1-124,A:240-343,A:751-994	104	4.56
gi|11497773|ref|NP_068995.1|_4-63_1HFE:L:2-86	35	2.43
gi|11497774|ref|NP_068996.1|_1-174_1TI6:B:1-195	74	2.64
gi|11497776|ref|NP_068998.1|_47-87,115-165,249-931_1KQF:A:34-850	330	2.48
gi|11497776|ref|NP_068998.1|_925-1017_2NAP:A:601-723	51	2.41
gi|11497777|ref|NP_068999.1|_2-159_2IDG:A:1-160	37	4.32
gi|11497778|ref|NP_069000.1|_5-178_1UZ5:A:5-180	73	2.41
gi|11497778|ref|NP_069000.1|_179-303_1UZ5:A:181-328	45	3.29
gi|11497781|ref|NP_069003.1|_103-261_1ZJ8:A:162-326	54	3.06
gi|11497781|ref|NP_069003.1|_10-92_1ZJ8:A:10-161	56	2.71
gi|11497781|ref|NP_069003.1|_272-331_2V4J:B:2-135	46	2.91
gi|11497781|ref|NP_069003.1|_340-410_1AOP:A:426-570	47	3.09
gi|11497782|ref|NP_069004.1|_10-77_1JE3:A:	34	2.82
gi|11497783|ref|NP_069005.1|_1-59_1VJW:A:	27	2.19
gi|11497784|ref|NP_069006.1|_5-222_1YCG:A:2-250	87	2.86
gi|11497784|ref|NP_069006.1|_191-333_1YCG:A:251-399	42	3.55
gi|11497785|ref|NP_069007.1|_9-80_1Y0U:A:	20	4.75
gi|11497786|ref|NP_069008.1|_81-148_2FI0:A:3-81	28	2.82
gi|11497787|ref|NP_069009.1|_351-425_1MZU:A:	37	2.97
