PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|169235051|ref|YP_001688251.1|_3-219_1F3O:A:	0	10	2	7	0	22	15	14	0	232
gi|169235054|ref|YP_001688254.1|_241-601_1MOQ:A:	1	12	7	13	0	28	17	19	0	366
gi|169235054|ref|YP_001688254.1|_2-220_1XFF:A:	1	15	3	5	0	29	16	11	0	238
gi|169235055|ref|YP_001688255.1|_1-236,264-320_1H5R:A:	0	13	5	11	0	29	20	21	0	290
gi|169235055|ref|YP_001688255.1|_254-392_1HV9:A:252-452	3	24	0	0	0	46	11	16	0	201
gi|169235056|ref|YP_001688256.1|_1-233,267-308_1G97:A:2-251	0	11	6	9	0	26	13	15	0	250
gi|169235056|ref|YP_001688256.1|_239-397_1HM9:A:252-459	3	28	3	0	0	55	16	17	0	208
gi|169235059|ref|YP_001688259.1|_8-115_1NE8:A:	0	6	1	3	0	14	9	5	0	116
gi|169235060|ref|YP_001688260.1|_32-112_1SMT:A:	1	2	0	5	0	9	4	3	0	98
gi|169235061|ref|YP_001688261.1|_4-96_1QHT:A:1-347	0	17	1	10	0	31	20	20	0	347
gi|169235064|ref|YP_001688264.1|_7-125_2F6S:A:1-177	1	4	2	8	0	16	11	10	0	177
gi|169235073|ref|YP_001688273.1|_30-131_1RR7:A:	0	0	0	5	0	8	5	3	0	94
gi|169235081|ref|YP_001688281.1|_7-48_1WV8:A:2-72	0	4	0	1	0	6	4	2	0	71
gi|169235082|ref|YP_001688282.1|_4-71_1WHZ:A:	0	3	0	3	0	8	2	4	0	70
gi|169235083|ref|YP_001688283.1|_13-79_1SMT:A:	1	2	0	5	0	9	4	3	0	98
gi|169235084|ref|YP_001688284.1|_50-104_1MKM:A:1-75	1	2	0	4	0	9	3	5	0	75
gi|169235088|ref|YP_001688288.1|_5-130_2F5G:A:2-131	3	6	1	3	0	16	6	5	0	130
gi|169235090|ref|YP_001688290.1|_10-282_1W5S:A:7-293	4	5	3	13	0	28	16	16	0	287
gi|169235090|ref|YP_001688290.1|_287-393_1FNN:A:277-388	0	3	0	5	0	9	4	3	0	112
gi|169235091|ref|YP_001688291.1|_1-194_1MV8:A:1-202	4	8	0	9	0	22	14	13	0	202
gi|169235091|ref|YP_001688291.1|_309-419_1MV8:A:301-436	1	5	1	7	0	17	12	8	0	136
gi|169235091|ref|YP_001688291.1|_206-303_1MV8:A:203-300	0	0	1	4	0	6	5	6	0	98
gi|169235092|ref|YP_001688292.1|_1-234_1LVW:A:	1	14	3	11	0	29	22	21	0	294
gi|169235093|ref|YP_001688293.1|_70-246_1JG1:A:	4	9	4	6	0	25	16	10	0	215
gi|169235095|ref|YP_001688295.1|_1-402_2IW1:A:2-371	0	15	4	16	0	41	26	17	0	370
gi|169235097|ref|YP_001688297.1|_105-361_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169237171|ref|YP_001690377.1|_105-361_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169237648|ref|YP_001690851.1|_105-361_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169235101|ref|YP_001688301.1|_15-157_1QJV:A:	5	28	2	5	0	53	36	22	0	342
gi|169235104|ref|YP_001688304.1|_108-358_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169235141|ref|YP_001688341.1|_108-358_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169235318|ref|YP_001688518.1|_108-358_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169237275|ref|YP_001690481.1|_108-358_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169237295|ref|YP_001690501.1|_108-358_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169237338|ref|YP_001690543.1|_108-358_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169237358|ref|YP_001690562.1|_108-358_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169237573|ref|YP_001690777.1|_108-358_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169237780|ref|YP_001690983.1|_108-358_1MUS:A:	5	11	8	14	0	40	22	21	0	476
gi|169235106|ref|YP_001688306.1|_14-352_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gi|169235107|ref|YP_001688307.1|_2-204,236-423_1EQJ:A:3-76,A:311-510	6	8	4	9	0	34	20	17	1	274
gi|169235108|ref|YP_001688308.1|_1-358_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gi|169235109|ref|YP_001688309.1|_1-323_2B69:A:4-315	4	13	3	9	0	33	14	16	0	312
gi|169235110|ref|YP_001688310.1|_1-234_1MC3:A:	2	13	3	12	0	30	22	19	0	295
gi|169235111|ref|YP_001688311.1|_1-309_1SB8:A:	3	13	2	14	0	34	16	17	0	341
gi|169235116|ref|YP_001688316.1|_1-89_1WMI:A:1-88	0	5	0	3	0	9	6	4	0	88
gi|169235117|ref|YP_001688317.1|_1-133_1W8I:A:	0	5	0	7	0	14	8	10	0	155
gi|169235119|ref|YP_001688319.1|_10-97_1SB8:A:	3	13	2	14	0	34	16	17	0	341
gi|169235120|ref|YP_001688320.1|_18-65_2B0L:A:167-257	1	3	0	5	0	7	4	6	0	91
gi|169235124|ref|YP_001688324.1|_141-260_1FM0:E:	0	8	0	4	0	13	4	5	0	149
gi|169235125|ref|YP_001688325.1|_4-256_1JW9:B:	5	8	2	9	0	22	10	18	0	247
gi|169235126|ref|YP_001688326.1|_4-300_1TV8:A:	4	11	4	10	0	39	20	20	0	327
gi|169235127|ref|YP_001688327.1|_12-185_1UZ5:A:5-180	8	12	3	2	0	29	7	12	0	176
gi|169235127|ref|YP_001688327.1|_188-333_1UZ5:A:181-328	1	9	0	4	0	15	9	7	0	148
gi|169235127|ref|YP_001688327.1|_340-414_1UZ5:A:329-402	2	5	0	1	0	10	5	1	0	74
gi|169235127|ref|YP_001688327.1|_445-599_1II5:A:	0	12	3	8	0	21	13	13	0	232
gi|169235128|ref|YP_001688328.1|_14-177_1WU2:A:6-180	8	12	3	2	0	28	9	13	0	175
gi|169235128|ref|YP_001688328.1|_180-319_1UZ5:A:181-328	1	9	0	4	0	15	9	7	0	148
gi|169235128|ref|YP_001688328.1|_327-404_1XI8:A:325-396	0	7	0	1	0	11	4	5	0	72
gi|169235129|ref|YP_001688329.1|_5-180,222-241_1JG1:A:	4	9	4	6	0	25	16	10	0	215
gi|169235130|ref|YP_001688330.1|_110-295_1QZZ:A:102-357	0	7	3	12	0	25	14	13	0	256
gi|169235130|ref|YP_001688330.1|_3-60_1QZZ:A:10-101	0	2	1	5	0	6	3	7	0	92
gi|169235132|ref|YP_001688332.1|_3-310_1ZJC:A:3-415	4	19	5	13	0	39	21	25	0	413
gi|169235133|ref|YP_001688333.1|_140-301_1CF2:O:139-303	0	8	2	4	0	17	10	9	0	165
gi|169235133|ref|YP_001688333.1|_2-159_1CF2:O:1-138,O:304-336	0	8	1	9	0	17	12	11	1	171
gi|169235134|ref|YP_001688334.1|_35-123_1SHS:A:	2	10	3	0	0	16	4	4	0	115
gi|169235135|ref|YP_001688335.1|_75-273_1UC8:A:89-280	2	8	0	6	0	15	6	8	0	192
gi|169235136|ref|YP_001688336.1|_4-170_1S72:H:	0	8	3	2	0	20	10	7	0	171
gi|169235137|ref|YP_001688337.1|_1-63_1C9O:A:	1	5	1	0	0	5	1	4	0	66
gi|169235138|ref|YP_001688338.1|_1-216_1ZRN:A:	1	8	4	9	0	18	11	14	0	220
gi|169235139|ref|YP_001688339.1|_106-291_1YGY:A:99-282	3	7	2	7	0	24	14	12	0	184
gi|169235139|ref|YP_001688339.1|_15-139_1YGY:A:3-98,A:283-316	4	5	2	4	0	19	10	9	1	130
gi|169235142|ref|YP_001688342.1|_252-462_1YF2:A:221-425	2	12	1	7	0	23	9	12	0	205
gi|169235142|ref|YP_001688342.1|_30-239_1YF2:A:221-425	2	12	1	7	0	23	9	12	0	205
gi|169235143|ref|YP_001688343.1|_236-446_2EYQ:A:546-778	0	7	1	9	0	16	16	11	0	233
gi|169235143|ref|YP_001688343.1|_399-469,524-676_1FUK:A:	0	7	3	4	0	16	14	7	0	162
gi|169235149|ref|YP_001688349.1|_17-244_1XG5:A:	2	7	3	9	0	23	11	14	0	278
gi|169235157|ref|YP_001688357.1|_371-614_2HYD:A:324-578	2	10	5	9	0	25	21	16	0	255
gi|169235157|ref|YP_001688357.1|_32-367_2HYD:A:1-323	0	0	1	15	1	9	5	12	0	323
gi|169235158|ref|YP_001688358.1|_1-235_1V7Z:A:	8	5	6	8	0	30	14	10	0	257
gi|169235160|ref|YP_001688360.1|_3-107_2I52:A:1-120	0	6	1	2	0	8	3	8	0	119
gi|169235161|ref|YP_001688361.1|_1-240_1R6D:A:	3	12	4	12	0	35	11	18	0	322
gi|169235164|ref|YP_001688364.1|_3-116_2IJQ:A:14-158	3	2	2	6	0	11	3	8	0	145
gi|169235165|ref|YP_001688365.1|_168-268_1O7I:A:	2	7	3	0	0	15	2	8	0	115
gi|169235165|ref|YP_001688365.1|_277-373_1FGU:A:299-426	1	7	1	2	0	17	6	5	0	128
gi|169235165|ref|YP_001688365.1|_44-148_1O7I:A:	2	7	3	0	0	15	2	8	0	115
gi|169235166|ref|YP_001688366.1|_68-144_1B67:A:	0	2	1	3	0	7	3	2	0	68
gi|169235166|ref|YP_001688366.1|_4-63_1KU5:A:	0	2	0	3	0	7	3	3	0	66
gi|169235167|ref|YP_001688367.1|_3-311_3C10:A:515-900	8	10	9	12	0	47	19	25	0	386
gi|169235168|ref|YP_001688368.1|_250-448_1R89:A:258-437	0	7	1	7	0	17	11	7	0	180
gi|169235168|ref|YP_001688368.1|_152-265_1R89:A:143-257	2	4	2	4	0	11	5	8	0	115
gi|169235168|ref|YP_001688368.1|_7-148_1R89:A:1-142	0	5	0	5	0	9	7	7	0	142
gi|169235175|ref|YP_001688375.1|_19-143_1J3M:A:	0	5	2	5	0	10	3	2	0	127
gi|169235176|ref|YP_001688376.1|_11-74_1ZYB:A:148-220	0	3	1	3	0	8	5	4	0	73
gi|169235177|ref|YP_001688377.1|_52-133_2BJ7:A:51-132	0	4	0	2	0	3	5	5	0	87
gi|169235177|ref|YP_001688377.1|_1-44_1Q5V:A:1-48	0	1	0	2	0	4	1	1	0	48
gi|169235179|ref|YP_001688379.1|_401-421,460-500,548-716_2B8E:A:416-434,A:548-663	2	6	0	6	1	16	9	5	1	135
gi|169235179|ref|YP_001688379.1|_206-302_1SU4:A:125-239	2	9	3	0	0	21	10	7	0	115
gi|169235179|ref|YP_001688379.1|_149-205,303-397_1SU4:A:1-124,A:240-343,A:751-994	1	1	8	18	0	32	20	22	2	472
gi|169235179|ref|YP_001688379.1|_1-60_1K0V:A:	0	4	0	2	0	9	2	5	0	72
gi|169235181|ref|YP_001688381.1|_62-174_1M7T:A:	0	5	0	4	0	10	5	6	0	106
gi|169235182|ref|YP_001688382.1|_74-220_1ON4:A:	1	8	2	4	0	20	15	9	0	173
gi|169235183|ref|YP_001688383.1|_172-356_1JCF:A:141-336	2	9	2	9	0	18	11	7	0	196
gi|169235184|ref|YP_001688384.1|_1-333_1EBD:A:7-154,A:272-346	4	13	2	5	0	24	15	13	1	223
gi|169235184|ref|YP_001688384.1|_358-457_1MO9:A:384-523	2	5	1	5	0	17	12	8	0	140
gi|169235186|ref|YP_001688386.1|_7-407_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|169235187|ref|YP_001688387.1|_1-308_2AFB:A:2-330	3	14	4	10	0	33	15	17	0	331
gi|169235188|ref|YP_001688388.1|_3-216_1B63:A:2-216	0	8	2	8	0	19	14	13	0	216
gi|169235188|ref|YP_001688388.1|_459-644_1X9Z:A:	2	7	1	7	0	14	7	8	0	182
gi|169235188|ref|YP_001688388.1|_192-329_1B63:A:217-331	0	7	3	3	0	10	2	7	0	115
gi|169235189|ref|YP_001688389.1|_458-597_2K2N:A:31-200	1	5	1	4	0	22	14	6	0	170
gi|169235189|ref|YP_001688389.1|_128-246_1EW0:A:	2	5	2	5	0	11	8	8	0	130
gi|169235190|ref|YP_001688390.1|_10-40_1NNQ:A:135-171	2	3	1	0	0	8	4	2	0	37
gi|169235191|ref|YP_001688391.1|_16-196_1B26:A:4-178	1	5	3	5	0	18	10	8	0	175
gi|169235191|ref|YP_001688391.1|_194-428_1B26:A:179-412	2	7	0	10	0	25	9	14	0	234
gi|169235192|ref|YP_001688392.1|_4-529_1V25:A:	8	24	4	16	0	59	31	33	0	534
gi|169235193|ref|YP_001688393.1|_260-566_1E3M:A:270-566	3	4	1	15	0	23	13	17	0	297
gi|169235193|ref|YP_001688393.1|_569-797_1E3M:A:567-800	2	10	1	6	0	25	13	9	0	234
gi|169235193|ref|YP_001688393.1|_110-273_1EWQ:A:121-266	1	6	2	5	0	14	11	3	0	146
gi|169235193|ref|YP_001688393.1|_6-104_1E3M:A:2-116	0	6	3	3	0	11	6	7	0	115
gi|169235194|ref|YP_001688394.1|_150-317_2Z1E:A:156-334	0	7	4	5	0	20	10	10	0	179
gi|169235194|ref|YP_001688394.1|_25-136_1VQV:A:1-137	5	5	0	3	0	13	6	7	0	137
gi|169235195|ref|YP_001688395.1|_9-240_1J2P:A:	4	10	2	6	0	21	13	13	0	243
gi|169235196|ref|YP_001688396.1|_11-109_1QUW:A:	0	4	0	4	0	11	5	6	0	105
gi|169235198|ref|YP_001688398.1|_15-218_1R4W:A:	0	4	1	10	0	15	10	13	0	221
gi|169235200|ref|YP_001688400.1|_279-579_1EWQ:A:267-541	2	4	1	10	0	20	10	10	0	275
gi|169235200|ref|YP_001688400.1|_581-806_1EWQ:A:542-765	2	10	1	6	0	20	13	10	0	224
gi|169235200|ref|YP_001688400.1|_16-125_1EWQ:A:1-120	0	6	3	3	0	13	6	4	0	120
gi|169235200|ref|YP_001688400.1|_127-290_1EWQ:A:121-266	1	6	2	5	0	14	11	3	0	146
gi|169235201|ref|YP_001688401.1|_506-643_1WJG:A:	0	5	1	4	0	15	7	4	0	135
gi|169235201|ref|YP_001688401.1|_654-786_1TQ8:A:	1	5	0	5	0	9	5	6	0	162
gi|169235202|ref|YP_001688402.1|_1-143_1LSS:A:	0	6	0	6	0	14	9	7	0	132
gi|169235202|ref|YP_001688402.1|_130-221_2FY8:A:245-336	2	4	0	4	0	13	5	6	0	92
gi|169235203|ref|YP_001688403.1|_85-245_2GE3:A:6-169	0	7	2	4	0	13	5	8	0	164
gi|169235203|ref|YP_001688403.1|_16-61_1SFX:A:	1	2	0	5	0	7	3	4	0	108
gi|169235204|ref|YP_001688404.1|_3-194_1S72:M:	0	4	4	6	0	23	17	17	0	194
gi|169235206|ref|YP_001688406.1|_97-269_1TQI:A:91-282	0	10	1	4	0	15	9	8	0	192
gi|169235206|ref|YP_001688406.1|_4-90_1TQI:A:1-90	0	3	0	5	0	7	4	5	0	90
gi|169235207|ref|YP_001688407.1|_26-259_1E12:A:	2	2	0	10	0	13	4	12	0	239
gi|169235208|ref|YP_001688408.1|_8-265_2C8M:A:1-256	3	11	1	8	0	26	11	14	0	256
gi|169235209|ref|YP_001688409.1|_1-272_1XP3:A:2-298	3	12	4	10	0	36	13	18	0	297
gi|169235210|ref|YP_001688410.1|_13-184_1VL5:A:	2	8	2	9	0	21	9	11	0	231
gi|169235211|ref|YP_001688411.1|_1-357_1ZJC:A:3-415	4	19	5	13	0	39	21	25	0	413
gi|169235213|ref|YP_001688413.1|_26-454_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|169235214|ref|YP_001688414.1|_5-115,146-353,381-418_2HEK:A:1-369	2	9	4	20	0	25	19	23	0	369
gi|169235215|ref|YP_001688415.1|_25-265_1NI5:A:0-226	2	6	3	9	0	16	9	14	0	226
gi|169235216|ref|YP_001688416.1|_32-225_1W5B:A:23-231	0	6	3	10	0	15	8	9	0	209
gi|169235216|ref|YP_001688416.1|_224-339_1W5B:A:232-354	0	6	1	3	0	15	7	10	0	123
gi|169235217|ref|YP_001688417.1|_1-45_2BJ7:A:1-50	0	1	0	2	0	3	2	2	0	50
gi|169235229|ref|YP_001688429.1|_290-590_1G6O:A:	2	13	3	9	0	31	22	19	0	323
gi|169235234|ref|YP_001688434.1|_21-285_1G8P:A:	2	11	8	13	0	37	15	10	0	333
gi|169235235|ref|YP_001688435.1|_52-231_1Y8T:A:6-226	0	14	2	3	0	23	8	10	0	221
gi|169235235|ref|YP_001688435.1|_243-353_1SOT:A:255-353	2	6	0	1	0	12	5	3	0	99
gi|169235237|ref|YP_001688437.1|_1-182_1WL8:A:1-188	0	11	1	5	0	24	17	15	0	188
gi|169235239|ref|YP_001688439.1|_3-206_1SML:A:	6	12	5	6	0	26	13	18	0	266
gi|169235241|ref|YP_001688441.1|_8-112_1FXK:A:	0	2	0	2	0	5	1	3	0	107
gi|169235243|ref|YP_001688443.1|_1-41_1I50:L:	2	1	0	0	0	11	5	2	0	46
gi|169235244|ref|YP_001688444.1|_10-80_1S72:Z:	0	3	1	2	0	10	5	3	0	73
gi|169235247|ref|YP_001688447.1|_10-199,263-428_1SZW:A:	6	14	7	8	0	36	21	14	0	341
gi|169235248|ref|YP_001688448.1|_1-112_1RZW:A:	0	4	1	4	0	16	9	7	0	122
gi|169235250|ref|YP_001688450.1|_1-185_1XS1:A:	6	14	4	3	0	32	14	10	0	193
gi|169235251|ref|YP_001688451.1|_133-301_2PHP:A:241-420	3	9	2	5	0	21	12	11	0	180
gi|169235251|ref|YP_001688451.1|_16-53_2A6C:A:1-69	0	0	1	4	0	5	1	4	0	69
gi|169235253|ref|YP_001688453.1|_704-809_1PCS:A:	0	9	1	1	0	17	8	4	0	98
gi|169235255|ref|YP_001688455.1|_7-149_1OJ4:A:1-163	3	6	2	4	0	18	8	8	0	163
gi|169235256|ref|YP_001688456.1|_5-220_2F6U:A:1001-1231	3	8	3	10	0	20	14	13	0	231
gi|169235257|ref|YP_001688457.1|_136-229_1AIS:B:1108-1205	0	0	0	5	0	7	1	6	0	98
gi|169235257|ref|YP_001688457.1|_232-319_1AIS:B:1206-1300	0	0	1	5	0	7	1	6	0	95
gi|169235257|ref|YP_001688457.1|_26-72_1PFT:A:	1	2	0	0	0	7	5	2	0	50
gi|169235258|ref|YP_001688458.1|_73-197_3U3G:A:	0	5	2	4	0	11	7	5	0	140
gi|169235260|ref|YP_001688460.1|_21-95_1BM9:A:	1	2	0	4	0	9	6	6	0	120
gi|169235261|ref|YP_001688461.1|_2-174_1UDE:A:	2	9	3	2	0	22	10	9	0	168
gi|169235263|ref|YP_001688463.1|_60-327_1K23:A:	0	11	4	11	0	29	20	17	0	307
gi|169235264|ref|YP_001688464.1|_10-433_1EQJ:A:3-76,A:311-510	6	8	4	9	0	34	20	17	1	274
gi|169235265|ref|YP_001688465.1|_1-193_1W5B:A:23-231	0	6	3	10	0	15	8	9	0	209
gi|169235267|ref|YP_001688467.1|_1-291_1R6D:A:	3	12	4	12	0	35	11	18	0	322
gi|169235268|ref|YP_001688468.1|_28-108,136-360_1PZ1:A:	6	12	9	9	0	39	21	23	0	332
gi|169235269|ref|YP_001688469.1|_6-391_1PV7:A:	0	0	2	22	0	18	12	14	0	417
gi|169235270|ref|YP_001688470.1|_56-342_1I52:A:	0	11	5	6	0	24	13	15	0	225
gi|169235272|ref|YP_001688472.1|_22-175_1NQZ:A:	3	11	2	4	0	20	4	7	0	187
gi|169235273|ref|YP_001688473.1|_2-322,445-487_1SEZ:A:13-329,A:442-497	7	15	2	15	0	38	28	17	1	373
gi|169235274|ref|YP_001688474.1|_144-264_1EZW:A:	8	10	3	14	0	38	19	18	0	347
gi|169235275|ref|YP_001688475.1|_11-215,306-358_1EL5:A:1-217,A:322-385	0	16	6	7	0	31	12	17	1	281
gi|169235276|ref|YP_001688476.1|_30-125_1SHS:A:	2	10	3	0	0	16	4	4	0	115
gi|169235279|ref|YP_001688479.1|_192-355_1TV8:A:	4	11	4	10	0	39	20	20	0	327
gi|169235279|ref|YP_001688479.1|_503-550_1BPY:A:92-148	0	0	1	4	0	4	4	5	0	57
gi|169235280|ref|YP_001688480.1|_6-126_2F5G:A:2-131	3	6	1	3	0	16	6	5	0	130
gi|169235282|ref|YP_001688482.1|_76-138_1YEZ:A:1-68	0	6	0	0	0	9	4	4	0	68
gi|169235284|ref|YP_001688484.1|_15-248_1KO3:A:	1	12	0	6	0	23	11	19	0	230
gi|169235285|ref|YP_001688485.1|_16-88_1J75:A:	0	3	0	3	0	6	3	2	0	57
gi|169235286|ref|YP_001688486.1|_11-205_1WZN:A:1-251	1	11	4	7	0	20	9	14	0	251
gi|169235287|ref|YP_001688487.1|_1-191_1XHB:A:95-422	1	12	5	11	0	35	18	17	0	328
gi|169235288|ref|YP_001688488.1|_8-267_2DVT:A:1-325	2	8	9	14	0	30	16	19	0	325
gi|169235290|ref|YP_001688490.1|_1-148_1RQP:A:8-192	5	6	3	5	0	25	13	13	0	185
gi|169235290|ref|YP_001688490.1|_161-253_1RQP:A:193-298	1	8	1	2	0	10	4	10	0	106
gi|169235291|ref|YP_001688491.1|_3-162_1F9A:A:	0	5	2	7	0	18	11	8	0	164
gi|169235292|ref|YP_001688492.1|_499-673_1XHK:A:	5	9	2	4	0	19	12	7	0	185
gi|169235292|ref|YP_001688492.1|_95-167,262-471_1G8P:A:	2	11	8	13	0	37	15	10	0	333
gi|169235293|ref|YP_001688493.1|_70-134_1QNT:A:92-176	2	2	1	4	0	11	2	8	0	85
gi|169235294|ref|YP_001688494.1|_30-240_1VC4:A:	2	8	1	12	0	27	17	13	0	254
gi|169235295|ref|YP_001688495.1|_11-412_1V8Z:A:1-386	8	14	4	15	0	30	22	23	0	386
gi|169235296|ref|YP_001688496.1|_11-244_1GEQ:A:	1	8	3	11	0	24	9	11	0	248
gi|169235297|ref|YP_001688497.1|_5-248_1OJX:A:	0	10	2	11	0	27	16	15	0	251
gi|169235301|ref|YP_001688501.1|_20-222_1QFE:A:	4	10	4	9	0	26	14	12	0	252
gi|169235302|ref|YP_001688502.1|_131-224_1AIS:B:1108-1205	0	0	0	5	0	7	1	6	0	98
gi|169235302|ref|YP_001688502.1|_228-315_1AIS:B:1206-1300	0	0	1	5	0	7	1	6	0	95
gi|169235302|ref|YP_001688502.1|_24-67_1PFT:A:	1	2	0	0	0	7	5	2	0	50
gi|169235303|ref|YP_001688503.1|_2-235_1N2Z:A:	4	10	3	10	0	27	17	13	0	245
gi|169235304|ref|YP_001688504.1|_7-227_1QG8:A:	2	9	4	8	0	22	13	12	0	255
gi|169235306|ref|YP_001688506.1|_36-98_1UB9:A:	0	3	0	6	0	7	4	3	0	100
gi|169235306|ref|YP_001688506.1|_106-161_2CG4:A:4-66	0	1	0	3	0	6	3	4	0	63
gi|169235307|ref|YP_001688507.1|_77-209_1WIN:A:	0	6	0	5	0	15	6	3	0	142
gi|169235310|ref|YP_001688510.1|_1-74,152-336_1A49:A:12-115,A:218-395	0	8	5	13	0	25	22	17	1	282
gi|169235310|ref|YP_001688510.1|_320-471_1E0T:A:354-470	2	5	1	4	0	13	9	6	0	117
gi|169235310|ref|YP_001688510.1|_70-162_1E0T:A:70-167	4	9	1	1	0	16	5	7	0	98
gi|169235310|ref|YP_001688510.1|_464-576_1H6Z:A:406-537	0	11	1	2	0	15	12	8	0	132
gi|169235311|ref|YP_001688511.1|_11-145,180-390_1RQG:A:1-138,A:174-396	15	13	4	15	0	37	14	21	1	361
gi|169235311|ref|YP_001688511.1|_392-604_1RQG:A:397-606	2	0	1	10	0	14	6	10	0	210
gi|169235311|ref|YP_001688511.1|_587-688_1PYB:A:	1	8	0	2	0	16	10	6	0	107
gi|169235311|ref|YP_001688511.1|_141-164_1RQG:A:139-173	3	0	0	0	0	8	6	2	0	35
gi|169235312|ref|YP_001688512.1|_17-354_1PMM:A:	9	13	6	12	0	49	26	25	0	450
gi|169235314|ref|YP_001688514.1|_3-358_1H6Z:A:1-405	3	9	4	17	0	39	28	18	0	405
gi|169235314|ref|YP_001688514.1|_454-748_1KBL:A:510-873	0	9	4	18	0	33	20	15	0	364
gi|169235314|ref|YP_001688514.1|_329-438_1H6Z:A:406-537	0	11	1	2	0	15	12	8	0	132
gi|169235316|ref|YP_001688516.1|_4-289_1SDJ:A:10-129	1	9	0	2	0	13	9	5	0	129
