PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|116618456|ref|YP_818827.1|_1-49_2J01:6:9-53	0	0	0	0	0	5	4	2	0	45
gi|116617350|ref|YP_817721.1|_2-70_1AH9:A:	0	7	1	0	0	13	6	4	0	71
gi|116617337|ref|YP_817708.1|_2-64_1R73:A:	0	0	0	3	0	4	2	2	0	66
gi|116617328|ref|YP_817699.1|_5-102_2QAL:J:5-102	4	5	0	2	0	13	6	3	0	98
gi|116617175|ref|YP_817546.1|_108-319_1L8Q:A:77-289	0	5	2	9	0	17	9	11	0	213
gi|116617175|ref|YP_817546.1|_341-445_1J1V:A:	0	0	0	6	0	7	3	3	0	94
gi|116617176|ref|YP_817547.1|_252-377_1VPK:A:244-366	1	9	1	2	0	13	8	4	0	123
gi|116617176|ref|YP_817547.1|_1-125_2POL:A:1-122	2	8	2	2	0	12	7	5	0	122
gi|116617176|ref|YP_817547.1|_132-253_2POL:A:123-244	0	6	2	3	0	9	8	2	0	122
gi|116617177|ref|YP_817548.1|_3-68_1P9K:A:	1	4	0	2	0	8	8	4	0	78
gi|116617178|ref|YP_817549.1|_1-217,244-352_1F2T:A:,B:	2	15	3	7	0	24	21	15	1	292
gi|116617179|ref|YP_817550.1|_431-663_1BJT:A:	7	25	4	20	0	69	43	34	0	760
gi|116617179|ref|YP_817550.1|_38-247_1EI1:A:2-220	2	11	1	6	0	26	18	12	0	219
gi|116617179|ref|YP_817550.1|_257-428_1EI1:A:221-392	5	5	0	6	0	12	6	8	0	172
gi|116617180|ref|YP_817551.1|_32-487_1AB4:A:	1	20	2	16	0	51	27	22	0	493
gi|116617180|ref|YP_817551.1|_500-820_1WP5:A:	3	23	6	3	0	42	27	18	0	322
gi|116617181|ref|YP_817552.1|_1-157_2F8A:A:12-195	2	7	5	4	0	26	16	13	0	184
gi|116617182|ref|YP_817553.1|_2-114_1KRW:A:	0	5	0	5	0	10	8	4	0	124
gi|116617183|ref|YP_817554.1|_131-238_1L0O:A:	1	6	3	4	0	15	8	5	0	141
gi|116617184|ref|YP_817555.1|_2-78,223-507_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gi|116617185|ref|YP_817556.1|_264-487_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gi|116617187|ref|YP_817558.1|_316-477_1HKH:A:	8	8	1	13	0	23	13	22	0	279
gi|116617189|ref|YP_817560.1|_3-117_1O0I:A:	2	6	0	3	0	15	10	7	0	137
gi|116617190|ref|YP_817561.1|_11-273_1Q52:A:	0	11	4	10	0	23	12	15	0	297
gi|116617191|ref|YP_817562.1|_2-264_1F89:A:	4	13	1	7	0	29	14	11	0	281
gi|116617192|ref|YP_817563.1|_6-389_1GDE:A:	4	12	7	13	0	42	12	25	0	388
gi|116617193|ref|YP_817564.1|_7-387_1PW4:A:	2	0	1	18	0	21	18	22	0	450
gi|116617194|ref|YP_817565.1|_3-255_1YV9:A:4-256	1	15	3	8	0	27	18	14	0	253
gi|116617197|ref|YP_817568.1|_14-146_1Q2Y:A:	0	8	3	3	0	10	7	8	0	140
gi|116617198|ref|YP_817569.1|_266-669_1HDH:A:	1	18	10	15	0	58	40	36	0	525
gi|116617199|ref|YP_817570.1|_12-353_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gi|116617200|ref|YP_817571.1|_18-92_1Q06:A:	0	2	0	6	0	12	2	6	0	127
gi|116617201|ref|YP_817572.1|_82-295_1PRZ:A:	5	11	2	5	0	31	18	12	0	252
gi|116617202|ref|YP_817573.1|_1-231_1RC2:A:	0	0	0	10	0	15	9	12	0	231
gi|116617203|ref|YP_817574.1|_385-402,440-679_2B8E:A:416-434,A:548-663	2	6	0	6	1	16	9	5	1	135
gi|116617203|ref|YP_817574.1|_188-283_1SU4:A:125-239	2	9	3	0	0	21	10	7	0	115
gi|116617203|ref|YP_817574.1|_135-189,286-373_1SU4:A:1-124,A:240-343,A:751-994	1	1	8	18	0	32	20	22	2	472
gi|116617204|ref|YP_817575.1|_5-122_1OKR:A:	0	3	0	6	0	6	5	4	0	120
gi|116617205|ref|YP_817576.1|_1-77_3BWG:A:5-82	1	3	1	3	0	8	3	5	0	78
gi|116617206|ref|YP_817577.1|_3-207_1VPL:A:	2	10	2	9	0	18	9	15	0	238
gi|116617208|ref|YP_817579.1|_3-222_1VPL:A:	2	10	2	9	0	18	9	15	0	238
gi|116617210|ref|YP_817581.1|_5-271_1HW6:A:	4	9	4	10	0	28	14	13	0	262
gi|116617211|ref|YP_817582.1|_4-371_1VEF:A:9-395	3	17	2	15	0	38	24	27	0	387
gi|116617212|ref|YP_817583.1|_1-242_2BTY:A:1-282	5	14	1	11	0	26	15	16	0	282
gi|116617213|ref|YP_817584.1|_19-400_1VZ6:A:	3	14	2	11	0	35	15	19	0	383
gi|116617214|ref|YP_817585.1|_150-314_1VKN:A:145-307	1	7	3	4	0	17	10	10	0	163
