PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
jgi|Chlre4|185967|estExt_fgenesh2_kg.C_800003_3-237_1O9D:A:	0.00	0.00	0.00	19.30	0.00	2.08	1.40	1.38	0.00	236.00
jgi|Chlre4|196520|JLM_estExt_gwp_1W.C_250131_4-294_1OKC:A:	0.00	0.00	3.67	18.82	0.00	1.37	1.50	2.44	0.00	292.00
jgi|Chlre4|78348|estExt_GenewiseW_1.C_130017_110-389_1E79:D:82-357	1.00	4.42	3.00	10.25	0.00	1.72	1.57	2.27	0.00	276.00
jgi|Chlre4|78348|estExt_GenewiseW_1.C_130017_387-503_1E79:D:358-475	0.00	0.00	3.50	12.33	0.00	1.89	1.43	2.50	0.00	118.00
jgi|Chlre4|78348|estExt_GenewiseW_1.C_130017_33-108_1MAB:B:1-81	1.00	4.57	0.00	0.00	0.00	2.08	2.17	2.00	0.00	81.00
jgi|Chlre4|132678|estExt_gwp_1H.C_660032_36-138_1ABV:A:	0.00	0.00	3.00	13.33	0.00	1.50	1.33	1.50	0.00	105.00
jgi|Chlre4|134235|estExt_gwp_1W.C_30183_35-233,273-355_1FS0:G:	0.00	7.00	3.00	23.40	0.00	3.00	1.18	2.00	0.00	230.00
jgi|Chlre4|24120|estExt_fgenesh1_pm.C_150006_39-128,160-288_5HPJ:A:	1.00	5.79	5.00	7.33	0.00	1.93	1.58	1.78	0.00	217.00
jgi|Chlre4|128726|estExt_gwp_1H.C_150054_39-291,359-374_1KOQ:A:	1.00	5.46	3.20	5.75	0.00	1.94	1.67	1.86	0.00	222.00
jgi|Chlre4|188144|estExt_fgenesh2_pg.C_90045_4-151_1MXE:A:	0.00	2.00	0.00	11.38	0.00	1.50	2.40	2.00	0.00	144.00
jgi|Chlre4|78954|estExt_GenewiseW_1.C_10142_14-220_1JHN:A:61-262,A:412-458	1.00	5.80	3.00	6.50	0.00	2.57	2.00	2.22	1.00	249.00
jgi|Chlre4|78954|estExt_GenewiseW_1.C_10142_204-319_1HHN:A:	1.00	2.50	0.00	4.00	0.00	2.74	1.50	2.00	0.00	100.00
jgi|Chlre4|195951|RWI_estExt_fgenesh2_pg.C_10626_295-410_2DE6:A:1-142	1.00	5.22	3.50	5.50	0.00	1.53	1.62	2.31	0.00	142.00
jgi|Chlre4|195951|RWI_estExt_fgenesh2_pg.C_10626_396-622_1EG9:A:155-447	0.00	6.00	6.00	9.83	0.00	1.50	1.64	2.33	0.00	293.00
jgi|Chlre4|184810|estExt_fgenesh2_kg.C_320006_46-83,129-269_1RWT:A:	1.00	0.00	3.80	19.80	0.00	1.59	1.40	2.13	0.00	218.00
jgi|Chlre4|130093|estExt_gwp_1H.C_210057_3-349_1VYH:C:92-408	0.00	5.29	7.00	0.00	0.00	2.00	2.00	2.43	0.00	317.00
jgi|Chlre4|183048|estExt_fgenesh2_kg.C_110066_130-281_1AFR:A:	0.00	4.00	3.20	15.43	0.00	2.08	1.40	1.78	0.00	345.00
jgi|Chlre4|153738|Chlre2_kg.scaffold_67000014_39-271_1NI5:A:0-226	1.00	4.67	3.00	12.00	0.00	2.38	1.33	2.07	0.00	226.00
jgi|Chlre4|206699|SKA_estExt_fgenesh2_pg.C_390079_41-143_1CYJ:A:	1.00	0.00	3.00	9.60	0.00	1.88	1.67	2.00	0.00	90.00
jgi|Chlre4|330365|pg.chromosome_12_#_519_9-110_1CCR:A:	1.00	0.00	3.00	8.80	0.00	2.71	1.40	2.12	0.00	111.00
jgi|Chlre4|130394|estExt_gwp_1H.C_230162_43-155,190-236_1YZQ:A:14-177	0.00	7.00	4.50	8.83	0.00	1.69	1.36	2.00	0.00	164.00
jgi|Chlre4|186669|estExt_fgenesh2_pg.C_70399_37-187_1O6V:A:33-416	1.00	3.32	3.62	7.50	0.00	2.15	1.56	1.93	0.00	381.00
jgi|Chlre4|194837|estExt_fgenesh2_pg.C_820019_5-91_1RE6:A:	1.00	2.80	0.00	16.00	0.00	1.93	1.60	0.00	0.00	93.00
jgi|Chlre4|128553|estExt_gwp_1H.C_140092_18-110_1RE6:A:	1.00	2.80	0.00	16.00	0.00	1.93	1.60	0.00	0.00	93.00
jgi|Chlre4|190145|estExt_fgenesh2_pg.C_10767_9-158_1EXR:A:	1.00	2.00	0.00	13.43	0.00	1.64	2.80	1.80	0.00	146.00
jgi|Chlre4|152943|Chlre2_kg.scaffold_54000044_4-109_1XFL:A:	0.00	6.00	0.00	11.50	0.00	1.89	1.67	2.20	0.00	114.00
jgi|Chlre4|192564|estExt_fgenesh2_pg.C_310024_12-104_1SYR:A:	0.00	5.80	0.00	10.25	0.00	1.33	1.40	2.33	0.00	103.00
jgi|Chlre4|147787|Chlre2_kg.scaffold_17000159_23-123_1AWD:A:	0.00	4.14	3.50	6.00	0.00	1.67	2.80	2.00	0.00	94.00
jgi|Chlre4|185750|estExt_fgenesh2_kg.C_680016_10-384_1GOJ:A:	1.00	6.00	3.00	10.33	0.00	2.06	1.50	2.08	0.00	354.00
jgi|Chlre4|129019|estExt_gwp_1H.C_10155_190-352_1JN0:A:149-312	1.00	6.38	3.33	12.67	0.00	1.56	1.60	2.75	0.00	163.00
jgi|Chlre4|129019|estExt_gwp_1H.C_10155_37-206_2PKQ:O:0-148,O:313-333	1.00	4.75	3.00	8.17	0.00	1.57	1.79	1.77	1.00	175.00
jgi|Chlre4|133971|estExt_gwp_1W.C_50109_132-380_1F52:A:101-468	1.00	5.58	3.80	12.70	0.00	2.00	1.58	1.86	0.00	368.00
jgi|Chlre4|133971|estExt_gwp_1W.C_50109_33-117_1F52:A:1-100	0.00	5.83	3.00	8.00	0.00	1.47	1.50	2.25	0.00	100.00
jgi|Chlre4|138524|estExt_gwp_1W.C_340068_40-462_2GSA:A:	1.00	4.36	3.20	10.47	0.00	1.78	1.62	2.19	0.00	427.00
jgi|Chlre4|107113|e_gwH.54.61.1_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|187|fgenesh1_pm.C_scaffold_2000012_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|246|fgenesh1_pm.C_scaffold_13000005_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|326978|pg.chromosome_6_#_358_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|645|fgenesh1_pm.C_scaffold_54000007_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|647|fgenesh1_pm.C_scaffold_54000009_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|655|fgenesh1_pm.C_scaffold_54000017_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|793|fgenesh1_pm.C_scaffold_100000001_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|800|fgenesh1_pm.C_scaffold_100000008_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|872|fgenesh1_pm.C_scaffold_1038000004_3-122_1EQZ:A:	0.00	2.33	3.00	11.60	0.00	2.14	1.40	1.86	0.00	125.00
jgi|Chlre4|125122|e_gwW.1038.1.1_37-152_1EQZ:B:	0.00	2.00	0.00	17.25	0.00	2.50	1.25	1.67	0.00	108.00
jgi|Chlre4|107697|e_gwH.66.31.1_37-152_1EQZ:B:	0.00	2.00	0.00	17.25	0.00	2.50	1.25	1.67	0.00	108.00
jgi|Chlre4|112775|e_gwW.3.284.1_37-152_1EQZ:B:	0.00	2.00	0.00	17.25	0.00	2.50	1.25	1.67	0.00	108.00
jgi|Chlre4|60|fgenesh1_pm.C_scaffold_3000003_37-152_1EQZ:B:	0.00	2.00	0.00	17.25	0.00	2.50	1.25	1.67	0.00	108.00
jgi|Chlre4|97907|e_gwH.3.282.1_37-152_1EQZ:B:	0.00	2.00	0.00	17.25	0.00	2.50	1.25	1.67	0.00	108.00
jgi|Chlre4|98035|e_gwH.3.284.1_37-152_1EQZ:B:	0.00	2.00	0.00	17.25	0.00	2.50	1.25	1.67	0.00	108.00
jgi|Chlre4|100021|e_gwH.11.392.1_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|112300|e_gwW.3.642.1_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|114955|e_gwW.11.392.1_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|123665|e_gwW.100.50.1_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|156530|acegs_kg.scaffold_11000052_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|167003|fgenesh2_pg.C_scaffold_3000013_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|167030|fgenesh2_pg.C_scaffold_3000040_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|167094|fgenesh2_pg.C_scaffold_3000104_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|167230|fgenesh2_pg.C_scaffold_3000240_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|170323|fgenesh2_pg.C_scaffold_13000074_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|177149|fgenesh2_pg.C_scaffold_39000099_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|178494|fgenesh2_pg.C_scaffold_54000064_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|178537|fgenesh2_pg.C_scaffold_54000107_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|181270|fgenesh2_pg.C_scaffold_741000002_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|184|fgenesh1_pm.C_scaffold_2000009_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|221|fgenesh1_pm.C_scaffold_11000007_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|243|fgenesh1_pm.C_scaffold_13000002_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|24435|estExt_fgenesh1_pm.C_540012_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|255|fgenesh1_pm.C_scaffold_13000014_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|580|fgenesh1_pm.C_scaffold_39000012_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|63|fgenesh1_pm.C_scaffold_3000006_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|642|fgenesh1_pm.C_scaffold_54000004_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|798|fgenesh1_pm.C_scaffold_100000006_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|844|fgenesh1_pm.C_scaffold_827000001_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|849|fgenesh1_pm.C_scaffold_843000003_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|869|fgenesh1_pm.C_scaffold_1038000001_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|88|fgenesh1_pm.C_scaffold_3000031_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|97639|e_gwH.3.643.1_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|97703|e_gwH.3.644.1_2-132_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
jgi|Chlre4|100020|e_gwH.11.401.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|100611|e_gwH.13.153.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|100662|e_gwH.13.154.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|106054|e_gwH.39.136.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|110341|e_gwH.1038.16.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|112470|e_gwW.3.679.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|112559|e_gwW.3.670.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|114706|e_gwW.11.403.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|115475|e_gwW.13.263.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|121805|e_gwW.54.134.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|121845|e_gwW.54.76.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|124889|e_gwW.843.7.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|144564|Chlre2_kg.scaffold_11000109_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|167163|fgenesh2_pg.C_scaffold_3000173_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|167195|fgenesh2_pg.C_scaffold_3000205_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|295225|au.g12929_t1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|332911|pg.chromosome_17_#_176_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|579|fgenesh1_pm.C_scaffold_39000011_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|653|fgenesh1_pm.C_scaffold_54000015_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|97581|e_gwH.3.384.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|97613|e_gwH.3.677.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|97616|e_gwH.3.669.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|97647|e_gwH.3.369.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|97742|e_gwH.3.679.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|98022|e_gwH.3.673.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|98181|e_gwH.3.367.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|99975|e_gwH.11.231.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|99976|e_gwH.11.223.1_3-102_1KX5:B:	0.00	2.33	4.00	15.33	0.00	2.10	2.67	2.00	0.00	102.00
jgi|Chlre4|134508|estExt_gwp_1W.C_60086_14-154_1GME:A:	1.00	5.75	3.00	6.00	0.00	3.00	1.67	2.14	0.00	150.00
jgi|Chlre4|183240|estExt_fgenesh2_kg.C_130056_16-319_1GOT:B:	1.00	5.82	0.00	13.00	0.00	1.64	1.59	2.39	0.00	339.00
jgi|Chlre4|183240|estExt_fgenesh2_kg.C_130056_457-623_1JMX:B:	1.00	5.79	6.00	0.00	0.00	2.05	1.86	2.67	0.00	346.00
jgi|Chlre4|133620|estExt_gwp_1W.C_80253_46-275_8PRK:A:	1.00	4.15	3.40	12.33	0.00	1.88	1.25	2.24	0.00	282.00
jgi|Chlre4|174103|fgenesh2_pg.C_scaffold_24000178_5-183_1TWL:A:	1.00	6.22	3.00	11.33	0.00	1.64	1.44	2.10	0.00	173.00
jgi|Chlre4|195910|STE_171583_34-306_1UJ2:A:	1.00	6.00	3.67	10.75	0.00	1.59	1.18	2.10	0.00	213.00
jgi|Chlre4|184691|estExt_fgenesh2_kg.C_300054_267-470_2OOE:A:21-549	1.00	0.00	3.00	13.39	0.00	1.64	1.69	2.14	0.00	529.00
jgi|Chlre4|184691|estExt_fgenesh2_kg.C_300054_151-294_1W3B:A:	0.00	0.00	0.00	12.65	0.00	1.11	1.33	1.92	0.00	388.00
jgi|Chlre4|60444|estExt_GenewiseH_1.C_880013_206-371_1MLD:A:145-313	1.00	5.40	3.00	20.00	0.00	1.81	1.83	1.83	0.00	169.00
jgi|Chlre4|60444|estExt_GenewiseH_1.C_880013_63-206_1MLD:A:1-144	0.00	4.67	3.50	10.80	0.00	1.58	1.60	2.00	0.00	144.00
jgi|Chlre4|182408|estExt_fgenesh2_kg.C_30176_243-389_1QM4:A:253-396	1.00	5.00	3.00	9.25	0.00	1.75	1.40	2.91	0.00	144.00
jgi|Chlre4|182408|estExt_fgenesh2_kg.C_30176_118-242_1QM4:A:129-252	0.00	10.00	0.00	14.50	0.00	1.64	1.64	2.71	0.00	124.00
jgi|Chlre4|182408|estExt_fgenesh2_kg.C_30176_6-111_2P02:A:38-147	0.00	6.33	3.00	12.67	0.00	1.56	1.00	2.00	0.00	110.00
jgi|Chlre4|16794|fgenesh1_pg.C_scaffold_29000137_29-360_1VYH:C:92-408	0.00	5.29	7.00	0.00	0.00	2.00	2.00	2.43	0.00	317.00
jgi|Chlre4|206018|SKA_Chlre2_kg.scaffold_45000097_362-452_1CDZ:A:	1.00	3.00	4.00	8.67	0.00	1.87	1.33	2.12	0.00	96.00
jgi|Chlre4|147968|Chlre2_kg.scaffold_20000110_62-95_1Q90:M:	0.00	0.00	0.00	31.00	0.00	1.00	0.00	1.00	0.00	34.00
jgi|Chlre4|185915|estExt_fgenesh2_kg.C_820018_46-145_2PLT:A:	0.00	4.89	4.50	4.00	0.00	1.22	1.43	1.80	0.00	98.00
jgi|Chlre4|136589|estExt_gwp_1W.C_10376_83-231,265-361_1VL8:A:	1.00	5.14	3.17	12.11	0.00	1.84	1.40	1.79	0.00	251.00
jgi|Chlre4|184971|estExt_fgenesh2_kg.C_360013_59-191_1JB0:D:	1.00	5.00	3.00	6.33	0.00	2.11	1.70	1.73	0.00	138.00
jgi|Chlre4|76146|estExt_GenewiseW_1.C_80164_37-96_1QP2:A:	0.00	4.40	3.00	0.00	0.00	1.79	1.33	2.67	0.00	70.00
jgi|Chlre4|130914|estExt_gwp_1H.C_300035_63-227_1JB0:F:	1.00	2.00	3.00	11.00	0.00	1.83	1.83	2.50	0.00	141.00
jgi|Chlre4|153656|Chlre2_kg.scaffold_64000041_87-197_1NZE:A:	0.00	0.00	0.00	17.60	0.00	2.40	1.00	1.83	0.00	112.00
jgi|Chlre4|82986|estExt_GenewiseW_1.C_790051_46-184_1IR2:1:	1.00	6.75	3.67	13.50	0.00	1.95	1.50	2.38	0.00	140.00
jgi|Chlre4|206640|SKA_estExt_fgenesh2_kg.C_790001_46-184_1IR2:1:	1.00	6.75	3.67	13.50	0.00	1.95	1.50	2.38	0.00	140.00
jgi|Chlre4|413651|pasa_Sanger_mRNA11339_65-173_2ZJR:P:8-134	1.00	7.60	3.00	7.80	0.00	2.60	1.25	2.50	0.00	127.00
jgi|Chlre4|195594|MAY_e_gwH.52.39.1_1-95_1XD3:B:	1.00	4.80	3.00	12.00	0.00	1.70	1.00	2.50	0.00	75.00
jgi|Chlre4|126059|estExt_gwp_1H.C_80054_5-195_1VI6:A:	1.00	4.14	3.00	10.83	0.00	2.00	1.15	2.50	0.00	193.00
jgi|Chlre4|53941|estExt_GenewiseH_1.C_50316_99-211_1Y67:A:98-213	1.00	7.67	3.00	8.83	0.00	1.75	1.40	2.00	0.00	114.00
jgi|Chlre4|53941|estExt_GenewiseH_1.C_50316_2-92_1I0H:A:1-90	1.00	0.00	3.00	11.25	0.00	1.75	1.20	3.00	0.00	90.00
jgi|Chlre4|6823|fgenesh1_pg.C_scaffold_7000374_305-511,857-925_1MVH:A:	1.00	3.73	3.33	13.50	0.00	1.72	1.93	1.94	0.00	269.00
jgi|Chlre4|6823|fgenesh1_pg.C_scaffold_7000374_72-249_2ZKD:A:405-613	1.00	5.89	4.00	8.00	0.00	1.77	1.57	2.06	0.00	209.00
jgi|Chlre4|128523|estExt_gwp_1H.C_140050_1-244_1TUB:A:1-245	0.00	3.33	3.00	9.56	0.00	2.36	1.65	2.57	0.00	245.00
jgi|Chlre4|128523|estExt_gwp_1H.C_140050_246-436_1TUB:A:246-440	1.00	6.33	3.50	11.40	0.00	2.65	2.21	2.27	0.00	195.00
jgi|Chlre4|186023|estExt_fgenesh2_kg.C_860004_1-244_1TUB:A:1-245	0.00	3.33	3.00	9.56	0.00	2.36	1.65	2.57	0.00	245.00
jgi|Chlre4|186023|estExt_fgenesh2_kg.C_860004_246-436_1TUB:A:246-440	1.00	6.33	3.50	11.40	0.00	2.65	2.21	2.27	0.00	195.00
