PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
ENSAPMP00000015446_40-134_1KX5:A:	0.00	2.00	0.00	16.00	0.00	1.88	1.77	2.00	0.00	135.00
ENSAPMP00000032937_15-71_1CCV:A:	0.00	4.75	3.00	0.00	0.00	1.80	2.33	2.25	0.00	56.00
ENSAPMP00000005757_5-105_1WEJ:F:	1.00	0.00	0.00	8.60	0.00	2.77	1.25	2.25	0.00	104.00
ENSAPMP00000000650_44-83_1ICA:A:	0.00	2.00	0.00	10.00	0.00	1.62	1.80	1.33	0.00	40.00
ENSAPMP00000004812_2-89_1RE6:A:	1.00	2.80	0.00	16.00	0.00	1.93	1.60	0.00	0.00	93.00
ENSAPMP00000010108_3-261_1F60:A:2-240	1.00	5.62	3.67	10.50	0.00	1.92	1.67	1.85	0.00	239.00
ENSAPMP00000010108_338-441_1F60:A:335-441	1.00	8.00	3.00	0.00	0.00	1.60	1.14	2.33	0.00	107.00
ENSAPMP00000010108_238-334_1F60:A:241-334	1.00	6.29	0.00	0.00	0.00	1.46	1.33	2.22	0.00	94.00
ENSAPMP00000007950_5-71_1IG7:A:	0.00	0.00	0.00	13.33	0.00	3.00	1.00	2.00	0.00	58.00
ENSAPMP00000014857_19-71_1X6H:A:8-43	0.00	2.00	0.00	10.00	0.00	2.00	2.67	2.00	0.00	36.00
ENSAPMP00000008418_28-472_1UOK:A:1-479	1.33	3.73	3.17	9.31	0.00	1.93	1.73	1.91	0.00	479.00
ENSAPMP00000008418_482-557_1BVZ:A:503-585	1.00	5.62	0.00	0.00	0.00	1.60	2.50	2.50	0.00	83.00
ENSAPMP00000018913_122-332_1RWI:A:	0.00	4.42	3.25	0.00	0.00	2.27	1.27	2.07	0.00	269.00
ENSAPMP00000034815_41-362_1F88:A:	0.00	3.00	3.50	15.62	0.00	3.15	1.58	2.06	0.00	348.00
ENSAPMP00000009376_35-165_1POC:A:	1.00	2.88	0.00	12.00	0.00	1.70	1.82	1.60	0.00	134.00
ENSAPMP00000009255_2-158_1UHN:A:	1.00	0.00	6.00	11.11	0.00	1.74	2.10	2.11	0.00	189.00
ENSAPMP00000009255_418-496,529-538_1QFJ:A:1-97	0.00	6.83	0.00	10.00	0.00	2.36	2.00	2.00	0.00	97.00
