PDB_ID	Total_Structures	Average_Length
gi|110636428|ref|YP_676635.1|_1-201_1M65:A:	84	2.90
gi|110636429|ref|YP_676636.1|_2-258,291-319_1R6D:A:	95	3.39
gi|110636430|ref|YP_676637.1|_136-379_1OUV:A:	55	4.95
gi|110636430|ref|YP_676637.1|_39-171_1IHG:A:197-365	35	4.83
gi|110636430|ref|YP_676637.1|_358-443_1FCH:A:	68	4.75
gi|110636431|ref|YP_676638.1|_7-249_1U83:A:	66	3.77
gi|110636433|ref|YP_676640.1|_102-244_1NVT:A:111-287	54	3.28
gi|110636433|ref|YP_676640.1|_1-100_1NVT:A:1-110	35	3.00
gi|110636435|ref|YP_676642.1|_4-413_1D9X:A:2-414	135	3.06
gi|110636435|ref|YP_676642.1|_33-78,468-587_1D9X:A:415-595	54	3.35
gi|110636435|ref|YP_676642.1|_625-670_1E52:A:	14	4.00
gi|110636436|ref|YP_676643.1|_1-164_1J54:A:	53	3.28
gi|110636439|ref|YP_676646.1|_7-373_2BIS:A:1-437	142	3.08
gi|110636440|ref|YP_676647.1|_37-401_1TR9:A:	117	2.91
gi|110636440|ref|YP_676647.1|_592-964_1CI9:A:	146	2.58
gi|110636440|ref|YP_676647.1|_429-564_1EX1:A:389-602	87	2.46
gi|110636441|ref|YP_676648.1|_5-202_1B63:A:2-216	64	3.38
gi|110636441|ref|YP_676648.1|_429-610_1X9Z:A:	46	3.96
gi|110636441|ref|YP_676648.1|_194-326_1B63:A:217-331	32	3.59
gi|110636442|ref|YP_676649.1|_3-111,180-258_2IC8:A:91-272	37	4.92
gi|110636443|ref|YP_676650.1|_16-215_2IC8:A:91-272	37	4.92
gi|110636444|ref|YP_676651.1|_5-260_2DUB:A:	80	3.24
gi|110636446|ref|YP_676653.1|_17-154_1RNJ:A:	46	3.30
gi|110636447|ref|YP_676654.1|_1-291_1LVW:A:	101	2.91
gi|110636448|ref|YP_676655.1|_166-192,227-289,328-435_1ELR:A:	22	5.82
gi|110636448|ref|YP_676655.1|_56-188_1P5Q:A:258-427	26	6.54
gi|110636448|ref|YP_676655.1|_402-574_2FBN:A:22-174	28	5.46
gi|110636450|ref|YP_676657.1|_216-409_1QWY:A:	93	2.90
gi|110636452|ref|YP_676659.1|_6-470_2F2A:A:1-485	154	3.15
gi|110636453|ref|YP_676660.1|_96-257_1QSA:A:451-618	50	3.36
gi|110636453|ref|YP_676660.1|_376-420_1E0G:A:	17	2.82
gi|110636453|ref|YP_676660.1|_451-494_1E0G:A:	17	2.82
gi|110636454|ref|YP_676661.1|_427-749_1R5J:A:	110	2.99
gi|110636454|ref|YP_676661.1|_162-441_1VL6:A:155-376	82	2.71
gi|110636454|ref|YP_676661.1|_8-160_1VL6:A:1-154	52	2.96
gi|110636455|ref|YP_676662.1|_64-133_1CUK:A:65-142	21	3.71
gi|110636455|ref|YP_676662.1|_1-62_1CUK:A:1-64	16	4.00
gi|110636455|ref|YP_676662.1|_151-198_1IXS:A:	11	4.55
gi|110636457|ref|YP_676664.1|_2-124_1ONL:A:	49	2.59
gi|110636459|ref|YP_676666.1|_2-42,180-390_1RTQ:A:	84	3.46
gi|110636461|ref|YP_676668.1|_3-69_1Y9Q:A:4-82	22	3.59
gi|110636464|ref|YP_676671.1|_1-146,221-334_1P9E:A:	102	2.88
gi|110636465|ref|YP_676672.1|_17-177_1L1J:A:	73	3.12
gi|110636467|ref|YP_676674.1|_1-275_1E69:A:	90	3.42
gi|110636467|ref|YP_676674.1|_1-60,864-1022_1W1W:A:	89	4.80
gi|110636469|ref|YP_676676.1|_194-306_1Y88:A:3-127	15	3.80
gi|110636473|ref|YP_676680.1|_9-72_2B5A:A:1-77	18	4.28
gi|110636477|ref|YP_676684.1|_4-152_2GM4:A:1-140	33	4.24
gi|110636478|ref|YP_676685.1|_3-153_2GM4:A:1-140	33	4.24
gi|110636479|ref|YP_676686.1|_54-277_1KY9:A:11-259	62	4.02
gi|110636479|ref|YP_676686.1|_243-368_1KY9:A:260-353	41	2.29
gi|110636479|ref|YP_676686.1|_397-477_1Y8T:A:227-314	34	2.59
gi|110636480|ref|YP_676687.1|_23-503_1A4S:A:	158	3.18
gi|110636481|ref|YP_676688.1|_13-139_1K66:A:	55	2.69
gi|110636483|ref|YP_676690.1|_31-183_1XN6:A:	46	3.11
gi|110636484|ref|YP_676691.1|_46-173_2EVR:A:87-234	45	3.29
gi|110636485|ref|YP_676692.1|_231-382,479-619_1CT9:A:193-516	83	3.90
gi|110636485|ref|YP_676692.1|_1-222_1CT9:A:1-192	67	2.87
gi|110636486|ref|YP_676693.1|_2-348_1DB3:A:	97	3.68
gi|110636487|ref|YP_676694.1|_4-302_1E6U:A:	97	3.25
gi|110636488|ref|YP_676695.1|_26-409_2F9F:A:2-167	56	2.96
gi|110636489|ref|YP_676696.1|_54-178,256-287_1XXL:A:	69	3.45
gi|110636490|ref|YP_676697.1|_6-356_2BIS:A:1-437	142	3.08
gi|110636492|ref|YP_676699.1|_68-153_2CG4:A:67-152	24	3.58
gi|110636492|ref|YP_676699.1|_4-64_2CFX:A:1-63	17	3.71
gi|110636493|ref|YP_676700.1|_301-413_1ELR:A:	22	5.82
gi|110636494|ref|YP_676701.1|_2-75,134-301_1Y0Y:A:164-351,A:6-72	80	3.17
gi|110636495|ref|YP_676702.1|_11-197_1S3G:A:1-125,A:161-217	45	4.07
gi|110636496|ref|YP_676703.1|_5-161_1LNZ:A:1-157	45	3.47
gi|110636496|ref|YP_676703.1|_155-328_1UDX:A:157-336	58	3.10
gi|110636497|ref|YP_676704.1|_31-122_1DKG:B:38-138	21	2.71
gi|110636497|ref|YP_676704.1|_124-178_1DKG:A:139-197	21	2.81
gi|110636498|ref|YP_676705.1|_1-112_1XBL:A:	19	3.95
gi|110636498|ref|YP_676705.1|_267-351_1C3G:A:260-349	41	2.20
gi|110636498|ref|YP_676705.1|_148-217_1EXK:A:	33	2.39
gi|110636498|ref|YP_676705.1|_117-142,193-272_1NLT:A:110-138,A:213-257	28	2.68
gi|110636500|ref|YP_676707.1|_1-294_2HMF:A:2-303	87	3.47
gi|110636500|ref|YP_676707.1|_613-796_1EBF:A:151-340	57	3.33
gi|110636500|ref|YP_676707.1|_462-635_1EBF:A:2-150,A:341-359	59	2.86
gi|110636500|ref|YP_676707.1|_385-464_2HMF:A:404-470	17	3.94
gi|110636500|ref|YP_676707.1|_302-379_2HMF:A:304-403	23	4.35
gi|110636501|ref|YP_676708.1|_4-167_1FWK:A:5-167	41	3.98
gi|110636501|ref|YP_676708.1|_170-289_1FWK:A:168-300	41	3.24
gi|110636502|ref|YP_676709.1|_1-432_1VB3:A:1-428	130	3.29
gi|110636506|ref|YP_676713.1|_1-62_1MJC:A:	21	3.29
gi|110636507|ref|YP_676714.1|_1-311_1PSW:A:	108	3.22
gi|110636887|ref|YP_676715.1|_327-556_1M65:A:	84	2.90
gi|110636887|ref|YP_676715.1|_153-303_1JAJ:A:	51	3.41
gi|110636887|ref|YP_676715.1|_1-82_1BPY:A:10-91	18	4.56
gi|110636887|ref|YP_676715.1|_90-146_1CUK:A:65-142	21	3.71
gi|110636509|ref|YP_676716.1|_1-134_2GBS:A:2-137	42	3.24
gi|110636510|ref|YP_676717.1|_4-170_1NON:A:	43	4.16
gi|110636511|ref|YP_676718.1|_2-306_1TUG:A:1-150,A:151-310	105	2.96
gi|110636513|ref|YP_676720.1|_1-222_1Q3T:A:	60	3.72
gi|110636516|ref|YP_676723.1|_149-275,346-957_1FEP:A:	186	3.84
gi|110636516|ref|YP_676723.1|_39-121_1NKG:A:251-337	33	2.64
gi|110636517|ref|YP_676724.1|_73-152,198-389_1IA5:A:	124	2.73
gi|110636520|ref|YP_676727.1|_3-105_1OAZ:A:	47	2.60
gi|110636521|ref|YP_676728.1|_4-283_1M65:A:	84	2.90
gi|110636524|ref|YP_676731.1|_15-128_1A6F:A:	36	3.14
gi|110636525|ref|YP_676732.1|_25-113,188-351_1FC6:A:78-156,A:249-463	99	2.98
gi|110636525|ref|YP_676732.1|_84-178_1FC6:A:157-248	37	2.49
gi|110636526|ref|YP_676733.1|_4-102_1OKJ:A:1-106	24	4.42
gi|110636526|ref|YP_676733.1|_114-213_1OKJ:A:107-216	44	2.50
gi|110636529|ref|YP_676736.1|_232-379_2C2A:A:321-481	39	4.13
gi|110636529|ref|YP_676736.1|_142-227_2C2A:A:232-320	11	8.09
gi|110636530|ref|YP_676737.1|_6-132_1K66:A:	55	2.69
gi|110636531|ref|YP_676738.1|_4-137_1A04:A:5-142	39	3.54
gi|110636531|ref|YP_676738.1|_147-215_1YIO:A:131-200	16	4.38
gi|110636532|ref|YP_676739.1|_529-629_1YSR:A:299-446	35	4.23
gi|110636533|ref|YP_676740.1|_70-275_1E2F:A:	66	3.18
gi|110636534|ref|YP_676741.1|_87-199_1Y67:A:98-213	30	3.80
gi|110636534|ref|YP_676741.1|_1-86_1JR9:A:2-91	27	3.33
gi|110636535|ref|YP_676742.1|_4-146_1WWR:A:1-151	48	3.15
gi|110636537|ref|YP_676744.1|_117-294,421-582_1G51:A:105-294,A:415-580	117	3.05
gi|110636537|ref|YP_676744.1|_291-415_1C0A:A:288-420	41	3.24
gi|110636537|ref|YP_676744.1|_2-110_1C0A:A:1-106	31	3.42
gi|110636538|ref|YP_676745.1|_325-516_1OLT:A:	137	3.22
gi|110636539|ref|YP_676746.1|_463-659_1IWG:A:7-37,A:331-498	35	5.71
gi|110636539|ref|YP_676746.1|_802-980_1IWG:A:513-566,A:869-1036	45	4.96
gi|110636541|ref|YP_676748.1|_2-185_1UJ2:A:	61	3.49
gi|110636542|ref|YP_676749.1|_1-190_1K7K:A:	58	3.79
gi|110636543|ref|YP_676750.1|_2-100_3BN0:A:2-102	23	4.39
gi|110636544|ref|YP_676751.1|_6-92_2F1L:A:7-95	23	3.87
gi|110636544|ref|YP_676751.1|_104-169_2F1L:A:101-175	27	2.78
gi|110636545|ref|YP_676752.1|_1-227_1P9P:A:	75	3.28
gi|110636546|ref|YP_676753.1|_2-118_2GYA:N:1-114	38	3.00
gi|110636547|ref|YP_676754.1|_3-234_1QG8:A:	70	3.64
gi|110636548|ref|YP_676755.1|_294-399_1KF6:B:106-243	39	3.54
gi|110636548|ref|YP_676755.1|_55-254_1Q16:C:	45	5.00
gi|110636551|ref|YP_676758.1|_527-641_1OAP:A:	34	3.18
gi|110636551|ref|YP_676758.1|_27-131_1W3B:A:	90	4.31
gi|110636551|ref|YP_676758.1|_225-368_1N1M:A:39-508	175	2.69
gi|110636552|ref|YP_676759.1|_176-373_1CLI:A:171-345	55	3.18
gi|110636552|ref|YP_676759.1|_34-166_1CLI:A:5-170	47	3.53
gi|110636553|ref|YP_676760.1|_3-117_1BWZ:A:1-130	43	3.02
gi|110636553|ref|YP_676760.1|_129-258_1BWZ:A:1-130	43	3.02
gi|110636554|ref|YP_676761.1|_4-56,146-318,549-596_1NKT:A:15-225,A:350-396	69	3.72
gi|110636554|ref|YP_676761.1|_772-900,947-1025_1NKT:A:616-835	31	7.10
gi|110636554|ref|YP_676761.1|_599-770_1M6N:A:396-570	53	3.30
gi|110636554|ref|YP_676761.1|_398-449,483-548_1M6N:A:227-348	42	2.90
gi|110636556|ref|YP_676763.1|_5-204,305-394_2Q43:A:16-194,A:314-407	79	3.47
gi|110636556|ref|YP_676763.1|_191-297_1YSJ:A:178-292	20	5.75
gi|110636560|ref|YP_676767.1|_331-464_1ST9:A:	44	3.11
gi|110636562|ref|YP_676769.1|_5-335_2PL5:A:5-366	125	2.90
