PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
NCU03949T0_30-371_1VRD:A:1-85,A:213-457	1.00	3.67	3.00	10.00	0.00	2.66	1.65	2.00	1.00	330.00
NCU06023T0_6-171_1UQR:A:	0.00	5.20	3.00	10.60	0.00	1.43	1.75	2.00	0.00	146.00
NCU03282T0_1-167_1ZVF:A:1-175	1.00	5.42	4.00	7.67	0.00	1.48	2.27	2.14	0.00	175.00
NCU06024T0_12-333_1I60:A:	1.00	4.90	3.60	11.20	0.00	1.84	1.62	2.00	0.00	278.00
NCU04230T0_16-531_1DQU:A:	1.00	3.85	4.00	11.57	0.00	1.94	1.39	1.60	0.00	519.00
NCU09770T0_241-520_2G39:A:224-497	1.00	3.12	3.00	9.50	0.00	1.59	1.43	1.94	0.00	274.00
NCU09770T0_12-239_2G39:A:3-223	1.00	4.33	4.00	7.50	0.00	2.52	1.26	2.00	0.00	221.00
NCU06785T0_173-295,340-650_1AJ8:A:	1.00	3.80	3.00	12.88	0.00	2.32	1.40	2.81	0.00	371.00
NCU06785T0_48-179_1OI7:A:1-121	0.00	4.14	0.00	11.75	0.00	1.62	1.12	1.88	0.00	121.00
NCU05008T0_54-130_1T8K:A:	1.00	0.00	3.00	10.50	0.00	2.25	0.00	2.00	0.00	77.00
NCU06836T0_42-661_1RY2:A:	1.00	4.11	0.00	8.90	0.00	1.93	1.52	1.95	0.00	640.00
NCU04173T0_147-375_1YAG:A:147-375	0.00	3.78	3.67	8.90	0.00	1.52	1.33	1.73	0.00	229.00
NCU04173T0_4-153_1YAG:A:4-146	0.00	4.00	3.00	9.75	0.00	1.62	1.45	1.78	0.00	143.00
NCU04173T1_147-375_1YAG:A:147-375	0.00	3.78	3.67	8.90	0.00	1.52	1.33	1.73	0.00	229.00
NCU04173T1_4-153_1YAG:A:4-146	0.00	4.00	3.00	9.75	0.00	1.62	1.45	1.78	0.00	143.00
NCU04247T0_149-379_1C0G:A:147-375	0.00	3.78	3.33	9.80	0.00	1.70	1.25	1.92	0.00	229.00
NCU04247T0_8-156_1YAG:A:4-146	0.00	4.00	3.00	9.75	0.00	1.62	1.45	1.78	0.00	143.00
NCU06656T0_16-60_1D66:A:8-48	0.00	0.00	0.00	6.00	0.00	6.00	3.00	1.00	0.00	41.00
NCU01754T0_10-179_1RJW:A:1-137,A:306-339	1.00	4.82	3.00	7.00	0.00	1.88	1.50	2.00	1.00	171.00
NCU01754T0_147-320_1LLU:A:144-309	0.00	5.57	4.00	9.00	0.00	1.57	1.20	1.89	0.00	166.00
