PDB_ID	Total_Structures	Average_Length
gi|169235051|ref|YP_001688251.1|_3-219_1F3O:A:	70	3.31
gi|169235054|ref|YP_001688254.1|_241-601_1MOQ:A:	97	3.77
gi|169235054|ref|YP_001688254.1|_2-220_1XFF:A:	80	2.98
gi|169235055|ref|YP_001688255.1|_1-236,264-320_1H5R:A:	99	2.93
gi|169235055|ref|YP_001688255.1|_254-392_1HV9:A:252-452	100	2.01
gi|169235056|ref|YP_001688256.1|_1-233,267-308_1G97:A:2-251	80	3.12
gi|169235056|ref|YP_001688256.1|_239-397_1HM9:A:252-459	122	1.70
gi|169235059|ref|YP_001688259.1|_8-115_1NE8:A:	38	3.05
gi|169235060|ref|YP_001688260.1|_32-112_1SMT:A:	24	4.08
gi|169235061|ref|YP_001688261.1|_4-96_1QHT:A:1-347	99	3.51
gi|169235064|ref|YP_001688264.1|_7-125_2F6S:A:1-177	52	3.40
gi|169235073|ref|YP_001688273.1|_30-131_1RR7:A:	21	4.48
gi|169235081|ref|YP_001688281.1|_7-48_1WV8:A:2-72	17	4.18
gi|169235082|ref|YP_001688282.1|_4-71_1WHZ:A:	20	3.50
gi|169235083|ref|YP_001688283.1|_13-79_1SMT:A:	24	4.08
gi|169235084|ref|YP_001688284.1|_50-104_1MKM:A:1-75	24	3.12
gi|169235088|ref|YP_001688288.1|_5-130_2F5G:A:2-131	40	3.25
gi|169235090|ref|YP_001688290.1|_10-282_1W5S:A:7-293	85	3.38
gi|169235090|ref|YP_001688290.1|_287-393_1FNN:A:277-388	24	4.67
gi|169235091|ref|YP_001688291.1|_1-194_1MV8:A:1-202	70	2.89
gi|169235091|ref|YP_001688291.1|_309-419_1MV8:A:301-436	51	2.67
gi|169235091|ref|YP_001688291.1|_206-303_1MV8:A:203-300	22	4.45
gi|169235092|ref|YP_001688292.1|_1-234_1LVW:A:	101	2.91
gi|169235093|ref|YP_001688293.1|_70-246_1JG1:A:	74	2.91
gi|169235095|ref|YP_001688295.1|_1-402_2IW1:A:2-371	119	3.11
gi|169235097|ref|YP_001688297.1|_105-361_1MUS:A:	121	3.93
gi|169237171|ref|YP_001690377.1|_105-361_1MUS:A:	121	3.93
gi|169237648|ref|YP_001690851.1|_105-361_1MUS:A:	121	3.93
gi|169235101|ref|YP_001688301.1|_15-157_1QJV:A:	151	2.26
