PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|14521983|ref|NP_125692.1|_8-217_1CJS:A:	0.00	5.30	3.25	10.71	0.00	1.80	1.50	1.75	0.00	213.00
gi|14520219|ref|NP_125693.1|_4-82_1MMS:A:8-70	0.00	6.33	0.00	7.50	0.00	1.67	1.33	3.00	0.00	63.00
gi|14520219|ref|NP_125693.1|_66-138_1S72:I:	0.00	3.00	0.00	10.33	0.00	2.14	1.60	3.33	0.00	70.00
gi|14520221|ref|NP_125695.1|_4-58_1RHZ:B:	0.00	0.00	0.00	27.00	0.00	2.33	1.00	1.50	0.00	65.00
gi|14520222|ref|NP_125696.1|_38-235_1W5B:A:23-231	0.00	6.33	3.00	11.00	0.00	1.80	1.12	1.78	0.00	209.00
gi|14520222|ref|NP_125696.1|_233-347_1W5B:A:232-354	0.00	7.00	3.00	10.00	0.00	1.33	1.00	2.10	0.00	123.00
gi|14520224|ref|NP_125698.1|_1-271_2GFQ:A:1-274	1.33	5.57	3.00	11.00	0.00	1.65	1.47	1.77	0.00	286.00
gi|14520225|ref|NP_125699.1|_21-73_1WOT:A:	0.00	3.00	0.00	11.50	0.00	1.92	1.33	1.75	0.00	98.00
gi|14520227|ref|NP_125701.1|_4-203_1VAJ:A:3-205	1.00	5.56	4.60	13.00	0.00	1.86	1.25	1.83	0.00	203.00
gi|14520228|ref|NP_125702.1|_104-273_1O4U:A:104-273	0.00	4.43	3.50	10.00	0.00	2.53	1.50	1.90	0.00	170.00
gi|14520228|ref|NP_125702.1|_5-103_1QPO:A:2-116	0.00	5.20	0.00	14.25	0.00	1.64	1.33	2.00	0.00	115.00
gi|14520229|ref|NP_125703.1|_1-168_2Q4V:A:3-169	1.00	6.86	3.00	9.50	0.00	2.36	2.00	1.56	0.00	167.00
gi|14520230|ref|NP_125704.1|_11-307_1WZU:A:1-298	1.00	4.00	3.00	8.79	0.00	2.43	1.22	1.87	0.00	298.00
gi|14520232|ref|NP_125706.1|_4-231,313-365_1CHU:A:2-237,A:354-422	1.00	4.17	3.00	13.00	0.00	3.63	1.44	2.25	1.00	305.00
gi|14520232|ref|NP_125706.1|_207-310_1CHU:A:238-353	1.00	6.25	3.00	8.50	0.00	1.17	1.14	2.00	0.00	116.00
gi|14520232|ref|NP_125706.1|_387-453_1CHU:A:423-533	1.00	2.00	0.00	21.67	0.00	2.18	2.00	2.00	0.00	111.00
