PDB_ID	Total_Structures	Average_Length
JGI_V11_47452_80-251_1VF5:D:46-179	60	2.23
JGI_V11_48928_70-234_1RWT:A:	71	3.07
JGI_V11_57506_15-180_2FOL:A:5-173	50	3.38
JGI_V11_48294_18-240,268-297_1F60:A:2-240	74	3.23
JGI_V11_48294_391-504_1JNY:A:323-429	39	2.74
JGI_V11_48294_282-378_1F60:A:241-334	38	2.47
JGI_V11_86088_123-393_1VJR:A:	90	3.00
JGI_V11_51031_22-217,249-356_1M6D:A:	79	2.71
JGI_V11_50289_15-216_1JHN:A:61-262,A:412-458	83	3.01
JGI_V11_50289_198-312_1HHN:A:	45	2.22
JGI_V11_50672_12-123_1MEK:A:	42	2.86
JGI_V11_50672_329-442_2DJJ:A:6-121	42	2.76
JGI_V11_50672_237-335_2DJK:A:1-133	40	3.20
JGI_V11_50672_129-224_1BJX:A:	35	3.14
JGI_V11_53873_47-303_1DEU:A:	109	2.52
JGI_V11_54729_23-197_1DYW:A:	66	2.61
JGI_V11_47015_72-312_1VYH:C:92-408	107	2.96
JGI_V11_51111_3-109_1D3B:A:	22	3.27
JGI_V11_52757_18-182_2GAO:A:13-198	57	3.26
JGI_V11_55336_9-100,150-215_1FHT:A:	35	3.31
JGI_V11_92491_4-183_1Z0A:A:2-170	50	3.38
JGI_V11_92091_11-166_1NCX:A:	43	3.77
JGI_V11_48699_6-153_2AYV:A:1-146	49	2.96
JGI_V11_49753_6-148_1P27:A:	36	4.00
JGI_V11_47609_3-150_1J7D:B:	56	2.66
JGI_V11_92458_9-173_1K8K:F:	39	4.28
JGI_V11_92340_105-231_3GTU:B:85-224	40	3.50
JGI_V11_92340_9-96_3FYG:A:1-84	26	3.23
JGI_V11_48670_7-210_1PRX:A:	80	2.75
JGI_V11_53542_3-100_1Y4O:A:10-104	20	4.75
JGI_V11_49528_1-140_1GW5:S:	38	3.74
JGI_V11_46740_4-117_1B34:A:	28	2.86
JGI_V11_92571_2-137_1CNU:A:	40	3.35
JGI_V11_54077_8-153_1MXE:A:	37	3.89
JGI_V11_54083_4-202_1IRU:J:	63	3.24
JGI_V11_56409_2-88_1RE6:A:	34	2.74
JGI_V11_50972_15-178_1E0S:A:	52	3.33
JGI_V11_54186_1-186_1KY3:A:	52	3.37
JGI_V11_50018_62-165_1EQZ:B:	23	4.70
JGI_V11_50636_1-140_1CFY:A:	37	3.59
JGI_V11_46489_1-44_2VRD:A:1-61	22	2.77
JGI_V11_51901_6-192_1BYU:A:	65	3.11
JGI_V11_50886_1-244_1TUB:A:1-245	79	3.10
JGI_V11_50886_246-436_1TUB:A:246-440	58	3.36
JGI_V11_51293_40-66,188-361_1BOF:A:10-60,A:182-354	60	3.75
JGI_V11_51293_70-194_1TAD:A:57-177	28	4.32
JGI_V11_88730_2-171_2C35:A:14-142	36	3.58
JGI_V11_56707_1-224_1G62:A:	93	2.41
JGI_V11_89251_10-82_1X6O:A:19-86	18	3.78
JGI_V11_55377_4-88_1EUV:B:	27	2.93
JGI_V11_46016_3-78_1XD3:B:	27	2.78
JGI_V11_51387_3-95_1XD3:B:	27	2.78
JGI_V11_51387_102-155_2K4X:A:1-55	14	3.93
JGI_V11_48466_231-459_1C0G:A:147-375	72	3.18
JGI_V11_48466_87-237_1C0G:A:1-146	47	3.11
JGI_V11_48466_3-78_1XD3:B:	27	2.78
JGI_V11_47173_72-129_2J01:6:9-53	11	4.09
JGI_V11_55239_118-287_1V2B:A:	41	4.17
JGI_V11_55876_130-235_1NZE:A:	17	6.59
JGI_V11_92231_78-154_1DO9:A:	33	2.85
JGI_V11_50264_267-429_1HDG:O:149-312	47	3.47
JGI_V11_50264_111-283_1HDG:O:1-148,O:313-331	65	2.62
JGI_V11_46248_86-507_2GSA:A:	141	3.03
JGI_V11_53848_117-289,385-499_1K0I:A:1-173,A:276-394	89	3.29
JGI_V11_55284_69-191_1UZD:C:1-134	43	3.12
JGI_V11_51403_66-191_1IR1:S:	40	3.08
JGI_V11_88077_91-192_1FJG:T:	15	6.60
JGI_V11_47811_293-369_1SRO:A:	28	2.71
JGI_V11_47811_207-282_3BZK:A:637-730	32	2.94
JGI_V11_47811_132-225_1WI5:A:	33	3.58
JGI_V11_46924_60-237_1ZAV:A:1-177	39	4.54
JGI_V11_54026_68-229_1JB0:F:	42	3.36
JGI_V11_49069_132-452,553-593_1O5W:A:10-298,A:411-520	128	3.12
JGI_V11_52319_67-170_1ABV:A:	22	4.77
JGI_V11_53917_110-206_1FJG:J:	33	2.97
JGI_V11_89321_81-214_2GY9:I:4-129	33	3.82
JGI_V11_90102_65-139_2QAM:Z:2-78	26	2.96
JGI_V11_86850_77-193_1GD8:A:	24	4.38
JGI_V11_47207_119-253_2J01:N:1-139	49	2.84
JGI_V11_53355_158-231_1HC8:A:	20	3.70
JGI_V11_47820_126-216_1DIV:A:56-149	23	4.09
JGI_V11_47820_70-122_1CQU:A:	22	2.55
JGI_V11_48457_94-326_2AXT:O:30-271	85	2.85
JGI_V11_55872_81-142_1JB0:E:	31	2.23
JGI_V11_46486_82-217_1JB0:D:	55	2.51
JGI_V11_51521_82-217_1JB0:D:	55	2.51
JGI_V11_50508_122-284_1JYM:A:	59	3.08
JGI_V11_55120_77-186_1AWD:A:	34	2.76
JGI_V11_50246_82-157_1CTJ:A:	29	3.07
JGI_V11_51742_69-103,149-288_1RWT:A:	71	3.07
JGI_V11_51318_128-340_1RWT:A:	71	3.07
JGI_V11_49405_59-266,306-389_1FS0:G:	43	5.35
JGI_V11_92329_8-366_1DOS:A:	97	3.69
JGI_V11_48978_111-461_1FBA:A:	96	3.75
JGI_V11_49760_128-339_1RWT:A:	71	3.07
JGI_V11_46379_115-326_1RWT:A:	71	3.07
JGI_V11_51249_127-339_1RWT:A:	71	3.07
JGI_V11_51323_127-339_1RWT:A:	71	3.07
JGI_V11_125295_18-180_1T8P:A:	81	3.07
JGI_V11_84763_95-159_1WEK:A:	58	3.59
JGI_V11_65971_46-150,197-244_1R3E:A:10-237	68	3.35
JGI_V11_51407_44-312_2VO1:A:1-273	56	4.88
JGI_V11_51407_337-596_1VCO:A:298-547	77	3.25
