PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|116618456|ref|YP_818827.1|_1-49_2J01:6:9-53	0.00	0.00	0.00	0.00	0.00	6.60	2.00	2.00	0.00	45.00
gi|116617350|ref|YP_817721.1|_2-70_1AH9:A:	0.00	4.00	3.00	0.00	0.00	1.69	1.67	2.00	0.00	71.00
gi|116617337|ref|YP_817708.1|_2-64_1R73:A:	0.00	0.00	0.00	17.00	0.00	2.25	1.00	2.00	0.00	66.00
gi|116617328|ref|YP_817699.1|_5-102_2QAL:J:5-102	1.00	4.80	0.00	10.50	0.00	2.23	2.17	2.33	0.00	98.00
gi|116617175|ref|YP_817546.1|_108-319_1L8Q:A:77-289	0.00	4.80	3.50	12.33	0.00	1.82	2.00	2.00	0.00	213.00
gi|116617175|ref|YP_817546.1|_341-445_1J1V:A:	0.00	0.00	0.00	11.83	0.00	2.14	1.00	1.67	0.00	94.00
gi|116617176|ref|YP_817547.1|_252-377_1VPK:A:244-366	1.00	5.78	3.00	12.50	0.00	1.62	1.25	2.75	0.00	123.00
gi|116617176|ref|YP_817547.1|_1-125_2POL:A:1-122	1.00	6.50	3.50	10.50	0.00	1.83	1.29	1.80	0.00	122.00
gi|116617176|ref|YP_817547.1|_132-253_2POL:A:123-244	0.00	10.33	3.00	6.67	0.00	1.78	1.75	2.00	0.00	122.00
gi|116617177|ref|YP_817548.1|_3-68_1P9K:A:	1.00	4.00	0.00	8.00	0.00	3.00	1.75	1.75	0.00	78.00
gi|116617178|ref|YP_817549.1|_1-217,244-352_1F2T:A:,B:	1.00	6.13	4.00	12.57	0.00	1.67	1.43	1.87	1.00	292.00
gi|116617179|ref|YP_817550.1|_431-663_1BJT:A:	1.00	4.40	4.50	13.45	0.00	3.25	1.42	2.09	0.00	760.00
gi|116617179|ref|YP_817550.1|_38-247_1EI1:A:2-220	1.00	5.27	3.00	9.33	0.00	1.73	1.67	2.08	0.00	219.00
gi|116617179|ref|YP_817550.1|_257-428_1EI1:A:221-392	1.00	6.60	0.00	14.33	0.00	1.75	1.83	2.00	0.00	172.00
gi|116617180|ref|YP_817551.1|_32-487_1AB4:A:	1.00	3.60	3.50	12.81	0.00	2.25	1.56	2.32	0.00	493.00
gi|116617180|ref|YP_817551.1|_500-820_1WP5:A:	1.00	5.43	3.17	7.67	0.00	1.90	1.33	2.00	0.00	322.00
gi|116617181|ref|YP_817552.1|_1-157_2F8A:A:12-195	1.00	4.14	3.40	10.50	0.00	1.62	1.62	2.00	0.00	184.00
gi|116617182|ref|YP_817553.1|_2-114_1KRW:A:	0.00	4.20	0.00	11.20	0.00	2.10	2.38	1.75	0.00	124.00
gi|116617183|ref|YP_817554.1|_131-238_1L0O:A:	1.00	5.50	3.00	11.25	0.00	1.87	1.50	2.60	0.00	141.00
gi|116617184|ref|YP_817555.1|_2-78,223-507_2F9F:A:2-167	1.00	4.17	3.00	9.57	0.00	1.84	1.27	2.00	0.00	166.00
gi|116617185|ref|YP_817556.1|_264-487_2F9F:A:2-167	1.00	4.17	3.00	9.57	0.00	1.84	1.27	2.00	0.00	166.00
gi|116617187|ref|YP_817558.1|_316-477_1HKH:A:	1.00	6.62	4.00	9.31	0.00	1.52	1.38	1.82	0.00	279.00
gi|116617189|ref|YP_817560.1|_3-117_1O0I:A:	1.00	9.33	0.00	9.67	0.00	1.33	1.70	1.86	0.00	137.00
gi|116617190|ref|YP_817561.1|_11-273_1Q52:A:	0.00	4.18	3.25	11.20	0.00	3.39	1.58	1.93	0.00	297.00
gi|116617191|ref|YP_817562.1|_2-264_1F89:A:	1.00	5.31	5.00	11.00	0.00	2.69	1.71	2.18	0.00	281.00
gi|116617192|ref|YP_817563.1|_6-389_1GDE:A:	1.00	4.17	3.14	12.15	0.00	2.02	1.17	2.20	0.00	388.00
gi|116617193|ref|YP_817564.1|_7-387_1PW4:A:	1.00	0.00	5.00	17.67	0.00	2.95	1.44	1.68	0.00	450.00
gi|116617194|ref|YP_817565.1|_3-255_1YV9:A:4-256	1.00	3.60	3.00	10.88	0.00	1.74	1.50	2.00	0.00	253.00
gi|116617197|ref|YP_817568.1|_14-146_1Q2Y:A:	0.00	6.00	3.00	12.00	0.00	1.60	1.43	2.62	0.00	140.00
gi|116617198|ref|YP_817569.1|_266-669_1HDH:A:	1.00	4.22	3.00	10.07	0.00	2.05	1.73	2.19	0.00	525.00
gi|116617199|ref|YP_817570.1|_12-353_2F9F:A:2-167	1.00	4.17	3.00	9.57	0.00	1.84	1.27	2.00	0.00	166.00
gi|116617200|ref|YP_817571.1|_18-92_1Q06:A:	0.00	2.00	0.00	14.00	0.00	2.25	1.00	1.67	0.00	127.00
gi|116617201|ref|YP_817572.1|_82-295_1PRZ:A:	1.00	6.09	4.50	10.60	0.00	2.06	1.61	2.08	0.00	252.00
gi|116617202|ref|YP_817573.1|_1-231_1RC2:A:	0.00	0.00	0.00	15.80	0.00	2.07	1.67	2.25	0.00	231.00
gi|116617203|ref|YP_817574.1|_385-402,440-679_2B8E:A:416-434,A:548-663	1.00	4.33	0.00	7.83	5.00	1.94	1.67	1.80	1.00	135.00
gi|116617203|ref|YP_817574.1|_188-283_1SU4:A:125-239	1.00	3.78	3.00	0.00	0.00	1.62	1.70	2.71	0.00	115.00
gi|116617203|ref|YP_817574.1|_135-189,286-373_1SU4:A:1-124,A:240-343,A:751-994	1.00	2.00	3.25	16.11	0.00	2.41	1.70	1.91	1.00	472.00
gi|116617204|ref|YP_817575.1|_5-122_1OKR:A:	0.00	4.67	0.00	12.67	0.00	2.83	1.40	1.50	0.00	120.00
gi|116617205|ref|YP_817576.1|_1-77_3BWG:A:5-82	1.00	3.33	3.00	10.67	0.00	2.12	1.33	2.20	0.00	78.00
gi|116617206|ref|YP_817577.1|_3-207_1VPL:A:	1.00	6.20	4.00	9.89	0.00	1.72	1.33	2.27	0.00	238.00
gi|116617208|ref|YP_817579.1|_3-222_1VPL:A:	1.00	6.20	4.00	9.89	0.00	1.72	1.33	2.27	0.00	238.00
gi|116617210|ref|YP_817581.1|_5-271_1HW6:A:	1.25	4.44	3.00	10.30	0.00	2.21	1.21	1.77	0.00	262.00
gi|116617211|ref|YP_817582.1|_4-371_1VEF:A:9-395	1.00	4.41	3.50	10.20	0.00	1.58	1.54	1.93	0.00	387.00
gi|116617212|ref|YP_817583.1|_1-242_2BTY:A:1-282	1.00	4.21	3.00	10.73	0.00	1.54	1.80	1.88	0.00	282.00
gi|116617213|ref|YP_817584.1|_19-400_1VZ6:A:	1.00	7.29	3.00	11.36	0.00	2.31	2.13	1.79	0.00	383.00
gi|116617214|ref|YP_817585.1|_150-314_1VKN:A:145-307	1.00	6.71	3.67	11.00	0.00	1.53	1.50	1.90	0.00	163.00
gi|116617214|ref|YP_817585.1|_6-176_1VKN:A:1-144,A:308-339	1.00	4.50	3.00	8.00	0.00	2.16	1.30	2.73	1.00	176.00
gi|116617215|ref|YP_817586.1|_3-162_1FJJ:A:	1.00	6.25	3.00	11.00	0.00	2.14	1.60	2.08	0.00	158.00
gi|116617218|ref|YP_817589.1|_4-135_1LSU:A:	0.00	4.17	3.00	10.00	0.00	1.67	1.25	2.29	0.00	134.00
gi|116617218|ref|YP_817589.1|_131-216_1VCT:A:108-201	1.00	5.75	0.00	7.50	0.00	1.67	1.50	2.17	0.00	94.00
gi|116617220|ref|YP_817591.1|_5-396_1PV7:A:	0.00	0.00	4.00	15.09	0.00	1.72	1.67	1.86	0.00	417.00
gi|116617221|ref|YP_817592.1|_1-65_1UTX:A:	0.00	3.00	0.00	7.40	0.00	1.86	1.00	1.75	0.00	66.00
gi|116617222|ref|YP_817593.1|_25-85_1B0N:A:1-68	0.00	0.00	0.00	8.40	0.00	2.12	1.00	1.60	0.00	68.00
gi|116617227|ref|YP_817598.1|_6-230_3DHW:C:1-240	1.00	6.40	3.00	11.43	0.00	1.57	1.47	2.67	0.00	240.00
gi|116617227|ref|YP_817598.1|_249-490_1JI0:A:	1.00	6.40	3.00	8.40	0.00	1.74	1.50	2.20	0.00	240.00
gi|116617230|ref|YP_817601.1|_1-145_1HYH:A:21-166	0.00	4.17	3.25	14.00	0.00	2.14	1.56	1.60	0.00	146.00
gi|116617230|ref|YP_817601.1|_144-300_1HYH:A:167-329	1.00	4.29	3.00	17.75	0.00	2.14	1.50	2.33	0.00	163.00
gi|116617231|ref|YP_817602.1|_4-233_1F3O:A:	0.00	6.00	3.00	11.14	0.00	1.59	1.47	2.21	0.00	232.00
gi|116617233|ref|YP_817604.1|_39-258_1JDP:A:	2.00	5.80	3.50	13.45	0.00	2.08	1.37	2.43	0.00	401.00
gi|116617234|ref|YP_817605.1|_12-73_1Y7Y:A:5-73	1.00	0.00	4.00	11.00	0.00	1.57	1.00	1.75	0.00	69.00
gi|116617235|ref|YP_817606.1|_1-185_1VL8:A:	1.00	5.14	3.17	12.11	0.00	1.84	1.40	1.79	0.00	251.00
gi|116617238|ref|YP_817609.1|_474-714_2HYD:A:324-578	1.00	5.50	3.00	8.00	0.00	1.72	1.38	2.44	0.00	255.00
gi|116617238|ref|YP_817609.1|_155-459_2HYD:A:1-323	0.00	0.00	3.00	18.40	5.00	1.44	1.20	1.67	0.00	323.00
gi|116617247|ref|YP_817618.1|_1-130_1XHF:A:2-122	0.00	4.80	0.00	11.60	0.00	1.54	1.50	2.00	0.00	121.00
gi|116617248|ref|YP_817619.1|_298-414_1ID0:A:	0.00	5.57	3.00	14.33	0.00	1.81	1.71	2.43	0.00	146.00
gi|116617250|ref|YP_817621.1|_1-258_1UB0:A:	1.00	6.56	3.00	12.38	0.00	2.95	1.42	1.82	0.00	258.00
gi|116617252|ref|YP_817623.1|_17-274,402-463_1E39:A:103-359,A:506-568	1.00	4.60	3.67	11.89	0.00	1.58	1.59	2.10	1.00	320.00
gi|116617252|ref|YP_817623.1|_255-403_1D4C:A:360-505	0.00	5.83	0.00	8.17	0.00	1.93	1.56	1.75	0.00	146.00
gi|116617253|ref|YP_817624.1|_83-288_2HYD:A:324-578	1.00	5.50	3.00	8.00	0.00	1.72	1.38	2.44	0.00	255.00
gi|116617253|ref|YP_817624.1|_4-68_1ADR:A:	0.00	0.00	0.00	8.80	0.00	1.56	1.33	1.67	0.00	76.00
gi|116617256|ref|YP_817627.1|_6-233_1QG8:A:	1.00	6.89	3.50	9.25	0.00	2.82	1.38	1.92	0.00	255.00
gi|116617258|ref|YP_817629.1|_1-288_1NHP:A:120-242	1.00	4.25	0.00	12.00	0.00	1.58	1.50	2.83	0.00	123.00
gi|116617258|ref|YP_817629.1|_327-452_1NHP:A:322-447	1.00	7.20	0.00	8.50	0.00	1.87	2.00	1.90	0.00	126.00
gi|116617260|ref|YP_817631.1|_197-327_1JLV:A:85-207	0.00	0.00	3.00	14.33	0.00	2.00	1.67	1.71	0.00	123.00
gi|116617261|ref|YP_817632.1|_12-416_1SZQ:A:	1.10	4.50	3.33	11.09	0.00	1.75	1.33	2.04	0.00	473.00
gi|116617262|ref|YP_817633.1|_5-158_1Z4E:A:4-153	0.00	8.83	3.00	9.80	0.00	1.55	1.40	1.80	0.00	150.00
gi|116617263|ref|YP_817634.1|_13-206_3DHW:A:6-208	0.00	0.00	10.00	15.89	0.00	1.64	1.86	2.11	0.00	203.00
gi|116617264|ref|YP_817635.1|_3-238_1B0U:A:	0.00	5.42	3.00	10.20	0.00	1.79	1.25	2.00	0.00	261.00
gi|116617265|ref|YP_817636.1|_11-265_1LST:A:	1.00	3.83	3.00	8.10	0.00	1.45	1.35	1.94	0.00	238.00
gi|116617266|ref|YP_817637.1|_7-195,296-377_1YSJ:A:4-177,A:293-379	1.00	5.40	3.00	12.29	0.00	1.77	1.46	2.24	1.00	261.00
gi|116617266|ref|YP_817637.1|_181-291_1YSJ:A:178-292	0.00	9.25	0.00	16.50	0.00	4.00	1.75	2.00	0.00	115.00
gi|116617267|ref|YP_817638.1|_3-103_1QUW:A:	0.00	5.50	0.00	10.00	0.00	2.00	2.00	1.83	0.00	105.00
gi|116617268|ref|YP_817639.1|_15-244_1R61:A:	1.00	5.33	3.25	7.33	0.00	1.78	1.36	2.00	0.00	205.00
gi|116617270|ref|YP_817641.1|_3-256_1GEG:A:	1.00	5.43	3.00	13.44	0.00	1.81	1.45	1.73	0.00	255.00
gi|116617271|ref|YP_817642.1|_36-279_1P99:A:	0.00	4.46	3.57	9.75	0.00	1.56	1.64	1.93	0.00	255.00
gi|116617272|ref|YP_817643.1|_11-197_3DHW:A:6-208	0.00	0.00	10.00	15.89	0.00	1.64	1.86	2.11	0.00	203.00
gi|116617273|ref|YP_817644.1|_18-208_3DHW:A:6-208	0.00	0.00	10.00	15.89	0.00	1.64	1.86	2.11	0.00	203.00
gi|116617274|ref|YP_817645.1|_5-239_1B0U:A:	0.00	5.42	3.00	10.20	0.00	1.79	1.25	2.00	0.00	261.00
gi|116617275|ref|YP_817646.1|_3-262_1XT8:A:10-257	1.00	4.92	3.00	8.80	0.00	1.65	1.40	2.07	0.00	248.00
gi|116617276|ref|YP_817647.1|_3-217,314-371_1EL5:A:1-217,A:322-385	0.00	4.94	3.17	11.29	0.00	1.68	1.83	1.76	1.00	281.00
gi|116617276|ref|YP_817647.1|_213-314_1EL5:A:218-321	1.00	6.67	3.00	9.00	0.00	1.69	1.25	1.83	0.00	104.00
gi|116617279|ref|YP_817650.1|_1-287_1MGP:A:	0.00	6.00	3.00	10.30	0.00	3.00	1.33	1.94	0.00	312.00
gi|116617281|ref|YP_817652.1|_9-463_1PV7:A:	0.00	0.00	4.00	15.09	0.00	1.72	1.67	1.86	0.00	417.00
gi|116617282|ref|YP_817653.1|_82-373_2HOE:A:200-368	0.00	4.29	4.00	13.17	0.00	2.00	2.33	2.00	0.00	169.00
gi|116617282|ref|YP_817653.1|_9-68_2HOE:A:10-71	1.00	5.00	0.00	9.33	0.00	3.00	1.00	1.00	0.00	62.00
gi|116617283|ref|YP_817654.1|_5-445_1A0D:A:	1.00	3.50	3.20	12.44	0.00	2.22	1.42	1.72	0.00	437.00
gi|116617284|ref|YP_817655.1|_4-249_1R59:O:5-256	1.00	3.50	3.00	4.89	0.00	2.03	2.76	2.87	0.00	252.00
gi|116617284|ref|YP_817655.1|_249-489_1R59:O:257-491	1.00	3.70	3.50	11.80	0.00	2.00	2.00	2.69	0.00	235.00
gi|116617286|ref|YP_817657.1|_32-336_1J93:A:	1.00	3.89	5.67	10.33	0.00	1.83	1.55	2.40	0.00	343.00
gi|116617287|ref|YP_817658.1|_12-330_1J93:A:	1.00	3.89	5.67	10.33	0.00	1.83	1.55	2.40	0.00	343.00
gi|116617288|ref|YP_817659.1|_39-280_1WDN:A:	1.00	6.27	3.00	9.50	0.00	1.57	1.50	2.50	0.00	223.00
gi|116617289|ref|YP_817660.1|_15-211_3DHW:A:6-208	0.00	0.00	10.00	15.89	0.00	1.64	1.86	2.11	0.00	203.00
gi|116617290|ref|YP_817661.1|_15-212_3DHW:A:6-208	0.00	0.00	10.00	15.89	0.00	1.64	1.86	2.11	0.00	203.00
gi|116617291|ref|YP_817662.1|_1-238_1B0U:A:	0.00	5.42	3.00	10.20	0.00	1.79	1.25	2.00	0.00	261.00
gi|116617292|ref|YP_817663.1|_8-254_2BV3:A:7-282	1.00	5.27	3.00	11.12	0.00	2.95	1.75	2.29	0.00	276.00
gi|116617292|ref|YP_817663.1|_239-367_2BV3:A:283-403	1.00	5.00	0.00	0.00	0.00	1.80	1.33	2.33	0.00	121.00
gi|116617292|ref|YP_817663.1|_372-444_1N0U:A:482-560	0.00	5.00	3.00	13.50	0.00	1.67	1.33	2.00	0.00	79.00
gi|116617295|ref|YP_817666.1|_6-266_1UB0:A:	1.00	6.56	3.00	12.38	0.00	2.95	1.42	1.82	0.00	258.00
gi|116617297|ref|YP_817668.1|_3-256_1GEG:A:	1.00	5.43	3.00	13.44	0.00	1.81	1.45	1.73	0.00	255.00
gi|116617298|ref|YP_817669.1|_474-898_1RRM:A:	1.00	4.70	3.44	13.79	0.00	1.72	1.29	2.00	0.00	385.00
gi|116617298|ref|YP_817669.1|_30-475_1O20:A:	1.00	4.69	3.00	12.36	0.00	1.77	1.50	2.00	0.00	414.00
gi|116617299|ref|YP_817670.1|_108-493_1UWV:A:75-432	1.00	5.71	4.00	12.50	0.00	1.80	1.59	2.18	0.00	358.00
gi|116617299|ref|YP_817670.1|_41-101_1YVC:A:1-69	0.00	5.17	0.00	0.00	0.00	1.33	2.00	2.00	0.00	69.00
gi|116617302|ref|YP_817673.1|_405-684_1QVR:A:536-850	1.00	4.00	3.50	9.93	0.00	1.93	1.62	1.93	0.00	315.00
gi|116617302|ref|YP_817673.1|_87-354_1QVR:A:149-535	0.00	3.62	0.00	13.56	0.00	2.70	1.53	2.12	0.00	387.00
gi|116617304|ref|YP_817675.1|_170-311_2JEK:A:6-145	1.00	0.00	0.00	8.50	0.00	1.71	1.09	1.89	0.00	140.00
gi|116617304|ref|YP_817675.1|_8-157_1VCD:A:1-126	1.00	7.00	0.00	11.00	0.00	1.69	1.00	2.00	0.00	126.00
gi|116617305|ref|YP_817676.1|_1-451_1J3U:A:	1.00	3.62	3.14	16.60	5.00	1.80	1.30	2.07	0.00	462.00
gi|116617306|ref|YP_817677.1|_5-146_1LK5:A:1-130,A:211-229	1.00	4.88	3.00	11.25	0.00	1.56	1.33	1.75	1.00	149.00
gi|116617306|ref|YP_817677.1|_133-207_1LK5:A:131-210	1.00	4.20	3.50	8.00	0.00	1.36	1.71	1.40	0.00	80.00
